fraud_type,state,financial_year,persons_estimate_000,victimisation_rate_pct
Identity theft,Tasmania,2022-23,3.6,0.8
Identity theft,Tasmania,2023-24,3,0.6
Identity theft,Tasmania,2024-25,3.3,0.7
Identity theft,Northern Territory,2014-15,0.3,0.2
Identity theft,Northern Territory,2020-21,0.9,0.6
Identity theft,Northern Territory,2021-22,1.6,1.1
Identity theft,Northern Territory,2022-23,2,1.3
Identity theft,Northern Territory,2023-24,2.2,1.2
Identity theft,Northern Territory,2024-25,1.8,1.1
Identity theft,Australian Capital Territory,2014-15,2,0.7
Identity theft,Australian Capital Territory,2020-21,3.7,1.1
Identity theft,Australian Capital Territory,2021-22,1,0.3
Identity theft,Australian Capital Territory,2022-23,2.8,0.8
Identity theft,Australian Capital Territory,2023-24,5.9,1.6
Identity theft,Australian Capital Territory,2024-25,5,1.3
Identity theft,Australia,2014-15,126.3,0.7
Identity theft,Australia,2020-21,154.3,0.8
Identity theft,Australia,2021-22,159.6,0.8
Identity theft,Australia,2022-23,199.1,1
Identity theft,Australia,2023-24,255.1,1.2
Identity theft,Australia,2024-25,220.4,1
Online impersonation,New South Wales,2014-15,na,na
Online impersonation,New South Wales,2020-21,na,na
Online impersonation,New South Wales,2021-22,159.4,2.5
Online impersonation,New South Wales,2022-23,129.7,2
Online impersonation,New South Wales,2023-24,126.7,1.9
Online impersonation,New South Wales,2024-25,146,2.1
Online impersonation,Victoria,2014-15,na,na
Online impersonation,Victoria,2020-21,na,na
Online impersonation,Victoria,2021-22,145.1,2.8
Online impersonation,Victoria,2022-23,110.7,2.1
Online impersonation,Victoria,2023-24,105.9,1.9
Online impersonation,Victoria,2024-25,118.8,2.1
Online impersonation,Queensland,2014-15,na,na
Online impersonation,Queensland,2020-21,na,na
Online impersonation,Queensland,2021-22,96.1,2.3
Online impersonation,Queensland,2022-23,81.2,1.9
Online impersonation,Queensland,2023-24,109,2.5
Online impersonation,Queensland,2024-25,123.5,2.8
Online impersonation,South Australia,2014-15,na,na
Online impersonation,South Australia,2020-21,na,na
Online impersonation,South Australia,2021-22,31.6,2.2
Online impersonation,South Australia,2022-23,37.7,2.6
Online impersonation,South Australia,2023-24,29.9,2
Online impersonation,South Australia,2024-25,40.1,2.6
Online impersonation,Western Australia,2014-15,na,na
Online impersonation,Western Australia,2020-21,na,na
Online impersonation,Western Australia,2021-22,59.7,2.8
Online impersonation,Western Australia,2022-23,49,2.2
Online impersonation,Western Australia,2023-24,46.7,2
Online impersonation,Western Australia,2024-25,60.2,2.6
Online impersonation,Tasmania,2014-15,na,na
Online impersonation,Tasmania,2020-21,na,na
Online impersonation,Tasmania,2021-22,10.2,2.2
