sector,agency,year,value
State Government,Limestone Coast Local Health Network,2022-23,199
State Government,Limestone Coast Local Health Network,2021-22,188
State Government,Limestone Coast Local Health Network,2020-21,146
State Government,Limestone Coast Local Health Network,2019-20,0
State Government,Medical Panel SA,2016-17,0
State Government,Medical Panel SA,2015-16,0
State Government,Medical Panel SA,2014-15,0
State Government,Medical Panel SA,2013-14,0
State Government,Medical Panel SA,2012-13,0
State Government,Medical Panel SA,2011-12,1
State Government,Motor Accident Commission,2019-20,0
State Government,Motor Accident Commission,2018-19,0
State Government,Motor Accident Commission,2016-17,12
State Government,Motor Accident Commission,2015-16,0
State Government,Motor Accident Commission,2014-15,0
State Government,Motor Accident Commission,2013-14,3
State Government,Motor Accident Commission,2012-13,4
State Government,Motor Accident Commission,2011-12,3
State Government,Murraylands and Riverland Landscape Board,2024-25,2
State Government,Murraylands and Riverland Landscape Board,2023-24,1
State Government,Native Vegetation Council,2024-25,4
State Government,Native Vegetation Council,2023-24,3
State Government,Native Vegetation Council,2022-23,3
State Government,Native Vegetation Council,2021-22,5
State Government,Non-government Schools Registration Board,2011-12,0
State Government,Northern Adelaide Local Health Network,2024-25,1316
State Government,Northern Adelaide Local Health Network,2023-24,1142
State Government,Northern Adelaide Local Health Network,2022-23,1220
State Government,Northern Adelaide Local Health Network,2021-22,858
State Government,Northern Adelaide Local Health Network,2020-21,772
State Government,Northern Adelaide Local Health Network,2019-20,836
State Government,Northern Adelaide Local Health Network,2018-19,945
State Government,Northern Adelaide Local Health Network,2016-17,997
State Government,Northern Adelaide Local Health Network,2015-16,955
State Government,Northern Adelaide Local Health Network,2014-15,821
State Government,Northern Adelaide Local Health Network,2013-14,830
State Government,Northern Adelaide Local Health Network,2012-13,956
State Government,Northern Adelaide Local Health Network,2011-12,1229
State Government,Northern and Yorke Landscape Board,2024-25,2
State Government,Northern and Yorke Landscape Board,2023-24,0
State Government,Northern and Yorke Landscape Board,2020-21,0
State Government,Northern and Yorke Landscape Board,2019-20,0
State Government,Northern and Yorke Landscape Board,2018-19,0
State Government,Northern and Yorke Landscape Board,2016-17,0
State Government,Northern and Yorke Landscape Board,2015-16,0
State Government,Northern and Yorke Landscape Board,2014-15,0
State Government,Northern and Yorke Landscape Board,2013-14,0
State Government,Northern and Yorke Landscape Board,2012-13,0
State Government,Northern and Yorke Landscape Board,2011-12,1
State Government,"Office for Recreation, Sport and Racing",2024-25,3
State Government,"Office for Recreation, Sport and Racing",2023-24,16
State Government,"Office for Recreation, Sport and Racing",2022-23,26
State Government,"Office for Recreation, Sport and Racing",2021-22,4
State Government,Office for the Ageing,2014-15,0
State Government,Office for the Ageing,2013-14,0
State Government,Office for the Ageing,2012-13,0
State Government,Office for the Ageing,2011-12,0
State Government,Office of Hydrogen Power SA,2024-25,15
State Government,Office of Hydrogen Power SA,2023-24,20
State Government,Office of Hydrogen Power SA,2022-23,24
State Government,Office of the Attorney-General,2024-25,33
State Government,Office of the Attorney-General,2023-24,36
State Government,Office of the Attorney-General,2022-23,29
State Government,Office of the Attorney-General,2021-22,19
State Government,Office of the Attorney-General,2020-21,26
State Government,Office of the Attorney-General,2019-20,23
State Government,Office of the Attorney-General,2018-19,28
State Government,Office of the Attorney-General,2016-17,23
State Government,Office of the Attorney-General,2015-16,22
State Government,Office of the Attorney-General,2014-15,32
State Government,Office of the Attorney-General,2013-14,42
State Government,Office of the Attorney-General,2012-13,31
State Government,Office of the Attorney-General,2011-12,50
State Government,Office of the Commissioner for Public Sector Employment,2024-25,5
State Government,Office of the Commissioner for Public Sector Employment,2023-24,3
State Government,Office of the Commissioner for Public Sector Employment,2022-23,6
State Government,Office of the Commissioner for Public Sector Employment,2021-22,1
State Government,Office of the Commissioner for Public Sector Employment,2020-21,0
State Government,Office of the Commissioner for Public Sector Employment,2019-20,1
State Government,Office of the Commissioner for Public Sector Employment,2018-19,0
State Government,Office of the Commissioner for Public Sector Employment,2016-17,3
State Government,Office of the Commissioner for Public Sector Employment,2015-16,11
State Government,Office of the Commissioner for Public Sector Employment,2014-15,0
State Government,Office of the Commissioner for Public Sector Employment,2013-14,0
State Government,Office of the Deputy Premier,2024-25,33
State Government,Office of the Deputy Premier,2023-24,66
State Government,Office of the Deputy Premier,2022-23,128
State Government,Office of the Deputy Premier,2021-22,2
State Government,Office of the Employee Ombudsman,2020-21,0
State Government,Office of the Employee Ombudsman,2019-20,0
State Government,Office of the Employee Ombudsman,2018-19,0
State Government,Office of the Employee Ombudsman,2016-17,0
State Government,Office of the Employee Ombudsman,2015-16,0
State Government,Office of the Employee Ombudsman,2014-15,0
State Government,Office of the Employee Ombudsman,2013-14,1
State Government,Office of the Employee Ombudsman,2012-13,0
State Government,Office of the Employee Ombudsman,2011-12,1
State Government,Office of the Guardian for Children Young People,2020-21,0
State Government,Office of the Guardian for Children Young People,2019-20,0
State Government,Office of the Guardian for Children Young People,2018-19,0
State Government,Office of the Guardian for Children Young People,2016-17,0
State Government,Office of the Guardian for Children Young People,2015-16,0
State Government,Office of the Guardian for Children Young People,2014-15,0
State Government,Office of the Guardian for Children Young People,2013-14,0
State Government,Office of the Guardian for Children Young People,2012-13,0
State Government,Office of the Guardian for Children Young People,2011-12,0
State Government,Office of the Hon Andrea Michaels MP,2024-25,28
State Government,Office of the Hon Andrea Michaels MP,2023-24,36
State Government,Office of the Hon Andrea Michaels MP,2022-23,32
State Government,Office of the Hon Clare Scriven MLC,2024-25,36
State Government,Office of the Hon Clare Scriven MLC,2023-24,59
State Government,Office of the Hon Clare Scriven MLC,2022-23,91
State Government,Office of the Hon Emily Burke MP,2024-25,9
State Government,Office of the Hon Geoff Brock MP,2023-24,23
State Government,Office of the Hon Geoff Brock MP,2022-23,31
State Government,Office of the Hon Joe Szakacs MP,2024-25,30
State Government,Office of the Hon Joe Szakacs MP,2023-24,0
State Government,Office of the Hon Joe Szakacs MP,2022-23,37
State Government,Office of the Hon Katrine Hildyard MP,2024-25,40
State Government,Office of the Hon Katrine Hildyard MP,2023-24,30
State Government,Office of the Hon Katrine Hildyard MP,2022-23,36
State Government,Office of the Hon Nick Champion MP,2024-25,42
State Government,Office of the Hon Nick Champion MP,2023-24,41
State Government,Office of the Hon Nick Champion MP,2022-23,44
State Government,Office of the Hon Peter Malinauskas MP,2024-25,52
State Government,Office of the Hon Peter Malinauskas MP,2023-24,48
State Government,Office of the Hon Peter Malinauskas MP,2022-23,48
State Government,Office of the Hon Stephen Mullighan MP,2024-25,54
State Government,Office of the Hon Stephen Mullighan MP,2023-24,63
State Government,Office of the Hon Stephen Mullighan MP,2022-23,101
State Government,Office of the Hon Tom Koutsantonis MP,2024-25,55
State Government,Office of the Hon Tom Koutsantonis MP,2023-24,90
State Government,Office of the Hon Tom Koutsantonis MP,2022-23,73
State Government,Office of the Hon Zoe Bettison MP,2023-24,40
State Government,Office of the Hon Zoe Bettison MP,2022-23,15
State Government,Office of the Minister - Communities & Social Inclusion (IH),2020-21,0
State Government,Office of the Minister - Communities & Social Inclusion (IH),2019-20,0
State Government,Office of the Minister - Communities & Social Inclusion (IH),2018-19,0
State Government,Office of the Minister - Hon Antonio Piccolo MP,2014-15,32
State Government,Office of the Minister - Hon Antonio Piccolo MP,2013-14,44
State Government,Office of the Minister - Hon Antonio Piccolo MP,2012-13,19
State Government,Office of the Minister - Hon Chloë Fox MP,2012-13,20
State Government,Office of the Minister - Hon Chloë Fox MP,2011-12,14
State Government,Office of the Minister - Hon Corey Wingard MP,2021-22,14
State Government,Office of the Minister - Hon Corey Wingard MP,2020-21,35
State Government,Office of the Minister - Hon Corey Wingard MP,2019-20,46
State Government,Office of the Minister - Hon Corey Wingard MP,2018-19,26
State Government,Office of the Minister - Hon Dan Cregan MP,2024-25,36
State Government,Office of the Minister - Hon Dan Cregan MP,2023-24,11
State Government,Office of the Minister - Hon David Pisoni MP,2021-22,2
State Government,Office of the Minister - Hon David Pisoni MP,2020-21,16
State Government,Office of the Minister - Hon David Pisoni MP,2019-20,28
State Government,Office of the Minister - Hon David Pisoni MP,2018-19,32
State Government,Office of the Minister - Hon David Ridgway MLC,2019-20,7
State Government,Office of the Minister - Hon David Speirs MP,2021-22,2
State Government,Office of the Minister - Hon David Speirs MP,2020-21,13
State Government,Office of the Minister - Hon David Speirs MP,2019-20,16
State Government,Office of the Minister - Hon David Speirs MP,2018-19,24
State Government,Office of the Minister - Hon Gail Gago MLC,2014-15,28
State Government,Office of the Minister - Hon Gail Gago MLC,2013-14,23
State Government,Office of the Minister - Hon Gail Gago MLC,2012-13,21
State Government,Office of the Minister - Hon Gail Gago MLC,2011-12,21
State Government,Office of the Minister - Hon Geoff Brock MP,2016-17,12
State Government,Office of the Minister - Hon Geoff Brock MP,2015-16,9
State Government,Office of the Minister - Hon Geoff Brock MP,2014-15,7
State Government,Office of the Minister - Hon Geoff Brock MP,2013-14,4
State Government,Office of the Minister - Hon Grace Portolesi MP,2012-13,45
State Government,Office of the Minister - Hon Grace Portolesi MP,2011-12,47
State Government,Office of the Minister - Hon Ian Hunter MLC,2016-17,22
State Government,Office of the Minister - Hon Ian Hunter MLC,2015-16,23
State Government,Office of the Minister - Hon Ian Hunter MLC,2014-15,29
State Government,Office of the Minister - Hon Ian Hunter MLC,2013-14,27
State Government,Office of the Minister - Hon Ian Hunter MLC,2012-13,28
State Government,Office of the Minister - Hon Ian Hunter MLC,2011-12,9
State Government,Office of the Minister - Hon Jennifer Rankine MP,2014-15,21
State Government,Office of the Minister - Hon Jennifer Rankine MP,2013-14,36
State Government,Office of the Minister - Hon Jennifer Rankine MP,2012-13,50
State Government,Office of the Minister - Hon Jennifer Rankine MP,2011-12,31
State Government,Office of the Minister - Hon John Hill MP,2011-12,23
State Government,Office of the Minister - Hon John Snelling MP,2016-17,25
State Government,Office of the Minister - Hon John Snelling MP,2015-16,10
State Government,Office of the Minister - Hon John Snelling MP,2014-15,16
State Government,Office of the Minister - Hon John Snelling MP,2013-14,23
State Government,Office of the Minister - Hon John Snelling MP,2012-13,25
State Government,Office of the Minister - Hon John Snelling MP,2011-12,74
State Government,Office of the Minister - Hon Kyam Maher MLC,2016-17,14
State Government,Office of the Minister - Hon Kyam Maher MLC,2015-16,6
State Government,Office of the Minister - Hon Kyam Maher MLC,2014-15,10
State Government,Office of the Minister - Hon Leesa Vlahos MP,2016-17,15
State Government,Office of the Minister - Hon Leesa Vlahos MP,2015-16,1
State Government,Office of the Minister - Hon Leon Bignell MP,2016-17,25
State Government,Office of the Minister - Hon Leon Bignell MP,2015-16,28
State Government,Office of the Minister - Hon Leon Bignell MP,2014-15,50
State Government,Office of the Minister - Hon Leon Bignell MP,2013-14,28
State Government,Office of the Minister - Hon Leon Bignell MP,2012-13,3
State Government,Office of the Minister - Hon Martin Hamilton-Smith MP,2016-17,1
State Government,Office of the Minister - Hon Martin Hamilton-Smith MP,2015-16,9
State Government,Office of the Minister - Hon Martin Hamilton-Smith MP,2014-15,11
State Government,Office of the Minister - Hon Martin Hamilton-Smith MP,2013-14,0
State Government,Office of the Minister - Hon Michael O’Brien MP,2012-13,25
State Government,Office of the Minister - Hon Michael O’Brien MP,2011-12,24
State Government,Office of the Minister - Hon Michelle Lensink MLC,2021-22,8
State Government,Office of the Minister - Hon Michelle Lensink MLC,2020-21,18
State Government,Office of the Minister - Hon Michelle Lensink MLC,2019-20,27
State Government,Office of the Minister - Hon Michelle Lensink MLC,2018-19,162
State Government,Office of the Minister - Hon Patrick Conlon MP,2012-13,12
State Government,Office of the Minister - Hon Patrick Conlon MP,2011-12,25
State Government,Office of the Minister - Hon Paul Caica MP,2011-12,56
State Government,Office of the Minister - Hon Peter Malinauskas MLC,2013-14,0
State Government,Office of the Minister - Hon Peter Malinauskas MLC,2012-13,56
State Government,Office of the Minister - Hon Peter Malinauskas MLC,2011-12,10
State Government,Office of the Minister - Hon Rachel Sanderson MP,2020-21,0
State Government,Office of the Minister - Hon Rachel Sanderson MP,2019-20,0
State Government,Office of the Minister - Hon Rachel Sanderson MP,2018-19,0
State Government,Office of the Minister - Hon Russell Wortley MLC,2012-13,19
State Government,Office of the Minister - Hon Russell Wortley MLC,2011-12,21
State Government,Office of the Minister - Hon Stephan Knoll MP,2018-19,52
State Government,Office of the Minister - Hon Stephen Mullighan MP,2016-17,19
State Government,Office of the Minister - Hon Stephen Mullighan MP,2015-16,23
State Government,Office of the Minister - Hon Stephen Mullighan MP,2014-15,17
State Government,Office of the Minister - Hon Stephen Mullighan MP,2013-14,9
State Government,Office of the Minister - Hon Stephen Patterson MP,2021-22,4
State Government,Office of the Minister - Hon Stephen Patterson MP,2020-21,7
State Government,Office of the Minister - Hon Stephen Wade MLC,2020-21,17
State Government,Office of the Minister - Hon Stephen Wade MLC,2019-20,38
State Government,Office of the Minister - Hon Stephen Wade MLC,2018-19,37
State Government,Office of the Minister - Hon Susan Close MP,2016-17,29
State Government,Office of the Minister - Hon Susan Close MP,2015-16,10
State Government,Office of the Minister - Hon Susan Close MP,2014-15,34
State Government,Office of the Minister - Hon Susan Close MP,2013-14,15
State Government,Office of the Minister - Hon Tom Kenyon MP,2012-13,9
State Government,Office of the Minister - Hon Tom Kenyon MP,2011-12,12
State Government,Office of the Minister - Hon Tom Koutsantonis MP,2016-17,0
State Government,Office of the Minister - Hon Tom Koutsantonis MP,2015-16,21
State Government,Office of the Minister - Hon Tom Koutsantonis MP,2014-15,60
State Government,Office of the Minister - Hon Tom Koutsantonis MP,2013-14,28
State Government,Office of the Minister - Hon Zoe Bettison MP,2016-17,14
State Government,Office of the Minister - Hon Zoe Bettison MP,2015-16,10
State Government,Office of the Minister - Hon Zoe Bettison MP,2014-15,29
State Government,Office of the Minister - Hon Zoe Bettison MP,2013-14,19
State Government,Office of the Minister - van Holst Pellekaan MP,2020-21,10
State Government,Office of the Minister - van Holst Pellekaan MP,2019-20,9
State Government,Office of the Minister - van Holst Pellekaan MP,2018-19,15
State Government,Office of the Minister for Child Protection,2020-21,10
State Government,Office of the Minister for Child Protection,2019-20,8
State Government,Office of the Minister for Child Protection,2018-19,15
State Government,"Office of the Minister for Education, Training and Skills",2024-25,33
State Government,"Office of the Minister for Education, Training and Skills",2023-24,36
State Government,"Office of the Minister for Education, Training and Skills",2022-23,39
State Government,"Office of the Minister for Education, Training and Skills",2021-22,1
State Government,"Office of the Minister for Education, Training and Skills",2020-21,7
State Government,"Office of the Minister for Education, Training and Skills",2019-20,7
State Government,"Office of the Minister for Education, Training and Skills",2018-19,22
State Government,Office of the Minister for Finance,2020-21,0
State Government,Office of the Minister for Finance,2019-20,0
State Government,Office of the Minister for Finance,2018-19,0
State Government,Office of the Minister for Health and Wellbeing,2024-25,52
State Government,Office of the Minister for Health and Wellbeing,2023-24,58
State Government,Office of the Minister for Health and Wellbeing,2022-23,71
State Government,Office of the Minister for Human Services,2024-25,28
State Government,Office of the Minister for Human Services,2023-24,190
State Government,Office of the Minister for Human Services,2022-23,43
State Government,Office of the Minister for PIRD,2021-22,11
State Government,Office of the Minister for PIRD,2020-21,15
State Government,Office of the Minister for PIRD,2019-20,22
State Government,Office of the Minister for PIRD,2018-19,10
State Government,Office of the Minister for PIRD and Forest Ind,2021-22,5
State Government,"Office of the Minister for Police, Emergency Service & Corrections",2021-22,6
State Government,Office of the Minister for Trade and Investment,2021-22,3
State Government,"Office of the Minister for Transport, Infrastructure and Local Government",2020-21,7
State Government,"Office of the Minister for Transport, Infrastructure and Local Government",2019-20,50
State Government,Office of the National Rail Safety Regulator,2024-25,11
State Government,Office of the National Rail Safety Regulator,2023-24,0
State Government,Office of the National Rail Safety Regulator,2022-23,0
State Government,Office of the National Rail Safety Regulator,2021-22,1
State Government,Office of the National Rail Safety Regulator,2020-21,7
State Government,Office of the National Rail Safety Regulator,2019-20,10
State Government,Office of the National Rail Safety Regulator,2018-19,4
State Government,Office of the National Rail Safety Regulator,2016-17,4
State Government,Office of the National Rail Safety Regulator,2015-16,11
State Government,Office of the National Rail Safety Regulator,2014-15,3
State Government,Office of the National Rail Safety Regulator,2013-14,1
State Government,Office of the National Rail Safety Regulator,2012-13,0
State Government,Office of the Premier - Hon Jay Weatherill MP,2016-17,39
State Government,Office of the Premier - Hon Jay Weatherill MP,2015-16,31
State Government,Office of the Premier - Hon Jay Weatherill MP,2014-15,59
State Government,Office of the Premier - Hon Jay Weatherill MP,2013-14,101
State Government,Office of the Premier - Hon Jay Weatherill MP,2012-13,106
State Government,Office of the Premier - Hon Jay Weatherill MP,2011-12,68
State Government,Office of the Premier - Hon Steven Marshall MP,2021-22,31
State Government,Office of the Premier - Hon Steven Marshall MP,2020-21,46
State Government,Office of the Premier - Hon Steven Marshall MP,2019-20,42
State Government,Office of the Premier - Hon Steven Marshall MP,2018-19,69
State Government,Office of the Public Advocate,2024-25,2
State Government,Office of the Public Advocate,2023-24,2
State Government,Office of the Public Advocate,2022-23,2
State Government,Office of the Public Advocate,2021-22,2
State Government,Office of the Public Advocate,2020-21,4
State Government,Office of the Public Advocate,2019-20,3
State Government,Office of the Public Advocate,2018-19,7
State Government,Office of the Public Advocate,2016-17,3
State Government,Office of the Public Advocate,2015-16,5
State Government,Office of the Public Advocate,2014-15,0
State Government,Office of the Public Advocate,2013-14,3
State Government,Office of the Public Advocate,2012-13,1
State Government,Office of the Public Advocate,2011-12,4
State Government,Office of the Small Business Commissioner,2020-21,0
State Government,Office of the Small Business Commissioner,2019-20,0
State Government,Office of the Small Business Commissioner,2018-19,2
State Government,Office of the Small Business Commissioner,2016-17,3
State Government,Office of the Small Business Commissioner,2015-16,3
State Government,Office of the Training Advocate,2020-21,0
State Government,Office of the Training Advocate,2019-20,0
State Government,Office of the Training Advocate,2018-19,0
State Government,Office of the Training Advocate,2016-17,0
State Government,Office of the Training Advocate,2015-16,0
State Government,Office of the Training Advocate,2014-15,0
State Government,Office of the Training Advocate,2013-14,0
State Government,Office of the Training Advocate,2012-13,0
State Government,Office of the Training Advocate,2011-12,0
State Government,Office of the Treasurer – Hon Jay Weatherill MP,2012-13,40
State Government,Office of the Treasurer - Hon Robert Lucas MLC,2021-22,14
State Government,Office of the Treasurer - Hon Robert Lucas MLC,2020-21,76
State Government,Office of the Treasurer - Hon Robert Lucas MLC,2019-20,105
State Government,Office of the Treasurer - Hon Robert Lucas MLC,2018-19,189
State Government,Office of the Treasurer - Hon Tom Koutsantonis MP,2016-17,23
State Government,Office of the Treasurer - Hon Tom Koutsantonis MP,2015-16,15
State Government,Office of the Treasurer - Hon Tom Koutsantonis MP,2014-15,31
State Government,Office of the Treasurer - Hon Tom Koutsantonis MP,2013-14,36
State Government,Office of the Treasurer - Hon Tom Koutsantonis MP,2012-13,36
State Government,Office of the Treasurer - Hon Tom Koutsantonis MP,2011-12,25
State Government,Outback Communities Authority,2020-21,0
State Government,Outback Communities Authority,2019-20,0
State Government,Outback Communities Authority,2018-19,0
State Government,Outback Communities Authority,2016-17,0
State Government,Outback Communities Authority,2015-16,0
State Government,Outback Communities Authority,2014-15,0
State Government,Outback Communities Authority,2013-14,0
State Government,Outback Communities Authority,2012-13,0
State Government,Outback Communities Authority,2011-12,0
State Government,Premier's Delivery Unit,2024-25,1
State Government,Premier's Delivery Unit,2023-24,10
State Government,Premier's Delivery Unit,2022-23,11
State Government,Rail Commissioner,2020-21,0
State Government,Rail Commissioner,2019-20,0
State Government,Rail Commissioner,2018-19,0
State Government,Rail Commissioner,2016-17,0
State Government,Rail Commissioner,2015-16,0
State Government,Rail Commissioner,2014-15,0
State Government,Rail Commissioner,2013-14,2
State Government,Rail Commissioner,2012-13,59
State Government,Rail Commissioner,2011-12,83
State Government,Regional Development Australia Barossa,2020-21,0
State Government,Regional Development Australia Barossa,2019-20,0
State Government,Regional Development Australia Barossa,2018-19,0
State Government,Regional Development Australia Barossa,2016-17,0
State Government,Regional Development Australia Barossa,2015-16,0
State Government,Regional Development Australia Barossa,2014-15,0
State Government,Regional Development Australia Barossa,2013-14,0
State Government,Regional Development Australia Barossa,2012-13,0
State Government,Regional Development Australia Barossa,2011-12,0
State Government,Renewal SA Urban Renewal Authority,2024-25,17
State Government,Renewal SA Urban Renewal Authority,2023-24,28
State Government,Renewal SA Urban Renewal Authority,2022-23,18
State Government,Renewal SA Urban Renewal Authority,2021-22,1
State Government,Renewal SA Urban Renewal Authority,2020-21,4
State Government,Renewal SA Urban Renewal Authority,2019-20,4
State Government,Renewal SA Urban Renewal Authority,2018-19,3
State Government,Renewal SA Urban Renewal Authority,2016-17,50
State Government,Renewal SA Urban Renewal Authority,2015-16,49
State Government,Renewal SA Urban Renewal Authority,2014-15,48
State Government,Renewal SA Urban Renewal Authority,2013-14,30
State Government,Renewal SA Urban Renewal Authority,2012-13,30
State Government,Renewal SA Urban Renewal Authority,2011-12,11
State Government,Residential Tenancies Tribunal,2020-21,0
State Government,Residential Tenancies Tribunal,2019-20,0
State Government,Residential Tenancies Tribunal,2018-19,0
State Government,Residential Tenancies Tribunal,2016-17,0
State Government,Residential Tenancies Tribunal,2015-16,0
State Government,Residential Tenancies Tribunal,2014-15,0
State Government,Residential Tenancies Tribunal,2013-14,0
State Government,Residential Tenancies Tribunal,2012-13,0
State Government,Residential Tenancies Tribunal,2011-12,5
State Government,ReturnToWorkSA,2024-25,142
State Government,ReturnToWorkSA,2023-24,162
State Government,ReturnToWorkSA,2022-23,162
State Government,ReturnToWorkSA,2021-22,246
State Government,ReturnToWorkSA,2020-21,198
State Government,ReturnToWorkSA,2019-20,388
State Government,ReturnToWorkSA,2018-19,298
State Government,ReturnToWorkSA,2016-17,334
State Government,ReturnToWorkSA,2015-16,371
State Government,Riverland Mallee Coorong Local Health Network,2024-25,143
State Government,Riverland Mallee Coorong Local Health Network,2023-24,116
State Government,Riverland Mallee Coorong Local Health Network,2022-23,168
State Government,Riverland Mallee Coorong Local Health Network,2021-22,96
State Government,Riverland Mallee Coorong Local Health Network,2020-21,63
State Government,Riverland Mallee Coorong Local Health Network,2019-20,5
State Government,SA Ambulance Service,2024-25,414
State Government,SA Ambulance Service,2023-24,348
State Government,SA Ambulance Service,2022-23,234
State Government,SA Ambulance Service,2020-21,181
State Government,SA Ambulance Service,2019-20,178
State Government,SA Ambulance Service,2018-19,180
State Government,SA Ambulance Service,2016-17,181
State Government,SA Ambulance Service,2015-16,135
State Government,SA Ambulance Service,2014-15,142
State Government,SA Ambulance Service,2013-14,152
State Government,SA Ambulance Service,2012-13,214
State Government,SA Ambulance Service,2011-12,198
State Government,SA Arid Lands Landscape Board,2024-25,1
State Government,SA Arid Lands Landscape Board,2023-24,1
State Government,SA Arid Lands Landscape Board,2020-21,0
State Government,SA Arid Lands Landscape Board,2019-20,0
State Government,SA Arid Lands Landscape Board,2018-19,0
State Government,SA Arid Lands Landscape Board,2016-17,0
State Government,SA Arid Lands Landscape Board,2015-16,0
State Government,SA Arid Lands Landscape Board,2014-15,0
State Government,SA Arid Lands Landscape Board,2013-14,1
State Government,SA Arid Lands Landscape Board,2012-13,0
State Government,SA Arid Lands Landscape Board,2011-12,1
State Government,SA Fire and Emergency Services Commission,2024-25,6
State Government,SA Fire and Emergency Services Commission,2023-24,5
State Government,SA Fire and Emergency Services Commission,2022-23,1
State Government,SA Fire and Emergency Services Commission,2021-22,7
State Government,SA Fire and Emergency Services Commission,2020-21,0
State Government,SA Fire and Emergency Services Commission,2019-20,9
State Government,SA Fire and Emergency Services Commission,2018-19,4
State Government,SA Fire and Emergency Services Commission,2016-17,35
State Government,SA Fire and Emergency Services Commission,2015-16,36
State Government,SA Fire and Emergency Services Commission,2014-15,73
State Government,SA Fire and Emergency Services Commission,2013-14,24
State Government,SA Fire and Emergency Services Commission,2012-13,30
State Government,SA Fire and Emergency Services Commission,2011-12,18
State Government,SA Housing Trust (formerly SA Housing Authority),2024-25,135
State Government,SA Housing Trust (formerly SA Housing Authority),2023-24,130
State Government,SA Housing Trust (formerly SA Housing Authority),2022-23,125
State Government,SA Housing Trust (formerly SA Housing Authority),2021-22,86
State Government,SA Housing Trust (formerly SA Housing Authority),2020-21,115
State Government,SA Housing Trust (formerly SA Housing Authority),2019-20,78
State Government,SA Housing Trust (formerly SA Housing Authority),2018-19,152
State Government,SA Lotteries Commission,2024-25,1
State Government,SA Lotteries Commission,2023-24,0
State Government,SA Lotteries Commission,2022-23,0
State Government,SA Lotteries Commission,2020-21,0
State Government,SA Lotteries Commission,2019-20,0
State Government,SA Lotteries Commission,2018-19,0
State Government,SA Lotteries Commission,2016-17,1
State Government,SA Lotteries Commission,2015-16,0
State Government,SA Lotteries Commission,2014-15,0
State Government,SA Lotteries Commission,2013-14,0
State Government,SA Lotteries Commission,2012-13,2
State Government,SA Lotteries Commission,2011-12,20
State Government,SA Metropolitan Fire Service,2023-24,24
State Government,SA Metropolitan Fire Service,2022-23,14
State Government,SA Metropolitan Fire Service,2021-22,22
State Government,SA Metropolitan Fire Service,2020-21,8
State Government,SA Metropolitan Fire Service,2019-20,30
State Government,SA Metropolitan Fire Service,2018-19,18
State Government,SA Multicultural and Ethnic Affairs Commission,2020-21,0
State Government,SA Multicultural and Ethnic Affairs Commission,2019-20,0
State Government,SA Multicultural and Ethnic Affairs Commission,2018-19,0
State Government,SA Multicultural and Ethnic Affairs Commission,2016-17,0
State Government,SA Multicultural and Ethnic Affairs Commission,2015-16,0
State Government,SA Multicultural and Ethnic Affairs Commission,2014-15,0
State Government,SA Multicultural and Ethnic Affairs Commission,2013-14,0
State Government,SA Multicultural and Ethnic Affairs Commission,2012-13,0
State Government,SA Murray Darling Basin Natural Resources Management Board,2020-21,0
State Government,SA Murray Darling Basin Natural Resources Management Board,2019-20,0
State Government,SA Murray Darling Basin Natural Resources Management Board,2018-19,0
State Government,SA Murray Darling Basin Natural Resources Management Board,2016-17,0
State Government,SA Murray Darling Basin Natural Resources Management Board,2015-16,0
State Government,SA Murray Darling Basin Natural Resources Management Board,2014-15,0
State Government,SA Murray Darling Basin Natural Resources Management Board,2013-14,0
State Government,SA Murray Darling Basin Natural Resources Management Board,2012-13,0
State Government,SA Murray Darling Basin Natural Resources Management Board,2011-12,2
State Government,SA State Emergency Services,2024-25,5
State Government,SA State Emergency Services,2022-23,3
State Government,SA State Emergency Services,2021-22,2
State Government,SA State Emergency Services,2020-21,2
State Government,SA State Emergency Services,2019-20,7
State Government,SA State Emergency Services,2018-19,4
State Government,SA Water,2024-25,61
State Government,SA Water,2023-24,46
State Government,SA Water,2022-23,39
State Government,SA Water,2021-22,11
State Government,SA Water,2020-21,17
State Government,SA Water,2019-20,29
State Government,SA Water,2018-19,25
State Government,SA Water,2016-17,73
State Government,SA Water,2015-16,75
State Government,SA Water,2014-15,46
State Government,SA Water,2013-14,45
State Government,SA Water,2012-13,98
State Government,SA Water,2011-12,66
State Government,SACE Board of South Australia,2024-25,7
State Government,SACE Board of South Australia,2023-24,22
State Government,SACE Board of South Australia,2022-23,3
State Government,SACE Board of South Australia,2021-22,7
State Government,SACE Board of South Australia,2020-21,0
State Government,SACE Board of South Australia,2019-20,1
State Government,SACE Board of South Australia,2018-19,1907
State Government,SACE Board of South Australia,2016-17,1
State Government,SACE Board of South Australia,2015-16,4
State Government,SACE Board of South Australia,2014-15,1
State Government,SACE Board of South Australia,2013-14,6
State Government,SACE Board of South Australia,2012-13,4
State Government,Screening Unit,2021-22,3
State Government,South Australia Police,2024-25,3443
State Government,South Australia Police,2023-24,2690
State Government,South Australia Police,2022-23,2726
State Government,South Australia Police,2021-22,2305
State Government,South Australia Police,2020-21,2366
State Government,South Australia Police,2019-20,2232
State Government,South Australia Police,2018-19,1
State Government,South Australia Police,2016-17,1923
State Government,South Australia Police,2015-16,2110
State Government,South Australia Police,2014-15,1986
State Government,South Australia Police,2013-14,1940
State Government,South Australia Police,2012-13,2057
State Government,South Australia Police,2011-12,2095
