table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2018-19,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NT,27
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2018-19,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Aust,650
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NSW,5
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Vic,0
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Qld,509
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,WA,144
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,31
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Tas,7
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,ACT,77
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NT,24
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Aust,797
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NSW,56
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Vic,0
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Qld,540
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,WA,90
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,40
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Tas,6
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,ACT,58
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NT,18
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Aust,809
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NSW,205
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Vic,0
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Qld,44
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,WA,549
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,55
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Tas,0
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,ACT,59
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NT,21
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Aust,934
