table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,40
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,55
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5033
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2023-24,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5012
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2022-23,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5512
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5182
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5510
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5068
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2018-19,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5970
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5282
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,4128
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,4316
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Pending case load,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2635
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,1040
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Australian state and territory court authorities and departments (unpublished),no.,SA,511
