date,location,unemployment_rate_trend_pct,unemployment_rate_seasonally_adjusted_pct,unemployment_rate_original_pct
1981-07,Queensland,5.726988,5.8989353,5.580893
1981-07,South Australia,7.8232345,8.3468059,8.0736035
1981-07,Tasmania,6.94919,7.7014132,7.3462918
1981-07,Victoria,5.5982353,5.6376804,5.3676654
1981-07,Western Australia,5.9305718,5.5950783,5.5042408
1981-08,Australia,5.7783716,5.846042,5.6176565
1981-08,Australian Capital Territory,6.0216346,,5.5841133
1981-08,New South Wales,5.0926212,5.0338167,4.8004846
1981-08,Northern Territory,4.8348855,,3.0403361
1981-08,Queensland,5.7587357,6.1911466,5.7654995
1981-08,South Australia,7.8684316,7.9431173,7.9998963
1981-08,Tasmania,7.1391679,7.4078296,7.2434788
1981-08,Victoria,5.6187436,5.8195935,5.5258406
1981-08,Western Australia,6.0704846,6.2128055,6.2042705
1981-09,Australia,5.8453362,5.8119023,5.7123237
1981-09,Australian Capital Territory,5.9626514,,6.1856311
1981-09,New South Wales,5.1984732,5.1250364,5.0053355
1981-09,Northern Territory,4.8506006,,2.4693223
1981-09,Queensland,5.7995951,5.7125666,5.3665726
1981-09,South Australia,7.9178009,7.5796639,7.7726202
1981-09,Tasmania,7.3527691,7.1555369,7.0240461
1981-09,Victoria,5.629168,5.8396391,5.8666596
1981-09,Western Australia,6.2432538,6.556857,6.3936653
1981-10,Australia,5.9086774,5.8724366,5.4841132
1981-10,Australian Capital Territory,5.9072111,,4.623499
1981-10,New South Wales,5.3242837,5.2619332,4.9454316
1981-10,Northern Territory,4.8937896,,4.8202744
1981-10,Queensland,5.8498447,6.0782828,5.3687794
1981-10,South Australia,7.9629131,8.1993445,8.1045458
1981-10,Tasmania,7.5847615,7.3657491,7.0498726
1981-10,Victoria,5.6334376,5.496483,5.2182445
1981-10,Western Australia,6.4290472,6.1404349,5.6941734
1981-11,Australia,5.9683046,5.9951572,5.5082058
1981-11,Australian Capital Territory,5.8820287,,4.4579876
1981-11,New South Wales,5.453425,5.6878878,5.3308195
1981-11,Northern Territory,4.9753372,,6.3710258
1981-11,Queensland,5.8868153,5.8169096,5.1320237
1981-11,South Australia,7.9703411,7.9971261,7.5296328
1981-11,Tasmania,7.8274116,7.0600731,6.5668947
1981-11,Victoria,5.6394327,5.5489508,5.0213242
1981-11,Western Australia,6.5995277,6.6142256,6.0412385
1981-12,Australia,6.0323428,6.0268995,6.3009017
1981-12,Australian Capital Territory,5.906834,,6.1042537
1981-12,New South Wales,5.5745275,5.5929228,5.7086923
1981-12,Northern Territory,5.098913,,3.7654637
1981-12,Queensland,5.9041833,6.0436539,6.4445926
1981-12,South Australia,7.9288218,7.9259951,8.0533311
1981-12,Tasmania,8.0803603,8.2634678,9.0128494
1981-12,Victoria,5.6726719,5.598662,5.9027846
1981-12,Western Australia,6.7321557,6.8324675,7.2247914
1982-01,Australia,6.1067813,5.9812822,6.5279931
1982-01,Australian Capital Territory,5.9957544,,6.1583746
1982-01,New South Wales,5.6874331,5.5850118,6.1154704
1982-01,Northern Territory,5.2525274,,4.7660768
1982-01,Queensland,5.9127025,5.9014678,6.6306517
1982-01,South Australia,7.8583045,7.5528824,8.1081311
