lga_code,lga_name,sex,year,population,is_total_row
49399,Unincorporated SA,Persons,2021,3446,False
49399,Unincorporated SA,Persons,2026,3385,False
49399,Unincorporated SA,Persons,2031,3335,False
49399,Unincorporated SA,Persons,2036,3283,False
,TOTAL SOUTH AUSTRALIA,Persons,2016,1712843,True
,TOTAL SOUTH AUSTRALIA,Persons,2021,1778813,True
,TOTAL SOUTH AUSTRALIA,Persons,2026,1851857,True
,TOTAL SOUTH AUSTRALIA,Persons,2031,1921698,True
,TOTAL SOUTH AUSTRALIA,Persons,2036,1986477,True
40070,Adelaide (C),Males,2016,12109,False
40070,Adelaide (C),Males,2021,13798,False
40070,Adelaide (C),Males,2026,15019,False
40070,Adelaide (C),Males,2031,16549,False
40070,Adelaide (C),Males,2036,18248,False
40120,Adelaide Hills (DC),Males,2016,19816,False
40120,Adelaide Hills (DC),Males,2021,19644,False
40120,Adelaide Hills (DC),Males,2026,19522,False
40120,Adelaide Hills (DC),Males,2031,19427,False
40120,Adelaide Hills (DC),Males,2036,19395,False
40150,Adelaide Plains (DC),Males,2016,4638,False
40150,Adelaide Plains (DC),Males,2021,4870,False
40150,Adelaide Plains (DC),Males,2026,4930,False
40150,Adelaide Plains (DC),Males,2031,4986,False
40150,Adelaide Plains (DC),Males,2036,5051,False
40220,Alexandrina (DC),Males,2016,12913,False
40220,Alexandrina (DC),Males,2021,13750,False
40220,Alexandrina (DC),Males,2026,14693,False
40220,Alexandrina (DC),Males,2031,15570,False
40220,Alexandrina (DC),Males,2036,16426,False
40250,Anangu Pitjantjatjara (AC),Males,2016,1193,False
40250,Anangu Pitjantjatjara (AC),Males,2021,1204,False
40250,Anangu Pitjantjatjara (AC),Males,2026,1268,False
40250,Anangu Pitjantjatjara (AC),Males,2031,1300,False
40250,Anangu Pitjantjatjara (AC),Males,2036,1327,False
40310,Barossa (DC),Males,2016,11936,False
40310,Barossa (DC),Males,2021,12687,False
40310,Barossa (DC),Males,2026,13375,False
40310,Barossa (DC),Males,2031,14006,False
40310,Barossa (DC),Males,2036,14529,False
40430,Barunga West (DC),Males,2016,1326,False
40430,Barunga West (DC),Males,2021,1366,False
40430,Barunga West (DC),Males,2026,1408,False
40430,Barunga West (DC),Males,2031,1440,False
40430,Barunga West (DC),Males,2036,1467,False
40520,Berri and Barmera (DC),Males,2016,5416,False
40520,Berri and Barmera (DC),Males,2021,5423,False
40520,Berri and Barmera (DC),Males,2026,5418,False
40520,Berri and Barmera (DC),Males,2031,5385,False
40520,Berri and Barmera (DC),Males,2036,5337,False
40700,Burnside (C),Males,2016,21508,False
40700,Burnside (C),Males,2021,21866,False
40700,Burnside (C),Males,2026,22498,False
40700,Burnside (C),Males,2031,22854,False
40700,Burnside (C),Males,2036,23129,False
40910,Campbelltown (C) (SA),Males,2016,24968,False
40910,Campbelltown (C) (SA),Males,2021,25852,False
40910,Campbelltown (C) (SA),Males,2026,26735,False
40910,Campbelltown (C) (SA),Males,2031,27593,False
40910,Campbelltown (C) (SA),Males,2036,28342,False
41010,Ceduna (DC),Males,2016,1794,False
41010,Ceduna (DC),Males,2021,1766,False
41010,Ceduna (DC),Males,2026,1760,False
41010,Ceduna (DC),Males,2031,1755,False
41010,Ceduna (DC),Males,2036,1746,False
41060,Charles Sturt (C),Males,2016,56572,False
41060,Charles Sturt (C),Males,2021,59533,False
41060,Charles Sturt (C),Males,2026,62135,False
41060,Charles Sturt (C),Males,2031,64819,False
41060,Charles Sturt (C),Males,2036,67925,False
41140,Clare and Gilbert Valleys (DC),Males,2016,4600,False
41140,Clare and Gilbert Valleys (DC),Males,2021,4804,False
41140,Clare and Gilbert Valleys (DC),Males,2026,5003,False
41140,Clare and Gilbert Valleys (DC),Males,2031,5175,False
41140,Clare and Gilbert Valleys (DC),Males,2036,5310,False
41190,Cleve (DC),Males,2016,950,False
41190,Cleve (DC),Males,2021,946,False
41190,Cleve (DC),Males,2026,942,False
41190,Cleve (DC),Males,2031,934,False
41190,Cleve (DC),Males,2036,928,False
41330,Coober Pedy (DC),Males,2016,967,False
41330,Coober Pedy (DC),Males,2021,958,False
41330,Coober Pedy (DC),Males,2026,944,False
41330,Coober Pedy (DC),Males,2031,924,False
41330,Coober Pedy (DC),Males,2036,904,False
41560,Copper Coast (DC),Males,2016,7204,False
41560,Copper Coast (DC),Males,2021,7714,False
41560,Copper Coast (DC),Males,2026,8230,False
41560,Copper Coast (DC),Males,2031,8699,False
41560,Copper Coast (DC),Males,2036,9098,False
41750,Elliston (DC),Males,2016,555,False
41750,Elliston (DC),Males,2021,548,False
41750,Elliston (DC),Males,2026,542,False
41750,Elliston (DC),Males,2031,535,False
41750,Elliston (DC),Males,2036,527,False
41830,Flinders Ranges (DC),Males,2016,871,False
41830,Flinders Ranges (DC),Males,2021,880,False
41830,Flinders Ranges (DC),Males,2026,873,False
41830,Flinders Ranges (DC),Males,2031,868,False
41830,Flinders Ranges (DC),Males,2036,859,False
41960,Franklin Harbour (DC),Males,2016,698,False
41960,Franklin Harbour (DC),Males,2021,696,False
41960,Franklin Harbour (DC),Males,2026,694,False
41960,Franklin Harbour (DC),Males,2031,682,False
41960,Franklin Harbour (DC),Males,2036,667,False
42030,Gawler (T),Males,2016,11361,False
42030,Gawler (T),Males,2021,13173,False
42030,Gawler (T),Males,2026,14831,False
42030,Gawler (T),Males,2031,16651,False
42030,Gawler (T),Males,2036,18502,False
42110,Goyder (DC),Males,2016,2128,False
42110,Goyder (DC),Males,2021,2142,False
42110,Goyder (DC),Males,2026,2177,False
42110,Goyder (DC),Males,2031,2195,False
42110,Goyder (DC),Males,2036,2201,False
42250,Grant (DC),Males,2016,4571,False
42250,Grant (DC),Males,2021,4541,False
42250,Grant (DC),Males,2026,4583,False
42250,Grant (DC),Males,2031,4633,False
42250,Grant (DC),Males,2036,4675,False
42600,Holdfast Bay (C),Males,2016,17543,False
42600,Holdfast Bay (C),Males,2021,17964,False
42600,Holdfast Bay (C),Males,2026,18307,False
42600,Holdfast Bay (C),Males,2031,18703,False
42600,Holdfast Bay (C),Males,2036,18933,False
42750,Kangaroo Island (DC),Males,2016,2474,False
42750,Kangaroo Island (DC),Males,2021,2556,False
42750,Kangaroo Island (DC),Males,2026,2636,False
42750,Kangaroo Island (DC),Males,2031,2709,False
42750,Kangaroo Island (DC),Males,2036,2784,False
43080,Karoonda East Murray (DC),Males,2016,575,False
43080,Karoonda East Murray (DC),Males,2021,576,False
43080,Karoonda East Murray (DC),Males,2026,573,False
43080,Karoonda East Murray (DC),Males,2031,568,False
43080,Karoonda East Murray (DC),Males,2036,559,False
43220,Kimba (DC),Males,2016,561,False
43220,Kimba (DC),Males,2021,553,False
43220,Kimba (DC),Males,2026,528,False
43220,Kimba (DC),Males,2031,519,False
43220,Kimba (DC),Males,2036,511,False
43360,Kingston (DC) (SA),Males,2016,1255,False
43360,Kingston (DC) (SA),Males,2021,1261,False
43360,Kingston (DC) (SA),Males,2026,1265,False
43360,Kingston (DC) (SA),Males,2031,1273,False
43360,Kingston (DC) (SA),Males,2036,1279,False
43650,Light (RegC),Males,2016,7547,False
43650,Light (RegC),Males,2021,8042,False
43650,Light (RegC),Males,2026,8624,False
43650,Light (RegC),Males,2031,9228,False
43650,Light (RegC),Males,2036,9806,False
43710,Lower Eyre Peninsula (DC),Males,2016,2860,False
43710,Lower Eyre Peninsula (DC),Males,2021,2903,False
43710,Lower Eyre Peninsula (DC),Males,2026,2966,False
43710,Lower Eyre Peninsula (DC),Males,2031,2992,False
43710,Lower Eyre Peninsula (DC),Males,2036,3013,False
43790,Loxton Waikerie (DC),Males,2016,5965,False
43790,Loxton Waikerie (DC),Males,2021,6001,False
43790,Loxton Waikerie (DC),Males,2026,6023,False
43790,Loxton Waikerie (DC),Males,2031,6030,False
43790,Loxton Waikerie (DC),Males,2036,6013,False
44000,Maralinga Tjarutja (AC),Males,2016,35,False
44000,Maralinga Tjarutja (AC),Males,2021,35,False
44000,Maralinga Tjarutja (AC),Males,2026,35,False
44000,Maralinga Tjarutja (AC),Males,2031,35,False
44000,Maralinga Tjarutja (AC),Males,2036,35,False
44060,Marion (C),Males,2016,43787,False
44060,Marion (C),Males,2021,46435,False
44060,Marion (C),Males,2026,48748,False
44060,Marion (C),Males,2031,50917,False
44060,Marion (C),Males,2036,51946,False
44210,Mid Murray (DC),Males,2016,4603,False
44210,Mid Murray (DC),Males,2021,4701,False
44210,Mid Murray (DC),Males,2026,4821,False
44210,Mid Murray (DC),Males,2031,4912,False
44210,Mid Murray (DC),Males,2036,4973,False
