table,table_title,financial_year,row_group,row_label,column,value
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,02 Assault,5368
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,03 Sexual offences,1183
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,04 Harm or endanger persons,281
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,"05 Robbery, blackmail, and extortion",310
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,06 Burglary,1048
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,07 Theft,2503
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,08 Fraud and related offences,415
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,09 Drug offences,1983
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,10 Weapons and explosives offences,1453
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,11 Property damage,984
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,"12 Public order, health, and safety offences",1138
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,13 Traffic and vehicle offences,9169
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,14 Offences against justice procedures and orders,2091
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,15 Offences against government,145
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,16 Environmental offences,81
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,17 Miscellaneous offences,32
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,Total,28250
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,01 Homicide,24
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,02 Assault,807
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,03 Sexual offences,218
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,04 Harm or endanger persons,40
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,"05 Robbery, blackmail, and extortion",58
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,06 Burglary,292
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,07 Theft,568
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,08 Fraud and related offences,75
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,09 Drug offences,179
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,10 Weapons and explosives offences,337
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,11 Property damage,181
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,"12 Public order, health, and safety offences",364
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,13 Traffic and vehicle offences,269
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,14 Offences against justice procedures and orders,590
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,15 Offences against government,9
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,16 Environmental offences,9
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,17 Miscellaneous offences,3
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Custody in a correctional institution,Total,4024
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Intensive penalty in the community,01 Homicide,0
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Intensive penalty in the community,02 Assault,251
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Intensive penalty in the community,03 Sexual offences,37
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Intensive penalty in the community,04 Harm or endanger persons,15
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Intensive penalty in the community,"05 Robbery, blackmail, and extortion",19
