table,table_title,financial_year,row_group,row_label,column,value
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,08 Fraud and related offences,10
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,09 Drug offences,266
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,10 Weapons and explosives offences,69
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,11 Property damage,22
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,"12 Public order, health, and safety offences",5
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,13 Traffic and vehicle offences,18
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,14 Offences against justice procedures and orders,35
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,15 Offences against government,0
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,16 Environmental offences,0
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,17 Miscellaneous offences,0
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,Total,1222
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,01 Homicide,8
