table,table_title,section,row_group,row_label,column,value
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,10 Weapons and explosives offences,Under 3 months - (no.),376
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,10 Weapons and explosives offences,3 to under 6 months - (no.),346
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,10 Weapons and explosives offences,6 to under 12 months - (no.),342
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,10 Weapons and explosives offences,1 to under 2 years - (no.),250
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,10 Weapons and explosives offences,2 years & over - (no.),35
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,10 Weapons and explosives offences,No further penalty due to time spent in custody - (no.),241
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,10 Weapons and explosives offences,Total - (no.),1598
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,10 Weapons and explosives offences,Mean - (months),6.7
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,10 Weapons and explosives offences,Median - (months),5
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,11 Property damage,Under 3 months - (no.),305
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,11 Property damage,3 to under 6 months - (no.),246
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,11 Property damage,6 to under 12 months - (no.),268
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,11 Property damage,1 to under 2 years - (no.),81
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,11 Property damage,2 years & over - (no.),10
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,11 Property damage,No further penalty due to time spent in custody - (no.),135
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,11 Property damage,Total - (no.),1047
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,11 Property damage,Mean - (months),5.2
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,11 Property damage,Median - (months),4
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,111 Arson,Under 3 months - (no.),8
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,111 Arson,3 to under 6 months - (no.),10
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,111 Arson,6 to under 12 months - (no.),20
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,111 Arson,1 to under 2 years - (no.),35
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,111 Arson,2 years & over - (no.),7
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,111 Arson,No further penalty due to time spent in custody - (no.),0
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,111 Arson,Total - (no.),86
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,111 Arson,Mean - (months),10.9
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,111 Arson,Median - (months),10.4
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,112 Damage or destroy property,Under 3 months - (no.),295
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,112 Damage or destroy property,3 to under 6 months - (no.),230
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,112 Damage or destroy property,6 to under 12 months - (no.),246
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,112 Damage or destroy property,1 to under 2 years - (no.),46
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,112 Damage or destroy property,2 years & over - (no.),3
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,112 Damage or destroy property,No further penalty due to time spent in custody - (no.),133
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,112 Damage or destroy property,Total - (no.),956
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,112 Damage or destroy property,Mean - (months),4.6
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,112 Damage or destroy property,Median - (months),3
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"12 Public order, health, and safety offences",Under 3 months - (no.),187
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"12 Public order, health, and safety offences",3 to under 6 months - (no.),158
