table,table_title,section,row_group,row_label,column,value
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,091 International drug trafficking,Acquitted,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,091 International drug trafficking,Guilty outcome,5
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,091 International drug trafficking,Total adjudicated,5
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,091 International drug trafficking,Transfer to other court levels,12
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,091 International drug trafficking,Withdrawn by prosecution,6
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,091 International drug trafficking,Total,26
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,092 Distribute or deal drugs,Acquitted,58
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,092 Distribute or deal drugs,Guilty outcome,240
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,092 Distribute or deal drugs,Total adjudicated,300
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,092 Distribute or deal drugs,Transfer to other court levels,235
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,092 Distribute or deal drugs,Withdrawn by prosecution,236
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,092 Distribute or deal drugs,Total,767
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,093 Manufacture or cultivate drugs,Acquitted,14
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,093 Manufacture or cultivate drugs,Guilty outcome,241
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,093 Manufacture or cultivate drugs,Total adjudicated,252
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,093 Manufacture or cultivate drugs,Transfer to other court levels,19
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,093 Manufacture or cultivate drugs,Withdrawn by prosecution,50
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,093 Manufacture or cultivate drugs,Total,323
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,094 Unlawful possession or use of drugs,Acquitted,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,094 Unlawful possession or use of drugs,Guilty outcome,942
