state,venue_or_event_type,measure,value
NSW,Live music concerts or performances,rse_pct,3.8
Vic.,Live music concerts or performances,rse_pct,4.6
Qld,Live music concerts or performances,rse_pct,4.3
SA,Live music concerts or performances,rse_pct,5.1
WA,Live music concerts or performances,rse_pct,4.7
Tas.,Live music concerts or performances,rse_pct,3.8
NT,Live music concerts or performances,rse_pct,8.6
ACT,Live music concerts or performances,rse_pct,11.1
Australia,Live music concerts or performances,rse_pct,1.9
NSW,Musicals or operas,rse_pct,5.3
Vic.,Musicals or operas,rse_pct,5.8
Qld,Musicals or operas,rse_pct,7
SA,Musicals or operas,rse_pct,9.7
WA,Musicals or operas,rse_pct,7.7
Tas.,Musicals or operas,rse_pct,10.2
NT,Musicals or operas,rse_pct,20.1
ACT,Musicals or operas,rse_pct,11.6
Australia,Musicals or operas,rse_pct,2.1
NSW,Theatre performances,rse_pct,5.3
Vic.,Theatre performances,rse_pct,6.8
Qld,Theatre performances,rse_pct,6.9
SA,Theatre performances,rse_pct,6.6
WA,Theatre performances,rse_pct,7.4
Tas.,Theatre performances,rse_pct,7.8
NT,Theatre performances,rse_pct,16
ACT,Theatre performances,rse_pct,16.7
Australia,Theatre performances,rse_pct,2.6
NSW,Dance performances,rse_pct,8.1
Vic.,Dance performances,rse_pct,10.4
Qld,Dance performances,rse_pct,6.9
SA,Dance performances,rse_pct,7.4
WA,Dance performances,rse_pct,7.8
Tas.,Dance performances,rse_pct,10
NT,Dance performances,rse_pct,13.1
ACT,Dance performances,rse_pct,16.2
Australia,Dance performances,rse_pct,3.5
NSW,Other performing arts,rse_pct,5.7
Vic.,Other performing arts,rse_pct,8.2
Qld,Other performing arts,rse_pct,7.1
SA,Other performing arts,rse_pct,6.6
WA,Other performing arts,rse_pct,6.8
Tas.,Other performing arts,rse_pct,6.6
NT,Other performing arts,rse_pct,9.2
ACT,Other performing arts,rse_pct,13.2
Australia,Other performing arts,rse_pct,3.1
NSW,Total attending at least one performing arts event,rse_pct,2.4
Vic.,Total attending at least one performing arts event,rse_pct,3.5
Qld,Total attending at least one performing arts event,rse_pct,2.9
SA,Total attending at least one performing arts event,rse_pct,3.2
WA,Total attending at least one performing arts event,rse_pct,3.1
Tas.,Total attending at least one performing arts event,rse_pct,3
NT,Total attending at least one performing arts event,rse_pct,5.4
ACT,Total attending at least one performing arts event,rse_pct,6.8
Australia,Total attending at least one performing arts event,rse_pct,1.2
NSW,Total attending at least one venue or event,rse_pct,1.2
Vic.,Total attending at least one venue or event,rse_pct,1.3
Qld,Total attending at least one venue or event,rse_pct,1.6
SA,Total attending at least one venue or event,rse_pct,1.4
WA,Total attending at least one venue or event,rse_pct,1.4
Tas.,Total attending at least one venue or event,rse_pct,2
NT,Total attending at least one venue or event,rse_pct,2.9
ACT,Total attending at least one venue or event,rse_pct,2.9
Australia,Total attending at least one venue or event,rse_pct,0.6
NSW,Total population aged 15 years and over,rse_pct,0
Vic.,Total population aged 15 years and over,rse_pct,0
Qld,Total population aged 15 years and over,rse_pct,0.1
SA,Total population aged 15 years and over,rse_pct,0.1
WA,Total population aged 15 years and over,rse_pct,0.1
Tas.,Total population aged 15 years and over,rse_pct,0.1
NT,Total population aged 15 years and over,rse_pct,0.2
ACT,Total population aged 15 years and over,rse_pct,0.2
Australia,Total population aged 15 years and over,rse_pct,0
NSW,Libraries or archives,margin_of_error_pct_points,1.2
Vic.,Libraries or archives,margin_of_error_pct_points,1.3
Qld,Libraries or archives,margin_of_error_pct_points,1.1
SA,Libraries or archives,margin_of_error_pct_points,2
WA,Libraries or archives,margin_of_error_pct_points,1.7
Tas.,Libraries or archives,margin_of_error_pct_points,1.9
NT,Libraries or archives,margin_of_error_pct_points,4.1
ACT,Libraries or archives,margin_of_error_pct_points,3.4
Australia,Libraries or archives,margin_of_error_pct_points,0.6
NSW,Art galleries,margin_of_error_pct_points,1.1
Vic.,Art galleries,margin_of_error_pct_points,1.6
Qld,Art galleries,margin_of_error_pct_points,1.6
