surname,given_names,ballot_paper_surname,ballot_paper_given_names,council,position_contested,ward_name,position_on_ballot,standing_for_reelection,political_party_membership,elected_status
Ghent,Stuart,GHENT,Stuart,Charles Sturt,Ward Councillor,Semaphore Park ward,3,Yes,,Elected
Le Lacheur,Nicholas Jacques,LE LACHEUR,Nicholas ,Charles Sturt,Ward Councillor,Semaphore Park ward,1,No,,Elected
Wakefield,Dulin,WAKEFIELD,Dulin,Charles Sturt,Ward Councillor,Semaphore Park ward,2,No,,Not elected
Mazeika,Nicole Marie,MAZEIKA ,Nicole,Charles Sturt,Ward Councillor,West Woodville ward,3,No,,Elected
Meschino,Carlo,MESCHINO,Carlo,Charles Sturt,Ward Councillor,West Woodville ward,1,No,,Not elected
Thomas,Kelly Diane,THOMAS,Kelly ,Charles Sturt,Ward Councillor,West Woodville ward,2,No,,Elected
Chidambaranathan,Senthil Rajan,CHIDAMBARANATHAN,Senthil,Charles Sturt,Ward Councillor,Woodville ward,1,No,Australian Labor Party (South Australian Branch),Elected
Rawson,Terry,RAWSON,Terry,Charles Sturt,Ward Councillor,Woodville ward,3,No,,Not elected
Rix,Shane Mark,RIX,Shane,Charles Sturt,Ward Councillor,Woodville ward,4,No,Liberal Party of Australia (SA Division),Not elected
Tran,Khuyen Kim,TRAN,Khuyen (Quin),Charles Sturt,Ward Councillor,Woodville ward,2,No,,Elected
Alder,Ann Bronwen,ALDER,Ann,Clare & Gilbert Valleys,Area Councillor,,1,Yes,,Elected
Bartholomaeus,Malcolm,BARTHOLOMAEUS,Malcolm Kingsley,Clare & Gilbert Valleys,Area Councillor,,5,Yes,Liberal Party of Australia (SA Division),Elected
Bruhn,Leon James,BRUHN,Leon James,Clare & Gilbert Valleys,Area Councillor,,8,Yes,,Elected
Burfitt,Ian Lindsay,BURFITT,Ian,Clare & Gilbert Valleys,Area Councillor,,2,Yes,,Elected
Calvert,Elizabeth,CALVERT,Elizabeth,Clare & Gilbert Valleys,Area Councillor,,10,Yes,,Elected
Furler,Tania Jane,FURLER,Tania,Clare & Gilbert Valleys,Area Councillor,,7,No,Liberal Party of Australia (SA Division),Elected
Koch,Brian Ralph,KOCH,Brian ,Clare & Gilbert Valleys,Area Councillor,,3,Yes,Liberal Party of Australia (SA Division),Elected
Naughton,Jeannine Ann,NAUGHTON,Jeannine,Clare & Gilbert Valleys,Area Councillor,,6,No,,Elected
Perry,Owen Candahar,PERRY,Owen,Clare & Gilbert Valleys,Area Councillor,,9,No,,Not elected
Willson,David Owen,WILLSON,David ,Clare & Gilbert Valleys,Area Councillor,,4,Yes,,Elected
Aughey,Allan Robert,AUGHEY,Allan ,Clare & Gilbert Valleys,Mayor,,3,No,,Elected
Perry,Helen,PERRY,Helen,Clare & Gilbert Valleys,Mayor,,1,No,,Not elected
Thomas,Wayne Michael,THOMAS,Wayne,Clare & Gilbert Valleys,Mayor,,2,Yes,,Not elected
Cameron,Philip John,CAMERON,Phil,Cleve,Area Councillor,,10,Yes,,Elected
Claughton,Gregory,CLAUGHTON,Greg,Cleve,Area Councillor,,4,No,,Elected
Emans,Jacob Hendrikus,EMANS,Jake,Cleve,Area Councillor,,7,No,,Elected
Fennell,Grant Andrew,FENNELL,Grant Andrew,Cleve,Area Councillor,,11,Yes,,Elected
Quinn,Robert Michael,QUINN,Robert,Cleve,Area Councillor,,6,Yes,,Elected
Rayson,Colin Arthur,RAYSON,Colin,Cleve,Area Councillor,,8,Yes,,Not elected
Richardson,Kelly Ann,RICHARDSON,Kelly ,Cleve,Area Councillor,,1,No,,Elected
Siviour,Grantley Mason,SIVIOUR,Grantley,Cleve,Area Councillor,,5,No,National Party of Australia (SA) Inc,Not elected
Tarran,Christopher Raymond,TARRAN,Chris,Cleve,Area Councillor,,3,Yes,,Not elected
Trigg,Bryan,TRIGG,Bryan,Cleve,Area Councillor,,9,Yes,,Elected
Wetherall,Julie Ann,WETHERALL,Julie,Cleve,Area Councillor,,2,No,,Not elected
Arthur,Jeffrey James,ARTHUR,Jeffrey (Tank),Coorong,Area Councillor,,7,Yes,,Elected
Barrie,Julie,BARRIE,Julie,Coorong,Area Councillor,,5,No,,Not elected
Bell,Thomas Geoffrey,BELL,Geoff,Coorong,Area Councillor,,9,No,,Not elected
Bland,Sharon,BLAND,Sharon,Coorong,Area Councillor,,4,Yes,,Elected
Connolly,Terence Alfred,CONNOLLY,Terry,Coorong,Area Councillor,,15,No,,Not elected
Denmeade,Wendy,DENMEADE,Wendy,Coorong,Area Councillor,,10,No,,Not elected
Leng,Vernon Arthur,LENG,Vern,Coorong,Area Councillor,,14,Yes,,Not elected
Maidment,Ruth,MAIDMENT,Ruth ,Coorong,Area Councillor,,11,No,,Elected
Middleton,Donna-Marie,MIDDLETON,Donna-marie,Coorong,Area Councillor,,6,No,,Not elected
O'Hara,Michael Shane,O'HARA,Mick,Coorong,Area Councillor,,8,No,,Elected
Pietzsch,Jonathan James,PIETZSCH,Jonathan ,Coorong,Area Councillor,,1,No,National Party of Australia (SA) Inc,Elected
Qualmann,Brenton David,QUALMANN,Brenton David,Coorong,Area Councillor,,12,Yes,,Elected
Rowntree,Lisa,ROWNTREE,Lisa,Coorong,Area Councillor,,2,Yes,,Elected
Seidel,David Michael,SEIDEL,David,Coorong,Area Councillor,,3,No,,Not elected
Taylor,Glynis Ann,TAYLOR,Glynis Ann,Coorong,Area Councillor,,13,Yes,Liberal Party of Australia (SA Division),Not elected
Hillam,Rosa,HILLAM,Rosa,Coorong,Mayor,,3,No,Australian Greens SA,Not elected
Jaensch,Neville Ross,JAENSCH,Neville ,Coorong,Mayor,,1,Yes,Liberal Party of Australia (SA Division),Not elected
Simmons,Paul Edward,SIMMONS,Paul ,Coorong,Mayor,,2,Yes,Liberal Party of Australia (SA Division),Elected
Male,Andrew Scott,MALE,Andrew,Copper Coast,Area Councillor,,,No,,Elected unopposed
Oswald,Peter James,OSWALD,Peter,Copper Coast,Area Councillor,,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Paddick,Sandra Marie,PADDICK,Sandra,Copper Coast,Area Councillor,,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Sawley,Neil Lyndon,SAWLEY,Neil,Copper Coast,Area Councillor,,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Schmidt,Harold Bruce,SCHMIDT,Bruce,Copper Coast,Area Councillor,,,Yes,,Elected unopposed
Sims,Peter Anthony,SIMS,Peter,Copper Coast,Area Councillor,,,Yes,,Elected unopposed
Vluggen,Catherine Elizabeth,VLUGGEN,Catherine Elizabeth,Copper Coast,Area Councillor,,,Yes,,Elected unopposed
Walker,Brent James,WALKER,Brent,Copper Coast,Area Councillor,,,Yes,,Elected unopposed
Talbot,Roslyn Joyce,TALBOT,Roslyn,Copper Coast,Mayor,,,Yes,,Elected unopposed
Custance,Tony,CUSTANCE,Tony,Elliston,Area Councillor,,1,No,,Elected
Dolphin,Anthony Ronald,DOLPHIN,Anthony,Elliston,Area Councillor,,6,No,,Not elected
Hancock,Malcolm,HANCOCK,Malcolm,Elliston,Area Councillor,,10,Yes,,Elected
Hitchcock,Peter William,HITCHCOCK,Peter,Elliston,Area Councillor,,4,Yes,,Not elected
Matthews,Fiona Gai,MATTHEWS,Fiona,Elliston,Area Councillor,,2,No,,Elected
May,Debbie Sue,MAY,Debbie Sue,Elliston,Area Councillor,,7,Yes,,Not elected
Mcleod,Andrew Roderick,MCLEOD,Andrew Roderick,Elliston,Area Councillor,,3,Yes,,Elected
Pickford,Yvonne Allison,PICKFORD,Alison,Elliston,Area Councillor,,11,No,,Elected
Polkinghorne,Andrew Garth,POLKINGHORNE,Andrew,Elliston,Area Councillor,,9,No,,Elected
Traeger,Ashley,TRAEGER,Ashley,Elliston,Area Councillor,,8,No,,Elected
Zerk,Michael Andrew,ZERK,Michael Andrew,Elliston,Area Councillor,,5,No,,Elected
Carpenter,Ian Henry,CARPENTER,Ian ,Flinders Ranges,Area Councillor,,,Yes,,Elected unopposed
Hipwell,Julian,HIPWELL,Julian,Flinders Ranges,Area Councillor,,,Yes,,Elected unopposed
Hunter,David John,HUNTER,David John,Flinders Ranges,Area Councillor,,,No,,Elected unopposed
Parkinson,Ashley J,PARKINSON,Ashley J.,Flinders Ranges,Area Councillor,,,Yes,,Elected unopposed
Reynolds,Patricia,REYNOLDS,Patsy,Flinders Ranges,Area Councillor,,,Yes,,Elected unopposed
Ryks-Jones,Clinton Andrew,RYKS-JONES ,Clinton Andrew,Flinders Ranges,Area Councillor,,,No,,Elected unopposed
Searcy,Angus J,SEARCY,Angus,Flinders Ranges,Area Councillor,,,No,,Elected unopposed
Taylor,Steven,TAYLOR,Steven,Flinders Ranges,Area Councillor,,,Yes,,Elected unopposed
Anderson,Kenneth Paul,ANDERSON,Ken,Flinders Ranges,Mayor,,2,Yes,,Elected
Flint,Gregory David,FLINT,Greg,Flinders Ranges,Mayor,,1,Yes,,Not elected
Baum,Kim,BAUM,Kim,Franklin Harbour,Area Councillor,,8,No,,Elected
Chase,Sue,CHASE,Susan Mary,Franklin Harbour,Area Councillor,,5,No,,Elected
Deer,Rachel Louise,DEER,Rachel,Franklin Harbour,Area Councillor,,9,Yes,Liberal Party of Australia (SA Division),Elected
Giles,Allan Geoffrey,GILES,Geoff,Franklin Harbour,Area Councillor,,1,Yes,,Not elected
Hunt,Muriel Turnbull,HUNT,Muriel Turnbull,Franklin Harbour,Area Councillor,,4,No,,Not elected
Norris,Robert John,NORRIS,Robert John,Franklin Harbour,Area Councillor,,2,No,,Elected
Rehn,Terry Philip,REHN,Terry Philip ,Franklin Harbour,Area Councillor,,3,Yes,,Elected
Wagner,Daven Michael,WAGNER,Daven Michael,Franklin Harbour,Area Councillor,,7,Yes,,Not elected
Walsh,Robert John,WALSH,Robert John,Franklin Harbour,Area Councillor,,6,Yes,Liberal Party of Australia (SA Division),Elected
Bailey,Shane Peter,BAILEY,Shane,Gawler,Area Councillor,,12,No,,Not elected
Brunt,Karen Patricia,BRUNT,Karen,Gawler,Area Councillor,,17,No,,Not elected
Carmody,Helene,CARMODY,Helene,Gawler,Area Councillor,,11,No,,Not elected
Davies,Cody,DAVIES,Cody,Gawler,Area Councillor,,2,Yes,Australian Labor Party (South Australian Branch),Elected
Dornford,Brent Paul,DORNFORD,Brent,Gawler,Area Councillor,,7,No,,Not elected
Drummond,Louise,DRUMMOND,Louise,Gawler,Area Councillor,,4,No,,Not elected
Fischer,Wayne Ross,FISCHER,Wayne,Gawler,Area Councillor,,21,No,,Not elected
Goldstone,Kelvin Leigh,GOLDSTONE,Kelvin,Gawler,Area Councillor,,16,Yes,,Not elected
Hennessy,Helen Elizabeth,HENNESSY,Helen Elizabeth,Gawler,Area Councillor,,3,No,,Elected
Hughes,David,HUGHES,David,Gawler,Area Councillor,,6,Yes,,Elected
Koch,Paul John,KOCH,Paul,Gawler,Area Councillor,,10,Yes,,Elected
Launer,Michael Craig,LAUNER,Mick,Gawler,Area Councillor,,5,No,,Elected
Millikan,Angus Alexander,MILLIKAN,Angus Alexander,Gawler,Area Councillor,,8,No,,Not elected
Modra,Thomas Paul,MODRA,Tom,Gawler,Area Councillor,,9,No,,Not elected
Sambell,Brian Donald,SAMBELL,Brian ,Gawler,Area Councillor,,13,Yes,,Elected
Shanks,Nathan,SHANKS,Nathan ,Gawler,Area Councillor,,23,Yes,,Elected
Shetler,Sam,SHETLER,Sam,Gawler,Area Councillor,,22,No,,Not elected
Smith,Lorina,SMITH,Lori,Gawler,Area Councillor,,14,No,,Not elected
Solomon,Isaac Daryll,SOLOMON,Isaac,Gawler,Area Councillor,,1,No,Australian Labor Party (South Australian Branch),Elected
Vallelonga,Vincenzo,VALLELONGA,Jim,Gawler,Area Councillor,,20,Yes,,Elected
Wardrop,Colin Victor,WARDROP,Colin,Gawler,Area Councillor,,18,No,,Not elected
White,Ethan James,WHITE,Ethan,Gawler,Area Councillor,,15,No,,Elected
Wright,Kellie,WRIGHT,Kellie,Gawler,Area Councillor,,19,No,,Not elected
Bolton,John William,BOLTON,John,Gawler,Mayor,,4,No,,Not elected
Little,Paul Robert,LITTLE,Paul,Gawler,Mayor,,1,Yes,,Not elected
Redman,Karen Aileen,REDMAN,Karen ,Gawler,Mayor,,3,Yes,,Elected
Tooley,Ian,TOOLEY,Ian,Gawler,Mayor,,2,No,,Not elected
Gebhardt,William Donald,GEBHARDT,Bill,Goyder,Ward Councillor,Burra ward,4,Yes,Liberal Party of Australia (SA Division),Elected
Hill,Jane Marie,HILL,Jane,Goyder,Ward Councillor,Burra ward,2,No,,Elected
Hirschausen,Jeffrey,HIRSCHAUSEN,Jeffrey Michael,Goyder,Ward Councillor,Burra ward,1,No,,Not elected
Loftes,Jenny,LOFTES,Jenny,Goyder,Ward Councillor,Burra ward,7,No,,Not elected
Oates,John,OATES,John,Goyder,Ward Councillor,Burra ward,6,No,,Elected
Selway,Deborah Anne,SELWAY,Deb,Goyder,Ward Councillor,Burra ward,3,No,,Not elected
Skinner,Russell John,SKINNER,Russell John,Goyder,Ward Councillor,Burra ward,5,No,,Not elected
Buddle,Emily,BUDDLE,Emily,Goyder,Ward Councillor,Eudunda ward,2,No,Liberal Party of Australia (SA Division),Not elected
Dabrowski,Robert,DABROWSKI,Bob,Goyder,Ward Councillor,Eudunda ward,4,No,,Not elected
Hibbert,Debbie Bond,HIBBERT,Debbie,Goyder,Ward Councillor,Eudunda ward,3,Yes,,Elected
Partington,Judith Ann,PARTINGTON,Judy,Goyder,Ward Councillor,Eudunda ward,6,No,,Elected
Roberts,Marilyn Joan,ROBERTS,Marilyn ,Goyder,Ward Councillor,Eudunda ward,5,No,,Not elected
Schiller,Peter Milton,SCHILLER,Peter Milton,Goyder,Ward Councillor,Eudunda ward,1,Yes,,Not elected
Brooks,Anthony David,BROOKS,Anthony (Tony),Goyder,Ward Councillor,Hallett ward,3,No,,Elected
Martin,Felicity Judith,MARTIN,Felicity Judith,Goyder,Ward Councillor,Hallett ward,2,No,,Not elected
Perren,David John,PERREN,David ,Goyder,Ward Councillor,Hallett ward,1,No,,Not elected
Neal,John Harvey,NEAL,John Harvey,Goyder,Ward Councillor,Robertstown ward,,Yes,,Elected unopposed
Boston,Kylie Ann,BOSTON,Kylie,Grant,Mayor,,2,Yes,,Elected
Sage,Richard John,SAGE,Richard,Grant,Mayor,,1,Yes,,Not elected
Bain,Bruce  James,BAIN,Bruce James,Grant,Ward Councillor,Central ward,6,Yes,,Elected
Baxendale,Greg,BAXENDALE,Greg,Grant,Ward Councillor,Central ward,1,No,,Not elected
Clarke,Gavin,CLARKE,Gavin,Grant,Ward Councillor,Central ward,7,Yes,,Elected
Dukalskis,Megan,DUKALSKIS,Megan Jane,Grant,Ward Councillor,Central ward,2,Yes,,Elected
Duncan,Peter James,DUNCAN,Peter,Grant,Ward Councillor,Central ward,8,Yes,,Elected
Greene,Katherine Louise,GREENE,Katherine,Grant,Ward Councillor,Central ward,5,No,,Elected
Kuhl,Barry Ross,KUHL,Barry Ross,Grant,Ward Councillor,Central ward,3,Yes,,Elected
Mann,Stanley Bradshaw,MANN,Brad,Grant,Ward Councillor,Central ward,4,Yes,,Elected
Smith,Terry James,SMITH,Terry,Grant,Ward Councillor,Central ward,10,No,,Not elected
Swiggs,David,SWIGGS,David,Grant,Ward Councillor,Central ward,9,No,,Not elected
Clayfield,Gillian (Gill),CLAYFIELD,Gill ,Grant,Ward Councillor,Port MacDonnell ward,1,Yes,,Not elected
Rogers,Kaydee,ROGERS,Kaydee,Grant,Ward Councillor,Port MacDonnell ward,3,No,,Not elected
Virgo,Rodney James,VIRGO,Rodney James,Grant,Ward Councillor,Port MacDonnell ward,2,No,,Elected
Phillips,Valma Simone,PHILLIPS,Valma,Grant,Ward Councillor,Tarpeena ward,1,No,,Not elected
Turnbull,Karen,TURNBULL,Karen,Grant,Ward Councillor,Tarpeena ward,2,No,,Elected
Ferdinands,Trevor Kingsley,FERDINANDS,Kingsley,Holdfast Bay,Mayor,,2,No,,Not elected
Wilson,Amanda Lucy,WILSON,Amanda Lucy,Holdfast Bay,Mayor,,1,Yes,,Elected
Fleming,Jane Mary,FLEMING,Jane Mary,Holdfast Bay,Ward Councillor,Brighton ward,,Yes,,Elected unopposed
Snewin,Robert,SNEWIN,Bob,Holdfast Bay,Ward Councillor,Brighton ward,,Yes,,Elected unopposed
Venning,Anthony John,VENNING,Anthony John,Holdfast Bay,Ward Councillor,Brighton ward,,No,,Elected unopposed
Abley,Rebecca Sue,ABLEY,Rebecca,Holdfast Bay,Ward Councillor,Glenelg ward,2,Yes,,Elected
Campbell,Tom,CAMPBELL,Tom,Holdfast Bay,Ward Councillor,Glenelg ward,7,No,,Not elected
Hol,James Daniel,HOL,James,Holdfast Bay,Ward Councillor,Glenelg ward,6,No,Liberal Democratic Party,Not elected
Kane,Allison,KANE,Allison,Holdfast Bay,Ward Councillor,Glenelg ward,4,No,,Elected
Newman,Tracey,NEWMAN,Tracey,Holdfast Bay,Ward Councillor,Glenelg ward,5,No,Animal Justice Party,Not elected
Patton,Bob,PATTON,Bob,Holdfast Bay,Ward Councillor,Glenelg ward,8,Yes,,Elected
Putric,Justin Mark,PUTRIC,Justin,Holdfast Bay,Ward Councillor,Glenelg ward,3,No,Liberal Party of Australia (SA Division),Not elected
Reimer,Andrew Michael,REIMER ,Andrew Michael ,Holdfast Bay,Ward Councillor,Glenelg ward,1,No,,Not elected
Bradshaw,Annette,BRADSHAW,Annette ,Holdfast Bay,Ward Councillor,Seacliff ward,1,Yes,,Elected
Holtman,Aretta,HOLTMAN,Aretta,Holdfast Bay,Ward Councillor,Seacliff ward,5,No,,Not elected
Lindop,Clare Grace May,LINDOP,Clare,Holdfast Bay,Ward Councillor,Seacliff ward,3,Yes,,Elected
Lonie,Susan,LONIE,Susan,Holdfast Bay,Ward Councillor,Seacliff ward,4,Yes,,Elected
Yates,Lynda Joy,YATES,Lynda,Holdfast Bay,Ward Councillor,Seacliff ward,2,No,,Not elected
Fletcher,Janet Ellen,FLETCHER,Janet,Holdfast Bay,Ward Councillor,Somerton ward,4,Yes,,Not elected
Harrop,Robert,HARROP,Rob,Holdfast Bay,Ward Councillor,Somerton ward,1,No,,Not elected
Looker,Timothy Donald,LOOKER,Tim,Holdfast Bay,Ward Councillor,Somerton ward,2,No,Australian Labor Party (South Australian Branch),Not elected
Miller,William,MILLER,William,Holdfast Bay,Ward Councillor,Somerton ward,3,Yes,Liberal Party of Australia (SA Division),Elected
O'Donohue,Monique,O'DONOHUE,Monique,Holdfast Bay,Ward Councillor,Somerton ward,5,No,,Elected
Smedley,John Michael,SMEDLEY,John Michael,Holdfast Bay,Ward Councillor,Somerton ward,6,Yes,,Elected
Austin,Patricia Ann,AUSTIN,Pat,Kangaroo Island,Area Councillor,,4,No,,Elected
Bates,Veronica June,BATES,Veronica ,Kangaroo Island,Area Councillor,,2,No,,Elected
Chirgwin,Rosalie,CHIRGWIN,Rosalie,Kangaroo Island,Area Councillor,,3,Yes,,Not elected
Cotterill,Richard Thomas,COTTERILL,Richard Thomas,Kangaroo Island,Area Councillor,,7,Yes,,Elected
Gellard,Jeanette Ann,GELLARD,Jeanette,Kangaroo Island,Area Councillor,,1,No,,Elected
Holmes,John,HOLMES,John,Kangaroo Island,Area Councillor,,11,No,,Not elected
Liu,Kin Chou,LIU,Ken,Kangaroo Island,Area Councillor,,6,Yes,,Elected
Miller,Gregory Paul,MILLER,Gregory Paul,Kangaroo Island,Area Councillor,,8,No,,Elected
Mumford,Samuel Arthur,MUMFORD,Sam,Kangaroo Island,Area Councillor,,5,Yes,,Elected
Pledge,Shirley Robyn,PLEDGE,Shirley,Kangaroo Island,Area Councillor,,9,Yes,,Elected
Teasdale,George Robert,TEASDALE,Bob,Kangaroo Island,Area Councillor,,10,Yes,,Elected
Newcomer,James Elliott,NEWCOMER,James,Kangaroo Island,Mayor,,1,No,,Not elected
Pengilly,Michael Redding,PENGILLY,Michael,Kangaroo Island,Mayor,,2,Yes,,Elected
Carter,Chris,CARTER,Chris,Karoonda East Murray,Area Councillor,,8,No,,Not elected
Grosser,Malcolm,GROSSER,Malcolm Paul,Karoonda East Murray,Area Councillor,,5,No,,Not elected
Koch,Natalie Marie,KOCH,Natalie,Karoonda East Murray,Area Councillor,,10,No,,Not elected
Loller,Hannah,LOLLER,Hannah,Karoonda East Murray,Area Councillor,,2,No,,Elected
Martin,Simon James,MARTIN,Simon,Karoonda East Murray,Area Councillor,,11,Yes,,Elected
Norman,Russell Paul,NORMAN,Russell,Karoonda East Murray,Area Councillor,,1,Yes,,Elected
Paay,Gerard,PAAY,Gerry,Karoonda East Murray,Area Councillor,,4,No,,Elected
Siecker,Johanna Wilhelmina,SIECKER,Johanna Wilhelmina,Karoonda East Murray,Area Councillor,,3,No,,Not elected
Smith,Yvonne,SMITH,Yvonne,Karoonda East Murray,Area Councillor,,6,Yes,,Not elected
Turner,Gregory Paul,TURNER,Greg,Karoonda East Murray,Area Councillor,,7,No,,Elected
Zadow,Darren Colin,ZADOW,Darren (Fred),Karoonda East Murray,Area Councillor,,9,Yes,,Elected
Phillips,Caroline Anne,PHILLIPS,Caroline Anne,Karoonda East Murray,Mayor,,,Yes,,Elected unopposed
Cant,Brian Stuart,CANT,Brian Stuart,Kimba,Area Councillor,,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Haskett,James Alexander,HASKETT,Jim,Kimba,Area Councillor,,,Yes,,Elected unopposed
Johnson,Dean,JOHNSON,Dean,Kimba,Area Councillor,,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Lienert,Alison Megan,LIENERT,(Alison) Megan,Kimba,Area Councillor,,,Yes,,Elected unopposed
Rayson,Peter,RAYSON,Peter,Kimba,Area Councillor,,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Scott,Anthony Francis,SCOTT,Anthony Francis,Kimba,Area Councillor,,,No,,Elected unopposed
Armfield,William Roy,ARMFIELD,William ,Kingston,Area Councillor,,7,Yes,,Elected
Charlton,Christopher,CHARLTON,Christopher Donald,Kingston,Area Councillor,,5,No,,Not elected
England,Christopher Edward,ENGLAND,Chris,Kingston,Area Councillor,,8,Yes,Liberal Party of Australia (SA Division),Elected
Harding,Timothy Mark,HARDING,Tim,Kingston,Area Councillor,,9,Yes,,Elected
Koch,Carol Lesley,KOCH,Carol L,Kingston,Area Councillor,,4,No,Liberal Party of Australia (SA Division),Elected
Parkins,James,PARKINS,James,Kingston,Area Councillor,,2,No,,Not elected
Pope,Jeffrey Ian,POPE,Jeff,Kingston,Area Councillor,,1,Yes,,Elected
Rasheed,Fiona Clare,RASHEED,Fiona,Kingston,Area Councillor,,6,No,Liberal Party of Australia (SA Division),Elected
Starling,Allan James,STARLING,James,Kingston,Area Councillor,,3,No,,Elected
Champion,Linda Jane,CHAMPION,Linda,Light,Mayor,,1,No,Pauline Hanson’s One Nation,Not elected
O'Brien,Bill,O'BRIEN,Bill,Light,Mayor,,2,Yes,,Elected
Antonioli,Fabio,ANTONIOLI,Fabio,Light,Ward Councillor,Dutton ward,3,No,,Elected
Goldfinch,Linda Joan,GOLDFINCH,Linda,Light,Ward Councillor,Dutton ward,1,No,,Not elected
Grain,Jason,GRAIN,Jason,Light,Ward Councillor,Dutton ward,6,Yes,,Not elected
Hunter,Catherine Marie,HUNTER,Cate,Light,Ward Councillor,Dutton ward,4,No,,Not elected
Mosley,David Paul,MOSLEY,David Paul,Light,Ward Councillor,Dutton ward,5,Yes,,Not elected
Rohrlach,Kenneth Deane,ROHRLACH,Deane,Light,Ward Councillor,Dutton ward,8,Yes,,Elected
Ross,Colin Campbell,ROSS,Colin,Light,Ward Councillor,Dutton ward,7,No,,Elected
Shannon,David Reginald,SHANNON,David Reginald,Light,Ward Councillor,Dutton ward,2,No,Liberal Party of Australia (SA Division),Not elected
Kennelly,Peter,KENNELLY,Peter,Light,Ward Councillor,Light ward,2,Yes,,Elected
Reichstein,Lynette Elizabeth,REICHSTEIN,Lynette,Light,Ward Councillor,Light ward,1,Yes,,Elected
Ryan,Trevor Francis,RYAN,Trevor,Light,Ward Councillor,Light ward,3,No,,Not elected
Zeller,Simon,ZELLER,Simon,Light,Ward Councillor,Light ward,4,Yes,Australian Greens SA,Elected
Close,William Joseph,CLOSE,Bill,Light,Ward Councillor,Mudla Wirra ward,4,Yes,,Elected
Emery,Alyson,EMERY,Alyson Nicola,Light,Ward Councillor,Mudla Wirra ward,1,No,,Elected
Phillips-Ryder,Michael Arthur,PHILLIPS-RYDER,Michael Arthur,Light,Ward Councillor,Mudla Wirra ward,2,No,Liberal Party of Australia (SA Division),Elected
Smith,Grant Thomas Scott,SMITH,Grant ,Light,Ward Councillor,Mudla Wirra ward,3,No,,Not elected
Margaret,Fahy,FAHY,Margie ,Lower Eyre Peninsula,Area Councillor,,3,No,Australian Labor Party (South Australian Branch),Elected
Howell,Richard Brett,HOWELL,Brett,Lower Eyre Peninsula,Area Councillor,,4,Yes,,Elected
Mitchell,Peter,MITCHELL,Peter Laurence,Lower Eyre Peninsula,Area Councillor,,2,Yes,,Elected
Quigley,Jo-Anne Therese,QUIGLEY,Jo-Anne Therese,Lower Eyre Peninsula,Area Councillor,,6,Yes,Liberal Party of Australia (SA Division),Elected
Taylor,Isaac,TAYLOR,Isaac,Lower Eyre Peninsula,Area Councillor,,1,No,,Elected
Trezise,Neville,TREZISE,Neville ,Lower Eyre Peninsula,Area Councillor,,5,No,,Elected
Wegener,Susanne,WEGENER,Susanne,Lower Eyre Peninsula,Area Councillor,,8,No,,Not elected
Downs-Woolley,Stephen John,WOOLLEY,Steve,Lower Eyre Peninsula,Area Councillor,,7,Yes,,Elected
Altschwager,Sonya Marie,ALTSCHWAGER,Sonya,Loxton Waikerie,Area Councillor,,2,Yes,,Elected
Andrew,Kent Ashley,ANDREW,Kent,Loxton Waikerie,Area Councillor,,6,No,Liberal Party of Australia (SA Division),Elected
Ferber,Craig,FERBER,Craig Francis,Loxton Waikerie,Area Councillor,,1,No,,Elected
Flavel,John Francis,FLAVEL,Jody,Loxton Waikerie,Area Councillor,,8,Yes,,Elected
Fowler,Sonia Jane,FOWLER,Sonia Jane,Loxton Waikerie,Area Councillor,,4,No,,Elected
Hill,Michelle,HILL,Michelle,Loxton Waikerie,Area Councillor,,10,No,Liberal Party of Australia (SA Division),Elected
Light,Ian James,LIGHT,Ian James,Loxton Waikerie,Area Councillor,,3,No,,Elected
Matthews,Clive Andrew,MATTHEWS,Clive Andrew,Loxton Waikerie,Area Councillor,,7,Yes,,Elected
Pfeiler,Gary William,PFEILER,Gary William,Loxton Waikerie,Area Councillor,,5,No,,Elected
Simes,Frances Mary,SIMES,Frances,Loxton Waikerie,Area Councillor,,9,No,,Not elected
Vowles,Michael John,VOWLES,Michael John,Loxton Waikerie,Area Councillor,,12,Yes,Liberal Party of Australia (SA Division),Elected
Webber,Kym Andrew,WEBBER,Kym,Loxton Waikerie,Area Councillor,,13,Yes,,Not elected
Wheeldon,Terry Michael,WHEELDON,Terry Michael,Loxton Waikerie,Area Councillor,,11,Yes,,Not elected
Nicholls,Robert Bruce,NICHOLLS,Bob,Loxton Waikerie,Mayor,,2,No,,Not elected
Norton,Trevor,NORTON,Trevor (Nobby),Loxton Waikerie,Mayor,,1,Yes,,Elected
Hanna,Kris,HANNA,Kris,Marion,Mayor,,3,Yes,,Elected
Hull,Bruce William,HULL,Bruce William,Marion,Mayor,,1,Yes,,Not elected
Midzi,Jaison,MIDZI,Jaison,Marion,Mayor,,2,No,,Not elected
Crossland,Ian,CROSSLAND,Ian,Marion,Ward Councillor,Coastal ward,3,Yes,,Elected
Derer,Blake,DERER,Blake,Marion,Ward Councillor,Coastal ward,4,No,,Not elected
