council,election,vacancies,candidates,election_status,supplementary_election_required,comment
Port Adelaide Enfield,Semaphore Ward,2,6,Contested,No,
Port Adelaide Enfield,Port Adelaide Ward,2,6,Contested,No,
Port Adelaide Enfield,Parks Ward,3,6,Contested,No,
Port Adelaide Enfield,Enfield Ward,3,4,Contested,No,
Port Adelaide Enfield,Klemzig Ward,2,6,Contested,No,
Port Adelaide Enfield,Northfield Ward,3,6,Contested,No,
Port Augusta,Mayor,1,2,Contested,No,
Port Augusta,Area Councillor,9,13,Contested,No,
Port Lincoln,Mayor,1,2,Contested,No,
Port Lincoln,Area Councillor,9,10,Contested,No,
Port Pirie,Mayor,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
Port Pirie,Area Councillor,9,14,Contested,No,
Prospect,Mayor,1,5,Contested,No,
Prospect,North Ward,2,6,Contested,No,
Prospect,West Ward,2,8,Contested,No,
Prospect,Central Ward,2,5,Contested,No,
Prospect,East Ward,2,6,Contested,No,
Renmark Paringa,Mayor,1,2,Contested,No,
Renmark Paringa,Area Councillor,8,10,Contested,No,
Robe,Mayor,1,0,Failed,Yes,No candidates nominated
Robe,Area Councillor,6,12,Contested,No,
Salisbury,Mayor,1,4,Contested,No,
Salisbury,Central Ward,2,5,Contested,No,
Salisbury,East Ward,2,3,Contested,No,
Salisbury,South Ward,2,5,Contested,No,
Salisbury,Hills Ward,2,5,Contested,No,
Salisbury,Para Ward,2,8,Contested,No,
Salisbury,North Ward,2,4,Contested,No,
Salisbury,West Ward,2,6,Contested,No,
Southern Mallee,Area Councillor,7,2,Uncontested,Yes,Candidate(s) who nominated were elected unopposed
Streaky Bay,Flinders Ward,4,4,Uncontested,No,Candidate(s) who nominated were elected unopposed
Streaky Bay,Eyre Ward,4,3,Uncontested,Yes,Candidate(s) who nominated were elected unopposed
Tatiara,Mayor,1,2,Contested,No,
Tatiara,Area Councillor,9,13,Contested,No,
Tea Tree Gully,Mayor,1,5,Contested,No,
Tea Tree Gully,Pedare Ward,2,5,Contested,No,
Tea Tree Gully,Drumminor Ward,2,5,Contested,No,
Tea Tree Gully,Hillcott Ward,2,4,Contested,No,
Tea Tree Gully,Balmoral Ward,2,8,Contested,No,
Tea Tree Gully,Steventon Ward,2,3,Contested,No,
Tea Tree Gully,Water Gully Ward,2,4,Contested,No,
Tumby Bay,Mayor,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
Tumby Bay,Area Councillor,6,2,Uncontested,Yes,Candidate(s) who nominated were elected unopposed
Unley,Mayor,1,4,Contested,No,
Unley,Unley Ward,2,3,Contested,No,
Unley,Parkside Ward,2,4,Contested,No,
Unley,Fullarton Ward,2,5,Contested,No,
Unley,Goodwood Ward,2,7,Contested,No,
Unley,Clarence Park Ward,2,3,Contested,No,
Unley,Unley Park Ward,2,4,Contested,No,
Victor Harbor,Mayor,1,3,Contested,No,
Victor Harbor,Area Councillor,9,19,Contested,No,
Wakefield,Mayor,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
Wakefield,North Ward,3,6,Contested,No,
Wakefield,Central Ward,4,6,Contested,No,
Wakefield,South Ward,2,2,Uncontested,No,Candidate(s) who nominated were elected unopposed
Walkerville,Mayor,1,2,Contested,No,
Walkerville,Area Councillor,8,13,Contested,No,
Wattle Range,Mayor,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
Wattle Range,Kintore Ward,2,3,Contested,No,
Wattle Range,Riddoch Ward,2,3,Contested,No,
Wattle Range,Corcoran Ward,5,6,Contested,No,
Wattle Range,Sorby Adams Ward,2,4,Contested,No,
West Torrens,Mayor,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
West Torrens,Keswick Ward,2,6,Contested,No,
West Torrens,Hilton Ward,2,4,Contested,No,
West Torrens,Plympton Ward,2,5,Contested,No,
West Torrens,Lockleys Ward,2,4,Contested,No,
West Torrens,Airport Ward,2,6,Contested,No,
West Torrens,Morphett Ward,2,2,Uncontested,No,Candidate(s) who nominated were elected unopposed
West Torrens,Thebarton Ward,2,6,Contested,No,
Whyalla,Mayor,1,2,Contested,No,
Whyalla,Area Councillor,9,19,Contested,No,
Wudinna,Area Councillor,7,6,Uncontested,Yes,Candidate(s) who nominated were elected unopposed
Yankalilla,Field Ward,4,6,Contested,No,
Yankalilla,Light Ward,5,10,Contested,No,
Yorke Peninsula,Mayor,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
Yorke Peninsula,Kalkabury Ward,4,4,Uncontested,No,Candidate(s) who nominated were elected unopposed
Yorke Peninsula,Gum Flat Ward,3,4,Contested,No,
Yorke Peninsula,Innes/Penton Vale Ward,4,4,Uncontested,No,Candidate(s) who nominated were elected unopposed
