age_range,gender,standing_for_reelection,elected_status,council_type,position_contested
45-54,F,No,Yes,Country,Area Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,F,No,Yes,Metropolitan,Ward Councillor
45-54,F,No,Yes,Metropolitan,Ward Councillor
45-54,M,No,Yes,Metropolitan,Ward Councillor
45-54,F,No,Yes,Metropolitan,Ward Councillor
45-54,M,No,Yes,Metropolitan,Ward Councillor
45-54,F,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,No,Yes,Country,Area Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,M,Yes,Yes,Metropolitan,Area Councillor
45-54,F,No,Yes,Metropolitan,Area Councillor
45-54,F,No,Yes,Metropolitan,Mayor
45-54,M,No,Yes,Country,Ward Councillor
45-54,F,No,Yes,Country,Ward Councillor
45-54,M,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,No,Yes,Country,Area Councillor
45-54,F,Yes,Yes,Country,Area Councillor
45-54,M,Yes,Elected unopposed,Metropolitan,Area Councillor
45-54,F,Yes,Elected unopposed,Metropolitan,Area Councillor
45-54,F,Yes,Elected unopposed,Metropolitan,Area Councillor
45-54,M,Yes,Yes,Country,Ward Councillor
45-54,F,Yes,Yes,Country,Ward Councillor
45-54,M,Yes,Elected unopposed,Country,Ward Councillor
45-54,F,Yes,Elected unopposed,Country,Ward Councillor
55-64,F,No,Yes,Metropolitan,Area Councillor
55-64,F,No,Yes,Metropolitan,Ward Councillor
55-64,M,Yes,Yes,Country,Ward Councillor
55-64,M,Yes,Yes,Country,Ward Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,F,Yes,Yes,Country,Area Councillor
55-64,F,Yes,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,M,No,Yes,Country,Area Councillor
55-64,M,No,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,F,No,Yes,Metropolitan,Ward Councillor
55-64,F,Yes,Elected unopposed,Metropolitan,Ward Councillor
55-64,F,Yes,Yes,Metropolitan,Ward Councillor
55-64,F,Yes,Elected unopposed,Metropolitan,Ward Councillor
55-64,M,Yes,Elected unopposed,Metropolitan,Ward Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,F,Yes,Yes,Metropolitan,Mayor
55-64,M,No,Yes,Metropolitan,Ward Councillor
55-64,F,No,Yes,Metropolitan,Ward Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,F,Yes,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Mayor
55-64,M,No,Elected unopposed,Country,Area Councillor
55-64,M,Yes,Elected unopposed,Country,Area Councillor
55-64,M,Yes,Elected unopposed,Country,Area Councillor
55-64,F,Yes,Elected unopposed,Country,Area Councillor
55-64,F,Yes,Elected unopposed,Country,Mayor
55-64,F,No,Yes,Country,Area Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,F,Yes,Elected unopposed,Country,Area Councillor
55-64,M,No,Elected unopposed,Country,Area Councillor
55-64,M,Yes,Yes,Country,Mayor
55-64,M,No,Yes,Country,Area Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,F,No,Yes,Metropolitan,Area Councillor
55-64,M,Yes,Yes,Metropolitan,Area Councillor
55-64,M,Yes,Yes,Metropolitan,Area Councillor
55-64,F,Yes,Yes,Metropolitan,Mayor
55-64,F,No,Yes,Country,Ward Councillor
55-64,M,No,Yes,Country,Ward Councillor
55-64,F,Yes,Yes,Country,Mayor
55-64,F,Yes,Yes,Country,Ward Councillor
55-64,M,Yes,Yes,Country,Ward Councillor
55-64,M,Yes,Yes,Country,Ward Councillor
55-64,M,Yes,Yes,Country,Ward Councillor
55-64,F,No,Yes,Country,Ward Councillor
55-64,M,Yes,Yes,Metropolitan,Ward Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,M,Yes,Elected unopposed,Country,Area Councillor
55-64,M,Yes,Elected unopposed,Country,Area Councillor
55-64,M,Yes,Elected unopposed,Country,Area Councillor
55-64,M,No,Elected unopposed,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,F,Yes,Yes,Country,Area Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Mayor
55-64,M,Yes,Yes,Metropolitan,Mayor
55-64,M,Yes,Yes,Metropolitan,Ward Councillor
55-64,F,No,Yes,Metropolitan,Ward Councillor
55-64,M,Yes,Yes,Metropolitan,Ward Councillor
55-64,F,No,Yes,Country,Ward Councillor
55-64,F,Yes,Elected unopposed,Country,Ward Councillor
55-64,F,Yes,Yes,Metropolitan,Mayor
55-64,F,Yes,Yes,Metropolitan,Ward Councillor
55-64,M,Yes,Yes,Country,Ward Councillor
55-64,M,No,Yes,Country,Ward Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,F,Yes,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,M,Yes,Elected unopposed,Country,Ward Councillor
55-64,F,No,Elected unopposed,Country,Ward Councillor
55-64,M,Yes,Elected unopposed,Country,Ward Councillor
55-64,F,No,Elected unopposed,Country,Ward Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,F,Yes,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Mayor
55-64,M,No,No,Metropolitan,Area Councillor
55-64,M,No,No,Metropolitan,Mayor
55-64,F,Yes,No,Metropolitan,Mayor
55-64,M,No,Yes,Country,Area Councillor
55-64,M,No,Yes,Country,Mayor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,Yes,Yes,Country,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,Yes,Elected unopposed,Country,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,F,Yes,Yes,Country,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Country,Ward Councillor
55-64,M,Yes,No,Country,Area Councillor
55-64,M,Yes,Yes,Metropolitan,Ward Councillor
55-64,F,Yes,Yes,Metropolitan,Ward Councillor
55-64,F,Yes,No,Country,Area Councillor
55-64,M,No,No,Country,Area Councillor
55-64,F,Yes,Yes,Metropolitan,Ward Councillor
55-64,M,No,No,Country,Mayor
55-64,M,No,No,Country,Mayor
55-64,F,Yes,No,Country,Mayor
55-64,M,No,No,Country,Ward Councillor
55-64,M,No,No,Country,Ward Councillor
55-64,F,No,No,Country,Ward Councillor
55-64,M,Yes,No,Country,Ward Councillor
55-64,M,No,No,Country,Ward Councillor
55-64,M,No,Elected unopposed,Metropolitan,Ward Councillor
55-64,F,No,No,Country,Ward Councillor
55-64,M,Yes,No,Country,Area Councillor
55-64,M,Yes,No,Country,Area Councillor
55-64,M,No,No,Country,Mayor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,F,No,Yes,Metropolitan,Mayor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Mayor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,Yes,No,Country,Mayor
55-64,M,No,No,Country,Area Councillor
55-64,M,Yes,No,Country,Area Councillor
55-64,F,No,No,Country,Area Councillor
55-64,M,No,No,Country,Area Councillor
55-64,F,No,No,Country,Area Councillor
55-64,M,No,No,Country,Area Councillor
55-64,M,No,Yes,Metropolitan,Ward Councillor
55-64,F,Yes,No,Country,Area Councillor
55-64,F,No,No,Country,Mayor
55-64,F,Yes,No,Country,Area Councillor
55-64,F,No,No,Metropolitan,Area Councillor
55-64,M,No,No,Metropolitan,Area Councillor
55-64,F,No,No,Metropolitan,Area Councillor
55-64,M,No,No,Country,Ward Councillor
55-64,M,Yes,No,Country,Ward Councillor
55-64,M,No,No,Country,Ward Councillor
55-64,M,No,No,Metropolitan,Mayor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,F,Yes,No,Country,Area Councillor
55-64,M,No,Yes,Metropolitan,Ward Councillor
55-64,M,No,No,Country,Area Councillor
55-64,F,No,Yes,Metropolitan,Ward Councillor
55-64,F,No,No,Country,Ward Councillor
55-64,F,No,No,Country,Area Councillor
55-64,M,Yes,No,Country,Area Councillor
55-64,M,Yes,No,Metropolitan,Mayor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Country,Ward Councillor
55-64,M,No,No,Country,Ward Councillor
55-64,F,No,No,Country,Ward Councillor
55-64,M,Yes,Elected unopposed,Country,Area Councillor
55-64,M,No,Yes,Country,Area Councillor
55-64,F,No,No,Country,Ward Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,F,Yes,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Country,Area Councillor
55-64,F,Yes,No,Country,Area Councillor
55-64,F,No,No,Metropolitan,Mayor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Mayor
55-64,M,No,No,Metropolitan,Mayor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,Yes,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,M,Yes,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Country,Mayor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,M,Yes,Yes,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,Yes,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,Yes,No,Country,Mayor
55-64,M,Yes,No,Country,Mayor
55-64,F,No,No,Country,Area Councillor
55-64,F,No,No,Country,Area Councillor
55-64,M,No,No,Metropolitan,Mayor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Country,Area Councillor
55-64,M,Yes,No,Country,Mayor
55-64,F,No,No,Country,Area Councillor
55-64,M,Yes,No,Country,Area Councillor
55-64,M,Yes,No,Country,Area Councillor
55-64,M,Yes,Yes,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Mayor
55-64,M,Yes,Yes,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Country,Area Councillor
55-64,M,No,No,Metropolitan,Mayor
55-64,F,No,No,Metropolitan,Mayor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,F,Yes,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Country,Area Councillor
55-64,M,No,No,Country,Area Councillor
55-64,M,No,No,Country,Ward Councillor
55-64,M,Yes,Yes,Metropolitan,Ward Councillor
55-64,M,Yes,No,Metropolitan,Area Councillor
55-64,M,No,Yes,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Area Councillor
55-64,F,No,No,Metropolitan,Area Councillor
55-64,F,Yes,No,Metropolitan,Mayor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,M,No,No,Country,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,M,No,No,Metropolitan,Ward Councillor
55-64,F,No,No,Metropolitan,Ward Councillor
55-64,F,Yes,Yes,Country,Mayor
55-64,M,No,No,Country,Area Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,M,No,No,Country,Area Councillor
55-64,F,No,Yes,Country,Mayor
55-64,M,No,No,Country,Area Councillor
55-64,M,No,No,Country,Mayor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,F,No,No,Country,Ward Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,F,Yes,No,Country,Ward Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,M,Yes,Elected unopposed,Country,Mayor
55-64,F,No,Yes,Metropolitan,Ward Councillor
55-64,M,No,Yes,Metropolitan,Ward Councillor
55-64,F,Yes,Yes,Country,Area Councillor
55-64,M,No,Yes,Country,Area Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,M,No,Yes,Metropolitan,Ward Councillor
55-64,F,Yes,Yes,Metropolitan,Ward Councillor
55-64,M,Yes,Yes,Metropolitan,Ward Councillor
55-64,M,No,Elected unopposed,Country,Area Councillor
55-64,M,No,Elected unopposed,Country,Ward Councillor
55-64,M,No,Yes,Country,Area Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,M,No,Yes,Country,Area Councillor
55-64,M,Yes,Yes,Country,Area Councillor
55-64,M,No,Yes,Country,Area Councillor
55-64,F,Yes,Yes,Country,Mayor
55-64,F,No,Yes,Metropolitan,Mayor
55-64,F,Yes,Yes,Metropolitan,Ward Councillor
55-64,F,Yes,Yes,Metropolitan,Ward Councillor
55-64,M,No,Elected unopposed,Country,Area Councillor
55-64,M,No,Elected unopposed,Country,Mayor
55-64,F,Yes,Yes,Metropolitan,Ward Councillor
55-64,M,No,Yes,Metropolitan,Ward Councillor
55-64,F,Yes,Yes,Metropolitan,Ward Councillor
55-64,F,Yes,Yes,Country,Mayor
55-64,M,Yes,Elected unopposed,Country,Mayor
55-64,F,No,Yes,Country,Ward Councillor
55-64,M,Yes,Yes,Metropolitan,Area Councillor
55-64,M,No,Yes,Metropolitan,Area Councillor
55-64,F,Yes,Yes,Country,Ward Councillor
55-64,M,Yes,Yes,Country,Ward Councillor
55-64,F,Yes,Yes,Country,Ward Councillor
55-64,M,Yes,Elected unopposed,Metropolitan,Mayor
55-64,F,Yes,Yes,Metropolitan,Ward Councillor
55-64,F,Yes,Yes,Metropolitan,Ward Councillor
55-64,M,Yes,Yes,Metropolitan,Ward Councillor
55-64,F,Yes,Elected unopposed,Metropolitan,Ward Councillor
55-64,M,Yes,Yes,Metropolitan,Ward Councillor
55-64,M,No,Yes,Country,Area Councillor
55-64,F,No,Yes,Country,Area Councillor
55-64,M,Yes,Elected unopposed,Metropolitan,Area Councillor
55-64,M,No,Yes,Country,Ward Councillor
55-64,M,No,Yes,Country,Ward Councillor
55-64,F,Yes,Yes,Country,Ward Councillor
55-64,M,Yes,Elected unopposed,Country,Mayor
55-64,M,No,Yes,Country,Ward Councillor
55-64,F,Yes,Elected unopposed,Country,Ward Councillor
65+,F,No,Yes,Metropolitan,Mayor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Elected unopposed,Country,Mayor
65+,M,Yes,Yes,Country,Ward Councillor
65+,F,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Mayor
65+,M,Yes,Yes,Country,Mayor
65+,M,Yes,Yes,Country,Ward Councillor
65+,F,Yes,Yes,Country,Ward Councillor
65+,M,Yes,Yes,Country,Ward Councillor
65+,M,Yes,Yes,Country,Ward Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Mayor
65+,F,No,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,F,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,F,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,F,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,F,Yes,Yes,Metropolitan,Mayor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Yes,Metropolitan,Ward Councillor
65+,F,No,Yes,Metropolitan,Ward Councillor
65+,F,No,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Elected unopposed,Metropolitan,Mayor
65+,F,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Mayor
65+,M,Yes,Elected unopposed,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,F,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Mayor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,F,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Elected unopposed,Country,Area Councillor
65+,M,Yes,Elected unopposed,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Elected unopposed,Country,Area Councillor
65+,M,Yes,Elected unopposed,Country,Area Councillor
65+,M,No,Elected unopposed,Country,Area Councillor
65+,M,Yes,Elected unopposed,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Metropolitan,Area Councillor
65+,M,Yes,Yes,Metropolitan,Area Councillor
65+,M,Yes,Yes,Country,Ward Councillor
65+,M,No,Yes,Country,Ward Councillor
65+,F,No,Yes,Country,Ward Councillor
65+,M,Yes,Elected unopposed,Country,Ward Councillor
65+,M,Yes,Yes,Country,Ward Councillor
65+,M,Yes,Elected unopposed,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Yes,Metropolitan,Ward Councillor
65+,F,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,F,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Mayor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,F,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Mayor
65+,M,Yes,Yes,Country,Ward Councillor
65+,M,Yes,Yes,Country,Ward Councillor
65+,F,Yes,Yes,Country,Ward Councillor
65+,M,Yes,Yes,Country,Ward Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,F,Yes,Yes,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Country,Ward Councillor
65+,F,No,Elected unopposed,Country,Ward Councillor
65+,F,Yes,Yes,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Country,Mayor
65+,M,Yes,Yes,Country,Ward Councillor
65+,M,Yes,Yes,Country,Ward Councillor
65+,F,Yes,Elected unopposed,Country,Mayor
65+,M,Yes,Elected unopposed,Country,Ward Councillor
65+,M,Yes,Elected unopposed,Country,Ward Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Ward Councillor
65+,M,No,Yes,Country,Ward Councillor
65+,F,Yes,Yes,Country,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Elected unopposed,Metropolitan,Ward Councillor
65+,M,No,Yes,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Elected unopposed,Country,Area Councillor
65+,F,Yes,Elected unopposed,Country,Area Councillor
65+,M,Yes,Elected unopposed,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,F,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,F,Yes,Yes,Country,Mayor
65+,F,Yes,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Yes,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,F,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,F,Yes,Yes,Country,Area Councillor
65+,M,No,No,Metropolitan,Area Councillor
65+,F,Yes,No,Metropolitan,Area Councillor
65+,F,No,No,Metropolitan,Area Councillor
65+,M,No,No,Metropolitan,Ward Councillor
65+,M,Yes,No,Metropolitan,Ward Councillor
65+,M,No,No,Metropolitan,Ward Councillor
65+,F,No,No,Metropolitan,Ward Councillor
65+,M,No,No,Metropolitan,Ward Councillor
65+,M,Yes,No,Country,Ward Councillor
65+,M,No,No,Country,Area Councillor
65+,M,No,No,Country,Area Councillor
65+,M,Yes,No,Country,Ward Councillor
65+,M,No,No,Country,Ward Councillor
65+,M,No,No,Country,Ward Councillor
65+,M,No,No,Country,Ward Councillor
65+,M,No,No,Country,Ward Councillor
65+,F,Yes,Yes,Metropolitan,Ward Councillor
65+,F,No,No,Country,Ward Councillor
65+,F,No,No,Country,Ward Councillor
65+,M,No,No,Country,Area Councillor
65+,M,Yes,No,Country,Area Councillor
65+,M,No,No,Country,Area Councillor
65+,F,No,No,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,No,No,Country,Area Councillor
65+,F,Yes,Yes,Country,Area Councillor
65+,F,No,No,Country,Mayor
65+,F,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,M,Yes,No,Country,Area Councillor
65+,M,Yes,Yes,Country,Mayor
65+,F,Yes,No,Country,Area Councillor
65+,M,Yes,No,Country,Mayor
65+,F,Yes,No,Metropolitan,Mayor
65+,M,No,No,Metropolitan,Ward Councillor
65+,M,No,No,Metropolitan,Ward Councillor
65+,F,No,No,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Country,Area Councillor
65+,M,No,Yes,Country,Area Councillor
65+,F,Yes,Yes,Metropolitan,Mayor
65+,M,Yes,No,Metropolitan,Ward Councillor
65+,M,No,No,Metropolitan,Ward Councillor
65+,M,No,No,Metropolitan,Ward Councillor
65+,M,No,No,Metropolitan,Ward Councillor
65+,M,Yes,No,Country,Mayor
65+,F,No,No,Metropolitan,Mayor
65+,F,No,No,Country,Mayor
65+,M,Yes,No,Country,Area Councillor
65+,F,No,No,Country,Area Councillor
65+,M,No,No,Country,Area Councillor
65+,M,Yes,No,Country,Area Councillor
65+,M,Yes,No,Country,Mayor
65+,M,Yes,No,Country,Area Councillor
65+,M,Yes,No,Country,Mayor
65+,M,Yes,No,Country,Area Councillor
65+,F,No,No,Country,Area Councillor
65+,M,Yes,No,Country,Area Councillor
65+,F,No,No,Metropolitan,Area Councillor
65+,M,Yes,No,Metropolitan,Area Councillor
65+,M,No,No,Metropolitan,Area Councillor
65+,M,No,No,Metropolitan,Area Councillor
65+,M,No,No,Metropolitan,Mayor
65+,M,Yes,No,Metropolitan,Mayor
65+,F,No,Yes,Metropolitan,Ward Councillor
65+,M,No,No,Metropolitan,Mayor
65+,M,No,No,Country,Ward Councillor
65+,M,Yes,Elected unopposed,Country,Area Councillor
65+,M,Yes,Elected unopposed,Country,Ward Councillor
65+,M,Yes,Elected unopposed,Country,Ward Councillor
65+,M,Yes,Elected unopposed,Country,Ward Councillor
65+,M,Yes,Elected unopposed,Country,Ward Councillor
65+,F,No,No,Country,Ward Councillor
65+,F,No,No,Country,Ward Councillor
65+,M,No,No,Country,Ward Councillor
65+,F,No,No,Country,Ward Councillor
65+,F,No,No,Country,Ward Councillor
65+,M,No,No,Country,Ward Councillor
65+,M,Yes,No,Country,Mayor
65+,F,Yes,No,Country,Ward Councillor
65+,F,No,No,Country,Ward Councillor
65+,F,No,No,Metropolitan,Ward Councillor
65+,F,Yes,No,Metropolitan,Ward Councillor
65+,M,No,No,Metropolitan,Ward Councillor
65+,M,No,No,Metropolitan,Ward Councillor
65+,F,Yes,No,Country,Area Councillor
65+,M,No,No,Country,Area Councillor
65+,M,No,No,Country,Mayor
65+,M,No,No,Country,Area Councillor
65+,F,No,No,Country,Area Councillor
65+,F,No,No,Country,Ward Councillor
65+,M,Yes,No,Country,Ward Councillor
65+,M,No,No,Country,Ward Councillor
65+,M,No,No,Country,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,F,No,No,Country,Area Councillor
65+,M,Yes,No,Country,Area Councillor
65+,M,No,No,Country,Mayor
65+,M,No,No,Metropolitan,Ward Councillor
65+,M,No,No,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Mayor
65+,F,Yes,No,Metropolitan,Ward Councillor
65+,M,No,No,Metropolitan,Ward Councillor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,F,No,No,Metropolitan,Ward Councillor
65+,M,No,No,Metropolitan,Ward Councillor
65+,M,Yes,No,Country,Mayor
65+,M,Yes,No,Country,Mayor
65+,M,Yes,Yes,Metropolitan,Ward Councillor
65+,M,No,No,Country,Ward Councillor
65+,M,No,No,Metropolitan,Mayor
65+,M,No,No,Metropolitan,Mayor
