sheet,metric,category,financial_year,value
ICT workforce demographics,ICT Staff Gender Distribution,Male,2013-14,0.75
ICT workforce demographics,ICT Staff Gender Distribution,Female,2009-10,0.3
ICT workforce demographics,ICT Staff Gender Distribution,Female,2011-12,0.28
ICT workforce demographics,ICT Staff Gender Distribution,Female,2013-14,0.25
ICT workforce demographics,ICT Staff Gender Distribution,Executive Male,2009-10,0.83
ICT workforce demographics,ICT Staff Gender Distribution,Executive Male,2011-12,0.82
ICT workforce demographics,ICT Staff Gender Distribution,Executive Male,2013-14,0.87
ICT workforce demographics,ICT Staff Gender Distribution,Executive Female,2009-10,0.17
ICT workforce demographics,ICT Staff Gender Distribution,Executive Female,2011-12,0.18
ICT workforce demographics,ICT Staff Gender Distribution,Executive Female,2013-14,0.13
ICT workforce demographics,ICT Workforce Age Profile,24 or less,2009-10,0.036
ICT workforce demographics,ICT Workforce Age Profile,24 or less,2011-12,0.055
ICT workforce demographics,ICT Workforce Age Profile,24 or less,2013-14,3.9
ICT workforce demographics,ICT Workforce Age Profile,25-34,2009-10,0.27
ICT workforce demographics,ICT Workforce Age Profile,25-34,2011-12,0.224
ICT workforce demographics,ICT Workforce Age Profile,25-34,2013-14,21.6
ICT workforce demographics,ICT Workforce Age Profile,35-44,2009-10,0.255
ICT workforce demographics,ICT Workforce Age Profile,35-44,2011-12,0.283
ICT workforce demographics,ICT Workforce Age Profile,35-44,2013-14,33.3
ICT workforce demographics,ICT Workforce Age Profile,45-54,2009-10,0.282
ICT workforce demographics,ICT Workforce Age Profile,45-54,2011-12,0.254
ICT workforce demographics,ICT Workforce Age Profile,45-54,2013-14,24.2
ICT workforce demographics,ICT Workforce Age Profile,55+,2009-10,0.157
ICT workforce demographics,ICT Workforce Age Profile,55+,2011-12,0.184
ICT workforce demographics,ICT Workforce Age Profile,55+,2013-14,17
ICT workforce demographics,ICT Workforce Classification Types - Levels at which ICT staff are employed,Administration/Management,2009-10,0.969
ICT workforce demographics,ICT Workforce Classification Types - Levels at which ICT staff are employed,Administration/Management,2011-12,0.971
ICT workforce demographics,ICT Workforce Classification Types - Levels at which ICT staff are employed,Administration/Management,2013-14,0.968
ICT workforce demographics,ICT Workforce Classification Types - Levels at which ICT staff are employed,Technical Grade,2009-10,0.008
ICT workforce demographics,ICT Workforce Classification Types - Levels at which ICT staff are employed,Technical Grade,2011-12,0.008
ICT workforce demographics,ICT Workforce Classification Types - Levels at which ICT staff are employed,Technical Grade,2013-14,0.011
ICT workforce demographics,ICT Workforce Classification Types - Levels at which ICT staff are employed,Professional Officer,2009-10,0.004
ICT workforce demographics,ICT Workforce Classification Types - Levels at which ICT staff are employed,Professional Officer,2011-12,0.004
ICT workforce demographics,ICT Workforce Classification Types - Levels at which ICT staff are employed,Professional Officer,2013-14,0.006
ICT workforce demographics,ICT Workforce Classification Types - Levels at which ICT staff are employed,Executive,2009-10,0.019
ICT workforce demographics,ICT Workforce Classification Types - Levels at which ICT staff are employed,Executive,2011-12,0.017
ICT workforce demographics,ICT Workforce Classification Types - Levels at which ICT staff are employed,Executive,2013-14,0.015
ICT infrastructure,Personal Computer type as a percentage,Desktops,2009-10,0.766698143514958
ICT infrastructure,Personal Computer type as a percentage,Desktops,2011-12,0.7629
ICT infrastructure,Personal Computer type as a percentage,Desktops,2013-14,0.7169
ICT infrastructure,Personal Computer type as a percentage,Laptops,2009-10,0.2139776676628927
ICT infrastructure,Personal Computer type as a percentage,Laptops,2011-12,0.2159
ICT infrastructure,Personal Computer type as a percentage,Laptops,2013-14,0.2076
ICT infrastructure,Personal Computer type as a percentage,Thin Clients,2009-10,0.013969879576717517
ICT infrastructure,Personal Computer type as a percentage,Thin Clients,2011-12,0.0093
ICT infrastructure,Personal Computer type as a percentage,Thin Clients,2013-14,0.006
ICT infrastructure,Personal Computer type as a percentage,Tablets,2009-10,0.0053543092454318006
ICT infrastructure,Personal Computer type as a percentage,Tablets,2011-12,0.0119
ICT infrastructure,Personal Computer type as a percentage,Tablets,2013-14,0.0695
ICT infrastructure,Mobile Device type as a percentage,Mobile phones,2009-10,0.8962256427050925
ICT infrastructure,Mobile Device type as a percentage,Mobile phones,2011-12,0.8751
ICT infrastructure,Mobile Device type as a percentage,Mobile phones,2013-14,0.6947
ICT infrastructure,Mobile Device type as a percentage,Smartphones,2009-10,0.08797281807761585
ICT infrastructure,Mobile Device type as a percentage,Smartphones,2011-12,0.1122
ICT infrastructure,Mobile Device type as a percentage,Smartphones,2013-14,0.2869
ICT infrastructure,Mobile Device type as a percentage,Satellite Phones,2009-10,0.015801539217291632
ICT infrastructure,Mobile Device type as a percentage,Satellite Phones,2011-12,0.0127
ICT infrastructure,Mobile Device type as a percentage,Satellite Phones,2013-14,0.0184
ICT infrastructure,Logical Servers to Physical Servers Ratio (rate of virtualisation),Including schools,2009-10,0.77
ICT infrastructure,Logical Servers to Physical Servers Ratio (rate of virtualisation),Including schools,2011-12,1.32
ICT infrastructure,Logical Servers to Physical Servers Ratio (rate of virtualisation),Including schools,2013-14,1.52
ICT infrastructure,Logical Servers to Physical Servers Ratio (rate of virtualisation),Excluding schools,2009-10,1.33
ICT infrastructure,Logical Servers to Physical Servers Ratio (rate of virtualisation),Excluding schools,2011-12,1.62
ICT infrastructure,Logical Servers to Physical Servers Ratio (rate of virtualisation),Excluding schools,2013-14,2.08
ICT infrastructure,Application type as a percentage,Custom Application (COTS),2009-10,N/A
ICT infrastructure,Application type as a percentage,Custom Application (COTS),2011-12,0.487
ICT infrastructure,Application type as a percentage,Custom Application (COTS),2013-14,0.482
ICT infrastructure,Application type as a percentage,Package Application (COTS),2009-10,N/A
ICT infrastructure,Application type as a percentage,Package Application (COTS),2011-12,0.354
ICT infrastructure,Application type as a percentage,Package Application (COTS),2013-14,0.335
ICT infrastructure,Application type as a percentage,Externally Managed Application (SaaS),2009-10,N/A
ICT infrastructure,Application type as a percentage,Externally Managed Application (SaaS),2011-12,0.098
ICT infrastructure,Application type as a percentage,Externally Managed Application (SaaS),2013-14,0.117
ICT infrastructure,Application type as a percentage,Government Managed Application,2009-10,N/A
ICT infrastructure,Application type as a percentage,Government Managed Application,2011-12,0.061
ICT infrastructure,Application type as a percentage,Government Managed Application,2013-14,0.066
