source_table,breakdown,financial_year,category_1,category_2,column_category,count
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,United Kingdom,Own drug use,,222
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,United Kingdom,Own drug use,,240
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,United Kingdom,Own drug use,,296
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,United Kingdom,Other's drug use,,1
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,United Kingdom,Other's drug use,,4
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,United Kingdom,Other's drug use,,1
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,United Kingdom,Other's drug use,,1
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,United Kingdom,Other's drug use,,2
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,United Kingdom,Other's drug use,,3
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,United Kingdom,Other's drug use,,9
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,United Kingdom,Other's drug use,,6
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,United Kingdom,Other's drug use,,6
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,United Kingdom,Other's drug use,,5
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,United Kingdom,Total,,210
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,United Kingdom,Total,,238
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,United Kingdom,Total,,192
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,United Kingdom,Total,,174
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,United Kingdom,Total,,192
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,United Kingdom,Total,,197
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,United Kingdom,Total,,310
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,United Kingdom,Total,,228
