reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2004-Q4,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,12.7
2004-Q4,Working days Lost,State legislation,,000,A2540943J,1.5
2004-Q4,Working days Lost,Federal legislation,,000,A2540940A,4.5
2004-Q4,Working days Lost,Pre-determined return to work,,000,A2540952K,3.7
2004-Q4,Working days Lost,Resumption without negotiation,,000,A2540934F,12.1
2004-Q4,Working days Lost,Mediation,,000,A2540928K,10.1
2004-Q4,Working days Lost,Total Reasons,,000,A2540946R,44.5
2005-Q1,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,25
2005-Q1,Number of Disputes,Federal legislation,,Number,A2540938R,14
2005-Q1,Number of Disputes,Pre-determined return to work,,Number,A2540950F,10
2005-Q1,Number of Disputes,Resumption without negotiation,,Number,A2540932A,39
2005-Q1,Number of Disputes,Mediation,,Number,A2540926F,10
2005-Q1,Number of Disputes,Total Reasons,,Number,A2540944K,106
2005-Q1,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,3.4
2005-Q1,Employees Involved,State legislation,,000,A2540942F,1
2005-Q1,Employees Involved,Federal legislation,,000,A2540939T,5.4
2005-Q1,Employees Involved,Pre-determined return to work,,000,A2540951J,1.8
2005-Q1,Employees Involved,Resumption without negotiation,,000,A2540933C,5.8
2005-Q1,Employees Involved,Mediation,,000,A2540927J,1.4
2005-Q1,Employees Involved,Other reasons,,000,A2540930W,0.1
2005-Q1,Employees Involved,Total Reasons,,000,A2540945L,18.9
2005-Q1,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,9.4
2005-Q1,Working days Lost,State legislation,,000,A2540943J,1.9
2005-Q1,Working days Lost,Federal legislation,,000,A2540940A,21.8
2005-Q1,Working days Lost,Pre-determined return to work,,000,A2540952K,4.7
2005-Q1,Working days Lost,Resumption without negotiation,,000,A2540934F,6.4
2005-Q1,Working days Lost,Mediation,,000,A2540928K,6.5
2005-Q1,Working days Lost,Other reasons,,000,A2540931X,0.6
2005-Q1,Working days Lost,Total Reasons,,000,A2540946R,51.3
2005-Q2,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,28
2005-Q2,Number of Disputes,State legislation,,Number,A2540941C,14
2005-Q2,Number of Disputes,Federal legislation,,Number,A2540938R,11
2005-Q2,Number of Disputes,Pre-determined return to work,,Number,A2540950F,27
2005-Q2,Number of Disputes,Resumption without negotiation,,Number,A2540932A,41
2005-Q2,Number of Disputes,Mediation,,Number,A2540926F,11
2005-Q2,Number of Disputes,Total Reasons,,Number,A2540944K,132
