table,table_title,reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
01,"National quarterly disputes, employees involved and working days lost",1987-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,691.9
01,"National quarterly disputes, employees involved and working days lost",1987-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,711.3
01,"National quarterly disputes, employees involved and working days lost",1987-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,1375.6
01,"National quarterly disputes, employees involved and working days lost",1987-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,395
01,"National quarterly disputes, employees involved and working days lost",1987-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,418
01,"National quarterly disputes, employees involved and working days lost",1987-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,179
01,"National quarterly disputes, employees involved and working days lost",1987-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,183.1
01,"National quarterly disputes, employees involved and working days lost",1987-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,277.6
01,"National quarterly disputes, employees involved and working days lost",1987-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1672
01,"National quarterly disputes, employees involved and working days lost",1987-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1686
01,"National quarterly disputes, employees involved and working days lost",1987-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,571
01,"National quarterly disputes, employees involved and working days lost",1987-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,576.3
01,"National quarterly disputes, employees involved and working days lost",1987-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,1126.9
01,"National quarterly disputes, employees involved and working days lost",1987-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,363
01,"National quarterly disputes, employees involved and working days lost",1987-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,383
01,"National quarterly disputes, employees involved and working days lost",1987-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,149.4
01,"National quarterly disputes, employees involved and working days lost",1987-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,151.1
01,"National quarterly disputes, employees involved and working days lost",1987-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,519.3
01,"National quarterly disputes, employees involved and working days lost",1987-Q3,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1558
01,"National quarterly disputes, employees involved and working days lost",1987-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1577
01,"National quarterly disputes, employees involved and working days lost",1987-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,563.5
01,"National quarterly disputes, employees involved and working days lost",1987-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,568.3
01,"National quarterly disputes, employees involved and working days lost",1987-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,1356.2
01,"National quarterly disputes, employees involved and working days lost",1987-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,394
01,"National quarterly disputes, employees involved and working days lost",1987-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,409
01,"National quarterly disputes, employees involved and working days lost",1987-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,181.5
01,"National quarterly disputes, employees involved and working days lost",1987-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,185.3
01,"National quarterly disputes, employees involved and working days lost",1987-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,330.8
01,"National quarterly disputes, employees involved and working days lost",1987-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1514
01,"National quarterly disputes, employees involved and working days lost",1987-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1519
01,"National quarterly disputes, employees involved and working days lost",1987-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,593.4
01,"National quarterly disputes, employees involved and working days lost",1987-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,608.8
01,"National quarterly disputes, employees involved and working days lost",1987-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,1311.9
01,"National quarterly disputes, employees involved and working days lost",1988-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,388
01,"National quarterly disputes, employees involved and working days lost",1988-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,393
01,"National quarterly disputes, employees involved and working days lost",1988-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,90.9
01,"National quarterly disputes, employees involved and working days lost",1988-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,91.3
01,"National quarterly disputes, employees involved and working days lost",1988-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,214.5
01,"National quarterly disputes, employees involved and working days lost",1988-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1540
01,"National quarterly disputes, employees involved and working days lost",1988-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1565
01,"National quarterly disputes, employees involved and working days lost",1988-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,600.8
01,"National quarterly disputes, employees involved and working days lost",1988-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,606.5
01,"National quarterly disputes, employees involved and working days lost",1988-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,1342.2
01,"National quarterly disputes, employees involved and working days lost",1988-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,412
01,"National quarterly disputes, employees involved and working days lost",1988-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,420
01,"National quarterly disputes, employees involved and working days lost",1988-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,441.1
01,"National quarterly disputes, employees involved and working days lost",1988-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,442.5
01,"National quarterly disputes, employees involved and working days lost",1988-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,625.9
01,"National quarterly disputes, employees involved and working days lost",1988-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1557
01,"National quarterly disputes, employees involved and working days lost",1988-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1578
01,"National quarterly disputes, employees involved and working days lost",1988-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,862.9
01,"National quarterly disputes, employees involved and working days lost",1988-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,865.4
01,"National quarterly disputes, employees involved and working days lost",1988-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,1690.5
01,"National quarterly disputes, employees involved and working days lost",1988-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,342
01,"National quarterly disputes, employees involved and working days lost",1988-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,358
01,"National quarterly disputes, employees involved and working days lost",1988-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,258.4
01,"National quarterly disputes, employees involved and working days lost",1988-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,333.6
01,"National quarterly disputes, employees involved and working days lost",1988-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,540.3
01,"National quarterly disputes, employees involved and working days lost",1988-Q3,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1536
01,"National quarterly disputes, employees involved and working days lost",1988-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1549
01,"National quarterly disputes, employees involved and working days lost",1988-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,971.8
01,"National quarterly disputes, employees involved and working days lost",1988-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,975.7
01,"National quarterly disputes, employees involved and working days lost",1988-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,1711.5
01,"National quarterly disputes, employees involved and working days lost",1988-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,360
01,"National quarterly disputes, employees involved and working days lost",1988-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,372
01,"National quarterly disputes, employees involved and working days lost",1988-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,103.6
01,"National quarterly disputes, employees involved and working days lost",1988-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,108.1
01,"National quarterly disputes, employees involved and working days lost",1988-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,260.7
01,"National quarterly disputes, employees involved and working days lost",1988-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1502
01,"National quarterly disputes, employees involved and working days lost",1988-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1508
01,"National quarterly disputes, employees involved and working days lost",1988-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,893.9
01,"National quarterly disputes, employees involved and working days lost",1988-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,894.4
01,"National quarterly disputes, employees involved and working days lost",1988-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,1641.4
01,"National quarterly disputes, employees involved and working days lost",1989-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,374
01,"National quarterly disputes, employees involved and working days lost",1989-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,383
01,"National quarterly disputes, employees involved and working days lost",1989-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,86.7
01,"National quarterly disputes, employees involved and working days lost",1989-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,89.7
01,"National quarterly disputes, employees involved and working days lost",1989-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,170.1
01,"National quarterly disputes, employees involved and working days lost",1989-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1488
01,"National quarterly disputes, employees involved and working days lost",1989-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1497
01,"National quarterly disputes, employees involved and working days lost",1989-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,889.8
01,"National quarterly disputes, employees involved and working days lost",1989-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,899.6
01,"National quarterly disputes, employees involved and working days lost",1989-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,1597.1
01,"National quarterly disputes, employees involved and working days lost",1989-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,375
01,"National quarterly disputes, employees involved and working days lost",1989-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,386
01,"National quarterly disputes, employees involved and working days lost",1989-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,145.9
01,"National quarterly disputes, employees involved and working days lost",1989-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,149.1
01,"National quarterly disputes, employees involved and working days lost",1989-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,313.6
01,"National quarterly disputes, employees involved and working days lost",1989-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1451
01,"National quarterly disputes, employees involved and working days lost",1989-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1467
01,"National quarterly disputes, employees involved and working days lost",1989-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,594.5
01,"National quarterly disputes, employees involved and working days lost",1989-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,669.7
