reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2005-Q2,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,12.5
2005-Q2,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,1.6
2005-Q2,Employees Involved,5 and less than 10 days,,000,A2540969F,0.1
2005-Q2,Employees Involved,10 days and over,,000,A2540960K,0.5
2005-Q2,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,35.8
2005-Q2,Working days Lost,Up to and including 1 day,,000,A2540955T,10
2005-Q2,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,22.7
2005-Q2,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,5
2005-Q2,Working days Lost,5 and less than 10 days,,000,A2540970R,0.6
2005-Q2,Working days Lost,10 days and over,,000,A2540961L,7.7
2005-Q2,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,46
2005-Q3,Number of Disputes,Up to and including 1 day,,Number,A2540953L,75
2005-Q3,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,36
2005-Q3,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,22
2005-Q3,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,138
2005-Q3,Employees Involved,Up to and including 1 day,,000,A2540954R,80.4
2005-Q3,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,5.1
2005-Q3,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,3.5
2005-Q3,Employees Involved,5 and less than 10 days,,000,A2540969F,0.1
2005-Q3,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,89.1
2005-Q3,Working days Lost,Up to and including 1 day,,000,A2540955T,41.6
2005-Q3,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,8.1
2005-Q3,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,9.6
2005-Q3,Working days Lost,5 and less than 10 days,,000,A2540970R,1
2005-Q3,Working days Lost,10 days and over,,000,A2540961L,0.3
2005-Q3,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,60.7
2005-Q4,Number of Disputes,Up to and including 1 day,,Number,A2540953L,52
2005-Q4,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,27
2005-Q4,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,10
2005-Q4,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,94
2005-Q4,Employees Involved,Up to and including 1 day,,000,A2540954R,97.1
2005-Q4,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,4.4
2005-Q4,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,1.6
2005-Q4,Employees Involved,5 and less than 10 days,,000,A2540969F,0.5
2005-Q4,Employees Involved,10 days and over,,000,A2540960K,0.2
2005-Q4,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,103.8
2005-Q4,Working days Lost,Up to and including 1 day,,000,A2540955T,60.7
2005-Q4,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,7
2005-Q4,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,6.2
2005-Q4,Working days Lost,5 and less than 10 days,,000,A2540970R,3.5
2005-Q4,Working days Lost,10 days and over,,000,A2540961L,5.4
2005-Q4,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,82.8
2006-Q1,Number of Disputes,Up to and including 1 day,,Number,A2540953L,60
2006-Q1,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,21
2006-Q1,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,13
2006-Q1,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,100
2006-Q1,Employees Involved,Up to and including 1 day,,000,A2540954R,10.1
2006-Q1,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,7
2006-Q1,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,0.9
2006-Q1,Employees Involved,5 and less than 10 days,,000,A2540969F,0.2
2006-Q1,Employees Involved,10 days and over,,000,A2540960K,0.7
2006-Q1,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,19
2006-Q1,Working days Lost,Up to and including 1 day,,000,A2540955T,6
2006-Q1,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,8
2006-Q1,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,2.7
2006-Q1,Working days Lost,5 and less than 10 days,,000,A2540970R,1.7
2006-Q1,Working days Lost,10 days and over,,000,A2540961L,17.1
2006-Q1,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,35.4
2006-Q2,Number of Disputes,Up to and including 1 day,,Number,A2540953L,15
2006-Q2,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,20
2006-Q2,Employees Involved,Up to and including 1 day,,000,A2540954R,34.2
2006-Q2,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,6
2006-Q2,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,0.3
2006-Q2,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,40.5
2006-Q2,Working days Lost,Up to and including 1 day,,000,A2540955T,23.6
2006-Q2,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,6.5
2006-Q2,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,0.8
2006-Q2,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,30.9
2006-Q3,Number of Disputes,Up to and including 1 day,,Number,A2540953L,19
2006-Q3,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,7
2006-Q3,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,34
2006-Q3,Employees Involved,Up to and including 1 day,,000,A2540954R,1.4
2006-Q3,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,2.6
2006-Q3,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,2
2006-Q3,Employees Involved,5 and less than 10 days,,000,A2540969F,0.5
2006-Q3,Employees Involved,10 days and over,,000,A2540960K,0.1
2006-Q3,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,6.6
2006-Q3,Working days Lost,Up to and including 1 day,,000,A2540955T,0.8
2006-Q3,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,4.3
2006-Q3,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,6.3
2006-Q3,Working days Lost,5 and less than 10 days,,000,A2540970R,4.3
2006-Q3,Working days Lost,10 days and over,,000,A2540961L,2.4
2006-Q3,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,18.1
2006-Q4,Number of Disputes,Up to and including 1 day,,Number,A2540953L,28
2006-Q4,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,7
2006-Q4,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,5
2006-Q4,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,49
2006-Q4,Employees Involved,Up to and including 1 day,,000,A2540954R,58
2006-Q4,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,2.3
2006-Q4,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,1.4
2006-Q4,Employees Involved,10 days and over,,000,A2540960K,0.2
2006-Q4,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,61.9
2006-Q4,Working days Lost,Up to and including 1 day,,000,A2540955T,45.1
2006-Q4,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,2.9
2006-Q4,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,3.3
2006-Q4,Working days Lost,5 and less than 10 days,,000,A2540970R,0.3
2006-Q4,Working days Lost,10 days and over,,000,A2540961L,4.4
2006-Q4,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,56
2007-Q1,Number of Disputes,Up to and including 1 day,,Number,A2540953L,21
2007-Q1,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,3
2007-Q1,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,28
2007-Q1,Employees Involved,Up to and including 1 day,,000,A2540954R,2.3
2007-Q1,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,0.1
2007-Q1,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,2.6
2007-Q1,Working days Lost,Up to and including 1 day,,000,A2540955T,1.3
2007-Q1,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,0.1
2007-Q1,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,0.4
2007-Q1,Working days Lost,5 and less than 10 days,,000,A2540970R,0.1
2007-Q1,Working days Lost,10 days and over,,000,A2540961L,3.8
2007-Q1,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,5.6
2007-Q2,Number of Disputes,Up to and including 1 day,,Number,A2540953L,17
2007-Q2,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,4
2007-Q2,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,4
2007-Q2,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,28
2007-Q2,Employees Involved,Up to and including 1 day,,000,A2540954R,1.8
2007-Q2,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,0.7
2007-Q2,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,1
2007-Q2,Employees Involved,5 and less than 10 days,,000,A2540969F,0.1
2007-Q2,Employees Involved,10 days and over,,000,A2540960K,0.2
2007-Q2,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,3.7
2007-Q2,Working days Lost,Up to and including 1 day,,000,A2540955T,1.4
2007-Q2,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,1.1
2007-Q2,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,4.4
2007-Q2,Working days Lost,5 and less than 10 days,,000,A2540970R,0.4
2007-Q2,Working days Lost,10 days and over,,000,A2540961L,2.6
2007-Q2,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,9.9
2007-Q3,Number of Disputes,Up to and including 1 day,,Number,A2540953L,26
2007-Q3,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,6
2007-Q3,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,3
2007-Q3,Number of Disputes,5 and less than 10 days,,Number,A2540968C,3
2007-Q3,Number of Disputes,10 days and over,,Number,A2540959A,4
2007-Q3,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,42
2007-Q3,Employees Involved,Up to and including 1 day,,000,A2540954R,4.4
2007-Q3,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,0.3
2007-Q3,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,0.4
2007-Q3,Employees Involved,5 and less than 10 days,,000,A2540969F,0.6
2007-Q3,Employees Involved,10 days and over,,000,A2540960K,0.2
2007-Q3,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,5.8
2007-Q3,Working days Lost,Up to and including 1 day,,000,A2540955T,2.9
2007-Q3,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,0.5
2007-Q3,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,1.6
2007-Q3,Working days Lost,5 and less than 10 days,,000,A2540970R,3.8
2007-Q3,Working days Lost,10 days and over,,000,A2540961L,2.8
2007-Q3,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,11.5
