reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2004-Q1,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,14
2004-Q1,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,7
2004-Q1,Number of Disputes,Total disputes,,Number,A2540914W,172
2004-Q1,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,8.1
2004-Q1,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,9.2
2004-Q1,Employees Involved,Enterprise Bargaining related,Other,000,A2540897F,0.5
2004-Q1,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,1.9
2004-Q1,Employees Involved,Non-Enterprise Bargaining related,Employment conditions,000,A2540912T,0.6
2004-Q1,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,10.5
2004-Q1,Employees Involved,Non-Enterprise Bargaining related,Job security,000,A2540909C,2.7
2004-Q1,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,6.2
2004-Q1,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,2.6
2004-Q1,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,4.7
2004-Q1,Employees Involved,Total disputes,,000,A2540915X,46.8
2004-Q1,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,15.6
2004-Q1,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,56.5
2004-Q1,Working days Lost,Enterprise Bargaining related,Other,000,A2540898J,1
2004-Q1,Working days Lost,Non-Enterprise Bargaining related,Remuneration,000,A2540922W,1.6
2004-Q1,Working days Lost,Non-Enterprise Bargaining related,Employment conditions,000,A2540913V,0.6
2004-Q1,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,14.8
2004-Q1,Working days Lost,Non-Enterprise Bargaining related,Job security,000,A2540910L,3.9
2004-Q1,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,12.2
2004-Q1,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,3.5
2004-Q1,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,5.5
2004-Q1,Working days Lost,Total disputes,,000,A2540916A,115
2004-Q2,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,13
2004-Q2,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,14
2004-Q2,Number of Disputes,Enterprise Bargaining related,Other,Number,A2540896C,5
2004-Q2,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,12
2004-Q2,Number of Disputes,Non-Enterprise Bargaining related,Employment conditions,Number,A2540911R,9
2004-Q2,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,49
2004-Q2,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,13
2004-Q2,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,36
2004-Q2,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,22
2004-Q2,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,11
2004-Q2,Number of Disputes,Total disputes,,Number,A2540914W,184
2004-Q2,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,87.4
2004-Q2,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,3.6
2004-Q2,Employees Involved,Enterprise Bargaining related,Other,000,A2540897F,2.9
2004-Q2,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,1.9
2004-Q2,Employees Involved,Non-Enterprise Bargaining related,Employment conditions,000,A2540912T,1.4
2004-Q2,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,9.6
2004-Q2,Employees Involved,Non-Enterprise Bargaining related,Job security,000,A2540909C,5.8
2004-Q2,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,4.6
2004-Q2,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,7.3
2004-Q2,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,4.5
2004-Q2,Employees Involved,Total disputes,,000,A2540915X,129
2004-Q2,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,215.9
2004-Q2,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,5.9
2004-Q2,Working days Lost,Enterprise Bargaining related,Other,000,A2540898J,3.4
2004-Q2,Working days Lost,Non-Enterprise Bargaining related,Remuneration,000,A2540922W,2.6
2004-Q2,Working days Lost,Non-Enterprise Bargaining related,Employment conditions,000,A2540913V,1.9
2004-Q2,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,12.4
2004-Q2,Working days Lost,Non-Enterprise Bargaining related,Job security,000,A2540910L,2.7
2004-Q2,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,5.6
2004-Q2,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,3.3
2004-Q2,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,2.9
2004-Q2,Working days Lost,Total disputes,,000,A2540916A,256.5
2004-Q3,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,26
2004-Q3,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,5
2004-Q3,Number of Disputes,Enterprise Bargaining related,Other,Number,A2540896C,11
2004-Q3,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,13
2004-Q3,Number of Disputes,Non-Enterprise Bargaining related,Employment conditions,Number,A2540911R,6
2004-Q3,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,76
2004-Q3,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,5
2004-Q3,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,26
2004-Q3,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,14
2004-Q3,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,5
2004-Q3,Number of Disputes,Total disputes,,Number,A2540914W,187
2004-Q3,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,7.1
2004-Q3,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,11.1
2004-Q3,Employees Involved,Enterprise Bargaining related,Other,000,A2540897F,5
2004-Q3,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,2.1
2004-Q3,Employees Involved,Non-Enterprise Bargaining related,Employment conditions,000,A2540912T,0.7
2004-Q3,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,16.3
2004-Q3,Employees Involved,Non-Enterprise Bargaining related,Job security,000,A2540909C,6.8
2004-Q3,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,2.6
2004-Q3,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,3.3
2004-Q3,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,5.3
2004-Q3,Employees Involved,Total disputes,,000,A2540915X,60.3
2004-Q3,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,19.5
2004-Q3,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,12
2004-Q3,Working days Lost,Enterprise Bargaining related,Other,000,A2540898J,7.9
2004-Q3,Working days Lost,Non-Enterprise Bargaining related,Remuneration,000,A2540922W,3.6
2004-Q3,Working days Lost,Non-Enterprise Bargaining related,Employment conditions,000,A2540913V,1.2
2004-Q3,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,16.8
2004-Q3,Working days Lost,Non-Enterprise Bargaining related,Job security,000,A2540910L,23.7
2004-Q3,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,2.8
2004-Q3,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,4.8
2004-Q3,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,3.3
2004-Q3,Working days Lost,Total disputes,,000,A2540916A,95.5
2004-Q4,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,15
2004-Q4,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,4
2004-Q4,Number of Disputes,Enterprise Bargaining related,Other,Number,A2540896C,5
2004-Q4,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,10
2004-Q4,Number of Disputes,Non-Enterprise Bargaining related,Employment conditions,Number,A2540911R,5
2004-Q4,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,44
2004-Q4,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,7
2004-Q4,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,27
2004-Q4,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,18
2004-Q4,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,4
2004-Q4,Number of Disputes,Total disputes,,Number,A2540914W,139
2004-Q4,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,4.9
2004-Q4,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,0.3
2004-Q4,Employees Involved,Enterprise Bargaining related,Other,000,A2540897F,1.3
2004-Q4,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,1.6
2004-Q4,Employees Involved,Non-Enterprise Bargaining related,Employment conditions,000,A2540912T,0.6
2004-Q4,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,7.9
2004-Q4,Employees Involved,Non-Enterprise Bargaining related,Job security,000,A2540909C,0.5
2004-Q4,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,3.8
2004-Q4,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,8.5
2004-Q4,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,0.2
2004-Q4,Employees Involved,Total disputes,,000,A2540915X,29.7
2004-Q4,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,16
2004-Q4,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,0.4
2004-Q4,Working days Lost,Enterprise Bargaining related,Other,000,A2540898J,1.2
2004-Q4,Working days Lost,Non-Enterprise Bargaining related,Remuneration,000,A2540922W,5.1
2004-Q4,Working days Lost,Non-Enterprise Bargaining related,Employment conditions,000,A2540913V,0.5
2004-Q4,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,10.9
2004-Q4,Working days Lost,Non-Enterprise Bargaining related,Job security,000,A2540910L,0.2
2004-Q4,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,3.1
2004-Q4,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,6.9
2004-Q4,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,0.2
2004-Q4,Working days Lost,Total disputes,,000,A2540916A,44.5
2005-Q1,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,13
2005-Q1,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,3
2005-Q1,Number of Disputes,Enterprise Bargaining related,Other,Number,A2540896C,4
2005-Q1,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,8
2005-Q1,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,27
2005-Q1,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,8
2005-Q1,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,23
2005-Q1,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,15
2005-Q1,Number of Disputes,Total disputes,,Number,A2540914W,106
2005-Q1,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,2.2
2005-Q1,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,0.1
2005-Q1,Employees Involved,Enterprise Bargaining related,Other,000,A2540897F,0.4
2005-Q1,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,3.2
2005-Q1,Employees Involved,Non-Enterprise Bargaining related,Employment conditions,000,A2540912T,0.5
2005-Q1,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,3.5
2005-Q1,Employees Involved,Non-Enterprise Bargaining related,Job security,000,A2540909C,1.6
2005-Q1,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,3.9
2005-Q1,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,2.6
2005-Q1,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,0.9
2005-Q1,Employees Involved,Total disputes,,000,A2540915X,18.9
2005-Q1,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,14.9
2005-Q1,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,4
2005-Q1,Working days Lost,Enterprise Bargaining related,Other,000,A2540898J,1
2005-Q1,Working days Lost,Non-Enterprise Bargaining related,Remuneration,000,A2540922W,16
2005-Q1,Working days Lost,Non-Enterprise Bargaining related,Employment conditions,000,A2540913V,1.7
2005-Q1,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,4.9
2005-Q1,Working days Lost,Non-Enterprise Bargaining related,Job security,000,A2540910L,1
2005-Q1,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,4.5
2005-Q1,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,2.1
2005-Q1,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,1.2
2005-Q1,Working days Lost,Total disputes,,000,A2540916A,51.3
2005-Q2,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,23
2005-Q2,Number of Disputes,Enterprise Bargaining related,Other,Number,A2540896C,5
2005-Q2,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,5
2005-Q2,Number of Disputes,Non-Enterprise Bargaining related,Employment conditions,Number,A2540911R,13
2005-Q2,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,28
2005-Q2,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,14
2005-Q2,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,26
2005-Q2,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,15
2005-Q2,Number of Disputes,Total disputes,,Number,A2540914W,132
2005-Q2,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,12.9
2005-Q2,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,1.6
2005-Q2,Employees Involved,Enterprise Bargaining related,Other,000,A2540897F,0.4
2005-Q2,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,0.5
2005-Q2,Employees Involved,Non-Enterprise Bargaining related,Employment conditions,000,A2540912T,1.9
2005-Q2,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,5.6
2005-Q2,Employees Involved,Non-Enterprise Bargaining related,Job security,000,A2540909C,0.8
2005-Q2,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,3.2
2005-Q2,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,8.7
2005-Q2,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,0.1
2005-Q2,Employees Involved,Total disputes,,000,A2540915X,35.8
2005-Q2,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,23.1
