date,state_code,state_name,registration_type,sex,registrations
2007-05-01,QLD,Queensland,Consent,Male,83127
2007-05-01,SA,South Australia,Consent,Male,37922
2007-05-01,TAS,Tasmania,Consent,Male,9435
2007-05-01,VIC,Victoria,Consent,Male,90478
2007-05-01,WA,Western Australia,Consent,Male,56847
2007-05-01,ACT,Australian Capital Territory,Consent,Total,16326
2007-05-01,NSW,New South Wales,Consent,Total,229160
2007-05-01,NT,Northern Territory,Consent,Total,5309
2007-05-01,QLD,Queensland,Consent,Total,203704
2007-05-01,SA,South Australia,Consent,Total,89535
2007-05-01,TAS,Tasmania,Consent,Total,23853
2007-05-01,VIC,Victoria,Consent,Total,225071
2007-05-01,WA,Western Australia,Consent,Total,142394
2007-05-01,ACT,Australian Capital Territory,Intent,Female,18233
2007-05-01,NSW,New South Wales,Intent,Female,1091988
2007-05-01,NT,Northern Territory,Intent,Female,6114
2007-05-01,QLD,Queensland,Intent,Female,343843
2007-05-01,SA,South Australia,Intent,Female,304929
2007-05-01,TAS,Tasmania,Intent,Female,87400
2007-05-01,VIC,Victoria,Intent,Female,290072
2007-05-01,WA,Western Australia,Intent,Female,287261
2007-05-01,ACT,Australian Capital Territory,Intent,Male,12719
2007-05-01,NSW,New South Wales,Intent,Male,1111429
2007-05-01,NT,Northern Territory,Intent,Male,4281
2007-05-01,QLD,Queensland,Intent,Male,356115
2007-05-01,SA,South Australia,Intent,Male,289376
2007-05-01,TAS,Tasmania,Intent,Male,85598
2007-05-01,VIC,Victoria,Intent,Male,206332
2007-05-01,WA,Western Australia,Intent,Male,267662
2007-05-01,ACT,Australian Capital Territory,Intent,Total,30953
2007-05-01,NSW,New South Wales,Intent,Total,2203454
2007-05-01,NT,Northern Territory,Intent,Total,10397
2007-05-01,QLD,Queensland,Intent,Total,699960
2007-05-01,SA,South Australia,Intent,Total,594724
2007-05-01,TAS,Tasmania,Intent,Total,172998
2007-05-01,VIC,Victoria,Intent,Total,500640
2007-05-01,WA,Western Australia,Intent,Total,556381
2007-06-01,ACT,Australian Capital Territory,Consent,Female,10110
2007-06-01,NSW,New South Wales,Consent,Female,133704
2007-06-01,NT,Northern Territory,Consent,Female,3256
2007-06-01,QLD,Queensland,Consent,Female,123368
2007-06-01,SA,South Australia,Consent,Female,52905
2007-06-01,TAS,Tasmania,Consent,Female,14654
2007-06-01,VIC,Victoria,Consent,Female,136935
2007-06-01,WA,Western Australia,Consent,Female,87063
2007-06-01,ACT,Australian Capital Territory,Consent,Male,6585
2007-06-01,NSW,New South Wales,Consent,Male,98175
2007-06-01,NT,Northern Territory,Consent,Male,2162
2007-06-01,QLD,Queensland,Consent,Male,84809
2007-06-01,SA,South Australia,Consent,Male,38744
2007-06-01,TAS,Tasmania,Consent,Male,9553
2007-06-01,VIC,Victoria,Consent,Male,91676
2007-06-01,WA,Western Australia,Consent,Male,57701
2007-06-01,ACT,Australian Capital Territory,Consent,Total,16695
2007-06-01,NSW,New South Wales,Consent,Total,231879
2007-06-01,NT,Northern Territory,Consent,Total,5418
2007-06-01,QLD,Queensland,Consent,Total,208177
2007-06-01,SA,South Australia,Consent,Total,91649
2007-06-01,TAS,Tasmania,Consent,Total,24207
2007-06-01,VIC,Victoria,Consent,Total,228611
2007-06-01,WA,Western Australia,Consent,Total,144764
2007-06-01,ACT,Australian Capital Territory,Intent,Female,18169
2007-06-01,NSW,New South Wales,Intent,Female,1090587
2007-06-01,NT,Northern Territory,Intent,Female,6102
2007-06-01,QLD,Queensland,Intent,Female,342987
2007-06-01,SA,South Australia,Intent,Female,305625
2007-06-01,TAS,Tasmania,Intent,Female,87212
2007-06-01,VIC,Victoria,Intent,Female,289446
2007-06-01,WA,Western Australia,Intent,Female,286438
2007-06-01,ACT,Australian Capital Territory,Intent,Male,12681
2007-06-01,NSW,New South Wales,Intent,Male,1110586
2007-06-01,NT,Northern Territory,Intent,Male,4287
2007-06-01,QLD,Queensland,Intent,Male,355632
2007-06-01,SA,South Australia,Intent,Male,289959
2007-06-01,TAS,Tasmania,Intent,Male,85516
2007-06-01,VIC,Victoria,Intent,Male,206130
2007-06-01,WA,Western Australia,Intent,Male,267175
2007-06-01,ACT,Australian Capital Territory,Intent,Total,30851
2007-06-01,NSW,New South Wales,Intent,Total,2201210
2007-06-01,NT,Northern Territory,Intent,Total,10391
2007-06-01,QLD,Queensland,Intent,Total,698621
2007-06-01,SA,South Australia,Intent,Total,596054
2007-06-01,TAS,Tasmania,Intent,Total,172728
2007-06-01,VIC,Victoria,Intent,Total,499809
2007-06-01,WA,Western Australia,Intent,Total,555071
2007-08-01,ACT,Australian Capital Territory,Consent,Female,10250
2007-08-01,NSW,New South Wales,Consent,Female,139640
2007-08-01,NT,Northern Territory,Consent,Female,3644
2007-08-01,QLD,Queensland,Consent,Female,125188
2007-08-01,SA,South Australia,Consent,Female,53878
2007-08-01,TAS,Tasmania,Consent,Female,15177
2007-08-01,VIC,Victoria,Consent,Female,139911
2007-08-01,WA,Western Australia,Consent,Female,88329
2007-08-01,ACT,Australian Capital Territory,Consent,Male,6681
2007-08-01,NSW,New South Wales,Consent,Male,100611
2007-08-01,NT,Northern Territory,Consent,Male,2285
2007-08-01,QLD,Queensland,Consent,Male,85576
2007-08-01,SA,South Australia,Consent,Male,39115
2007-08-01,TAS,Tasmania,Consent,Male,9819
2007-08-01,VIC,Victoria,Consent,Male,93211
2007-08-01,WA,Western Australia,Consent,Male,58372
2007-08-01,ACT,Australian Capital Territory,Consent,Total,16931
2007-08-01,NSW,New South Wales,Consent,Total,240251
