table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
40,Value of residential building approved - states and territories,1974-06,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,17284
40,Value of residential building approved - states and territories,1974-06,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,203178
40,Value of residential building approved - states and territories,1974-06,state,New South Wales,Total Residential,Trend,$'000,A419945C,68593
40,Value of residential building approved - states and territories,1974-06,state,Victoria,Total Residential,Trend,$'000,A420029V,49336
40,Value of residential building approved - states and territories,1974-06,state,Queensland,Total Residential,Trend,$'000,A420113K,33279
40,Value of residential building approved - states and territories,1974-06,state,South Australia,Total Residential,Trend,$'000,A420200J,16317
40,Value of residential building approved - states and territories,1974-06,state,Western Australia,Total Residential,Trend,$'000,A420284C,16743
40,Value of residential building approved - states and territories,1974-06,state,Australia,Total Residential,Trend,$'000,A419856A,201714
40,Value of residential building approved - states and territories,1974-07,state,New South Wales,Total Residential,Original,$'000,A419939J,81921
40,Value of residential building approved - states and territories,1974-07,state,Victoria,Total Residential,Original,$'000,A420023F,58124
40,Value of residential building approved - states and territories,1974-07,state,Queensland,Total Residential,Original,$'000,A420107R,36096
40,Value of residential building approved - states and territories,1974-07,state,South Australia,Total Residential,Original,$'000,A420194X,18327
40,Value of residential building approved - states and territories,1974-07,state,Western Australia,Total Residential,Original,$'000,A420278J,20178
40,Value of residential building approved - states and territories,1974-07,state,Tasmania,Total Residential,Original,$'000,A420356C,5362
40,Value of residential building approved - states and territories,1974-07,state,Northern Territory,Total Residential,Original,$'000,A420442X,2681
40,Value of residential building approved - states and territories,1974-07,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,6934
40,Value of residential building approved - states and territories,1974-07,state,Australia,Total Residential,Original,$'000,A419850L,229623
40,Value of residential building approved - states and territories,1974-07,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,79086
40,Value of residential building approved - states and territories,1974-07,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,48708
40,Value of residential building approved - states and territories,1974-07,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,31824
40,Value of residential building approved - states and territories,1974-07,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,17094
