table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
07,Total number of dwelling units approved - states and territories,1984-01,state,South Australia,,Trend,Number,A422474C,1151
07,Total number of dwelling units approved - states and territories,1984-01,state,Western Australia,,Trend,Number,A422574L,1409
07,Total number of dwelling units approved - states and territories,1984-01,state,Tasmania,,Trend,Number,A422675X,307
07,Total number of dwelling units approved - states and territories,1984-01,state,Northern Territory,,Trend,Number,A422775J,211
07,Total number of dwelling units approved - states and territories,1984-01,state,Australian Capital Territory,,Trend,Number,A422872K,195
07,Total number of dwelling units approved - states and territories,1984-02,state,New South Wales,,Original,Number,A422166A,3500
07,Total number of dwelling units approved - states and territories,1984-02,state,Victoria,,Original,Number,A422266K,2915
07,Total number of dwelling units approved - states and territories,1984-02,state,Queensland,,Original,Number,A422366V,3251
07,Total number of dwelling units approved - states and territories,1984-02,state,South Australia,,Original,Number,A422466C,1077
07,Total number of dwelling units approved - states and territories,1984-02,state,Western Australia,,Original,Number,A422566L,1317
07,Total number of dwelling units approved - states and territories,1984-02,state,Tasmania,,Original,Number,A422666W,353
07,Total number of dwelling units approved - states and territories,1984-02,state,Northern Territory,,Original,Number,A422766F,261
07,Total number of dwelling units approved - states and territories,1984-02,state,Australian Capital Territory,,Original,Number,A422863J,239
07,Total number of dwelling units approved - states and territories,1984-02,state,New South Wales,,Seasonally Adjusted,Number,A422172W,3716
07,Total number of dwelling units approved - states and territories,1984-02,state,Victoria,,Seasonally Adjusted,Number,A422272F,3044
07,Total number of dwelling units approved - states and territories,1984-02,state,Queensland,,Seasonally Adjusted,Number,A422372R,3426
07,Total number of dwelling units approved - states and territories,1984-02,state,South Australia,,Seasonally Adjusted,Number,A422472X,1192
07,Total number of dwelling units approved - states and territories,1984-02,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1369
07,Total number of dwelling units approved - states and territories,1984-02,state,Tasmania,,Seasonally Adjusted,Number,A422672T,375
07,Total number of dwelling units approved - states and territories,1984-02,state,New South Wales,,Trend,Number,A422174A,3702
07,Total number of dwelling units approved - states and territories,1984-02,state,Victoria,,Trend,Number,A422274K,3039
07,Total number of dwelling units approved - states and territories,1984-02,state,Queensland,,Trend,Number,A422374V,3045
07,Total number of dwelling units approved - states and territories,1984-02,state,South Australia,,Trend,Number,A422474C,1232
07,Total number of dwelling units approved - states and territories,1984-02,state,Western Australia,,Trend,Number,A422574L,1426
07,Total number of dwelling units approved - states and territories,1984-02,state,Tasmania,,Trend,Number,A422675X,318
07,Total number of dwelling units approved - states and territories,1984-02,state,Northern Territory,,Trend,Number,A422775J,231
07,Total number of dwelling units approved - states and territories,1984-02,state,Australian Capital Territory,,Trend,Number,A422872K,223
07,Total number of dwelling units approved - states and territories,1984-03,state,New South Wales,,Original,Number,A422166A,3552
07,Total number of dwelling units approved - states and territories,1984-03,state,Victoria,,Original,Number,A422266K,3222
07,Total number of dwelling units approved - states and territories,1984-03,state,Queensland,,Original,Number,A422366V,3623
07,Total number of dwelling units approved - states and territories,1984-03,state,South Australia,,Original,Number,A422466C,1503
07,Total number of dwelling units approved - states and territories,1984-03,state,Western Australia,,Original,Number,A422566L,1548
07,Total number of dwelling units approved - states and territories,1984-03,state,Tasmania,,Original,Number,A422666W,311
07,Total number of dwelling units approved - states and territories,1984-03,state,Northern Territory,,Original,Number,A422766F,242
07,Total number of dwelling units approved - states and territories,1984-03,state,Australian Capital Territory,,Original,Number,A422863J,258
