table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
07,Total number of dwelling units approved - states and territories,1990-01,state,South Australia,,Original,Number,A422466C,674
07,Total number of dwelling units approved - states and territories,1990-01,state,South Australia,,Seasonally Adjusted,Number,A422472X,799
07,Total number of dwelling units approved - states and territories,1990-01,state,South Australia,,Trend,Number,A422474C,955
07,Total number of dwelling units approved - states and territories,1990-02,state,South Australia,,Original,Number,A422466C,949
07,Total number of dwelling units approved - states and territories,1990-02,state,South Australia,,Seasonally Adjusted,Number,A422472X,1089
07,Total number of dwelling units approved - states and territories,1990-02,state,South Australia,,Trend,Number,A422474C,953
07,Total number of dwelling units approved - states and territories,1990-03,state,South Australia,,Original,Number,A422466C,1006
07,Total number of dwelling units approved - states and territories,1990-03,state,South Australia,,Seasonally Adjusted,Number,A422472X,941
07,Total number of dwelling units approved - states and territories,1990-03,state,South Australia,,Trend,Number,A422474C,955
07,Total number of dwelling units approved - states and territories,1990-04,state,South Australia,,Original,Number,A422466C,808
07,Total number of dwelling units approved - states and territories,1990-04,state,South Australia,,Seasonally Adjusted,Number,A422472X,878
07,Total number of dwelling units approved - states and territories,1990-04,state,South Australia,,Trend,Number,A422474C,961
07,Total number of dwelling units approved - states and territories,1990-05,state,South Australia,,Original,Number,A422466C,1105
07,Total number of dwelling units approved - states and territories,1990-05,state,South Australia,,Seasonally Adjusted,Number,A422472X,984
07,Total number of dwelling units approved - states and territories,1990-05,state,South Australia,,Trend,Number,A422474C,966
07,Total number of dwelling units approved - states and territories,1990-06,state,South Australia,,Original,Number,A422466C,1196
07,Total number of dwelling units approved - states and territories,1990-06,state,South Australia,,Seasonally Adjusted,Number,A422472X,1074
07,Total number of dwelling units approved - states and territories,1990-06,state,South Australia,,Trend,Number,A422474C,968
07,Total number of dwelling units approved - states and territories,1990-07,state,South Australia,,Original,Number,A422466C,984
07,Total number of dwelling units approved - states and territories,1990-07,state,South Australia,,Seasonally Adjusted,Number,A422472X,936
07,Total number of dwelling units approved - states and territories,1990-07,state,South Australia,,Trend,Number,A422474C,970
07,Total number of dwelling units approved - states and territories,1990-08,state,South Australia,,Original,Number,A422466C,956
07,Total number of dwelling units approved - states and territories,1990-08,state,South Australia,,Seasonally Adjusted,Number,A422472X,901
07,Total number of dwelling units approved - states and territories,1990-08,state,South Australia,,Trend,Number,A422474C,974
07,Total number of dwelling units approved - states and territories,1990-09,state,South Australia,,Original,Number,A422466C,951
07,Total number of dwelling units approved - states and territories,1990-09,state,South Australia,,Seasonally Adjusted,Number,A422472X,977
07,Total number of dwelling units approved - states and territories,1990-09,state,South Australia,,Trend,Number,A422474C,978
07,Total number of dwelling units approved - states and territories,1990-10,state,South Australia,,Original,Number,A422466C,1001
07,Total number of dwelling units approved - states and territories,1990-10,state,South Australia,,Seasonally Adjusted,Number,A422472X,1017
07,Total number of dwelling units approved - states and territories,1990-10,state,South Australia,,Trend,Number,A422474C,980
07,Total number of dwelling units approved - states and territories,1990-11,state,South Australia,,Original,Number,A422466C,1076
07,Total number of dwelling units approved - states and territories,1990-11,state,South Australia,,Seasonally Adjusted,Number,A422472X,1027
07,Total number of dwelling units approved - states and territories,1990-11,state,South Australia,,Trend,Number,A422474C,985
07,Total number of dwelling units approved - states and territories,1990-12,state,South Australia,,Original,Number,A422466C,902
07,Total number of dwelling units approved - states and territories,1990-12,state,South Australia,,Seasonally Adjusted,Number,A422472X,977
07,Total number of dwelling units approved - states and territories,1990-12,state,South Australia,,Trend,Number,A422474C,993
07,Total number of dwelling units approved - states and territories,1991-01,state,South Australia,,Original,Number,A422466C,791
07,Total number of dwelling units approved - states and territories,1991-01,state,South Australia,,Seasonally Adjusted,Number,A422472X,914
07,Total number of dwelling units approved - states and territories,1991-01,state,South Australia,,Trend,Number,A422474C,994
07,Total number of dwelling units approved - states and territories,1991-02,state,South Australia,,Original,Number,A422466C,860
