table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
41,Value of non-residential building approved - states and territories,1971-03,state,Victoria,Total Non-residential,Original,$'000,A420746K,23711
41,Value of non-residential building approved - states and territories,1971-03,state,Queensland,Total Non-residential,Original,$'000,A420819L,11697
41,Value of non-residential building approved - states and territories,1971-03,state,South Australia,Total Non-residential,Original,$'000,A420892J,11741
41,Value of non-residential building approved - states and territories,1971-03,state,Western Australia,Total Non-residential,Original,$'000,A420965K,9434
41,Value of non-residential building approved - states and territories,1971-03,state,Tasmania,Total Non-residential,Original,$'000,A421038R,5910
41,Value of non-residential building approved - states and territories,1971-03,state,Northern Territory,Total Non-residential,Original,$'000,A421108K,1827
41,Value of non-residential building approved - states and territories,1971-03,state,Australian Capital Territory,Total Non-residential,Original,$'000,A421178T,6174
41,Value of non-residential building approved - states and territories,1971-03,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,38084
41,Value of non-residential building approved - states and territories,1971-03,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,22966
41,Value of non-residential building approved - states and territories,1971-03,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,11697
41,Value of non-residential building approved - states and territories,1971-03,state,South Australia,Total Non-residential,Seasonally Adjusted,$'000,A420895R,10210
41,Value of non-residential building approved - states and territories,1971-03,state,Western Australia,Total Non-residential,Seasonally Adjusted,$'000,A420968T,10008
41,Value of non-residential building approved - states and territories,1971-03,state,New South Wales,Total Non-residential,Trend,$'000,A420674K,36924
41,Value of non-residential building approved - states and territories,1971-03,state,Victoria,Total Non-residential,Trend,$'000,A420750A,26867
41,Value of non-residential building approved - states and territories,1971-03,state,Queensland,Total Non-residential,Trend,$'000,A420823C,13880
41,Value of non-residential building approved - states and territories,1971-03,state,South Australia,Total Non-residential,Trend,$'000,A420896T,7751
41,Value of non-residential building approved - states and territories,1971-03,state,Western Australia,Total Non-residential,Trend,$'000,A420969V,12215
41,Value of non-residential building approved - states and territories,1971-04,state,New South Wales,Total Non-residential,Original,$'000,A420670A,43454
41,Value of non-residential building approved - states and territories,1971-04,state,Victoria,Total Non-residential,Original,$'000,A420746K,25485
