disease_condition,week_ending,notification_count
Q Fever,2026-06-13,0
Q Fever,2026-06-20,0
Q Fever,2026-06-27,1
Q Fever,2026-07-04,0
Respiratory Syncytial Virus,2026-05-16,102
Respiratory Syncytial Virus,2026-05-23,135
Respiratory Syncytial Virus,2026-05-30,145
Respiratory Syncytial Virus,2026-06-06,166
Respiratory Syncytial Virus,2026-06-13,238
Respiratory Syncytial Virus,2026-06-20,233
Respiratory Syncytial Virus,2026-06-27,408
Respiratory Syncytial Virus,2026-07-04,528
RF/RHD,2026-05-16,0
RF/RHD,2026-05-23,0
RF/RHD,2026-05-30,1
RF/RHD,2026-06-06,1
RF/RHD,2026-06-13,0
RF/RHD,2026-06-20,0
RF/RHD,2026-06-27,0
RF/RHD,2026-07-04,1
Ross River Virus,2026-05-16,1
Ross River Virus,2026-05-23,2
Ross River Virus,2026-05-30,7
Ross River Virus,2026-06-06,1
Ross River Virus,2026-06-13,1
Ross River Virus,2026-06-20,3
Ross River Virus,2026-06-27,4
Ross River Virus,2026-07-04,2
Rotavirus,2026-05-16,11
Rotavirus,2026-05-23,6
Rotavirus,2026-05-30,9
Rotavirus,2026-06-06,4
Rotavirus,2026-06-13,9
Rotavirus,2026-06-20,5
Rotavirus,2026-06-27,7
Rotavirus,2026-07-04,8
Rubella,2026-05-16,0
Rubella,2026-05-23,0
Rubella,2026-05-30,0
Rubella,2026-06-06,0
Rubella,2026-06-13,0
Rubella,2026-06-20,0
Rubella,2026-06-27,0
Rubella,2026-07-04,0
Rubella Syndrome - Congenital,2026-05-16,0
Rubella Syndrome - Congenital,2026-05-23,0
Rubella Syndrome - Congenital,2026-05-30,0
Rubella Syndrome - Congenital,2026-06-06,0
Rubella Syndrome - Congenital,2026-06-13,0
Rubella Syndrome - Congenital,2026-06-20,0
Rubella Syndrome - Congenital,2026-06-27,0
Rubella Syndrome - Congenital,2026-07-04,0
Salmonella,2026-05-16,20
Salmonella,2026-05-23,14
Salmonella,2026-05-30,25
Salmonella,2026-06-06,21
Salmonella,2026-06-13,15
Salmonella,2026-06-20,10
Salmonella,2026-06-27,19
Salmonella,2026-07-04,13
Shiga toxin producing E. coli (STEC),2026-05-16,4
Shiga toxin producing E. coli (STEC),2026-05-23,8
Shiga toxin producing E. coli (STEC),2026-05-30,1
Shiga toxin producing E. coli (STEC),2026-06-06,7
Shiga toxin producing E. coli (STEC),2026-06-13,4
Shiga toxin producing E. coli (STEC),2026-06-20,4
Shiga toxin producing E. coli (STEC),2026-06-27,4
Shiga toxin producing E. coli (STEC),2026-07-04,5
Shigella,2026-05-16,7
Shigella,2026-05-23,3
Shigella,2026-05-30,1
Shigella,2026-06-06,3
Shigella,2026-06-13,1
Shigella,2026-06-20,2
Shigella,2026-06-27,1
Shigella,2026-07-04,2
Suspected Food Poisoning,2026-05-16,0
Suspected Food Poisoning,2026-05-23,0
Suspected Food Poisoning,2026-05-30,0
Suspected Food Poisoning,2026-06-06,0
Suspected Food Poisoning,2026-06-13,0
Suspected Food Poisoning,2026-06-20,0
Suspected Food Poisoning,2026-06-27,0
Suspected Food Poisoning,2026-07-04,1
Syphilis - Congenital,2026-05-16,0
Syphilis - Congenital,2026-05-23,0
Syphilis - Congenital,2026-05-30,0
Syphilis - Congenital,2026-06-06,0
Syphilis - Congenital,2026-06-13,0
Syphilis - Congenital,2026-06-20,0
Syphilis - Congenital,2026-06-27,0
Syphilis - Congenital,2026-07-04,0
Syphilis (<2 years),2026-05-16,4
Syphilis (<2 years),2026-05-23,4
Syphilis (<2 years),2026-05-30,1
