table_code,table_title,source_file,workbook_label,sheet,n_rows,dimension_columns,value_columns,notes
S39a,"Young people aged 10–17 under community–based supervision by age on an average day by age, sex and Indigenous status, Australia, 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S39,9,sex; indigenous_status,10; 11; 12; 13; 14; 15; 16; 17,
S39b,"Young people aged 10–17 under community–based supervision during the year by age, sex and Indigenous status, Australia, 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S39,9,sex; indigenous_status,10_11; 12; 13; 14; 15; 16; 17,
S40a,"Young people under community-based supervision on an average day(a) by Indigenous status and age, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S40,16,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S40b,"Young people under community-based supervision during the year by Indigenous status and age, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S40,16,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S40c,"Young people under community-based supervision on an average day(a) by Indigenous status and age, states and territories, 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S40,9,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S40d,"Young people under community-based supervision during the year by Indigenous status and age, states and territories, 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S40,9,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S41a,"Young people aged 10–17 under community-based supervision on an average day(a) by sex and age, Australia(b), 2020–21 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S41,20,sex; year,10; 11; 12; 13; 14; 15; 16; 17; 10_17,
S41b,"Young people aged 10–17 under community-based supervision during the year by sex and age, Australia, 2020–21 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S41,20,sex; year,10; 11; 12; 13; 14; 15; 16; 17; 10_17,
S42a,"Young people aged 10–17 under community-based supervision on an average day by age and sex, Australia(a), 2020–21 to 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S42,15,sex; year,10; 11; 12; 13; 14; 15; 16; 17; 10_17,
S42b,"Young people aged 10–17 under community-based supervision during the year by age and sex, Australia, 2020–21 to 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S42,15,sex; year,10; 11; 12; 13; 14; 15; 16; 17; 10_17,
S43a,"Young people aged 10–17 under community-based supervision on an average day(a) by Indigenous status, states and territories, 2015-16 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S43,40,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S43b,"Young people aged 10–17 under community-based supervision during the year by Indigenous status, states and territories, 2015-16 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S43,40,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S44a,"Young people under community-based supervision on an average day(a) by Indigenous status, states and territories, 2015-16 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S44,40,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S44b,"Young people under community-based supervision during the year by Indigenous status, states and territories, 2015-16 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S44,40,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S45a,"Young people aged 10–17 under community–based supervision on an average day by Indigenous status, states and territories, 2016–17 to 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S45,27,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S45b,"Young people aged 10–17 under community–based supervision during the year by Indigenous status, states and territories, 2016–17 to 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S45,27,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S46a,"Young people aged 10–17 under community-based supervision on an average day(a) by sex, states and territories, 2015-16 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S46,40,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S46b,"Young people aged 10–17 under community-based supervision during the year by sex, states and territories, 2015-16 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S46,40,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S47a,"Young people under community-based supervision on an average day(a) by sex,states and territories, 2015-16 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S47,40,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S47b,"Young people under community-based supervision during the year by sex, states and territories, 2015-16 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S47,40,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S48a,"Young people aged 10–17 under community-based supervision on an average day by sex, states and territories, 2015–16 to 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S48,30,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S48b,"Young people aged 10–17 under community-based supervision during the year by sex, states and territories, 2015–16 to 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S48,30,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S49,"Young people aged 10–17 under community-based supervision on an average day(a) by sex and Indigenous status, states and territories, 2020–21 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S49,80,year; sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S50,"Young people under community–based supervision on an average day(a) by sex and Indigenous status, states and territories, 2020–21 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S50,80,year; sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S51,"Young people aged 10–17 under community-based supervision on an average day by sex and Indigenous status, states and territories, 2020–21 to 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S51,45,year; sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S52,"Young people under community-based supervision during the year by first supervision, states and territories, 2020–21 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S52,15,year; supervision,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S53,"Young people under community-based supervision during the year by first supervision and Indigenous status, Australia, 2020–21 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S53,15,year; supervision; first_nations; non_indigenous; not_stated,total,
S54,"Young people under community-based supervision during the year by sex, Indigenous status and age at first supervision, Australia, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S54,16,sex; indigenous_status,10; 11; 12; 13; 14; 15; 16; 17; 18plus; australia,
S55,"Young people under community-based supervision during the year by Indigenous status and age at first supervision, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S55,16,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S56a,"Young people under community-based supervision on an average day(a) by sex, Indigenous status and remoteness of usual residence(b), Australia, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S56,21,sex; remoteness_area; first_nations; non_indigenous; not_stated,total,
S56b,"Young people under community-based supervision during the year by sex, Indigenous status and remoteness of usual residence(a), Australia, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S56,21,sex; remoteness_area; first_nations; non_indigenous; not_stated,total,
S57a,"Young people aged 10–17 under community-based supervision on an average day(a) by remoteness of usual residence(b), states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S57,6,remoteness_area,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | (b) Address data for young people known to Youth Justice in Tasmania is affected by data qaulity issues. Usual residence data should be interpreted with caution. | — represents zero or rounded to zero | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the Remoteness areas correspondence file. | 2. Some remoteness areas are not found in all states and territories. | 3. Age on an average day is calculated based on the age a young person is each day that they are under supervision. If a young person changes age during a period of supervision, the average daily number under supervision will reflect this. Average daily data broken down by age will not be comparable with data in Youth justice in Australia releases before 2019–20. | 4. Number of young people on an average day not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25"
S57b,"Young people aged 10–17 under community-based supervision during the year by remoteness of usual residence(a), states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S57,6,section; remoteness_area,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data qaulity issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the Remoteness areas correspondence file. | 2. Some remoteness areas are not found in all states and territories. | 3. Age calculated as at start of financial year if first period of community-based supervision in the relevant year began before the start of the financial year, otherwise age calculated as at start of first period of community-based supervision in the relevant year. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S57c,"Young people aged 10–17 under community-based supervision on an average day(a) by remoteness of usual residence(b), states and territories, 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S57,5,remoteness_area,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | (b) Address data for young people known to Youth Justice in Tasmania is affected by data qaulity issues. Usual residence data should be interpreted with caution. | — represents zero or rounded to zero | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the Remoteness areas correspondence file. | 2. Some remoteness areas are not found in all states and territories. | 3. Rates are number of young people per 10,000 relevant population. | 4. Number of young people on an average day not available for the Northern Territory in 2024-25. | 6. In November 2023, the Australian Capital Territory raised the minimum age of criminal responsibility from 10 to 12. The rates for the Australian Capital Territory from 2023-24 are for young people aged 12-17. | Source: tables S57a and S148"
S57d,"Young people aged 10–17 under community-based supervision during the year by remoteness of usual residence, states and territories, 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S57,5,section; remoteness_area,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data qaulity issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the Remoteness areas correspondence file. | 2. Some remoteness areas are not found in all states and territories. | 3. Rates are number of young people per 10,000 relevant population. | 4. Rates are not published where there were fewer than five young people. | 6. In November 2023, the Australian Capital Territory raised the minimum age of criminal responsibility from 10 to 12. The rates for the Australian Capital Territory from  2023-24 are for young people aged 12-17. | Source: tables S57a and S148"
S58a,"Young people under community-based supervision on an average day(a) by sex, Indigenous status and socioeconomic position of usual residence(b), Australia, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S58,21,sex; socioeconomic_areas; first_nations; non_indigenous; not_stated,total,
S58b,"Young people under community-based supervision during the year by sex, Indigenous status and socioeconomic position of usual residence(a), Australia, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S58,21,sex; socioeconomic_areas; first_nations; non_indigenous; not_stated,total,
S59a,"Young people aged 10–17 under community-based supervision on an average day(a) by socioeconomic position of usual residence(b), states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S59,6,socioeconomic_areas,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | (b) Address data for young people known to Youth Justice in Tasmania is affected by data qaulity issues. Usual residence data should be interpreted with caution. | — represents zero or rounded to zero | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the SEIFA file. | 2. The ACT has highly diverse suburbs with advantaged households in close proximity to disadvantaged households. It has a high proportion of the most relatively disadvantaged persons residing in areas classified by SEIFA as being less disadvantaged. In this respect, the ACT is unique and comparisons with other jurisdictions should be made with caution. | 3. SEIFA quintiles are calculated based on postcodes across the whole of Australia, and therefore some socioeconomic areas are not found in all states and territories. | 4. Age on an average day is calculated based on the age a young person is each day that they are under supervision. If a young person changes age during a period of supervision, the average daily number under supervision will reflect this. Average daily data broken down by age will not be comparable with data in Youth justice in Australia releases before 2019–20. | 5. Number of young people on an average day not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S59b,"Young people aged 10–17 under community-based supervision during the year by socioeconomic position of usual residence(a), states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S59,6,section; socioeconomic_areas,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data qaulity issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the SEIFA file. | 2. The ACT has highly diverse suburbs with advantaged households in close proximity to disadvantaged households. It has a high proportion of the most relatively disadvantaged persons residing in areas classified by SEIFA as being less disadvantaged. In this respect, the ACT is unique and comparisons with other jurisdictions should be made with caution. | 3. SEIFA quintiles are calculated based on postcodes across the whole of Australia, and therefore some socioeconomic areas are not found in all states and territories. | 4. Age calculated as at start of financial year if first period of community-based supervision in the relevant year began before the start of the financial year, otherwise age calculated as at start of first period of community-based supervision in the relevant year. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S59c,"Young people aged 10–17 under community-based supervision on an average day by socioeconomic position of usual residence(a), states and territories, 2024-25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S59,5,socioeconomic_areas,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data qaulity issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the SEIFA file. | 2. Rates are number of young people per 10,000 relevant population. | 3. The ACT has highly diverse suburbs with advantaged households in close proximity to disadvantaged households. It has a high proportion of the most relatively disadvantaged persons residing in areas classified by SEIFA as being less disadvantaged. In this respect, the ACT is unique and comparisons with other jurisdictions should be made with caution. | 4. SEIFA quintiles are calculated based on postcodes across the whole of Australia, and therefore some socioeconomic areas are not found in all states and territories. | 5. Number of young people on an average day not available for the Northern Territory in 2024-25. | 6. In November 2023, the Australian Capital Territory raised the minimum age of criminal responsibility from 10 to 12. The rates for the Australian Capital Territory from 2023-24 are for young people aged 12-17. | Source: tables S59a and S149."
S59d,"Young people aged 10–17 under community-based supervision during the year by socioeconomic position of usual residence(a), states and territories, 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S59,5,section; socioeconomic_areas,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data qaulity issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the SEIFA file. | 3. Rates are number of young people per 10,000 relevant population. | 4. Rates are not published where there were fewer than five young people. | 5. The ACT has highly diverse suburbs with advantaged households in close proximity to disadvantaged households. It has a high proportion of the most relatively disadvantaged persons residing in areas classified by SEIFA as being less disadvantaged. In this respect, the ACT is unique and comparisons with other jurisdictions should be made with caution. | 6. SEIFA quintiles are calculated based on postcodes across the whole of Australia, and therefore some socioeconomic areas are not found in all states and territories. | Source: tables S59b and S149."
S60,"Community-based supervised orders, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S60,27,order_type,nsw; vic; qld; wa; sa; tas; act; nt; all,"(a) Number of young people on an average day may not sum to total due to rounding. | — represents zero or rounded to zero | Notes | 1. Orders not available for the Northern Territory in 2024-25. | 2. Number of young people on an average day not available for the Northern Territory in 2024-25. | 3. In Tasmania, Parole is only applicable under the sentencing act of 1997. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25. | Table S72i: Community-based supervised orders, states and territories, 2024–25 | young people during the year —supervised or conditional bail and other unsentenced | Australia | NSW Vic Qld WA SA Tas ACT NT Australia 4375 | Male 303 647 529 307 241 37 88 629 2781 1255 | Female 68 81 191 74 75 17 36 149 691 7 | Not stated 1 — 2 — — — — 2 5 5637 | Total 372 728 722 381 316 54 124 780 3477 | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25. | Table S72j: Community-based supervised orders, states and territories, 2024–25 | Young people during the year —probation and similar | Australia | NSW Vic Qld WA SA Tas ACT NT Australia 864 | Male 1192 439 1497 602 111 111 43 380 4375 164 | Female 314 61 498 184 52 50 11 85 1255 1 | Not stated 2 — 3 1 — 1 — — 7 1029 | Total 1508 500 1998 787 163 162 54 465 5637 | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25. | Table S72k: Community-based supervised orders, states and territories, 2024–25 | Young people during the year —suspended detention | Australia | NSW Vic Qld WA SA Tas ACT NT Australia 1 | Male 67 — 279 180 52 58 8 220 864 — | Female 13 — 64 29 18 8 1 31 164 — | Not stated — — — — — 1 — — 1 1 | Total 80 — 343 209 70 67 9 251 1029 | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25. | Table S72l: Community-based supervised orders, states and territories, 2024–25 | Young people during the year —home detention | Australia | NSW Vic Qld WA SA Tas ACT NT Australia 577 | Male — — — — 1 — — — 1 65 | Female — — — — — — — — — — | Not stated — — — — — — — — — 642 | Total — — — — 1 — — — 1 | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25. | Table S72m: Community-based supervised orders, states and territories, 2024–25 | young people during the year —parole or supervised release | Australia | NSW Vic Qld WA SA Tas ACT NT Australia 21 | Male 159 70 243 89 3 13 — — 577 2 | Female 8 5 37 13 — 2 — — 65 — | Not stated — — — — — — — — — 23 | Total 167 75 280 102 3 15 — — 642 | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25. | Table S72n: Community-based supervised orders, states and territories, 2024–25 | Young people during the year —other sentenced | Australia | NSW Vic Qld WA SA Tas ACT NT Australia 275 | Male — — — 6 15 — — — 21 52 | Female — — — 1 1 — — — 2 — | Not stated — — — — — — — — — 327 | Total — — — 7 16 — — — 23 | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25. | Table S72o: Community-based supervised orders, states and territories, 2024–25 | Young people during the year —other NEC | Australia | NSW Vic Qld WA SA Tas ACT NT Australia 1318 | Male 14 1 — — 4 — 2 254 275 380 | Female 2 — — 1 1 — — 48 52 6 | Not stated — — — — — — — — — 1704 | Total 16 1 — 1 5 — 2 302 327 | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25. | Table S72p: Community-based supervised orders, states and territories, 2024–25 | All | Young people during the year —community service 5178 | 11876 | NSW Vic Qld WA SA Tas ACT NT Australia 1121 | Male 123 — 839 6 172 178 — — 1318 1 | Female 16 — 254 1 49 60 — — 380 1106 | Not stated — — 3 — 1 2 — — 6 25 | Total 139 — 1096 7 222 240 — — 1704 1235 | 45 | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25. 20587 | Table S72a: Community-based supervised orders, states and territories, 2024–25 | NSW Vic Qld WA SA Tas ACT NT All | Supervised and conditional bail and other unsentenced 510 1580 1073 866 846 63 240 — 5178 | Probation and similar 6046 795 3468 1093 200 202 72 — 11876 | Suspended detention 157 — 510 273 83 88 10 — 1121 | Home detention — — — — 1 — — — 1 | Parole and supervised release 360 81 513 128 6 18 — — 1106 | Other sentenced orders — — — 7 18 — — — 25 | Community service 96 — 770 5 162 202 — — 1235 | Other orders nec 28 1 — 1 10 — 5 — 45 | Total 7197 2457 6334 2373 1326 573 327 — 20587 | (a) Number of young people on an average day may not sum to total due to rounding. | — represents zero or rounded to zero | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25. | Table S72ab: Number of young people–average day(a) | NSW Vic Qld WA SA Tas ACT NT Australia | Supervised and conditional bail and other unsentenced 68.3 173.1 169.7 55 75.2 15.3 34.8 — 591.4 | Probation and similar 707.2 210.6 972.9 297.2 60.4 76.2 24.5 — 2348.9 | Suspended detention 32.2 — 101.1 82.8 22.7 32 3.2 — 274 | Home detention — — — — — — — — — | Parole and supervised release 47.3 25.9 63.7 29.3 1.8 3.8 — — 171.7 | Community service 28.2 — 251 0.8 47.4 61.4 — — 388.7 | Other sentenced orders — — — 2.1 5 — — — 7 | Other orders nec 6.7 0.5 — — 2.4 — 0.2 — 9.8 | Total young people 808.9 419.4 1286 444.9 203.4 147.2 70.9 — 3380.7 | (a) Number of young people on an average day may not sum to total due to rounding. | — represents zero or rounded to zero | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25. | Table S72ac: Number of young people–during the year(a) | NSW Vic Qld WA SA Tas ACT NT Australia | Supervised and conditional bail and other unsentenced 372 728 722 381 316 54 124 780 3477 | Probation and similar 1508 500 1998 787 163 162 54 465 5637 | Suspended detention 80 — 343 209 70 67 9 251 1029 | Home detention — — — — 1 — — — 1 | Parole and supervised release 167 75 280 102 3 15 — — 642 | Community service 139 — 1096 7 222 240 — — 1704 | Other sentenced orders — — — 7 16 — — — 23 | Other orders nec 16 1 — 1 5 — 2 302 327 | Total young people 1741 999 2449 1177 522 257 154 995 8294 | (a) Number of young people on an average day may not sum to total due to rounding. | — represents zero or rounded to zero | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S61,"Young people who completed a period of community-based supervision during the year by number of periods completed and Indigenous status, Australia, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S61,8,no_completed_periods; first_nations; non_indigenous; not_stated,total,
S62,"Number and median length of completed periods of community-based supervision by Indigenous status, states and territories, 2024-25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S62,16,indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,"Notes | 1. Median lengths were not calculated where there were fewer than five periods. | 2. Time under supervision calculated for 2024–25, from 1 July 2024. | 3. In Tasmania sentenced community supervision orders are generally specified by the courts to default to 12 months in length, which has the effect of increasing the length of supervision for Tasmania. | 4. Completed supervision periods not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S63,"Average length of time young people spent under community-based supervision during the year, by Indigenous status and sex, states and territories, 2020–21 to 2024–25 (days)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S63,45,year; indigenous_status; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S64a,"Young people under community-based supervision on an average day(a) by legal status and Indigenous status, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S64,12,legal_status; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S64b,"Young people under community-based supervision during the year by legal status and Indigenous status, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S64,12,legal_status; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S65a,"Young people aged 10–17 under community-based supervision on an average day(a) by legal status and Indigenous status, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S65,12,legal_status; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S65b,"Young people aged 10–17 under community-based supervision during the year by legal status and Indigenous status, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S65,12,legal_status; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S66a,"Young people aged 10–17 under community-based supervision on an average day(a) by legal status and Indigenous status, states and territories, 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S66,9,legal_status; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S66b,"Young people aged 10–17 under community-based supervision during the year by legal status and Indigenous status, states and territories, 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S66,9,legal_status; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S67,"Young people under community-based supervision on an average day(a) by Indigenous status and legal status, states and territories, 2020–21 to 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S67,80,indigenous_status; legal_status; year,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S68,"Successfully completed supervised or conditional bail and other unsentenced community-based supervised orders by length of order, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S68,7,duration,nsw; vic; qld; wa; sa; tas; act; nt; australia,Notes | 1. Some types of supervision are not available in some states and territories. | 2. This data should be interpreted with caution due to inconsistencies in breach practices and recording of breaches across Tasmania. | 3. Orders not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25.
S69,"Successfully completed probation and similar community-based supervised orders by length of order, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S69,7,section; duration,nsw; vic; qld; wa; sa; tas; act; nt; australia,"Notes | 1. Some types of supervision are not available in some states and territories. | 2. This data should be interpreted with caution due to inconsistencies in breach practices and recording of breaches across Tasmania. | 3. In Tasmania sentenced community supervision orders are generally specified by the courts to default to 12 months in length, which has the effect of increasing the length of supervision for Tasmania. | 4. Orders not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S70,"Breached probation and similar community-based supervised orders by time to breach, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S70,7,section; duration,nsw; vic; qld; wa; sa; tas; act; nt; australia,Notes | 1. Some types of supervision are not available in some states and territories. | 2. This data should be interpreted with caution due to inconsistencies in breach practices and recording of breaches across Tasmania. | 3. Orders not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25.
S71,"Successfully completed suspended detention community-based orders by length of order, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S71,7,section; duration,nsw; vic; qld; wa; sa; tas; act; nt; australia,Notes | 1. Some types of supervision are not available in some states and territories. | 2. This data should be interpreted with caution due to inconsistencies in breach practices and recording of breaches across Tasmania. | 3. Orders not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25.
S72a,"Young people in detention on an average day(a) by age, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S72,11,age,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | — represents zero or rounded to zero | Note: Age on an average day is calculated based on the age a young person is each day that they are under supervision. If a young person changes age during a period of supervision, the average daily number under supervision will reflect this. Average daily data broken down by age will not be comparable with data in Youth justice in Australia releases before 2019–20. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S72b,"Young people in detention during the year by age, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S72,8,section; age,nsw; vic; qld; wa; sa; tas; act; nt; australia,"Notes | 1. Age calculated as at start of financial year if first period of detention in the relevant year began before the start of the financial year, otherwise age calculated as at start of first period of detention in the relevant year. | 2. For Tasmania and the Australian Capital Terriorty, young people aged 18 and over in detention during the year have been excluded due to small numbers. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
