table,title,category,jurisdiction,financial_year,value
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,VIC,2022-23,4.509092259044791
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,VIC,2023-24p,4.103113931524607
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,QLD,2018-19,4.1437010748440715
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,QLD,2019-20,4.306086397321689
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,QLD,2020-21,4.7392688078071235
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,QLD,2021-22,4.513334429822001
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,QLD,2022-23,4.657827629905935
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,QLD,2023-24p,4.932779825705711
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,SA,2018-19,3.7674740991473468
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,SA,2019-20,3.9228666736596964
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,SA,2020-21,3.9049161325019184
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,SA,2021-22,3.4750321686144363
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,SA,2022-23,3.1269104140387403
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,SA,2023-24p,2.768455703567379
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,WA,2018-19,3.9477639880737865
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,WA,2019-20,4.057465373509257
