table,title,category,jurisdiction,financial_year,value
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,NSW,2019-20,0.018619447045466
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,NSW,2020-21,0.017861552732727
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,NSW,2021-22,0.018246474320349
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,NSW,2022-23,0.0183777286203796
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,NSW,2023-24,0.019260635565043
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,VIC,2019-20,0.0130394987659306
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,VIC,2020-21,0.0132418349544873
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,VIC,2021-22,0.0137274917466652
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,VIC,2022-23,0.0122815810461503
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,VIC,2023-24,0.016752206384633
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,QLD,2019-20,0.0129428810613388
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,QLD,2020-21,0.0129868682300991
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,QLD,2021-22,0.0130348936447405
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,QLD,2022-23,0.0127797682702598
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,QLD,2023-24,0.0138770344063452
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,SA,2019-20,0.0165920785810536
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,SA,2020-21,0.0172240523245185
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,SA,2021-22,0.016828758234397
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,SA,2022-23,0.0166257737592483
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,SA,2023-24,0.01831376116737
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,WA,2019-20,0.0143590601901831
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,WA,2020-21,0.0154395038251919
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,WA,2021-22,0.0164071589706984
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,WA,2022-23,0.0182084212309458
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,WA,2023-24,0.0193300822919533
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,TAS,2019-20,0.0154209391007007
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,TAS,2020-21,0.0193818406995011
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,TAS,2021-22,0.0190307683352412
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,TAS,2022-23,0.0209620598763894
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,TAS,2023-24,0.0188731557174133
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,NT,2019-20,0.0191646364665399
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,NT,2020-21,0.0197127363111307
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,NT,2021-22,0.0200250566916153
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,NT,2022-23,0.0205478353116576
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,NT,2023-24,0.0200237178737568
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,ACTPrivate,2019-20,0.0213411114344204
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,ACTPrivate,2020-21,0.0223944191358976
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,ACTPrivate,2021-22,0.0229671853551943
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,ACTPrivate,2022-23,0.0223718134807132
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,ACTPrivate,2023-24,0.0240268079227192
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,Comcare,2019-20,0.00828698417157763
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,Comcare,2020-21,0.00783782701118062
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,Comcare,2021-22,0.00619602884671894
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,Comcare,2022-23,0.00549022790441081
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,Comcare,2023-24,0.00495439925237591
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,AUST,2019-20,0.0147997944115103
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,AUST,2020-21,0.0151994364955975
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,AUST,2021-22,0.0155273448728569
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,AUST,2022-23,0.0151660366076116
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Arts and recreation services,AUST,2023-24,0.0173455793411579
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Other services,AUST,2019-20,0.0210919518277644
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Other services,AUST,2020-21,0.0205966916445733
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Other services,AUST,2021-22,0.0255003749861155
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Other services,AUST,2022-23,0.0327526804755911
Table 3.2,"Table 3.2. Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Other services,AUST,2023-24,0.0353291042592811
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,NSW,2019-20,1.14057542112549
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,NSW,2020-21,1.10580098318904
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,NSW,2021-22,1.03993747340204
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,NSW,2022-23,1.01290750803558
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,NSW,2023-24,0.929925557321508
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,VIC,2019-20,1.06526323864436
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,VIC,2020-21,1.05107604364066
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,VIC,2021-22,1.05210242879395
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,VIC,2022-23,1.04858696572386
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,VIC,2023-24,1.07256789643667
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,QLD,2019-20,1.7853723873085
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,QLD,2020-21,1.73168081388494
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,QLD,2021-22,1.5997776917034
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,QLD,2022-23,1.54876494234186
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,QLD,2023-24,1.52652491133742
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,SA,2019-20,1.16968585009887
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,SA,2020-21,1.05037814137578
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,SA,2021-22,0.925913268306286
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,SA,2022-23,1.10359639782694
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,SA,2023-24,1.1436615385227
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,Aus Gov,2019-20,1.27615902095156
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,Aus Gov,2020-21,1.2929999350581
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,Aus Gov,2021-22,1.2444889436477
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,Aus Gov,2022-23,1.16950952152124
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,Aus Gov,2023-24,1.1208351801431
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,AUST,2019-20,1.16293392124567
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,AUST,2020-21,1.12824297713639
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,AUST,2021-22,1.08698993750685
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,AUST,2022-23,1.0848981724464
Table 4.1,"Table 4.1. Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",,AUST,2023-24,1.06609235356415
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,WA,2019-20,1.24249574789025
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,WA,2020-21,1.18888557834733
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,WA,2021-22,1.21590409538384
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,WA,2022-23,1.21706390716362
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,WA,2023-24,1.1411139342601
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,TAS,2019-20,1.29995602699452
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,TAS,2020-21,1.27843543086453
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,TAS,2021-22,1.31909205913139
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,TAS,2022-23,1.50904487755169
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,TAS,2023-24,1.14573572922604
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,NT,2019-20,1.08091975104228
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,NT,2020-21,1.10528278585796
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,NT,2021-22,1.07492055111635
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,NT,2022-23,1.04172054401845
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,NT,2023-24,1.02323674800486
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,AUST,2019-20,1.17305428748434
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,AUST,2020-21,1.18176697935262
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,AUST,2021-22,1.19473401251623
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,AUST,2022-23,1.2607747016406
Table 4.2,"Table 4.2. Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",,AUST,2023-24,1.08701952009691
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,NSW,2019-20,0.0254928691275168
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,NSW,2020-21,0.0270665990897595
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,NSW,2021-22,0.0257852047860101
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,NSW,2022-23,0.0266669032326745
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,NSW,2023-24,0.0273206562076114
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,VIC,2019-20,0.0784516684430598
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,VIC,2020-21,0.0599558996974514
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,VIC,2021-22,0.0562205502355981
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,VIC,2022-23,0.0573042135451136
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,VIC,2023-24,0.0678122750768828
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,QLD,2019-20,0.0265599672076168
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,QLD,2020-21,0.0254676049148649
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,QLD,2021-22,0.024718372639598
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,QLD,2022-23,0.0256618230766576
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,QLD,2023-24,0.028079818377345
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,SA,2019-20,0.188901796086141
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,SA,2020-21,0.271536730100266
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,SA,2021-22,0.312807169702226
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,SA,2022-23,0.283892163494057
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,SA,2023-24,0.249976319030028
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,WA,2019-20,0.0434838681942265
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,WA,2020-21,0.0434386648593697
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,WA,2021-22,0.0471496904313255
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,WA,2022-23,0.0470526990229057
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,WA,2023-24,0.0499951835083325
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,TAS,2019-20,0.128120782726046
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,TAS,2020-21,0.100340926700759
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,TAS,2021-22,0.115020524419871
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,TAS,2022-23,0.115086654420573
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,TAS,2023-24,0.121417254788996
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,NT,2019-20,0.0766383627258872
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,NT,2020-21,0.0790676416819013
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,NT,2021-22,0.0747338692157289
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,NT,2022-23,0.0699475962633857
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,NT,2023-24,0.0591318934787167
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,Aus Gov,2019-20,0.059641600703606
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,Aus Gov,2020-21,0.0604996317906305
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,Aus Gov,2021-22,0.0604405083673587
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,Aus Gov,2022-23,0.0625036137612027
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,Aus Gov,2023-24,0.0695241309483631
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,Seacare,2019-20,0.238805970149254
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,Seacare,2020-21,0.145
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,Seacare,2021-22,0.14622641509434
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,Seacare,2022-23,0.217647058823529
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,Seacare,2023-24,0.346153846153846
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,AUST,2019-20,0.0461066707087756
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,AUST,2020-21,0.0432004301849108
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,AUST,2021-22,0.0431959268659196
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,AUST,2022-23,0.0430230843586677
Table 5.1,"Table 5.1. Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",,AUST,2023-24,0.0459279879429354
Table 5.2,"Table 5.2. Percentage of disputes resolved within selected time periods (cumulative %) by jurisdiction, 5-year to 2023-24 (Indicator 23)",Within 1 month,NSW,2019-20,0.0813301282051282
Table 5.2,"Table 5.2. Percentage of disputes resolved within selected time periods (cumulative %) by jurisdiction, 5-year to 2023-24 (Indicator 23)",Within 1 month,NSW,2020-21,0.092144452717796
Table 5.2,"Table 5.2. Percentage of disputes resolved within selected time periods (cumulative %) by jurisdiction, 5-year to 2023-24 (Indicator 23)",Within 1 month,NSW,2021-22,0.0921327014218009
Table 5.2,"Table 5.2. Percentage of disputes resolved within selected time periods (cumulative %) by jurisdiction, 5-year to 2023-24 (Indicator 23)",Within 1 month,NSW,2022-23,0.0748443904660695
Table 5.2,"Table 5.2. Percentage of disputes resolved within selected time periods (cumulative %) by jurisdiction, 5-year to 2023-24 (Indicator 23)",Within 1 month,NSW,2023-24,0.0680939637228665
Table 5.2,"Table 5.2. Percentage of disputes resolved within selected time periods (cumulative %) by jurisdiction, 5-year to 2023-24 (Indicator 23)",Within 1 month,VIC,2019-20,0.0855116514690983
Table 5.2,"Table 5.2. Percentage of disputes resolved within selected time periods (cumulative %) by jurisdiction, 5-year to 2023-24 (Indicator 23)",Within 1 month,VIC,2020-21,0.101510177281681
Table 5.2,"Table 5.2. Percentage of disputes resolved within selected time periods (cumulative %) by jurisdiction, 5-year to 2023-24 (Indicator 23)",Within 1 month,VIC,2021-22,0.10260989010989
Table 5.2,"Table 5.2. Percentage of disputes resolved within selected time periods (cumulative %) by jurisdiction, 5-year to 2023-24 (Indicator 23)",Within 1 month,VIC,2022-23,0.117421233783426
Table 5.2,"Table 5.2. Percentage of disputes resolved within selected time periods (cumulative %) by jurisdiction, 5-year to 2023-24 (Indicator 23)",Within 1 month,VIC,2023-24,0.106758196236241
Table 5.2,"Table 5.2. Percentage of disputes resolved within selected time periods (cumulative %) by jurisdiction, 5-year to 2023-24 (Indicator 23)",Within 1 month,QLD,2019-20,0.076953125
