state_territory,data_type,remoteness_area,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
Western Australia,Support periods (number),Inner regional,Females,3164,3430,3267,2733,2991,3497,3255,3844,3220,2935,2855,2377,2352,2220,-2.7
Western Australia,Support periods (number),Inner regional,All clients,4903,5031,4845,4175,4455,5152,4877,5621,4838,4324,4025,3388,3163,3026,-3.6
Western Australia,Support periods (number),Outer regional,Males,904,991,1180,1059,1306,1246,1196,1057,1160,1274,1296,1384,1160,1541,4.2
Western Australia,Support periods (number),Outer regional,Females,1758,1872,2434,2677,2765,2542,2569,2517,2833,3576,3454,3799,3508,4072,6.7
Western Australia,Support periods (number),Outer regional,All clients,2663,2863,3614,3736,4071,3788,3765,3574,3993,4850,4750,5183,4668,5613,5.9
Western Australia,Support periods (number),Remote and very remote,Males,913,1839,1260,1799,2223,2209,2155,2952,4002,3785,3645,3518,3520,3057,9.7
Western Australia,Support periods (number),Remote and very remote,Females,3272,4166,3804,4507,5586,5076,4984,6423,7620,7422,7841,7971,8467,7943,7.1
Western Australia,Support periods (number),Remote and very remote,All clients,4185,6006,5064,6307,7809,7285,7139,9375,11622,11207,11486,11489,11987,11000,7.7
Western Australia,"Clients (per 10,000 ERP)",Major cities,Males,62.9,54.8,54.1,56.9,55,54.9,52.2,50.3,46.3,42.7,42.5,43.2,42.7,44.4,-2.6
Western Australia,"Clients (per 10,000 ERP)",Major cities,Females,71.4,72.3,70.2,76.1,80,79.4,77,72.5,66,64.6,68.2,65.8,69.9,74,0.3
Western Australia,"Clients (per 10,000 ERP)",Major cities,All clients,67.1,63.6,62.2,66.6,67.5,67.2,64.7,61.5,56.2,53.7,55.5,54.6,56.3,59.3,-0.9
Western Australia,"Clients (per 10,000 ERP)",Inner regional,Males,153.4,113.8,102.5,101.9,102.1,120.5,110.1,121.5,111.4,94.8,78.2,67.8,52.8,50.4,-8.2
Western Australia,"Clients (per 10,000 ERP)",Inner regional,Females,264,223.3,204.7,191.3,209.4,244.1,210.9,257.2,222.2,190.4,185.8,155.6,146.5,136.6,-4.9
Western Australia,"Clients (per 10,000 ERP)",Inner regional,All clients,208.5,168.2,153.3,146.4,155.6,182.3,160.4,189.1,166.5,142.2,131.4,111.2,99.2,93,-6
Western Australia,"Clients (per 10,000 ERP)",Outer regional,Males,70.7,87.2,100.1,86,100.2,102.8,99.9,85.3,90.2,94.5,95.7,101.1,85,114.7,3.8
Western Australia,"Clients (per 10,000 ERP)",Outer regional,Females,138.1,155.2,190.5,200.6,194.2,190.3,187,179.7,197.5,230.6,224.8,246,233.8,271.2,5.3
Western Australia,"Clients (per 10,000 ERP)",Outer regional,All clients,104.3,121,145.1,143.1,147.1,146.5,143.3,132.2,143.3,161.7,159.3,172.6,158.4,191.8,4.8
Western Australia,"Clients (per 10,000 ERP)",Remote and very remote,Males,80.7,129.7,106.1,145.3,167.2,166.9,172.5,225.7,302,288.4,275.3,254.5,252.5,236.9,8.6
