state_territory,data_type,indigenous_status,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
South Australia,Clients (number),Indigenous clients,All clients,3587,4316,4863,4977,4951,4790,4741,4750,4824,4815,4487,4531,4753,4475,1.7
South Australia,Clients (number),Non-Indigenous clients,Males,5402,5699,5879,5637,5666,5579,5311,5331,5077,4859,4780,5400,5316,4889,-0.8
South Australia,Clients (number),Non-Indigenous clients,Females,7070,7713,8054,8006,8067,8120,7589,7446,7237,7050,7002,7661,7505,7175,0.1
South Australia,Clients (number),Non-Indigenous clients,All clients,12472,13412,13933,13643,13733,13700,12900,12777,12314,11909,11782,13061,12821,12064,-0.3
South Australia,Clients (number),Not stated,Males,1244,1422,1139,890,769,726,639,716,704,702,626,667,417,360,-9.1
South Australia,Clients (number),Not stated,Females,2194,2192,1719,1606,1445,1555,1361,1394,1376,1184,1135,1163,726,688,-8.5
South Australia,Clients (number),Not stated,All clients,3438,3614,2858,2496,2214,2281,2000,2110,2080,1886,1761,1830,1143,1048,-8.7
South Australia,Support periods (number),Indigenous clients,Males,2153,2506,3146,3109,3107,3167,2964,2983,3072,3285,3197,3352,3549,3283,3.3
South Australia,Support periods (number),Indigenous clients,Females,3588,4341,5433,5776,5850,5849,5498,5464,5382,5544,5459,5646,5879,5745,3.7
South Australia,Support periods (number),Indigenous clients,All clients,5741,6847,8580,8885,8957,9016,8462,8447,8454,8829,8656,8998,9428,9028,3.5
South Australia,Support periods (number),Non-Indigenous clients,Males,7851,8545,9806,9549,9485,9425,8624,8624,8065,7800,9245,9865,10199,9543,1.5
South Australia,Support periods (number),Non-Indigenous clients,Females,11165,12183,14145,14912,15091,15001,14066,13714,12645,12206,13892,14588,14842,13888,1.7
South Australia,Support periods (number),Non-Indigenous clients,All clients,19016,20729,23951,24461,24576,24426,22690,22338,20710,20006,23137,24453,25041,23431,1.6
South Australia,Support periods (number),Not stated,Males,1507,1761,1628,1371,1193,1114,959,1030,1046,1062,1133,1082,731,619,-6.6
South Australia,Support periods (number),Not stated,Females,2753,3005,2733,2674,2243,2428,2197,2134,2157,1901,2058,1941,1330,1236,-6
South Australia,Support periods (number),Not stated,All clients,4260,4766,4361,4045,3436,3542,3156,3164,3203,2963,3191,3023,2061,1855,-6.2
South Australia,"Clients (per 10,000 ERP)",Indigenous clients,Males,579.1,686,811.2,803.3,781.4,733.4,706.3,711.8,717.1,730.6,647.3,655,664.4,607.5,0.4
South Australia,"Clients (per 10,000 ERP)",Indigenous clients,Females,893.1,1058,1194,1228.7,1209.2,1175.2,1148.2,1105,1114.1,1087.4,1007.3,1005.5,1057.6,983.7,0.7
South Australia,"Clients (per 10,000 ERP)",Indigenous clients,All clients,735.3,871.4,1001.4,1014.9,995.2,955.8,927.6,907.8,914.8,907.7,827.1,829.7,860,794.4,0.6
