section,category,subcategory,unit,financial_year,state,measure,value
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,ACT,%,1.5005377276669558
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,Total(a),$m,1153
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,NSW,$m,119.1173
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,NSW,%,30.080126262626262
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,Vic,$m,87.7153
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,Vic,%,22.150328282828283
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,Qld,$m,103.1212
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,Qld,%,26.04070707070707
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,SA,$m,23.498
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,SA,%,5.933838383838384
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,WA,$m,34.6427
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,WA,%,8.748156565656565
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,Tas,$m,13.506
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,Tas,%,3.41060606060606
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,NT,$m,7.5467
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,NT,%,1.9057323232323233
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,ACT,$m,6.8527
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,ACT,%,1.730479797979798
Tourism characteristic industries,Tourism GVA,Casinos and other gambling services,,2023-24,Total(a),$m,396
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,NSW,$m,521.4297
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,NSW,%,26.712585721691305
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,Vic,$m,513.2292
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,Vic,%,26.292478161245995
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,Qld,$m,534.9457
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,Qld,%,27.405003719005958
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,SA,$m,80.0546
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,SA,%,4.10115757678496
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,WA,$m,161.1186
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,WA,%,8.254026216494559
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,Tas,$m,65.0243
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,Tas,%,3.3311627391822363
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,NT,$m,48.2818
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,NT,%,2.4734527421386914
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,ACT,$m,27.9161
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,ACT,%,1.4301280005057377
Tourism characteristic industries,Tourism GVA,Other sports and recreation services,,2023-24,Total(a),$m,1952.0001
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,NSW,$m,14860.924700000001
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,NSW,%,29.618775409960286
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,Vic,$m,11368.0796
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,Vic,%,22.65731125836006
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,Qld,$m,12322.1549
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,Qld,%,24.55884448091185
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,SA,$m,2956.1954000000005
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,SA,%,5.891886903952734
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,WA,$m,5175.2773
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,WA,%,10.31465935850988
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,Tas,$m,1519.7247000000004
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,Tas,%,3.0289087309801976
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,NT,$m,1012.3755
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,NT,%,2.0177292577928374
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,ACT,$m,959.2692
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,ACT,%,1.9118849981449857
Tourism characteristic industries,Tourism GVA,Total tourism characteristic industries,,2023-24,Total(a),$m,50174.001099999994
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,NSW,$m,261.4124
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,NSW,%,31.724805825242715
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,Vic,$m,183.692
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,Vic,%,22.292718446601942
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,Qld,$m,194.8753
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,Qld,%,23.649915048543694
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,SA,$m,51.3939
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,SA,%,6.237123786407768
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,WA,$m,86.8975
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,WA,%,10.545813106796116
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,Tas,$m,20.5341
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,Tas,%,2.492002427184466
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,NT,$m,11.6475
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,NT,%,1.4135315533980584
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,ACT,$m,13.5474
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,ACT,%,1.6441019417475728
Tourism connected industries,Tourism GVA,Automotive fuel retailing,,2023-24,Total(a),$m,824
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,NSW,$m,2698.959
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,NSW,%,33.262990713901665
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,Vic,$m,1838.3777
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,Vic,%,22.65686153948389
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,Qld,$m,1852.4799
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,Qld,%,22.830662381825544
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,SA,$m,441.8794
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,SA,%,5.445888721860703
