Agency,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
SA Metropolitan Fire Service,,24,14,22,8,30,18,,,,,,
SA Multicultural and Ethnic Affairs Commission,,,,,0,0,0,0,0,0,0,0,
SA Murray Darling Basin Natural Resources Management Board,,,,,0,0,0,0,0,0,0,0,2
SA State Emergency Services,5,,3,2,2,7,4,,,,,,
SA Water,61,46,39,11,17,29,25,73,75,46,45,98,66
SACE Board of South Australia,7,22,3,7,0,1,1907,1,4,1,6,4,
Screening Unit,,,,3,,,,,,,,,
South Australia Police,3443,2690,2726,2305,2366,2232,1,1923,2110,1986,1940,2057,2095
South Australian Civil and Administrative Tribunal,1,0,1,0,0,0,4,4,7,1,,,
South Australian Country Fire Service,,45,33,0,10,57,29,32,35,53,55,26,17
South Australian Employment Tribunal,,,,0,0,0,0,1,,,,,
South Australian Film Corporation,1,0,0,0,0,0,2,9,1,0,0,4,8
South Australian Heritage Council,,,,1,,,,,,,,,
South Australian MotorSport Board,2,1,6,,,,,,,,,,
South Australian Museum,2,4,2,1,1,0,0,3,0,2,0,0,0
South Australian Productivity Commission,,0,,,,,,,,,,,
South Australian Small Business Commissioner,1,0,,,,,,,,,,,
South Australian Space Industry Centre,,0,,,,,,,,,,,
South Australian Tourism Commission,1,8,24,10,22,16,12,78,24,25,28,41,41
South East Natural Resources Management Board,,,,,0,0,0,0,0,0,0,1,1
South Eastern Water Conservation and Drainage Brd,,,,1,0,0,0,,,,,,
Southern Adelaide Local Health Network,1282,1031,1034,834,914,986,1026,929,996,1015,1072,878,1055
State Library of South Australia,4,7,5,0,0,0,0,0,1,1,0,0,1
State Theatre Company,,,0,0,0,0,0,0,0,0,0,0,0
Stormwater Management Authority,,,,0,0,0,0,0,0,0,0,0,3
State Superannuation Office (Super SA),24,3,2,3,1,1,0,4,0,4,2,1,2
TAFE SA,24,24,17,0,0,0,0,8,51,144,8,5,
Teachers Registration Board of SA,5,3,4,3,4,4,1,1,9,10,7,11,1
The Law Society of SA,,1,,,,,,,,,,,
Veterans SA,,0,,,,,,,,,,,
Veterinary Surgeons Board of SA,3,0,10,0,0,0,0,0,0,0,0,0,0
Wellbeing SA,,0,,,,,,,,,,,
West Beach Trust,,0,0,0,0,0,0,0,1,0,0,2,0
Women's and Children's Health Network,521,590,519,285,350,393,339,419,342,318,393,342,395
WorkCover Corporation,,,,,,,,,,391,305,226,271
Workcover Ombudsman,,,,0,0,0,0,0,0,0,0,0,1
Workers Compensation Tribunal,,,,0,0,0,0,0,0,0,0,0,0
Yorke and Northern Local Health Network,139,138,181,136,104,4,,,,,,,
