sex,year,age_group,unit,value
Males,2013,35–44 years,"Victimisation rate (number per 100,000)",16.1
Males,2013,45–54 years,"Victimisation rate (number per 100,000)",15.0
Males,2013,55–64 years,"Victimisation rate (number per 100,000)",6.2
Males,2013,65 years and over,"Victimisation rate (number per 100,000)",2.1
Males,2013,Total,"Victimisation rate (number per 100,000)",29.4
Persons,2013,0–9 years,"Victimisation rate (number per 100,000)",95.0
Persons,2013,10–17 years,"Victimisation rate (number per 100,000)",361.8
Persons,2013,18–24 years,"Victimisation rate (number per 100,000)",148.4
Persons,2013,25–34 years,"Victimisation rate (number per 100,000)",73.4
Persons,2013,35–44 years,"Victimisation rate (number per 100,000)",52.0
Persons,2013,45–54 years,"Victimisation rate (number per 100,000)",30.1
Persons,2013,55–64 years,"Victimisation rate (number per 100,000)",11.3
Persons,2013,65 years and over,"Victimisation rate (number per 100,000)",6.2
Persons,2013,Total,"Victimisation rate (number per 100,000)",86.6
Females,2014,0–9 years,"Victimisation rate (number per 100,000)",130.4
Females,2014,10–17 years,"Victimisation rate (number per 100,000)",648.5
Females,2014,18–24 years,"Victimisation rate (number per 100,000)",265.5
Females,2014,25–34 years,"Victimisation rate (number per 100,000)",131.8
Females,2014,35–44 years,"Victimisation rate (number per 100,000)",87.2
Females,2014,45–54 years,"Victimisation rate (number per 100,000)",50.9
Females,2014,55–64 years,"Victimisation rate (number per 100,000)",23.6
Females,2014,65 years and over,"Victimisation rate (number per 100,000)",10.1
Females,2014,Total,"Victimisation rate (number per 100,000)",145.0
Males,2014,0–9 years,"Victimisation rate (number per 100,000)",65.6
Males,2014,10–17 years,"Victimisation rate (number per 100,000)",103.8
Males,2014,18–24 years,"Victimisation rate (number per 100,000)",27.4
Males,2014,25–34 years,"Victimisation rate (number per 100,000)",19.0
Males,2014,35–44 years,"Victimisation rate (number per 100,000)",20.1
Males,2014,45–54 years,"Victimisation rate (number per 100,000)",13.9
Males,2014,55–64 years,"Victimisation rate (number per 100,000)",5.8
Males,2014,65 years and over,"Victimisation rate (number per 100,000)",1.8
Males,2014,Total,"Victimisation rate (number per 100,000)",30.3
Persons,2014,0–9 years,"Victimisation rate (number per 100,000)",97.2
Persons,2014,10–17 years,"Victimisation rate (number per 100,000)",369.3
Persons,2014,18–24 years,"Victimisation rate (number per 100,000)",144.4
Persons,2014,25–34 years,"Victimisation rate (number per 100,000)",75.4
Persons,2014,35–44 years,"Victimisation rate (number per 100,000)",53.9
Persons,2014,45–54 years,"Victimisation rate (number per 100,000)",32.9
Persons,2014,55–64 years,"Victimisation rate (number per 100,000)",14.7
Persons,2014,65 years and over,"Victimisation rate (number per 100,000)",6.3
Persons,2014,Total,"Victimisation rate (number per 100,000)",88.4
Females,2015,0–9 years,"Victimisation rate (number per 100,000)",131.7
Females,2015,10–17 years,"Victimisation rate (number per 100,000)",652.6
Females,2015,18–24 years,"Victimisation rate (number per 100,000)",269.9
Females,2015,25–34 years,"Victimisation rate (number per 100,000)",136.6
Females,2015,35–44 years,"Victimisation rate (number per 100,000)",98.2
Females,2015,45–54 years,"Victimisation rate (number per 100,000)",62.5
Females,2015,55–64 years,"Victimisation rate (number per 100,000)",29.1
Females,2015,65 years and over,"Victimisation rate (number per 100,000)",10.5
Females,2015,Total,"Victimisation rate (number per 100,000)",149.6
Males,2015,0–9 years,"Victimisation rate (number per 100,000)",65.5
Males,2015,10–17 years,"Victimisation rate (number per 100,000)",106.2
Males,2015,18–24 years,"Victimisation rate (number per 100,000)",28.6
Males,2015,25–34 years,"Victimisation rate (number per 100,000)",17.5
Males,2015,35–44 years,"Victimisation rate (number per 100,000)",23.6
Males,2015,45–54 years,"Victimisation rate (number per 100,000)",22.2
Males,2015,55–64 years,"Victimisation rate (number per 100,000)",11.1
Males,2015,65 years and over,"Victimisation rate (number per 100,000)",4.2
Males,2015,Total,"Victimisation rate (number per 100,000)",32.9
Persons,2015,0–9 years,"Victimisation rate (number per 100,000)",98.0
Persons,2015,10–17 years,"Victimisation rate (number per 100,000)",372.7
Persons,2015,18–24 years,"Victimisation rate (number per 100,000)",146.5
Persons,2015,25–34 years,"Victimisation rate (number per 100,000)",77.3
