sex,year,experience_of_violence,sex_of_perpetrator,relationship_with_perpetrator,disability_status_type,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Persons,2016,Experienced intimate partner violence since age 15,By a person,Intimate partner,With disability — Type not specified,Proportion,23.1,n.a.,n.a.,20.9,25.4,
Persons,2016,Experienced intimate partner violence since age 15,By a person,Intimate partner,Without disability,Proportion,13.2,n.a.,n.a.,12.4,13.9,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,With disability,Proportion,16.3,n.a.,n.a.,14.8,17.7,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,"With disability — Sight, hearing, speech",Proportion,13.3,n.a.,n.a.,11.4,15.1,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Physical,Proportion,17.7,n.a.,n.a.,16.0,19.3,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Intellectual,Proportion,22.7,n.a.,n.a.,17.7,27.7,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Psychological,Proportion,34.9,n.a.,n.a.,30.1,39.6,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,"With disability — Head injury, stroke or brain damage",Proportion,19.6,n.a.,n.a.,12.3,26.9,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Type not specified,Proportion,18.5,n.a.,n.a.,16.3,20.7,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,Without disability,Proportion,9.6,n.a.,n.a.,8.9,10.3,
Persons,2016,Experienced violence since age 15,By a person,Intimate partner,With disability— other disability status,Proportion,19.7,n.a.,n.a.,18.3,21.1,
Persons,2016,Experienced violence since age 15,By a person,Intimate partner,With disability— severe or profound,Proportion,28.5,n.a.,n.a.,23.8,33.2,
Persons,2016,Experienced violence since age 15,By a person,Intimate partner,With disability,Proportion,20.8,n.a.,n.a.,19.4,22.1,
Persons,2016,Experienced violence since age 15,By a person,Intimate partner,Without disability,Proportion,13.2,n.a.,n.a.,12.4,13.9,
Persons,2016,Experienced violence since age 15,By a person,Parent,With disability— other disability status,Proportion,5,n.a.,n.a.,4.2,5.8,
Persons,2016,Experienced violence since age 15,By a person,Parent,With disability— severe or profound,Proportion,6.7,n.a.,n.a.,4.7,8.8,
Persons,2016,Experienced violence since age 15,By a person,Parent,With disability,Proportion,5.2,n.a.,n.a.,4.5,6.0,
Persons,2016,Experienced violence since age 15,By a person,Parent,Without disability,Proportion,3,n.a.,n.a.,2.5,3.5,
Persons,2016,Experienced violence since age 15,By a person,Child,With disability— other disability status,Proportion,0.7,n.a.,n.a.,0.5,1.0,
Persons,2016,Experienced violence since age 15,By a person,Child,With disability— severe or profound,Proportion,1.3,n.a.,n.a.,0.0,2.8,**
Persons,2016,Experienced violence since age 15,By a person,Child,With disability,Proportion,0.8,n.a.,n.a.,0.5,1.1,
Persons,2016,Experienced violence since age 15,By a person,Child,Without disability,Proportion,0.2,n.a.,n.a.,0.1,0.2,*
Persons,2016,Experienced violence since age 15,By a person,Sibling,With disability— other disability status,Proportion,2.4,n.a.,n.a.,1.7,3.1,
Persons,2016,Experienced violence since age 15,By a person,Sibling,With disability— severe or profound,Proportion,3.1,n.a.,n.a.,1.8,4.4,
Persons,2016,Experienced violence since age 15,By a person,Sibling,With disability,Proportion,2.5,n.a.,n.a.,1.8,3.2,
Persons,2016,Experienced violence since age 15,By a person,Sibling,Without disability,Proportion,1.1,n.a.,n.a.,0.8,1.3,
Persons,2016,Have experienced emotional abuse by a partner since age 15,By a person,Partner - current or previous,"With disability — Sight, hearing, speech",Proportion,23.7,n.a.,n.a.,21.2,26.1,
Persons,2016,Have experienced emotional abuse by a partner since age 15,By a person,Partner - current or previous,With disability — Physical,Proportion,27.6,n.a.,n.a.,25.5,29.6,
Persons,2016,Have experienced emotional abuse by a partner since age 15,By a person,Partner - current or previous,With disability — Intellectual,Proportion,30.6,n.a.,n.a.,24.5,36.8,
Persons,2016,Have experienced emotional abuse by a partner since age 15,By a person,Partner - current or previous,With disability — Psychological,Proportion,41.3,n.a.,n.a.,36.5,46.2,
Persons,2016,Have experienced emotional abuse by a partner since age 15,By a person,Partner - current or previous,"With disability — Head injury, stroke or brain damage",Proportion,35.3,n.a.,n.a.,24.9,45.7,
Persons,2016,Have experienced emotional abuse by a partner since age 15,By a person,Partner - current or previous,With disability — Type not specified,Proportion,28.8,n.a.,n.a.,26.4,31.2,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,With disability,Proportion,79.2,n.a.,n.a.,77.9,80.6,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,"With disability — Sight, hearing, speech",Proportion,81.9,n.a.,n.a.,79.8,83.9,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,With disability — Physical,Proportion,78.3,n.a.,n.a.,76.6,80.1,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,With disability — Intellectual,Proportion,72.5,n.a.,n.a.,66.6,78.5,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,With disability — Psychological,Proportion,61.3,n.a.,n.a.,57.2,65.3,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,"With disability — Head injury, stroke or brain damage",Proportion,70.2,n.a.,n.a.,60.5,80.0,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,With disability — Type not specified,Proportion,76.9,n.a.,n.a.,74.6,79.1,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,Without disability,Proportion,86.8,n.a.,n.a.,86.1,87.6,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,With disability,Proportion,83.7,n.a.,n.a.,82.3,85.2,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,"With disability — Sight, hearing, speech",Proportion,86.7,n.a.,n.a.,84.9,88.6,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Physical,Proportion,82.3,n.a.,n.a.,80.7,84.0,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Intellectual,Proportion,77.3,n.a.,n.a.,72.3,82.3,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Psychological,Proportion,65.1,n.a.,n.a.,60.4,69.9,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,"With disability — Head injury, stroke or brain damage",Proportion,80.4,n.a.,n.a.,73.1,87.7,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Type not specified,Proportion,81.5,n.a.,n.a.,79.3,83.7,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,Without disability,Proportion,90.4,n.a.,n.a.,89.7,91.1,
