year,age_group,sex,perpetrator_s_relationship_to_victim,unit,value
2023–24,15–19,Male,All FDV perpetrators,"Rate per 100,000 population",15.9
2023–24,15–19,Female,Other family member,"Rate per 100,000 population",11.9
2023–24,15–19,Male,Other family member,"Rate per 100,000 population",8.2
2023–24,15–19,Female,Parent,"Rate per 100,000 population",7.6
2023–24,15–19,Male,Parent,"Rate per 100,000 population",6.3
2023–24,15–19,Female,Spouse or domestic partner,"Rate per 100,000 population",26.0
2023–24,15–19,Male,Spouse or domestic partner,"Rate per 100,000 population",1.7
2023–24,0–14,Female,All FDV perpetrators,"Rate per 100,000 population",12.1
2023–24,0–14,Male,All FDV perpetrators,"Rate per 100,000 population",11.3
2023–24,0–14,Female,Other family member,"Rate per 100,000 population",2.1
2023–24,0–14,Male,Other family member,"Rate per 100,000 population",n.p.
2023–24,0–14,Female,Parent,"Rate per 100,000 population",9.3
2023–24,0–14,Male,Parent,"Rate per 100,000 population",8.5
