sex,year,age_at_report,unit,value
Males,2023,25–34 years,Proportion of total victims,21.7
Males,2023,35–44 years,Proportion of total victims,20.8
Males,2023,45–54 years,Proportion of total victims,17.2
Males,2023,55–64 years,Proportion of total victims,16.4
Males,2023,65 years and over,Proportion of total victims,9
Males,2023,18 years and over,Proportion of total victims,19.7
Males,2024,0–9 years,Proportion of total victims,57.7
Males,2024,10–17 years,Proportion of total victims,28.6
Males,2024,Under 18 years,Proportion of total victims,37.2
Males,2024,18–24 years,Proportion of total victims,21.2
Males,2024,25–34 years,Proportion of total victims,19.6
Males,2024,35–44 years,Proportion of total victims,17.4
Males,2024,45–54 years,Proportion of total victims,19.9
Males,2024,55–64 years,Proportion of total victims,14
Males,2024,65 years and over,Proportion of total victims,10.2
Males,2024,18 years and over,Proportion of total victims,18.7
Persons,2014,0–9 years,Proportion of total victims,51.1
Persons,2014,10–17 years,Proportion of total victims,32.4
Persons,2014,Under 18 years,Proportion of total victims,37.3
Persons,2014,18–24 years,Proportion of total victims,24.2
Persons,2014,25–34 years,Proportion of total victims,32.9
Persons,2014,35–44 years,Proportion of total victims,34.7
Persons,2014,45–54 years,Proportion of total victims,32.8
Persons,2014,55–64 years,Proportion of total victims,20.9
Persons,2014,65 years and over,Proportion of total victims,12
Persons,2014,18 years and over,Proportion of total victims,29.1
Persons,2015,0–9 years,Proportion of total victims,50.9
Persons,2015,10–17 years,Proportion of total victims,33.1
Persons,2015,Under 18 years,Proportion of total victims,37.8
Persons,2015,18–24 years,Proportion of total victims,27.3
Persons,2015,25–34 years,Proportion of total victims,36.3
Persons,2015,35–44 years,Proportion of total victims,38.3
Persons,2015,45–54 years,Proportion of total victims,34.3
Persons,2015,55–64 years,Proportion of total victims,27.7
Persons,2015,65 years and over,Proportion of total victims,15.3
Persons,2015,18 years and over,Proportion of total victims,32.3
Persons,2016,0–9 years,Proportion of total victims,53
Persons,2016,10–17 years,Proportion of total victims,34.3
Persons,2016,Under 18 years,Proportion of total victims,38.9
Persons,2016,18–24 years,Proportion of total victims,27.6
Persons,2016,25–34 years,Proportion of total victims,35.2
Persons,2016,35–44 years,Proportion of total victims,38.5
Persons,2016,45–54 years,Proportion of total victims,34.3
Persons,2016,55–64 years,Proportion of total victims,25.7
Persons,2016,65 years and over,Proportion of total victims,13.5
Persons,2016,18 years and over,Proportion of total victims,32.2
Persons,2017,0–9 years,Proportion of total victims,53.4
