sex,year,experience_of_violence,sex_of_perpetrator,relationship_with_perpetrator,police_contact,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because workplace/on the job incident - internal reporting procedures followed,Proportion,n.p.,n.a.,n.p.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because cultural/language reasons,Proportion,n.p.,n.a.,n.p.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because fear of the person responsible,Proportion,5.6,n.a.,4.3,1.3,9.9,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because fear of legal processes,Proportion,8.5,n.a.,6.2,2.3,14.7,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because felt they would not be believed,Proportion,7.1,n.a.,n.p.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because did not think the police would be able to do anything,Proportion,4.5,n.a.,n.p.,n.a.,n.a.,#
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because did not trust the police,Proportion,5.3,n.a.,n.p.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Intimate partner,Police not contacted,Proportion,n.p.,n.a.,n.p.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Intimate partner,Police contacted,Proportion,n.p.,n.a.,n.p.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Other family member,Police not contacted,Proportion,77.9,n.a.,19.4,58.5,97.3,#
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Other family member,Police contacted,Proportion,18.1,n.a.,9.0,9.1,27.1,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted,Proportion,85.3,n.a.,14.3,71.0,99.6,#
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police contacted,Proportion,16.9,n.a.,8.6,8.3,25.5,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because felt ashamed or embarrassed,Proportion,19.4,n.a.,3.7,15.7,23.1,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not want person responsible arrested,Proportion,24.3,n.a.,4.1,20.2,28.4,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not regard the incident as a serious offence,Proportion,33.4,n.a.,4.3,29.1,37.7,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not know or think the incident was a crime,Proportion,14.1,n.a.,3.3,10.8,17.4,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not think there was anything the police could do,Proportion,13.9,n.a.,3.4,10.5,17.3,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted reason not known,Proportion,2.5,n.a.,1.4,1.1,3.9,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because other reason,Proportion,6.4,n.a.,2.0,4.4,8.4,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because felt they could deal with it themselves,Proportion,40.1,n.a.,4.3,35.8,44.4,
