sex,period,type_of_homicide,unit,value,data_flag
Persons,2024–25,Domestic,Number,98,
Persons,1989–90,Family,Number,45,
Persons,1990–91,Family,Number,50,
Persons,1991–92,Family,Number,40,
Persons,1992–93,Family,Number,53,
Persons,1993–94,Family,Number,61,
Persons,1994–95,Family,Number,67,
Persons,1995–96,Family,Number,63,
Persons,1996–97,Family,Number,62,
Persons,1997–98,Family,Number,54,
Persons,1998–99,Family,Number,48,
Persons,1999–2000,Family,Number,70,
Persons,2000–01,Family,Number,41,
Persons,2001–02,Family,Number,79,
Persons,2002–03,Family,Number,64,
Persons,2003–04,Family,Number,55,
Persons,2004–05,Family,Number,47,
Persons,2005–06,Family,Number,60,
Persons,2006–07,Family,Number,51,
Persons,2007–08,Family,Number,64,
Persons,2008–09,Family,Number,26,
Persons,2009–10,Family,Number,47,
Persons,2010–11,Family,Number,46,
Persons,2011–12,Family,Number,46,
Persons,2012–13,Family,Number,45,
Persons,2013–14,Family,Number,44,
Persons,2014–15,Family,Number,54,
Persons,2015–16,Family,Number,58,
Persons,2016–17,Family,Number,48,
Persons,2017–18,Family,Number,36,
Persons,2018–19,Family,Number,36,
Persons,2019–20,Family,Number,47,
Persons,2020–21,Family,Number,41,
Persons,2021–22,Family,Number,30,
Persons,2022–23,Family,Number,47,
Persons,2023–24,Family,Number,36,
Persons,2024–25,Family,Number,52,
Persons,1989–90,Intimate partner,Number,82,
Persons,1990–91,Intimate partner,Number,84,
Persons,1991–92,Intimate partner,Number,66,
Persons,1992–93,Intimate partner,Number,82,
Persons,1993–94,Intimate partner,Number,79,
Persons,1994–95,Intimate partner,Number,93,
Persons,1995–96,Intimate partner,Number,68,
Persons,1996–97,Intimate partner,Number,58,
Persons,1997–98,Intimate partner,Number,70,
Persons,1998–99,Intimate partner,Number,68,
Persons,1999–2000,Intimate partner,Number,70,
Persons,2000–01,Intimate partner,Number,74,
Persons,2001–02,Intimate partner,Number,93,
Persons,2002–03,Intimate partner,Number,76,
Persons,2003–04,Intimate partner,Number,67,
Persons,2004–05,Intimate partner,Number,65,
Persons,2005–06,Intimate partner,Number,76,
Persons,2006–07,Intimate partner,Number,64,
Persons,2007–08,Intimate partner,Number,83,
Persons,2008–09,Intimate partner,Number,62,
Persons,2009–10,Intimate partner,Number,60,
Persons,2010–11,Intimate partner,Number,51,
Persons,2011–12,Intimate partner,Number,59,
Persons,2012–13,Intimate partner,Number,66,
Persons,2013–14,Intimate partner,Number,61,
Persons,2014–15,Intimate partner,Number,58,
Persons,2015–16,Intimate partner,Number,49,
Persons,2016–17,Intimate partner,Number,55,
Persons,2017–18,Intimate partner,Number,47,
Persons,2018–19,Intimate partner,Number,47,
Persons,2019–20,Intimate partner,Number,46,
Persons,2020–21,Intimate partner,Number,40,
Persons,2021–22,Intimate partner,Number,36,
Persons,2022–23,Intimate partner,Number,40,
Persons,2023–24,Intimate partner,Number,58,
Persons,2024–25,Intimate partner,Number,46,
Females,1989–90,Domestic,"Rate (Number per 100,000)",0.91,
Females,1990–91,Domestic,"Rate (Number per 100,000)",1.08,
Females,1991–92,Domestic,"Rate (Number per 100,000)",0.79,
Females,1992–93,Domestic,"Rate (Number per 100,000)",0.95,
Females,1993–94,Domestic,"Rate (Number per 100,000)",0.85,
Females,1994–95,Domestic,"Rate (Number per 100,000)",1.07,
Females,1995–96,Domestic,"Rate (Number per 100,000)",0.87,
Females,1996–97,Domestic,"Rate (Number per 100,000)",0.76,
Females,1997–98,Domestic,"Rate (Number per 100,000)",0.72,
Females,1998–99,Domestic,"Rate (Number per 100,000)",0.79,
Females,1999–2000,Domestic,"Rate (Number per 100,000)",0.86,
Females,2000–01,Domestic,"Rate (Number per 100,000)",0.86,
Females,2001–02,Domestic,"Rate (Number per 100,000)",1.06,
Females,2002–03,Domestic,"Rate (Number per 100,000)",0.87,
Females,2003–04,Domestic,"Rate (Number per 100,000)",0.75,
Females,2004–05,Domestic,"Rate (Number per 100,000)",0.59,
Females,2005–06,Domestic,"Rate (Number per 100,000)",0.85,
Females,2006–07,Domestic,"Rate (Number per 100,000)",0.57,
Females,2007–08,Domestic,"Rate (Number per 100,000)",0.85,
Females,2008–09,Domestic,"Rate (Number per 100,000)",0.55,
Females,2009–10,Domestic,"Rate (Number per 100,000)",0.57,
Females,2010–11,Domestic,"Rate (Number per 100,000)",0.53,
Females,2011–12,Domestic,"Rate (Number per 100,000)",0.57,
Females,2012–13,Domestic,"Rate (Number per 100,000)",0.58,
Females,2013–14,Domestic,"Rate (Number per 100,000)",0.61,
Females,2014–15,Domestic,"Rate (Number per 100,000)",0.53,
Females,2015–16,Domestic,"Rate (Number per 100,000)",0.55,
Females,2016–17,Domestic,"Rate (Number per 100,000)",0.47,
Females,2017–18,Domestic,"Rate (Number per 100,000)",0.37,
Females,2018–19,Domestic,"Rate (Number per 100,000)",0.40,
Females,2019–20,Domestic,"Rate (Number per 100,000)",0.47,
Females,2020–21,Domestic,"Rate (Number per 100,000)",0.37,
Females,2021–22,Domestic,"Rate (Number per 100,000)",0.32,
Females,2022–23,Domestic,"Rate (Number per 100,000)",0.36,
Females,2023–24,Domestic,"Rate (Number per 100,000)",0.44,
Females,2024–25,Domestic,"Rate (Number per 100,000)",0.35,
Females,1989–90,Family,"Rate (Number per 100,000)",0.20,*
Females,1990–91,Family,"Rate (Number per 100,000)",0.24,
Females,1991–92,Family,"Rate (Number per 100,000)",0.23,
Females,1992–93,Family,"Rate (Number per 100,000)",0.22,*
Females,1993–94,Family,"Rate (Number per 100,000)",0.25,
Females,1994–95,Family,"Rate (Number per 100,000)",0.30,
Females,1995–96,Family,"Rate (Number per 100,000)",0.33,
Females,1996–97,Family,"Rate (Number per 100,000)",0.24,
Females,1997–98,Family,"Rate (Number per 100,000)",0.20,*
Females,1998–99,Family,"Rate (Number per 100,000)",0.23,
Females,1999–2000,Family,"Rate (Number per 100,000)",0.31,
Females,2000–01,Family,"Rate (Number per 100,000)",0.21,
Females,2001–02,Family,"Rate (Number per 100,000)",0.30,
Females,2002–03,Family,"Rate (Number per 100,000)",0.29,
Females,2003–04,Family,"Rate (Number per 100,000)",0.25,
Females,2004–05,Family,"Rate (Number per 100,000)",0.13,*
Females,2005–06,Family,"Rate (Number per 100,000)",0.25,
Females,2006–07,Family,"Rate (Number per 100,000)",0.17,*
Females,2007–08,Family,"Rate (Number per 100,000)",0.24,
Females,2008–09,Family,"Rate (Number per 100,000)",0.09,*
Females,2009–10,Family,"Rate (Number per 100,000)",0.17,*
Females,2010–11,Family,"Rate (Number per 100,000)",0.20,
Females,2011–12,Family,"Rate (Number per 100,000)",0.15,*
Females,2012–13,Family,"Rate (Number per 100,000)",0.13,*
Females,2013–14,Family,"Rate (Number per 100,000)",0.21,
Females,2014–15,Family,"Rate (Number per 100,000)",0.17,
Females,2015–16,Family,"Rate (Number per 100,000)",0.23,
Females,2016–17,Family,"Rate (Number per 100,000)",0.14,*
Females,2017–18,Family,"Rate (Number per 100,000)",0.10,*
Females,2018–19,Family,"Rate (Number per 100,000)",0.13,*
Females,2019–20,Family,"Rate (Number per 100,000)",0.19,
Females,2020–21,Family,"Rate (Number per 100,000)",0.16,
Females,2021–22,Family,"Rate (Number per 100,000)",0.12,*
Females,2022–23,Family,"Rate (Number per 100,000)",0.09,*
Females,2023–24,Family,"Rate (Number per 100,000)",0.09,*
Females,2024–25,Family,"Rate (Number per 100,000)",0.12,*
Females,1989–90,Intimate partner,"Rate (Number per 100,000)",0.95,
Females,1990–91,Intimate partner,"Rate (Number per 100,000)",1.13,
Females,1991–92,Intimate partner,"Rate (Number per 100,000)",0.75,
