year,offence,location,unit,value
2019,Sexual assault,New South Wales,Proportion,46.9
2019,Sexual assault,Queensland,Proportion,39.8
2019,Sexual assault,South Australia,Proportion,42.1
2019,Sexual assault,Northern Territory,Proportion,32.3
2020,Assault,New South Wales,Proportion,68.4
2020,Assault,Queensland,Proportion,n.p.
2020,Assault,South Australia,Proportion,72.4
2020,Assault,Northern Territory,Proportion,78.0
2020,Homicide and related offences,New South Wales,Proportion,n.p.
2020,Homicide and related offences,Queensland,Proportion,n.p.
2020,Homicide and related offences,South Australia,Proportion,n.p.
2020,Homicide and related offences,Northern Territory,Proportion,n.p.
2020,Kidnapping/abduction,New South Wales,Proportion,n.p.
2020,Kidnapping/abduction,Queensland,Proportion,n.p.
2020,Kidnapping/abduction,South Australia,Proportion,n.p.
2020,Kidnapping/abduction,Northern Territory,Proportion,n.p.
2020,Sexual assault,New South Wales,Proportion,43.4
2020,Sexual assault,Queensland,Proportion,41.2
2020,Sexual assault,South Australia,Proportion,39.1
2020,Sexual assault,Northern Territory,Proportion,38.1
2021,Assault,New South Wales,Proportion,69.7
2021,Assault,Queensland,Proportion,n.p.
2021,Assault,South Australia,Proportion,71.4
2021,Assault,Northern Territory,Proportion,79.2
2021,Homicide and related offences,New South Wales,Proportion,n.p.
2021,Homicide and related offences,Queensland,Proportion,n.p.
2021,Homicide and related offences,South Australia,Proportion,n.p.
2021,Homicide and related offences,Northern Territory,Proportion,n.p.
2021,Kidnapping/abduction,New South Wales,Proportion,n.p.
2021,Kidnapping/abduction,Queensland,Proportion,n.p.
2021,Kidnapping/abduction,South Australia,Proportion,n.p.
2021,Kidnapping/abduction,Northern Territory,Proportion,n.p.
2021,Sexual assault,New South Wales,Proportion,46.9
2021,Sexual assault,Queensland,Proportion,36.9
2021,Sexual assault,South Australia,Proportion,40.3
2021,Sexual assault,Northern Territory,Proportion,45.4
2022,Assault,New South Wales,Proportion,65.0
2022,Assault,Queensland,Proportion,n.p.
2022,Assault,South Australia,Proportion,73.1
2022,Assault,Northern Territory,Proportion,79.5
2022,Homicide and related offences,New South Wales,Proportion,n.p.
