sex,year,characteristic,subcategory,unit,value
Persons,2019,Weapon used,No,Proportion (%),95.1
Persons,2020,Aggravated sexual assault,Yes,Proportion (%),80.9
Persons,2020,Aggravated sexual assault,No,Proportion (%),19.1
Persons,2020,Finalised investigation,Yes,Proportion (%),34.9
Persons,2020,Finalised investigation,No,Proportion (%),65.1
Persons,2020,Setting of offence,Residential,Proportion (%),65.7
Persons,2020,Setting of offence,Community,Proportion (%),14.7
Persons,2020,Setting of offence,Other location,Proportion (%),9.0
Persons,2020,Time to report,Less than 1 year,Proportion (%),68.4
Persons,2020,Time to report,1 to less than 2 years,Proportion (%),6.9
Persons,2020,Time to report,2 to less than 5 years,Proportion (%),7.4
Persons,2020,Time to report,5 to less than 10 years,Proportion (%),5.9
Persons,2020,Time to report,10 to less than 20 years,Proportion (%),4.4
Persons,2020,Time to report,20 years and over,Proportion (%),7.1
Persons,2020,Weapon used,Yes,Proportion (%),1.5
Persons,2020,Weapon used,No,Proportion (%),94.5
Persons,2021,Aggravated sexual assault,Yes,Proportion (%),79.4
Persons,2021,Aggravated sexual assault,No,Proportion (%),20.6
Persons,2021,Finalised investigation,Yes,Proportion (%),33.9
Persons,2021,Finalised investigation,No,Proportion (%),66.1
Persons,2021,Setting of offence,Residential,Proportion (%),67.4
Persons,2021,Setting of offence,Community,Proportion (%),15.6
Persons,2021,Setting of offence,Other location,Proportion (%),10.4
Persons,2021,Time to report,Less than 1 year,Proportion (%),68.7
Persons,2021,Time to report,1 to less than 2 years,Proportion (%),6.1
Persons,2021,Time to report,2 to less than 5 years,Proportion (%),7.5
Persons,2021,Time to report,5 to less than 10 years,Proportion (%),5.9
Persons,2021,Time to report,10 to less than 20 years,Proportion (%),4.5
Persons,2021,Time to report,20 years and over,Proportion (%),7.2
Persons,2021,Weapon used,Yes,Proportion (%),1.4
Persons,2021,Weapon used,No,Proportion (%),93.6
Persons,2022,Aggravated sexual assault,Yes,Proportion (%),80.1
Persons,2022,Aggravated sexual assault,No,Proportion (%),19.9
Persons,2022,Finalised investigation,Yes,Proportion (%),32.6
Persons,2022,Finalised investigation,No,Proportion (%),67.4
Persons,2022,Setting of offence,Residential,Proportion (%),65.2
Persons,2022,Setting of offence,Community,Proportion (%),18.5
Persons,2022,Setting of offence,Other location,Proportion (%),11.1
Persons,2022,Time to report,Less than 1 year,Proportion (%),68.8
Persons,2022,Time to report,1 to less than 2 years,Proportion (%),5.5
Persons,2022,Time to report,2 to less than 5 years,Proportion (%),7.3
Persons,2022,Time to report,5 to less than 10 years,Proportion (%),5.3
Persons,2022,Time to report,10 to less than 20 years,Proportion (%),4.6
Persons,2022,Time to report,20 years and over,Proportion (%),8.6
Persons,2022,Weapon used,Yes,Proportion (%),1.5
Persons,2022,Weapon used,No,Proportion (%),94.0
Persons,2023,Aggravated sexual assault,Yes,Proportion (%),80.2
Persons,2023,Aggravated sexual assault,No,Proportion (%),19.8
Persons,2023,Finalised investigation,Yes,Proportion (%),32.6
Persons,2023,Finalised investigation,No,Proportion (%),67.3
Persons,2023,Setting of offence,Residential,Proportion (%),68.8
Persons,2023,Setting of offence,Community,Proportion (%),17.6
Persons,2023,Setting of offence,Other location,Proportion (%),10.8
Persons,2023,Time to report,Less than 1 year,Proportion (%),68.7
Persons,2023,Time to report,1 to less than 2 years,Proportion (%),5.5
Persons,2023,Time to report,2 to less than 5 years,Proportion (%),6.6
Persons,2023,Time to report,5 to less than 10 years,Proportion (%),5.8
Persons,2023,Time to report,10 to less than 20 years,Proportion (%),4.5
Persons,2023,Time to report,20 years and over,Proportion (%),8.9
Persons,2023,Weapon used,Yes,Proportion (%),1.3
Persons,2023,Weapon used,No,Proportion (%),94.0
Persons,2024,Aggravated sexual assault,Yes,Proportion (%),80.1
Persons,2024,Aggravated sexual assault,No,Proportion (%),19.9
Persons,2024,Finalised investigation,Yes,Proportion (%),n.p.
Persons,2024,Finalised investigation,No,Proportion (%),n.p.
Persons,2024,Setting of offence,Residential,Proportion (%),69.3
Persons,2024,Setting of offence,Community,Proportion (%),17.7
Persons,2024,Setting of offence,Other location,Proportion (%),10.4
Persons,2024,Time to report,Less than 1 year,Proportion (%),67.4
Persons,2024,Time to report,1 to less than 2 years,Proportion (%),5.7
Persons,2024,Time to report,2 to less than 5 years,Proportion (%),6.5
Persons,2024,Time to report,5 to less than 10 years,Proportion (%),5.4
Persons,2024,Time to report,10 to less than 20 years,Proportion (%),5.0
Persons,2024,Time to report,20 years and over,Proportion (%),9.9
Persons,2024,Weapon used,Yes,Proportion (%),n.p.
Persons,2024,Weapon used,No,Proportion (%),n.p.
