date,item,is_cpi_group_level,index_number,annual_pct_change,monthly_pct_change
2022-11,Automotive fuel,False,,14.4,0.8
2022-12,Automotive fuel,False,,13.9,-6.1
2023-01,Automotive fuel,False,,10.8,2.2
2023-02,Automotive fuel,False,,5.4,1
2023-03,Automotive fuel,False,,-9.6,-0.3
2023-04,Automotive fuel,False,,9.3,1.2
2023-05,Automotive fuel,False,,-5.9,-3
2023-06,Automotive fuel,False,,-11.8,1.4
2023-07,Automotive fuel,False,,-6.7,-2.1
2023-08,Automotive fuel,False,,14,9.9
2023-09,Automotive fuel,False,,23.4,5.4
2023-10,Automotive fuel,False,,7,-2.8
2023-11,Automotive fuel,False,,5.6,-0.5
2023-12,Automotive fuel,False,,5.1,-6.5
2024-01,Automotive fuel,False,,2.6,-0.3
2024-02,Automotive fuel,False,,7.2,5.6
2024-03,Automotive fuel,False,,5.8,-1.6
2024-04,Automotive fuel,False,,8.4,3.7
2024-05,Automotive fuel,False,,4.4,-6.6
2024-06,Automotive fuel,False,,2.2,-0.7
2024-07,Automotive fuel,False,,3.8,-0.6
2024-08,Automotive fuel,False,,-6.4,-0.9
2024-09,Automotive fuel,False,,-16.1,-5.5
2024-10,Automotive fuel,False,,-11.8,2.2
2024-11,Automotive fuel,False,,-12.8,-1.6
2024-12,Automotive fuel,False,,-1.4,5.7
2025-01,Automotive fuel,False,,-2.8,-1.7
2025-02,Automotive fuel,False,,-8.8,-0.9
2025-03,Automotive fuel,False,,-7.7,-0.4
2025-04,Automotive fuel,False,,-11.3,-0.4
2025-05,Automotive fuel,False,,-7,-2.1
2025-06,Automotive fuel,False,,-6.4,0
2025-07,Automotive fuel,False,,-7,-1.2
2025-08,Automotive fuel,False,,-3.2,3.1
2025-09,Automotive fuel,False,,2.7,0.2
2025-10,Automotive fuel,False,,-2.2,-2.7
2025-11,Automotive fuel,False,,3.1,3.8
2025-12,Automotive fuel,False,,-4.8,-2.5
2026-01,Automotive fuel,False,,-8.6,-5.6
