category,unit,breakdown,value
NT > 2024-25,ratio,Finalised investigations,2.13
NT > 2024-25,ratio,Substantiations,2.18
NT > 2024-25,ratio,Care and protection orders,2.27
NT > 2024-25,ratio,Out-of-home care,2.26
NT > 2023-24,ratio,Notifications,1.87
NT > 2023-24,ratio,Commencing IFSS,1.68
NT > 2023-24,ratio,Finalised investigations,2.02
NT > 2023-24,ratio,Substantiations,2.11
NT > 2023-24,ratio,Care and protection orders,2.16
NT > 2023-24,ratio,Out-of-home care,2.16
NT > 2022-23,ratio,Notifications,1.87
NT > 2022-23,ratio,Commencing IFSS,na
NT > 2022-23,ratio,Finalised investigations,2.02
NT > 2022-23,ratio,Substantiations,2.05
NT > 2022-23,ratio,Care and protection orders,2.16
NT > 2022-23,ratio,Out-of-home care,2.17
NT > 2021-22,ratio,Notifications,1.83
NT > 2021-22,ratio,Commencing IFSS,na
NT > 2021-22,ratio,Finalised investigations,1.99
NT > 2021-22,ratio,Substantiations,2.04
NT > 2021-22,ratio,Care and protection orders,2.17
NT > 2021-22,ratio,Out-of-home care,2.2
NT > 2020-21,ratio,Notifications,1.85
NT > 2020-21,ratio,Commencing IFSS,2.04
NT > 2020-21,ratio,Finalised investigations,2.01
NT > 2020-21,ratio,Substantiations,2.11
NT > 2020-21,ratio,Care and protection orders,2.16
NT > 2020-21,ratio,Out-of-home care,2.18
NT > 2019-20,ratio,Notifications,1.8
NT > 2019-20,ratio,Commencing IFSS,2.08
NT > 2019-20,ratio,Finalised investigations,1.93
NT > 2019-20,ratio,Substantiations,2.03
NT > 2019-20,ratio,Care and protection orders,2.12
NT > 2019-20,ratio,Out-of-home care,2.12
NT > 2018-19,ratio,Notifications,1.82
NT > 2018-19,ratio,Commencing IFSS,1.83
NT > 2018-19,ratio,Finalised investigations,1.93
NT > 2018-19,ratio,Substantiations,2.04
NT > 2018-19,ratio,Care and protection orders,2.12
NT > 2018-19,ratio,Out-of-home care,2.13
NT > 2017-18,ratio,Notifications,1.82
NT > 2017-18,ratio,Commencing IFSS,1.85
NT > 2017-18,ratio,Finalised investigations,1.85
NT > 2017-18,ratio,Substantiations,2.04
NT > 2017-18,ratio,Care and protection orders,2.11
NT > 2017-18,ratio,Out-of-home care,2.12
