measure,forest_type,log_type,state,financial_year,date,units,value
Volume of log production,Softwood,Saw and veneer logs,South Australia,2000-01,2000-07-01,’000 m3,1111.727
Volume of log production,Softwood,Saw and veneer logs,South Australia,2001-02,2001-07-01,’000 m3,1278.06236
Volume of log production,Softwood,Saw and veneer logs,South Australia,2002-03,2002-07-01,’000 m3,1370.851
Volume of log production,Softwood,Saw and veneer logs,South Australia,2003-04,2003-07-01,’000 m3,1480.961
Volume of log production,Softwood,Saw and veneer logs,South Australia,2004-05,2004-07-01,’000 m3,1375.3116
Volume of log production,Softwood,Saw and veneer logs,South Australia,2005-06,2005-07-01,’000 m3,1493.568
Volume of log production,Softwood,Saw and veneer logs,South Australia,2006-07,2006-07-01,’000 m3,1555.349
Volume of log production,Softwood,Saw and veneer logs,South Australia,2007-08,2007-07-01,’000 m3,1822.48727302453
Volume of log production,Softwood,Saw and veneer logs,South Australia,2008-09,2008-07-01,’000 m3,1312.96845273073
Volume of log production,Softwood,Saw and veneer logs,South Australia,2009-10,2009-07-01,’000 m3,1849.04332357346
Volume of log production,Softwood,Saw and veneer logs,South Australia,2010-11,2010-07-01,’000 m3,1590.51409066917
Volume of log production,Softwood,Saw and veneer logs,South Australia,2011-12,2011-07-01,’000 m3,1391.66764213047
Volume of log production,Softwood,Saw and veneer logs,South Australia,2012-13,2012-07-01,’000 m3,1466.17730108932
Volume of log production,Softwood,Saw and veneer logs,South Australia,2013-14,2013-07-01,’000 m3,1798.82167636
Volume of log production,Softwood,Saw and veneer logs,South Australia,2014-15,2014-07-01,’000 m3,1991.9880433343
Volume of log production,Softwood,Saw and veneer logs,South Australia,2015-16,2015-07-01,’000 m3,2093.2615425822
Volume of log production,Softwood,Saw and veneer logs,South Australia,2016-17,2016-07-01,’000 m3,2261.14159158446
Volume of log production,Softwood,Saw and veneer logs,South Australia,2017-18,2017-07-01,’000 m3,2057.62586087657
Volume of log production,Softwood,Saw and veneer logs,South Australia,2018-19,2018-07-01,’000 m3,2168.29819293914
Volume of log production,Softwood,Saw and veneer logs,South Australia,2019-20,2019-07-01,’000 m3,1896.1484022527
Volume of log production,Softwood,Saw and veneer logs,South Australia,2020-21,2020-07-01,’000 m3,1969.93220336525
Volume of log production,Softwood,Saw and veneer logs,South Australia,2021-22,2021-07-01,’000 m3,1979.65498949776
Volume of log production,Softwood,Saw and veneer logs,South Australia,2022-23,2022-07-01,’000 m3,1928.8342925
Volume of log production,Softwood,Saw and veneer logs,South Australia,2023-24,2023-07-01,’000 m3,1712.430489869
Volume of log production,Softwood,Saw and veneer logs,South Australia,2024-25,2024-07-01,’000 m3,1649.28821345973
Volume of log production,Softwood,Pulplogs,South Australia,1996-97,1996-07-01,’000 m3,685.528
Volume of log production,Softwood,Pulplogs,South Australia,1997-98,1997-07-01,’000 m3,530.891
Volume of log production,Softwood,Pulplogs,South Australia,1998-99,1998-07-01,’000 m3,721.201
Volume of log production,Softwood,Pulplogs,South Australia,1999-00,1999-07-01,’000 m3,865.392
Volume of log production,Softwood,Pulplogs,South Australia,2000-01,2000-07-01,’000 m3,1246.072
Volume of log production,Softwood,Pulplogs,South Australia,2001-02,2001-07-01,’000 m3,950.63392
Volume of log production,Softwood,Pulplogs,South Australia,2002-03,2002-07-01,’000 m3,981.97407
Volume of log production,Softwood,Pulplogs,South Australia,2003-04,2003-07-01,’000 m3,1105.03761
Volume of log production,Softwood,Pulplogs,South Australia,2004-05,2004-07-01,’000 m3,757.04442
Volume of log production,Softwood,Pulplogs,South Australia,2005-06,2005-07-01,’000 m3,701.998
Volume of log production,Softwood,Pulplogs,South Australia,2006-07,2006-07-01,’000 m3,716.877
Volume of log production,Softwood,Pulplogs,South Australia,2007-08,2007-07-01,’000 m3,657.94547
Volume of log production,Softwood,Pulplogs,South Australia,2008-09,2008-07-01,’000 m3,635.885515
Volume of log production,Softwood,Pulplogs,South Australia,2009-10,2009-07-01,’000 m3,585.95477
Volume of log production,Softwood,Pulplogs,South Australia,2010-11,2010-07-01,’000 m3,735.40893
Volume of log production,Softwood,Pulplogs,South Australia,2011-12,2011-07-01,’000 m3,419.97964
Volume of log production,Softwood,Pulplogs,South Australia,2012-13,2012-07-01,’000 m3,403.99351
Volume of log production,Softwood,Pulplogs,South Australia,2013-14,2013-07-01,’000 m3,468.75498
Volume of log production,Softwood,Pulplogs,South Australia,2014-15,2014-07-01,’000 m3,565.269103259664
Volume of log production,Softwood,Pulplogs,South Australia,2015-16,2015-07-01,’000 m3,780.232334859129
Volume of log production,Softwood,Pulplogs,South Australia,2016-17,2016-07-01,’000 m3,1042.31903735003
Volume of log production,Softwood,Pulplogs,South Australia,2017-18,2017-07-01,’000 m3,898.95458569539
Volume of log production,Softwood,Pulplogs,South Australia,2018-19,2018-07-01,’000 m3,773.703750822489
Volume of log production,Softwood,Pulplogs,South Australia,2019-20,2019-07-01,’000 m3,718.051
Volume of log production,Softwood,Pulplogs,South Australia,2020-21,2020-07-01,’000 m3,561.794823830811
Volume of log production,Softwood,Pulplogs,South Australia,2021-22,2021-07-01,’000 m3,545.360834764115
Volume of log production,Softwood,Pulplogs,South Australia,2022-23,2022-07-01,’000 m3,487.32066596
Volume of log production,Softwood,Pulplogs,South Australia,2023-24,2023-07-01,’000 m3,627.682712318
Volume of log production,Softwood,Pulplogs,South Australia,2024-25,2024-07-01,’000 m3,631.547101192814
Volume of log production,Softwood,Other,South Australia,1996-97,1996-07-01,’000 m3,84.327
Volume of log production,Softwood,Other,South Australia,1997-98,1997-07-01,’000 m3,112.496
Volume of log production,Softwood,Other,South Australia,1998-99,1998-07-01,’000 m3,139.492
Volume of log production,Softwood,Other,South Australia,1999-00,1999-07-01,’000 m3,103.672
Volume of log production,Softwood,Other,South Australia,2000-01,2000-07-01,’000 m3,134.342
Volume of log production,Softwood,Other,South Australia,2001-02,2001-07-01,’000 m3,96.835
Volume of log production,Softwood,Other,South Australia,2002-03,2002-07-01,’000 m3,107.3944
Volume of log production,Softwood,Other,South Australia,2003-04,2003-07-01,’000 m3,111.82
Volume of log production,Softwood,Other,South Australia,2004-05,2004-07-01,’000 m3,110.546
Volume of log production,Softwood,Other,South Australia,2005-06,2005-07-01,’000 m3,85.005
Volume of log production,Softwood,Other,South Australia,2006-07,2006-07-01,’000 m3,67.451
Volume of log production,Softwood,Other,South Australia,2007-08,2007-07-01,’000 m3,71.24516
Volume of log production,Softwood,Other,South Australia,2008-09,2008-07-01,’000 m3,80.69011
Volume of log production,Softwood,Other,South Australia,2009-10,2009-07-01,’000 m3,59.17203
Volume of log production,Softwood,Other,South Australia,2010-11,2010-07-01,’000 m3,53.54757
Volume of log production,Softwood,Other,South Australia,2011-12,2011-07-01,’000 m3,74.99464
Volume of log production,Softwood,Other,South Australia,2012-13,2012-07-01,’000 m3,101.337014161353
Volume of log production,Softwood,Other,South Australia,2013-14,2013-07-01,’000 m3,105.89189
Volume of log production,Softwood,Other,South Australia,2014-15,2014-07-01,’000 m3,96.0621487093558
Volume of log production,Softwood,Other,South Australia,2015-16,2015-07-01,’000 m3,85.706162
Volume of log production,Softwood,Other,South Australia,2016-17,2016-07-01,’000 m3,70.385094
Volume of log production,Softwood,Other,South Australia,2017-18,2017-07-01,’000 m3,102.1674498
Volume of log production,Softwood,Other,South Australia,2018-19,2018-07-01,’000 m3,110.4360782
Volume of log production,Softwood,Other,South Australia,2019-20,2019-07-01,’000 m3,96.4088135911632
Volume of log production,Softwood,Other,South Australia,2020-21,2020-07-01,’000 m3,143.1869335
Volume of log production,Softwood,Other,South Australia,2021-22,2021-07-01,’000 m3,109.7485125
Volume of log production,Softwood,Other,South Australia,2022-23,2022-07-01,’000 m3,76.2444167388609
Volume of log production,Softwood,Other,South Australia,2023-24,2023-07-01,’000 m3,71.6565042009999
Volume of log production,Softwood,Other,South Australia,2024-25,2024-07-01,’000 m3,23.8158370299999
Value of log production,Hardwood native,,South Australia,1996-97,1996-07-01,$m,0
Value of log production,Hardwood native,,South Australia,1997-98,1997-07-01,$m,0
Value of log production,Hardwood native,,South Australia,1998-99,1998-07-01,$m,0
Value of log production,Hardwood native,,South Australia,1999-00,1999-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2000-01,2000-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2001-02,2001-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2002-03,2002-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2003-04,2003-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2004-05,2004-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2005-06,2005-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2006-07,2006-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2007-08,2007-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2008-09,2008-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2009-10,2009-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2010-11,2010-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2011-12,2011-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2012-13,2012-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2013-14,2013-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2014-15,2014-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2015-16,2015-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2016-17,2016-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2017-18,2017-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2018-19,2018-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2019-20,2019-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2020-21,2020-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2021-22,2021-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2022-23,2022-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2023-24,2023-07-01,$m,0
Value of log production,Hardwood native,,South Australia,2024-25,2024-07-01,$m,0
Value of log production,Hardwood plantation,,South Australia,1996-97,1996-07-01,$m,0
Value of log production,Hardwood plantation,,South Australia,1997-98,1997-07-01,$m,0
Value of log production,Hardwood plantation,,South Australia,1998-99,1998-07-01,$m,0
Value of log production,Hardwood plantation,,South Australia,1999-00,1999-07-01,$m,2.55798
Value of log production,Hardwood plantation,,South Australia,2000-01,2000-07-01,$m,2.33106
Value of log production,Hardwood plantation,,South Australia,2001-02,2001-07-01,$m,3.98106
Value of log production,Hardwood plantation,,South Australia,2002-03,2002-07-01,$m,3.680151
Value of log production,Hardwood plantation,,South Australia,2003-04,2003-07-01,$m,0.6695435
Value of log production,Hardwood plantation,,South Australia,2004-05,2004-07-01,$m,0
Value of log production,Hardwood plantation,,South Australia,2005-06,2005-07-01,$m,5.04
Value of log production,Hardwood plantation,,South Australia,2006-07,2006-07-01,$m,0
Value of log production,Hardwood plantation,,South Australia,2007-08,2007-07-01,$m,0.584437
Value of log production,Hardwood plantation,,South Australia,2008-09,2008-07-01,$m,13.85903304
Value of log production,Hardwood plantation,,South Australia,2009-10,2009-07-01,$m,6.0736289044
Value of log production,Hardwood plantation,,South Australia,2010-11,2010-07-01,$m,15.73675398
Value of log production,Hardwood plantation,,South Australia,2011-12,2011-07-01,$m,27.2418597866351
Value of log production,Hardwood plantation,,South Australia,2012-13,2012-07-01,$m,29.2266174463925
Value of log production,Hardwood plantation,,South Australia,2013-14,2013-07-01,$m,46.9198296912184
Value of log production,Hardwood plantation,,South Australia,2014-15,2014-07-01,$m,67.4621115575023
Value of log production,Hardwood plantation,,South Australia,2015-16,2015-07-01,$m,94.2160728137
Value of log production,Hardwood plantation,,South Australia,2016-17,2016-07-01,$m,82.2838541374486
Value of log production,Hardwood plantation,,South Australia,2017-18,2017-07-01,$m,88.0195210298
Value of log production,Hardwood plantation,,South Australia,2018-19,2018-07-01,$m,104.6759705707
Value of log production,Hardwood plantation,,South Australia,2019-20,2019-07-01,$m,89.198787637
Value of log production,Hardwood plantation,,South Australia,2020-21,2020-07-01,$m,22.8549520635
Value of log production,Hardwood plantation,,South Australia,2021-22,2021-07-01,$m,52.54706916
Value of log production,Hardwood plantation,,South Australia,2022-23,2022-07-01,$m,66.00964455
Value of log production,Hardwood plantation,,South Australia,2023-24,2023-07-01,$m,43.0428642481232
Value of log production,Hardwood plantation,,South Australia,2024-25,2024-07-01,$m,19.4166222568108
Value of log production,Softwood,,South Australia,1996-97,1996-07-01,$m,107.7467538
Value of log production,Softwood,,South Australia,1997-98,1997-07-01,$m,122.24691915
Value of log production,Softwood,,South Australia,1998-99,1998-07-01,$m,116.4591934
Value of log production,Softwood,,South Australia,1999-00,1999-07-01,$m,121.38095412
Value of log production,Softwood,,South Australia,2000-01,2000-07-01,$m,142.00449722
Value of log production,Softwood,,South Australia,2001-02,2001-07-01,$m,131.733615396
Value of log production,Softwood,,South Australia,2002-03,2002-07-01,$m,142.245720858888
Value of log production,Softwood,,South Australia,2003-04,2003-07-01,$m,153.0062246834
Value of log production,Softwood,,South Australia,2004-05,2004-07-01,$m,129.5516503624
Value of log production,Softwood,,South Australia,2005-06,2005-07-01,$m,139.375148839
Value of log production,Softwood,,South Australia,2006-07,2006-07-01,$m,144.73314058
Value of log production,Softwood,,South Australia,2007-08,2007-07-01,$m,158.485773877429
Value of log production,Softwood,,South Australia,2008-09,2008-07-01,$m,131.610764639977
Value of log production,Softwood,,South Australia,2009-10,2009-07-01,$m,171.73657796085
Value of log production,Softwood,,South Australia,2010-11,2010-07-01,$m,158.339753831618
Value of log production,Softwood,,South Australia,2011-12,2011-07-01,$m,124.911307115101
Value of log production,Softwood,,South Australia,2012-13,2012-07-01,$m,129.272722864731
Value of log production,Softwood,,South Australia,2013-14,2013-07-01,$m,180.853191009074
Value of log production,Softwood,,South Australia,2014-15,2014-07-01,$m,172.963627069489
Value of log production,Softwood,,South Australia,2015-16,2015-07-01,$m,227.247382924715
Value of log production,Softwood,,South Australia,2016-17,2016-07-01,$m,285.511904369333
Value of log production,Softwood,,South Australia,2017-18,2017-07-01,$m,245.681149547611
Value of log production,Softwood,,South Australia,2018-19,2018-07-01,$m,266.259472820135
Value of log production,Softwood,,South Australia,2019-20,2019-07-01,$m,208.318003070296
Value of log production,Softwood,,South Australia,2020-21,2020-07-01,$m,224.920082718764
Value of log production,Softwood,,South Australia,2021-22,2021-07-01,$m,239.337343680456
Value of log production,Softwood,,South Australia,2022-23,2022-07-01,$m,278.858450282101
Value of log production,Softwood,,South Australia,2023-24,2023-07-01,$m,259.317695942589
Value of log production,Softwood,,South Australia,2024-25,2024-07-01,$m,249.320251559587
