table,table_title,row_group_1,row_group_2,row_label,column,value
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2016,Unsentenced,28.8
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2016,Male imprisonment rate (e),260
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2016,Female imprisonment rate (e),17.5
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2016,Total imprisonment rate (e),136.1
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2017,Total prisoners (d) - Number,7149
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2017,Males,6644
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2017,Females,507
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2017,Aboriginal and Torres Strait Islander,610
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2017,Non-Indigenous,6535
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2017,Known prior imprisonment - Proportion (%),50
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2017,Unsentenced,31.1
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2017,Male imprisonment rate (e),276.9
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2017,Female imprisonment rate (e),20.2
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2017,Total imprisonment rate (e),145.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2018,Total prisoners (d) - Number,7666
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2018,Males,7101
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2018,Females,563
