table,table_title,row_group_1,row_group_2,row_label,column,value
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,Tas.,39.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,NT,35.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,ACT,38
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,Aust.,38.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,NSW,37.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,Vic.,37
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,Qld,35.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,SA,39.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,WA,36.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,Tas.,37.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,NT,34.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,ACT,36
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Males,Aust.,36.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Females,NSW,36
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Females,Vic.,36.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Females,Qld,33.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Females,SA,36.6
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Females,WA,35.6
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Females,Tas.,36.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Females,NT,33.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Females,ACT,30.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Females,Aust.,35.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Aboriginal and Torres Strait Islander,NSW,34.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Aboriginal and Torres Strait Islander,Vic.,34.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Aboriginal and Torres Strait Islander,Qld,32.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Aboriginal and Torres Strait Islander,SA,35.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Aboriginal and Torres Strait Islander,WA,34.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Aboriginal and Torres Strait Islander,Tas.,33.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Aboriginal and Torres Strait Islander,NT,33.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Aboriginal and Torres Strait Islander,ACT,33.6
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Aboriginal and Torres Strait Islander,Aust.,33.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Non-Indigenous,NSW,39.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Non-Indigenous,Vic.,37.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Non-Indigenous,Qld,37
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Non-Indigenous,SA,40.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Non-Indigenous,WA,38.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Non-Indigenous,Tas.,38.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Non-Indigenous,NT,38.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Non-Indigenous,ACT,36.6
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Non-Indigenous,Aust.,38.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Persons,NSW,37.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Persons,Vic.,37
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Persons,Qld,35.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Persons,SA,38.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Persons,WA,36.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Persons,Tas.,37
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Persons,NT,34.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Persons,ACT,35.6
