"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.13","2018-19","Recurrent expenditure","All ages","All people","All people","All areas","Civil","FCFCOA (Division 1) and FCFCOA (Division 2)","2024-25 dollars","Real income (excluding fines); civil","","FCFCOA (Division 1) and FCFCOA (Division 2)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","80065","80065"
"7A.13","2018-19","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Coroners'","2024-25 dollars","Real income (excluding fines); civil","","Coroners' courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","10","0","394","100","39","2","78","27","..","650"
"7A.13","2018-19","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Supreme (probate only)","2024-25 dollars","Real income (excluding fines); civil","","Supreme courts (probate only)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","51461","9742","9511","3368","14034","2439","1771","349","..","92676"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","All criminal courts","2024-25 dollars","Real income (excluding fines); criminal","","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","21420","0","1847","10321","2510","1139","573","1021","..","38831"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Supreme","2024-25 dollars","Real income (excluding fines); criminal","","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","317","0","101","150","658","0","43","453","..","1722"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","District/county","2024-25 dollars","Real income (excluding fines); criminal","","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","4352","0","217","209","839","..","..","..","..","5617"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","2024-25 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","16744","0","1413","9905","997","1139","530","517","..","31244"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Children's","2024-25 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","6","0","117","57","15","1","0","51","..","247"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","2024-25 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","16751","0","1529","9962","1012","1139","530","568","..","31492"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","2024-25 dollars","Real income (excluding fines); civil","","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","90122","55745","23751","27052","14544","2400","4526","1169","..","219309"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","2024-25 dollars","Real income (excluding fines); civil","","Supreme courts (excl. probate)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","39027","15647","9188","9608","5395","1169","2423","901","..","83358"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Civil","District/county","2024-25 dollars","Real income (excluding fines); civil","","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","18926","12899","6171","7765","2564","..","..","..","..","48325"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","2024-25 dollars","Real income (excluding fines); civil","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","32163","27200","8362","9643","6572","1230","2102","247","..","87521"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Children's","2024-25 dollars","Real income (excluding fines); civil","","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","6","0","30","36","13","0","0","21","..","105"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Magistrates' (total)","2024-25 dollars","Real income (excluding fines); civil","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","32169","27200","8392","9679","6585","1230","2102","268","..","87626"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Federal Court of Australia","2024-25 dollars","Real income (excluding fines); civil","","Federal Court of Australia","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","24231","24231"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Family","2024-25 dollars","Real income (excluding fines); civil","","WA Family court","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","7999","..","..","..","..","..","7999"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Civil","FCFCOA (Division 1) and FCFCOA (Division 2)","2024-25 dollars","Real income (excluding fines); civil","","FCFCOA (Division 1) and FCFCOA (Division 2)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","81433","81433"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Coroners'","2024-25 dollars","Real income (excluding fines); civil","","Coroners' courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","5","0","509","144","31","7","77","24","..","797"
"7A.13","2017-18","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Supreme (probate only)","2024-25 dollars","Real income (excluding fines); civil","","Supreme courts (probate only)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","50931","10398","9413","3209","13473","2643","1931","372","..","92370"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","All criminal courts","2024-25 dollars","Real income (excluding fines); criminal","","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","23614","0","2120","10436","2835","1108","682","779","..","41573"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Supreme","2024-25 dollars","Real income (excluding fines); criminal","","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","231","0","132","169","674","0","48","675","..","1928"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","District/county","2024-25 dollars","Real income (excluding fines); criminal","","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","4716","0","366","233","906","..","..","..","..","6220"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","2024-25 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","18634","0","1446","9977","1238","1108","634","91","..","33128"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Children's","2024-25 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","34","0","177","57","17","0","0","13","..","298"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","2024-25 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","18668","0","1623","10034","1255","1108","634","103","..","33425"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","2024-25 dollars","Real income (excluding fines); civil","","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","92711","58756","26150","29035","14376","2076","4541","1164","..","228808"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","2024-25 dollars","Real income (excluding fines); civil","","Supreme courts (excl. probate)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","37999","15081","9557","10161","5303","1004","2310","1041","..","82455"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Civil","District/county","2024-25 dollars","Real income (excluding fines); civil","","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","20261","14945","6745","8359","2927","..","..","..","..","53236"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","2024-25 dollars","Real income (excluding fines); civil","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","34421","28730","9795","10480","6128","1073","2232","119","..","92977"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Children's","2024-25 dollars","Real income (excluding fines); civil","","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","30","0","53","36","17","0","0","4","..","140"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Magistrates' (total)","2024-25 dollars","Real income (excluding fines); civil","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","34451","28730","9848","10516","6145","1073","2232","123","..","93117"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Federal Court of Australia","2024-25 dollars","Real income (excluding fines); civil","","Federal Court of Australia","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","22974","22974"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Family","2024-25 dollars","Real income (excluding fines); civil","","WA Family court","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","8304","..","..","..","..","..","8304"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Civil","FCFCOA (Division 1) and FCFCOA (Division 2)","2024-25 dollars","Real income (excluding fines); civil","","FCFCOA (Division 1) and FCFCOA (Division 2)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","81749","81749"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Coroners'","2024-25 dollars","Real income (excluding fines); civil","","Coroners' courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","56","0","540","90","40","6","58","18","..","809"
"7A.13","2016-17","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Supreme (probate only)","2024-25 dollars","Real income (excluding fines); civil","","Supreme courts (probate only)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","48249","10050","8834","3264","13052","2085","1650","321","..","87507"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","All criminal courts","2024-25 dollars","Real income (excluding fines); criminal","","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","18939","0","2346","10006","2410","1114","445","784","..","36044"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Supreme","2024-25 dollars","Real income (excluding fines); criminal","","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","72","0","106","193","592","0","71","655","..","1690"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","District/county","2024-25 dollars","Real income (excluding fines); criminal","","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","4397","0","373","197","769","..","..","..","..","5736"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","2024-25 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","14470","0","1641","9553","1032","1114","374","119","..","28304"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Children's","2024-25 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","0","0","226","62","17","0","0","9","..","314"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","2024-25 dollars","Real income (excluding fines); criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","14470","0","1867","9615","1049","1114","374","128","..","28618"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","2024-25 dollars","Real income (excluding fines); civil","","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","86171","56356","25523","25624","14504","2000","3997","1193","..","215368"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","2024-25 dollars","Real income (excluding fines); civil","","Supreme courts (excl. probate)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","34951","15339","9435","8649","5647","903","2254","751","..","77928"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Civil","District/county","2024-25 dollars","Real income (excluding fines); civil","","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","18197","13695","6876","7100","2860","..","..","..","..","48729"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","2024-25 dollars","Real income (excluding fines); civil","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","33023","27322","9064","9832","5979","1097","1743","442","..","88504"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Children's","2024-25 dollars","Real income (excluding fines); civil","","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","0","0","148","42","17","0","0","0","..","207"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Magistrates' (total)","2024-25 dollars","Real income (excluding fines); civil","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","33023","27322","9212","9875","5997","1097","1743","442","..","88711"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Federal Court of Australia","2024-25 dollars","Real income (excluding fines); civil","","Federal Court of Australia","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","22594","22594"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Family","2024-25 dollars","Real income (excluding fines); civil","","WA Family court","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","7562","..","..","..","..","..","7562"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Civil","FCFCOA (Division 1) and FCFCOA (Division 2)","2024-25 dollars","Real income (excluding fines); civil","","FCFCOA (Division 1) and FCFCOA (Division 2)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","..","..","..","..","..","..","..","..","95440","95440"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Coroners'","2024-25 dollars","Real income (excluding fines); civil","","Coroners' courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","205","0","44","549","55","0","59","21","..","934"
"7A.13","2015-16","Recurrent expenditure","All ages","All people","All people","All areas","Civil","Supreme (probate only)","2024-25 dollars","Real income (excluding fines); civil","","Supreme courts (probate only)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","46852","9796","8128","2850","9451","1856","1460","336","..","80728"
"7A.14","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","All criminal courts","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","336697","364758","268295","186726","87331","26955","40437","32374","","1343574"
"7A.14","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Supreme","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","21731","26591","30898","16355","11177","11160","20245","14491","","152647"
"7A.14","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","District/county","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","141114","84959","86065","74775","25574","..","..","..","","412487"
"7A.14","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","163126","243773","135098","87449","47581","14170","18006","15855","","725057"
"7A.14","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Children's","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","10727","9435","16234","8148","2999","1625","2187","2029","","53383"
"7A.14","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","173853","253208","151332","95596","50580","15795","20192","17883","","778440"
"7A.14","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","All criminal courts","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","344780","393530","263767","181263","87253","25248","37457","31993","","1365290"
"7A.14","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Supreme","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","27362","27317","30738","14812","11799","10218","19080","14199","","155525"
"7A.14","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","District/county","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","144364","92016","84645","75343","24914","..","..","..","","421282"
"7A.14","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","161899","264804","130404","83407","47567","13368","16090","15804","","733343"
"7A.14","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Children's","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","11155","9393","17980","7701","2973","1662","2286","1990","","55140"
"7A.14","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","173054","274197","148383","91108","50540","15030","18377","17794","","788483"
"7A.14","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","All criminal courts","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","351244","385167","240349","169361","88139","25133","38077","30628","","1328099"
"7A.14","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Supreme","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","29092","30291","29575","18188","12057","10722","19730","13466","","163121"
"7A.14","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","District/county","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","147237","93720","74909","74601","25118","..","..","..","","415586"
"7A.14","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","165206","251853","119688","68678","48230","13109","16287","15165","","698215"
"7A.14","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Children's","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","9709","9303","16177","7894","2734","1303","2059","1997","","51177"
"7A.14","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","174915","261156","135865","76572","50964","14411","18346","17162","","749392"
"7A.14","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","All criminal courts","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","366525","392353","229707","156649","90396","23166","36581","30621","","1325999"
"7A.14","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Supreme","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","27247","26832","27987","14337","13522","10463","18783","14190","","153361"
"7A.14","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","District/county","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","142940","129519","71872","74569","25553","..","..","..","","444452"
"7A.14","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","185039","221515","113994","61539","48743","11777","15832","14569","","673008"
"7A.14","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Children's","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","11299","14488","15854","6204","2579","926","1966","1863","","55178"
"7A.14","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","196338","236002","129848","67743","51322","12704","17798","16431","","728186"
"7A.14","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","All criminal courts","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","341654","327203","224772","171201","93477","23455","40128","30974","","1252865"
