service,region_code,region_name,volunteer_category,as_at_date,volunteer_count
CFS,Total,Statewide total,Operational Support,2016-06-01,2349
CFS,Total,Statewide total,Total,2016-06-01,13928
CFS,1,Region 1,Cadets,2017-06-01,211
CFS,1,Region 1,Fire Fighters,2017-06-01,2318
CFS,1,Region 1,Operational Support,2017-06-01,759
CFS,1,Region 1,Total,2017-06-01,3288
CFS,2,Region 2,Cadets,2017-06-01,240
CFS,2,Region 2,Fire Fighters,2017-06-01,2137
CFS,2,Region 2,Operational Support,2017-06-01,410
CFS,2,Region 2,Total,2017-06-01,2787
CFS,3,Region 3,Cadets,2017-06-01,51
CFS,3,Region 3,Fire Fighters,2017-06-01,1146
CFS,3,Region 3,Operational Support,2017-06-01,192
CFS,3,Region 3,Total,2017-06-01,1389
CFS,4,Region 4,Cadets,2017-06-01,133
CFS,4,Region 4,Fire Fighters,2017-06-01,1526
CFS,4,Region 4,Operational Support,2017-06-01,282
CFS,4,Region 4,Total,2017-06-01,1941
CFS,5,Region 5,Cadets,2017-06-01,37
CFS,5,Region 5,Fire Fighters,2017-06-01,1635
CFS,5,Region 5,Operational Support,2017-06-01,274
CFS,5,Region 5,Total,2017-06-01,1946
CFS,6,Region 6,Cadets,2017-06-01,41
CFS,6,Region 6,Fire Fighters,2017-06-01,1339
CFS,6,Region 6,Operational Support,2017-06-01,276
CFS,6,Region 6,Total,2017-06-01,1656
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Cadets,2017-06-01,0
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Fire Fighters,2017-06-01,357
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Operational Support,2017-06-01,167
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Total,2017-06-01,524
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Cadets,2017-06-01,0
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Fire Fighters,2017-06-01,18
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Operational Support,2017-06-01,1
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Total,2017-06-01,19
CFS,Total,Statewide total,Cadets,2017-06-01,713
CFS,Total,Statewide total,Fire Fighters,2017-06-01,10476
CFS,Total,Statewide total,Operational Support,2017-06-01,2361
CFS,Total,Statewide total,Total,2017-06-01,13550
SES,North,Northern Division,Cadets,2012-06-01,31
SES,North,Northern Division,General Ops,2012-06-01,443
SES,North,Northern Division,Support Ops,2012-06-01,183
SES,North,Northern Division,Total,2012-06-01,657
SES,South,Southern Division,Cadets,2012-06-01,22
SES,South,Southern Division,General Ops,2012-06-01,679
SES,South,Southern Division,Support Ops,2012-06-01,316
SES,South,Southern Division,Total,2012-06-01,1017
SES,Total,Statewide total,Cadets,2012-06-01,53
SES,Total,Statewide total,General Ops,2012-06-01,1122
SES,Total,Statewide total,Support Ops,2012-06-01,499
SES,Total,Statewide total,Total,2012-06-01,1674
SES,North,Northern Division,Cadets,2013-06-01,22
SES,North,Northern Division,General Ops,2013-06-01,425
SES,North,Northern Division,Support Ops,2013-06-01,214
SES,North,Northern Division,Total,2013-06-01,661
SES,South,Southern Division,Cadets,2013-06-01,35
SES,South,Southern Division,General Ops,2013-06-01,643
SES,South,Southern Division,Support Ops,2013-06-01,341
SES,South,Southern Division,Total,2013-06-01,1019
SES,Total,Statewide total,Cadets,2013-06-01,57
SES,Total,Statewide total,General Ops,2013-06-01,1068
SES,Total,Statewide total,Support Ops,2013-06-01,555
SES,Total,Statewide total,Total,2013-06-01,1680
SES,North,Northern Division,Cadets,2014-06-01,21
SES,North,Northern Division,General Ops,2014-06-01,424
SES,North,Northern Division,Support Ops,2014-06-01,188
SES,North,Northern Division,Total,2014-06-01,633
SES,South,Southern Division,Cadets,2014-06-01,39
SES,South,Southern Division,General Ops,2014-06-01,649
SES,South,Southern Division,Support Ops,2014-06-01,389
SES,South,Southern Division,Total,2014-06-01,1077
SES,Total,Statewide total,Cadets,2014-06-01,60
SES,Total,Statewide total,General Ops,2014-06-01,1073
SES,Total,Statewide total,Support Ops,2014-06-01,577
SES,Total,Statewide total,Total,2014-06-01,1710
SES,North,Northern Division,Cadets,2015-06-01,22
SES,North,Northern Division,General Ops,2015-06-01,395
SES,North,Northern Division,Support Ops,2015-06-01,201
SES,North,Northern Division,Total,2015-06-01,618
SES,South,Southern Division,Cadets,2015-06-01,35
SES,South,Southern Division,General Ops,2015-06-01,678
SES,South,Southern Division,Support Ops,2015-06-01,337
SES,South,Southern Division,Total,2015-06-01,1050
SES,Total,Statewide total,Cadets,2015-06-01,57
SES,Total,Statewide total,General Ops,2015-06-01,1073
SES,Total,Statewide total,Support Ops,2015-06-01,538
SES,Total,Statewide total,Total,2015-06-01,1668
SES,North,Northern Division,Cadets,2016-06-01,17
SES,North,Northern Division,General Ops,2016-06-01,402
SES,North,Northern Division,Support Ops,2016-06-01,213
SES,North,Northern Division,Total,2016-06-01,632
SES,South,Southern Division,Cadets,2016-06-01,39
SES,South,Southern Division,General Ops,2016-06-01,635
SES,South,Southern Division,Support Ops,2016-06-01,281
SES,South,Southern Division,Total,2016-06-01,955
SES,Total,Statewide total,Cadets,2016-06-01,56
SES,Total,Statewide total,General Ops,2016-06-01,1037
SES,Total,Statewide total,Support Ops,2016-06-01,494
SES,Total,Statewide total,Total,2016-06-01,1587
SES,North,Northern Division,Cadets,2017-06-01,30
SES,North,Northern Division,General Ops,2017-06-01,393
SES,North,Northern Division,Support Ops,2017-06-01,242
SES,North,Northern Division,Total,2017-06-01,665
SES,South,Southern Division,Cadets,2017-06-01,21
SES,South,Southern Division,General Ops,2017-06-01,576
SES,South,Southern Division,Support Ops,2017-06-01,239
SES,South,Southern Division,Total,2017-06-01,836
SES,Total,Statewide total,Cadets,2017-06-01,51
SES,Total,Statewide total,General Ops,2017-06-01,969
SES,Total,Statewide total,Support Ops,2017-06-01,481
SES,Total,Statewide total,Total,2017-06-01,1501
