financial_year,housing_type,local_government_area,is_total_row,total_households,number_of_household_members,aboriginal_households,households_with_person_with_disability,average_market_rent_of_occupied_dwellings_30_june,average_rent_changed_30_june,paying_less_than_market_rent,single_person,single_parent_with_dependent_children,couple_only,couple_with_dependent_children,group_or_mixed_composition,has_child_under_15_years,has_child_under_5_years,has_adult_65_years_or_more,younger_person_main_tenant_under_25_years,overcrowded_households,underutilised_households,under_3_years,3_to_9_years,10_or_more_years,aged_pension,disability_support_pension,job_seeker,other_government_payment,employee_cash_income_or_wages,other_cash_income,income_not_stated
2019-20,Public Housing,Naracoorte Lucindale Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,Northern Areas Council,False,30,35,0,20,126.51612903225806,105.03548387096774,15,30,0,0,0,0,0,0,25,0,0,5,10,10,10,5,5,0,0,0,0,15
2019-20,Public Housing,Out of Council Boundary,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,Port Augusta City Council,False,600,1145,260,225,192.75459098497495,130.7988313856429,465,350,90,50,30,80,125,45,210,20,25,230,175,175,250,150,115,105,80,10,5,135
2019-20,Public Housing,Port Pirie Regional Council,False,685,1090,85,420,170.0669577874818,123.69970887918531,555,445,65,75,20,85,90,35,305,30,10,230,225,190,270,210,185,90,60,15,0,130
2019-20,Public Housing,Regional Council of Goyder,False,15,15,0,5,142.92307692307693,111.30000000000001,10,10,0,0,0,0,0,0,5,0,0,5,5,5,5,5,5,0,0,0,0,0
2019-20,Public Housing,Renmark Paringa Council,False,160,305,30,80,182.97530864197532,130.32592592592584,120,90,20,20,10,25,30,10,55,5,5,55,60,40,60,40,35,30,10,5,0,40
2019-20,Public Housing,Southern Mallee District Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,Tatiara District Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,The Barossa Council,False,110,190,0,55,240.45045045045046,151.54054054054052,90,60,10,20,5,20,10,5,60,0,0,55,15,25,75,50,25,10,10,0,0,20
2019-20,Public Housing,The Flinders Ranges Council,False,25,25,5,10,143.91666666666666,113.37083333333334,20,25,0,0,0,0,0,0,20,0,0,10,5,10,10,10,10,0,0,0,0,5
2019-20,Public Housing,The Rural City of Murray Bridge,False,540,915,85,360,197.44177449168208,130.27005545286542,455,335,50,55,20,80,70,30,205,20,10,240,125,130,285,150,165,65,60,10,5,85
2019-20,Public Housing,Town of Gawler,False,460,705,20,235,211.51304347826087,133.53282608695685,390,305,25,40,5,80,35,10,205,5,10,145,80,130,250,145,160,40,35,10,5,65
2019-20,Public Housing,Wakefield Regional Council,False,15,20,0,10,138,112.37142857142855,10,10,0,0,0,0,0,0,10,0,0,0,5,0,10,10,0,0,0,0,0,0
2019-20,Public Housing,Wudinna District Council,False,10,10,0,5,129,111.03999999999999,5,10,0,0,0,0,0,0,5,0,0,0,5,5,5,0,5,0,0,0,0,5
2019-20,Public Housing,Yorke Peninsula Council,False,75,100,5,45,139.86301369863014,114.33424657534246,45,55,5,10,0,5,5,0,45,0,0,15,20,25,30,20,15,5,5,0,0,25
2019-20,Public Housing,Total - households,True,30501,49521,2493,13108,248.42923182846465,134.69726894198547,26986,19617,2815,2764,842,4463,3661,1255,11402,767,614,8007,7375,8334,14792,8093,9829,4255,3116,1287,332,3589
2019-20,Public Housing,% Total - households,True,1,,0.08173502508114489,0.4297564014294613,,,0.8847578767909249,0.6431592406806335,0.092292055998164,0.09061997967279761,0.027605652273695946,0.146323071374709,0.12002885151306515,0.041146191928133506,0.3738238090554408,0.025146716501098326,0.020130487524999182,0.2625159830825219,0.24179535097209928,0.2732369430510475,0.48496770597685324,0.26533556276843384,0.3222517294514934,0.1395036228320383,0.10216058489885578,0.042195337857775156,0.01088488902003213,0.11766827317137143
2020-21,Public Housing,Adelaide Hills Council,False,20,30,0,10,295.1111111111111,173.83333333333337,15,10,0,5,0,5,0,0,10,0,0,10,5,0,10,5,5,5,0,0,0,0
2020-21,Public Housing,Adelaide Plains Council,False,5,5,0,5,150,104.8142857142857,5,5,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0
2020-21,Public Housing,Alexandrina Council,False,35,35,5,25,161.93939393939394,108.98181818181814,30,30,0,0,0,0,0,0,15,0,0,0,10,15,10,10,15,0,0,0,0,0
2020-21,Public Housing,Barunga West Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,Berri Barmera Council,False,270,470,40,130,180.23791821561338,132.76840148698872,210,175,25,20,15,35,40,10,100,5,5,80,100,65,105,70,85,35,25,10,0,45
2020-21,Public Housing,Campbelltown City Council,False,635,985,45,270,326.02523659305996,137.97681388012634,610,420,55,45,15,90,75,25,235,15,10,115,165,160,310,165,250,85,75,30,10,25
2020-21,Public Housing,City of Adelaide,False,320,390,20,125,273.0658307210031,117.71536050156723,300,270,10,5,10,20,15,10,90,10,5,15,80,115,125,65,125,70,25,15,5,10
2020-21,Public Housing,City of Burnside,False,155,175,10,70,279.3076923076923,111.58653846153847,150,140,0,5,0,5,5,0,40,0,0,0,40,50,65,25,70,40,10,5,0,5
2020-21,Public Housing,City of Charles Sturt,False,2655,4190,190,955,285.66654107008287,139.85872268274218,2455,1750,225,210,65,395,295,100,1030,65,60,530,685,750,1225,740,825,425,260,195,30,185
2020-21,Public Housing,City of Holdfast Bay,False,240,305,15,100,330.93277310924367,128.54159663865528,230,185,10,15,5,25,10,5,100,5,0,25,60,70,105,70,85,40,15,20,5,10
2020-21,Public Housing,City of Marion,False,2005,2985,125,880,296.0519441674975,134.96285144566343,1910,1395,165,170,30,245,200,55,775,60,30,290,530,610,870,565,705,315,200,105,15,100
2020-21,Public Housing,City of Mitcham,False,185,245,10,80,306.3279569892473,127.61505376344083,180,145,10,10,0,20,10,5,75,10,5,10,55,45,85,55,75,30,15,5,0,5
2020-21,Public Housing,City of Mount Gambier,False,995,1825,95,470,191.92369477911646,134.22540160642612,820,560,175,85,45,130,210,80,280,40,20,390,305,310,380,180,270,185,145,45,5,165
2020-21,Public Housing,City of Norwood Payneham and St Peters,False,560,680,30,230,299.3225806451613,122.7586379928313,545,470,20,20,5,35,25,10,195,15,0,55,115,165,275,150,215,105,30,40,10,10
2020-21,Public Housing,City of Onkaparinga,False,2965,4930,195,1265,257.133850303439,142.234615643964,2695,1810,265,280,65,540,335,95,1070,60,65,920,500,700,1765,750,1110,410,305,160,15,215
2020-21,Public Housing,City of Playford,False,2715,4915,225,1270,216.38725128960942,141.18870670596834,2280,1560,305,245,100,510,410,115,985,50,70,750,655,920,1140,680,830,385,315,90,15,395
2020-21,Public Housing,City of Port Adelaide Enfield,False,3875,6370,290,1375,287.7727859540408,144.83658662535316,3605,2450,310,325,110,675,435,140,1600,75,110,695,960,1065,1850,1155,1190,520,420,280,40,275
2020-21,Public Housing,City of Port Lincoln,False,525,875,110,215,207.83650190114068,132.03153992395434,455,335,75,40,15,60,85,30,200,15,15,155,120,185,220,155,145,85,60,20,5,60
2020-21,Public Housing,City of Prospect,False,235,305,10,110,323.84549356223175,131.94163090128743,225,185,5,15,5,25,10,5,90,5,5,25,55,45,135,60,100,35,15,15,5,5
2020-21,Public Housing,City of Salisbury,False,3010,5255,180,1295,254.43004320372216,149.85356264539607,2615,1710,295,335,80,595,375,115,1235,30,75,860,585,715,1710,900,905,375,290,165,30,350
2020-21,Public Housing,City of Tea Tree Gully,False,1220,1915,50,505,294.7141687141687,148.67945945946013,1105,780,90,130,20,200,115,30,505,15,20,325,205,245,770,385,400,130,105,85,10,105
2020-21,Public Housing,City of Unley,False,390,470,15,150,278.0154639175258,123.32680412371107,365,330,15,20,0,20,20,5,135,20,0,35,95,85,205,100,135,80,25,30,5,20
2020-21,Public Housing,City of West Torrens,False,1190,1675,55,440,283.6831932773109,132.53747899159734,1095,895,50,80,25,140,80,30,435,30,20,145,280,320,590,305,455,180,85,70,10,80
2020-21,Public Housing,City of Whyalla,False,1975,3320,310,985,193.4248101265823,127.75027848101352,1640,1255,290,165,60,200,350,140,570,110,30,1105,535,615,825,420,430,440,340,80,10,255
2020-21,Public Housing,Clare and Gilbert Valleys Council,False,105,165,5,80,190.07476635514018,134.32803738317762,75,70,10,15,5,10,10,5,40,5,0,40,30,40,35,20,30,10,15,5,0,30
2020-21,Public Housing,Coorong District Council,False,5,5,0,5,164.57142857142858,112.21428571428571,5,5,0,0,0,0,0,0,5,0,0,0,0,0,5,5,5,0,0,0,0,0
2020-21,Public Housing,Copper Coast Council,False,235,360,20,150,203.69957081545064,130.61287553648063,195,160,15,20,10,30,25,5,100,0,0,65,60,85,90,65,80,30,25,5,0,30
2020-21,Public Housing,Corporation of the Town of Walkerville,False,160,170,15,65,236.46835443037975,105.89936708860766,155,150,0,0,0,5,0,0,35,5,0,0,80,35,45,30,60,50,10,5,0,0
