financial_year,housing_type,local_government_area,is_total_row,number_of_dwellings,rate_per_10_000_of_all_residential_dwellings,tenantable_dwellings,untenantable_dwellings_or_undergoing_major_redevelopment,number_of_occupied_dwellings,pct_of_tenantable_dwellings_that_are_occupied,average_market_rent_of_dwelling_30_june,1_or_2_bedrooms,3_bedrooms,4_or_more_bedrooms,separate_houses,semi_detached,flat_unit_or_apartment
2020-21,Public Housing,The Flinders Ranges Council,False,25,261.93073922743093,25,0,25,1,147.6,15,10,0,10,5,10
2020-21,Public Housing,The Rural City of Murray Bridge,False,555,548.6575105361319,545,10,535,0.981651376146789,202.09335727109516,185,345,30,210,315,30
2020-21,Public Housing,Town of Gawler,False,470,398.62935112825744,465,5,455,0.978494623655914,217.72340425531914,225,230,15,130,255,85
2020-21,Public Housing,Wakefield Regional Council,False,15,42.66202633143306,15,0,15,1,140.14285714285714,10,5,0,5,0,10
2020-21,Public Housing,Wudinna District Council,False,15,200.1909804063773,15,0,10,0.6666666666666666,127.84615384615384,10,0,0,0,5,5
2020-21,Public Housing,Yorke Peninsula Council,False,75,78.3701046076527,75,0,75,1,143.97402597402598,50,25,0,30,5,45
2020-21,Public Housing,Total - dwellings,True,31938,399.12521869532617,31484,454,30144,0.9574386990217253,252.54797420001253,16954,13700,1284,10867,14670,6401
2020-21,Public Housing,% Total - dwellings,True,1,,0.9857849583568163,0.014215041643183669,0.9438286680443359,,,0.5308410044461144,0.42895610244849397,0.0402028931053917,0.3402529901684514,0.4593274469284238,0.2004195629031248
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Adelaide Hills Council,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Adelaide Plains Council,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Alexandrina Council,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Barunga West Council,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Berri Barmera Council,False,25,50.9403169473012,25,0,25,1,205.46153846153845,0,20,5,25,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Campbelltown City Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Adelaide,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Burnside,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Charles Sturt,False,60,10.871724750021832,55,5,50,0.9090909090909091,377.3103448275862,25,25,10,45,10,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Holdfast Bay,False,10,4.368310861073157,10,0,5,0.5,404.25,0,5,0,10,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Marion,False,50,12.26129017096359,50,5,45,0.9,368.15686274509807,10,35,5,45,5,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Mitcham,False,15,5.584714137146073,15,0,15,1,380.93333333333334,5,5,0,10,5,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Mount Gambier,False,20,14.335502391007033,20,0,20,1,243,0,10,5,15,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Norwood Payneham and St Peters,False,5,2.2494784925653017,5,0,5,1,511,0,0,0,5,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Onkaparinga,False,75,10.052329143361284,70,5,70,1,288.4594594594595,5,55,15,75,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Playford,False,55,14.199255895643116,55,0,50,0.9090909090909091,258.2857142857143,0,35,20,55,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Port Adelaide Enfield,False,210,37.67130943962662,205,5,200,0.975609756097561,345.93333333333334,45,125,40,195,15,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Port Lincoln,False,85,128.21008823927934,85,0,85,1,258.8045977011494,15,50,20,75,10,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Prospect,False,25,26.510263641083057,25,0,20,0.8,427,5,10,5,20,5,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Salisbury,False,175,30.934255657475045,170,5,165,0.9705882352941176,295.2342857142857,10,130,35,165,10,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Tea Tree Gully,False,55,13.979409220217319,55,0,50,0.9090909090909091,326.3157894736842,5,50,5,55,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Unley,False,10,4.693083434597032,10,0,10,1,512.75,0,5,0,5,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of West Torrens,False,50,17.886248238915975,50,0,45,0.9,419.7959183673469,10,30,10,45,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Whyalla,False,25,22.563071552604328,25,0,25,1,262.48,0,20,5,25,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Clare and Gilbert Valleys Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Coorong District Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Copper Coast Council,False,15,17.60166480223659,15,0,15,1,232.25,5,10,5,10,5,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Corporation of the Town of Walkerville,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council Lower Eyre Peninsula,False,0,0,0,0,0,,,0,0,0,0,0,0
