financial_year,housing_type,local_government_area,is_total_row,number_of_household_members,male,female,not_stated,birth_to_4_years,5_to_14_years,15_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_64_years,65_to_74_years,75_years_or_more
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Berri Barmera Council,False,70,35,30,0,5,15,5,10,5,10,5,5,5
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Campbelltown City Council,False,5,5,5,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Adelaide,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Burnside,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Charles Sturt,False,110,45,65,0,5,25,20,5,5,15,15,10,5
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Holdfast Bay,False,20,10,5,0,0,0,5,0,0,0,5,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Marion,False,115,50,65,0,10,30,15,10,10,15,20,5,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Mitcham,False,25,10,15,0,0,5,5,0,5,0,5,0,5
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Mount Gambier,False,60,25,35,0,5,15,10,5,10,5,5,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Norwood Payneham and St Peters,False,10,5,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Onkaparinga,False,195,85,110,0,15,65,35,15,20,20,20,5,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Playford,False,165,70,95,0,10,50,30,15,10,20,15,10,5
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Port Adelaide Enfield,False,490,200,285,5,30,120,90,40,65,60,55,25,10
