agency,period,executive_classification,headcount,is_total_row,source_file
Department for Child Protection,2021-22,EXECOF,1,False,department-for-child-protection-executive-employment.csv
Department for Child Protection,2021-22,SAES 1,8,False,department-for-child-protection-executive-employment.csv
Department for Child Protection,2021-22,SAES 2,3,False,department-for-child-protection-executive-employment.csv
Department for Child Protection,2022-23,EXECOF,1,False,department-for-child-protection-executive-employment.csv
Department for Child Protection,2022-23,SAES 1,10,False,department-for-child-protection-executive-employment.csv
Department for Child Protection,2022-23,SAES 2,5,False,department-for-child-protection-executive-employment.csv
Department for Child Protection,2023-24,EXECOF,1,False,department-for-child-protection-executive-employment.csv
Department for Child Protection,2023-24,SAES 1,13,False,department-for-child-protection-executive-employment.csv
Department for Child Protection,2023-24,SAES 2,8,False,department-for-child-protection-executive-employment.csv
Department for Child Protection,2024-25,EXECOF,1,False,department-for-child-protection-executive-employment.csv
Department for Child Protection,2024-25,SAES 1,15,False,department-for-child-protection-executive-employment.csv
Department for Child Protection,2024-25,SAES 2,5,False,department-for-child-protection-executive-employment.csv
Department for Education,2024,Chief Executive,1,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,Education and Children's Services Act Section 121 Negotiated Conditions,253,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,PS Act Executive A,0,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,Preschool Director Band A-2,11,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,Preschool Director Band A-3,50,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,Principal Band A-2,57,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,Principal Band A-3,151,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,Principal Band A-4,102,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,Principal Band A-5,97,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,Principal Band A-6,58,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,Principal Band A-7,31,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,Principal Band A-8,21,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,Principal Band A-9,27,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,Principal Band A-9 plus,11,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,SA Executive Service Level 1,66,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,SA Executive Service Level 2,20,False,annual-report_open_data_executives_2023-2024.csv
Department for Education,2024,SAES Specialist,3,False,annual-report_open_data_executives_2023-2024.csv
Department for Infrastructure and Transport,2012/13,EXEC,2,False,executive-employment-in-dpti-2012-13.csv
Department for Infrastructure and Transport,2012/13,SAES,65,False,executive-employment-in-dpti-2012-13.csv
Department for Infrastructure and Transport,2013/14,EXEC,1,False,executive-employment-in-dpti-2013-14.csv
Department for Infrastructure and Transport,2013/14,SAES,67,False,executive-employment-in-dpti-2013-14.csv
Department for Infrastructure and Transport,2014/15,EXEC,3,False,executive-employment-in-dpti-2014-15.csv
Department for Infrastructure and Transport,2014/15,SAES,42,False,executive-employment-in-dpti-2014-15.csv
Department for Infrastructure and Transport,2015/16,EXEC,4,False,executive-employment-in-dpti-2015-16.csv
Department for Infrastructure and Transport,2015/16,SAES,38,False,executive-employment-in-dpti-2015-16.csv
Department for Infrastructure and Transport,2016/17,EXEC,3,False,executive-employment-in-dpti-2016-17.csv
Department for Infrastructure and Transport,2016/17,SAES,38,False,executive-employment-in-dpti-2016-17.csv
Department for Infrastructure and Transport,2017-18,EXEC0A,1,False,executive-employment-in-dpti-in-2017-18-1.csv
Department for Infrastructure and Transport,2017-18,SAES1,32,False,executive-employment-in-dpti-in-2017-18-1.csv
Department for Infrastructure and Transport,2017-18,SAES2,9,False,executive-employment-in-dpti-in-2017-18-1.csv
Department for Infrastructure and Transport,2018-19,EXEC0A,2,False,executive-employment-in-dpti-in-2018-19.csv
Department for Infrastructure and Transport,2018-19,EXEC0F,1,False,executive-employment-in-dpti-in-2018-19.csv
Department for Infrastructure and Transport,2018-19,SAES1,28,False,executive-employment-in-dpti-in-2018-19.csv
Department for Infrastructure and Transport,2018-19,SAES2,6,False,executive-employment-in-dpti-in-2018-19.csv
Department for Infrastructure and Transport,2019-20,EXEC0A,1,False,dpti-annual-report-2019-20-csv-executive-employment-1.csv
Department for Infrastructure and Transport,2019-20,EXEC0F,1,False,dpti-annual-report-2019-20-csv-executive-employment-1.csv
Department for Infrastructure and Transport,2019-20,SAES1,28,False,dpti-annual-report-2019-20-csv-executive-employment-1.csv
Department for Infrastructure and Transport,2019-20,SAES2,14,False,dpti-annual-report-2019-20-csv-executive-employment-1.csv
Department for Infrastructure and Transport,2020-2021,EXEC0F,1,False,dit_annual_report_2020-2021_csv_exec_employment_in_the_agency.xlsx
Department for Infrastructure and Transport,2020-2021,SAES1,30,False,dit_annual_report_2020-2021_csv_exec_employment_in_the_agency.xlsx
Department for Infrastructure and Transport,2020-2021,SAES2,15,False,dit_annual_report_2020-2021_csv_exec_employment_in_the_agency.xlsx
Department for Infrastructure and Transport,2021-2022,EXEC0F,1,False,dit_annual_report_2021-2022_-_csv_exec_employment_in_the_agency.xlsx
Department for Infrastructure and Transport,2021-2022,SAES1,34,False,dit_annual_report_2021-2022_-_csv_exec_employment_in_the_agency.xlsx
Department for Infrastructure and Transport,2021-2022,SAES2,14,False,dit_annual_report_2021-2022_-_csv_exec_employment_in_the_agency.xlsx
Department for Infrastructure and Transport,2022-23,EXEC0F,1,False,docs_and_files-20243534-v1-2022-2023_annual_report_dit_-_csv_-_executive_employment_in_agency.xlsx
Department for Infrastructure and Transport,2022-23,SAES1,34,False,docs_and_files-20243534-v1-2022-2023_annual_report_dit_-_csv_-_executive_employment_in_agency.xlsx
Department for Infrastructure and Transport,2022-23,SAES2,12,False,docs_and_files-20243534-v1-2022-2023_annual_report_dit_-_csv_-_executive_employment_in_agency.xlsx
Department for Infrastructure and Transport,2023-2024,EXEC0F,1,False,2023-2024_annual_report_dit_-_csv_-_executive_employment_in_agency.csv
Department for Infrastructure and Transport,2023-2024,SAES1,38,False,2023-2024_annual_report_dit_-_csv_-_executive_employment_in_agency.csv
Department for Infrastructure and Transport,2023-2024,SAES2,13,False,2023-2024_annual_report_dit_-_csv_-_executive_employment_in_agency.csv
Department for Infrastructure and Transport,2024-2025,EXEC0F,1,False,docs_and_files-23252415-v2-11a__2024-2025_annual_report_-_executive_employment_in_the_agency_-_c.csv
Department for Infrastructure and Transport,2024-2025,SAES1,34,False,docs_and_files-23252415-v2-11a__2024-2025_annual_report_-_executive_employment_in_the_agency_-_c.csv
Department for Infrastructure and Transport,2024-2025,SAES2,12,False,docs_and_files-23252415-v2-11a__2024-2025_annual_report_-_executive_employment_in_the_agency_-_c.csv
Department of Human Services,2017-18,EXEC0E,1,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2017-18,SAES1,26,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2017-18,SAES2,9,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2018-19,EXEC0E,1,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2018-19,SAES1,22,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2018-19,SAES2,7,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2019-20,EXEC0E,0,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2019-20,SAES1,21,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2019-20,SAES2,7,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2020-21,EXEC0E,1,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2020-21,SAES1,19,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2020-21,SAES2,6,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2021-22,EXEC0E,1,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2021-22,SAES1,22,False,dhs-annual-report-data-2021-22-executive-employment.csv
