service_name,physical_address,physical_suburb,physical_state,physical_postcode,acpr_2018,care_type,residential_places,home_care_places,restorative_care_places,provider_name,organisation_type,abs_remoteness_category,mmm_2019_code,mmm_2019_category,sa2_2016_code,sa2_2016_name,sa3_2016_code,sa3_2016_name,lga_2023_name,lga_2023_code,phn_2017_code,phn_2017_name,latitude,longitude,funding_2024_25_aud
Helping Hand Aged Care - Ingle Farm,7 SHACKLETON Avenue,INGLE FARM,SA,5098,Metropolitan North,Residential,96,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41040,Ingle Farm,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.824091,138.656318999999,11395820.25
The Oaks Aged Care Facility,209 Ruwoldt Road,YAHL,SA,5291,South East,Residential,42,,,Goel Nominees Pty Ltd,Private Incorporated Body,Outer Regional Australia,3,MM3 - Large Rural Towns,41150,Grant,40702,Limestone Coast,Grant,42250,PHN402,Country SA,-37.8577149999999,140.841813999999,4743383.43
Calvary Kingswood,22 Harrow Terrace,KINGSWOOD,SA,5062,Metropolitan South,Residential,38,,,Calvary Aged Care Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41069,Mitcham (SA),40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-34.9683429999999,138.615123,4654253.35
Ira Parker Nursing Home,2 WAR MEMORIAL Drive,BALAKLAVA,SA,5461,"Yorke, Lower North & Barossa",Residential,22,,,Yorke and Northern Local Health Network Incorporated,State Government,Inner Regional Australia,5,MM5 - Small Rural Towns,41119,Wakefield - Barunga West,40502,Lower North,Wakefield,48130,PHN402,Country SA,-34.1401899999999,138.418903999999,2430948.91
Estia Health Kadina,8 Mine Street,KADINA,SA,5554,"Yorke, Lower North & Barossa",Residential,72,,,Estia Investments Pty Ltd,Private Incorporated Body,Outer Regional Australia,5,MM5 - Small Rural Towns,41124,Kadina,40504,Yorke Peninsula,Copper Coast,41560,PHN402,Country SA,-33.9585259999999,137.720145,9137348.62
Aldersgate Aged Care Services,160 OG Road,FELIXSTOW,SA,5070,Metropolitan East,Residential,115,,,Uniting Communities Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41018,Payneham - Felixstow,40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.891002,138.641079999999,13379599.18
Kara House,6 WEBB Street,CLARE,SA,5453,"Yorke, Lower North & Barossa",Residential,25,,,Yorke and Northern Local Health Network Incorporated,State Government,Inner Regional Australia,5,MM5 - Small Rural Towns,41116,Clare,40502,Lower North,Clare and Gilbert Valleys,41140,PHN402,Country SA,-33.8297,138.613371999999,2590536.94
Murray Mudge,7 Raymond Grove,GLENELG,SA,5045,Metropolitan South,Residential,76,,,Uniting Communities Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41057,Glenelg (SA),40301,Holdfast Bay,Holdfast Bay,42600,PHN401,Adelaide,-34.982601,138.513805999999,8621175.07
Bene Aged Care - The Italian Village,6 Mumford Avenue,ST AGNES,SA,5097,Metropolitan North,Residential,163,,,Italian Benevolent Foundation SA Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41055,St Agnes - Ridgehaven,40205,Tea Tree Gully,Tea Tree Gully,47700,PHN401,Adelaide,-34.834527,138.714124999999,18969977.12
Mary Cecelia Hart Court Hostel,82 Williams Road,MILLICENT,SA,5280,South East,Residential,90,,,Boneham Aged Care Services Incorporated,Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41152,Millicent,40702,Limestone Coast,Wattle Range,48340,PHN402,Country SA,-37.598311,140.35131,10784098.09
Charla Lodge,23 South Terrace,BORDERTOWN,SA,5268,South East,Residential,43,,,Limestone Coast Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41157,Tatiara,40702,Limestone Coast,Tatiara,47630,PHN402,Country SA,-36.312617,140.769709,4675492.63
Star Of The Sea Home For The Aged,15 Elizabeth Street,WALLAROO,SA,5556,"Yorke, Lower North & Barossa",Residential,21,,,The Catholic Diocese of Port Pirie Inc,Religious,Outer Regional Australia,5,MM5 - Small Rural Towns,41126,Wallaroo,40504,Yorke Peninsula,Copper Coast,41560,PHN402,Country SA,-33.931587,137.630411,2140027.13
Magill Manor,43 Fisher Street,MAGILL,SA,5072,Metropolitan East,Residential,96,,,Clayton Church Homes Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41016,Rostrevor - Magill,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.899186,138.669319,10447271.11
Bolton Clarke Charles Young,53 Austral Terrace,MORPHETTVILLE,SA,5043,Metropolitan South,Residential,173,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41062,Morphettville,40302,Marion,Marion,44060,PHN401,Adelaide,-34.983691,138.54561,17949904.8
Edenfield Family Care - Ramsay,77 Seaview Road,PORT AUGUSTA,SA,5700,Flinders & Far North,Residential,62,,,El-Jasbella Ramsay Pty Ltd,Private Incorporated Body,Outer Regional Australia,4,MM4 - Medium Rural Towns,41142,Port Augusta,40602,Outback - North and East,Port Augusta,46090,PHN402,Country SA,-32.499665,137.781117999999,7571509.18
Bolton Clarke Holly,16-24 Penneys Hill Road,HACKHAM,SA,5163,Metropolitan South,Residential,145,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41078,Hackham - Onkaparinga Hills,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.1476449999999,138.527309,15971135.01
Eudunda Senior Citizens Hostel,40 Ward Street,EUDUNDA,SA,5374,"Yorke, Lower North & Barossa",Residential,31,,,Barossa Hills Fleurieu Local Health Network Incorporated,State Government,Inner Regional Australia,5,MM5 - Small Rural Towns,41118,Goyder,40502,Lower North,Goyder,42110,PHN402,Country SA,-34.1754669999999,139.089841,3733542.92
Eyre Peninsula Old Folks Home,26-30 Flinders Highway,PORT LINCOLN,SA,5606,Eyre Peninsula,Residential,74,,,Eyre Peninsula Old Folks Home Inc,Community Based,Remote Australia,6,MM6 - Remote Communities,41133,Port Lincoln,40601,Eyre Peninsula and South West,Port Lincoln,46300,PHN402,Country SA,-34.7147879999999,135.837390999999,8149156.18
Lutheran Homes Group Fullarton,14 Frew Street,FULLARTON,SA,5063,Metropolitan East,Residential,164,,,Lutheran Homes Group Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.955955,138.628964999999,17501911.85
Walara Gilbert Valley,20 Masters Street,RIVERTON,SA,5412,"Yorke, Lower North & Barossa",Residential,33,,,WALARA INCORPORATED,Community Based,Inner Regional Australia,5,MM5 - Small Rural Towns,41117,Gilbert Valley,40502,Lower North,Clare and Gilbert Valleys,41140,PHN402,Country SA,-34.158456,138.743427999999,3032084.2
Walara Hamley Bridge,19 Albert Street,HAMLEY BRIDGE,SA,5401,"Yorke, Lower North & Barossa",Residential,52,,,WALARA INCORPORATED,Community Based,Inner Regional Australia,5,MM5 - Small Rural Towns,41119,Wakefield - Barunga West,40502,Lower North,Wakefield,48130,PHN402,Country SA,-34.3587899999999,138.677017,6599054.28
Helping Hand Aged Care - Rotary House,49 Buxton Street,NORTH ADELAIDE,SA,5006,Metropolitan East,Residential,87,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41002,North Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.906635,138.589070999999,7441122.24
Jallarah Homes,10 South Terrace,MENINGIE,SA,5264,"Hills, Mallee & Southern",Residential,30,,,Jallarah Homes Inc,Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41169,The Coorong,40703,Murray and Mallee,Coorong,47800,PHN402,Country SA,-35.69268,139.334700999999,3916639.75
Kalyra Belair Aged Care,2 Kalyra Road,BELAIR,SA,5052,Metropolitan South,Residential,92,,,James Brown Memorial Trust,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41065,Belair,40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-35.0017539999999,138.612188,9612468.44
Belalie Lodge,1-7 Cumnock Street,JAMESTOWN,SA,5491,Mid North,Residential,41,,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,5,MM5 - Small Rural Towns,41120,Jamestown,40503,Mid North,Northern Areas,45120,PHN402,Country SA,-33.203887,138.602767999999,4497933.05
Kapunda Homes,32 NASH Street,KAPUNDA,SA,5373,"Yorke, Lower North & Barossa",Residential,26,,,Barossa Hills Fleurieu Local Health Network Incorporated,State Government,Inner Regional Australia,5,MM5 - Small Rural Towns,41111,Light,40501,Barossa,Light,43650,PHN402,Country SA,-34.331997,138.922800999999,3198720.65
Restvale Hostel,8 Woodside Road,LOBETHAL,SA,5241,"Hills, Mallee & Southern",Residential,38,,,Lobethal and District Aged Homes Inc,Community Based,Inner Regional Australia,5,MM5 - Small Rural Towns,41006,Lobethal - Woodside,40102,Adelaide Hills,Adelaide Hills,40120,PHN402,Country SA,-34.908883,138.87447,3898852.43
Walara Balaklava Millcourt,7 Railway Terrace,BALAKLAVA,SA,5461,"Yorke, Lower North & Barossa",Residential,40,,,WALARA INCORPORATED,Community Based,Inner Regional Australia,5,MM5 - Small Rural Towns,41119,Wakefield - Barunga West,40502,Lower North,Wakefield,48130,PHN402,Country SA,-34.145017,138.414062999999,4832659.27
Riverview Lutheran Rest Home,5 Luther Road,LOXTON,SA,5333,Riverland,Residential,60,,,Riverview Lutheran Rest Home Inc,Religious,Outer Regional Australia,5,MM5 - Small Rural Towns,41162,Loxton,40703,Murray and Mallee,Loxton Waikerie,43790,PHN402,Country SA,-34.44548,140.576571,6851176.03
Mt View Homes Inc,31 Arthur Street,BOOLEROO CENTRE,SA,5482,Mid North,Residential,30,,,"Mt View"""""""""""""""" Homes Inc",Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41121,Peterborough - Mount Remarkable,40503,Mid North,Mount Remarkable,44830,PHN402,Country SA,-32.8800439999999,138.351810999999,3607521.16
Longridge Aged Care,900 Attiwill Street,NARACOORTE,SA,5271,South East,Residential,52,,,Naracoorte Home for the Aged Inc,Community Based,Outer Regional Australia,4,MM4 - Medium Rural Towns,41154,Naracoorte,40702,Limestone Coast,Naracoorte Lucindale,45090,PHN402,Country SA,-36.970658,140.748061,6092149.26
Orroroo Community Home,32 Fifth Street,ORROROO,SA,5431,Mid North,Residential,16,,,Yorke and Northern Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41121,Peterborough - Mount Remarkable,40503,Mid North,Orroroo Carrieton,45400,PHN402,Country SA,-32.7342999999999,138.613616,2681097.54
UnitingSA Wesley House Aged Care,324 Military Road,SEMAPHORE PARK,SA,5019,Metropolitan West,Residential,168,,,UnitingSA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41096,West Lakes,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.856577,138.479052999999,19674357.73
Barunga Village Incorporated,11 Edmund Street,PORT BROUGHTON,SA,5522,"Yorke, Lower North & Barossa",Residential,87,,,Barunga Village Incorporated,Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41119,Wakefield - Barunga West,40502,Lower North,Barunga West,40430,PHN402,Country SA,-33.601818,137.932561999999,9932162.52
Resthaven Bellevue Heights,47 Eve Road,BELLEVUE HEIGHTS,SA,5050,Metropolitan South,Residential,102,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41066,Bellevue Heights,40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-35.033662,138.584924999999,10563124.01
Resthaven Murray Bridge,53 Swanport Road,MURRAY BRIDGE,SA,5253,"Hills, Mallee & Southern",Residential,98,,,Resthaven Inc,Charitable,Inner Regional Australia,3,MM3 - Large Rural Towns,41165,Murray Bridge,40703,Murray and Mallee,Murray Bridge,45040,PHN402,Country SA,-35.1252599999999,139.276351,11002456.71
Linsell Lodge Aged Care Facility,2-16 Cardigan Street,ANGLE PARK,SA,5010,Metropolitan West,Residential,95,,,The Salvation Army (South Australia) Property Trust,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41102,The Parks,40402,Port Adelaide - West,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.8549429999999,138.557274,11062823.23
Regis Burnside,6 Booth Avenue,LINDEN PARK,SA,5065,Metropolitan East,Residential,191,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41013,Toorak Gardens,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.9434469999999,138.648587999999,19423013.44
Bethsalem Care,10 Education Road,HAPPY VALLEY,SA,5159,Metropolitan South,Residential,90,,,Christadelphian Care Services (SA) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41080,Happy Valley,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.0903509999999,138.584832,10480851.85
Bupa Campbelltown,1 Steele Street,CAMPBELLTOWN,SA,5074,Metropolitan East,Residential,59,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.881627,138.663365999999,6601851.31
The Philip Kennedy Centre Residential Care,477-479 Military Road,LARGS BAY,SA,5016,Metropolitan West,Residential,170,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41099,Largs Bay - Semaphore,40402,Port Adelaide - West,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.82448,138.489516,18782703.08
Lourdes Valley The Lodge Residential Care,18 Cross Road,MYRTLE BANK,SA,5064,Metropolitan East,Residential,58,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.962735,138.639524999999,5321080.36
Mount Carmel Residential Care,740 Torrens Road,ROSEWATER,SA,5013,Metropolitan West,Residential,83,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41097,Woodville - Cheltenham,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.8596539999999,138.523640999999,9636865.14
Fullarton Residential Care,345 Fullarton Road,FULLARTON,SA,5063,Metropolitan East,Residential,60,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.952823,138.625107,6673400.41
The Pines Lodge Residential Care,342 Marion Road,NORTH PLYMPTON,SA,5037,Metropolitan West,Residential,144,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41107,Plympton,40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.955779,138.552992999999,16015755.25
The Willochra Home,8 Allan Street,CRYSTAL BROOK,SA,5523,Mid North,Residential,42,,,Barunga Village Incorporated,Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41123,Port Pirie Region,40503,Mid North,Port Pirie,46450,PHN402,Country SA,-33.3581849999999,138.206401,4786739.96
Tanunda Lutheran Home,27 Bridge Street,TANUNDA,SA,5352,"Yorke, Lower North & Barossa",Residential,120,,,Tanunda Lutheran Home Inc,Religious,Inner Regional Australia,4,MM4 - Medium Rural Towns,41115,Tanunda,40501,Barossa,Barossa,40310,PHN402,Country SA,-34.519013,138.961928999999,12638200.28
Calvary St Catherine's Retirement Community,23 McGilton Road,BERRI,SA,5343,Riverland,Residential,50,,,Calvary Aged Care Limited,Charitable,Outer Regional Australia,5,MM5 - Small Rural Towns,41160,Berri,40703,Murray and Mallee,Berri Barmera,40520,PHN402,Country SA,-34.2828519999999,140.610549999999,6425408.67
Eldercare The Village,6-10 Centenary Avenue,MAITLAND,SA,5573,"Yorke, Lower North & Barossa",Residential,60,,,Eldercare Australia Ltd,Charitable,Outer Regional Australia,5,MM5 - Small Rural Towns,41127,Yorke Peninsula - North,40504,Yorke Peninsula,Yorke Peninsula,48830,PHN402,Country SA,-34.368803,137.675254999999,7289609.05
Eldercare Trowbridge House,9 LUHRS Road,PAYNEHAM SOUTH,SA,5070,Metropolitan East,Residential,64,,,Eldercare Australia Ltd,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41018,Payneham - Felixstow,40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.90426,138.641221999999,7383255.28
Summerhill,1144 Greenhill Road,URAIDLA,SA,5142,"Hills, Mallee & Southern",Residential,60,,,Clayton Church Homes Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41010,Uraidla - Summertown,40102,Adelaide Hills,Adelaide Hills,40120,PHN402,Country SA,-34.959907,138.739387999999,5612505.2
Warrina Court Residential Aged Care Service,46 McShane Street,CAMPBELLTOWN,SA,5074,Metropolitan East,Residential,35,,,Warrina Homes Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.8771139999999,138.656899,4267336.72
St Raphaels Home For The Aged,2 Franciscan Avenue,LOCKLEYS,SA,5032,Metropolitan West,Residential,33,,,Franciscan Sisters of the Heart of Jesus (South Australia) Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41106,Lockleys,40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.9237809999999,138.526758999999,3648678.75
Ardrossan Community Hostel,37 Fifth Street,ARDROSSAN,SA,5571,"Yorke, Lower North & Barossa",Residential,33,,,Ardrossan Community Hospital Inc,Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41127,Yorke Peninsula - North,40504,Yorke Peninsula,Yorke Peninsula,48830,PHN402,Country SA,-34.426482,137.917597,3850764.79
Ridleyton Greek Home for the Aged,89 Hawker Street,BROMPTON,SA,5007,Metropolitan West,Residential,120,,,Greek Orthodox Community of SA Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41093,Hindmarsh - Brompton,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.8942089999999,138.573049999999,13534058.44
Estia Health Aldgate,4 Gibb Road,ALDGATE,SA,5154,"Hills, Mallee & Southern",Residential,30,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41004,Aldgate - Stirling,40102,Adelaide Hills,Adelaide Hills,40120,PHN402,Country SA,-35.0174949999999,138.738381,3695596.11
Eldercare Sash Ferguson,8 Fletcher Road,MOUNT BARKER,SA,5251,"Hills, Mallee & Southern",Residential,53,,,Eldercare Australia Ltd,Charitable,Major Cities of Australia,3,MM3 - Large Rural Towns,41007,Mount Barker,40102,Adelaide Hills,Mount Barker,44550,PHN402,Country SA,-35.0743179999999,138.864889,6363647.82
Nalya Lodge Hostel,11 Hill Street,PETERBOROUGH,SA,5422,Mid North,Residential,11,,,Yorke and Northern Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41121,Peterborough - Mount Remarkable,40503,Mid North,Peterborough,45540,PHN402,Country SA,-32.979433,138.832896,1281103.31
Bolton Clarke Ridgehaven,3 HAZEL Grove,RIDGEHAVEN,SA,5097,Metropolitan North,Residential,132,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41055,St Agnes - Ridgehaven,40205,Tea Tree Gully,Tea Tree Gully,47700,PHN401,Adelaide,-34.822541,138.700159,14909626.1
John Paul II Village Residential Care,6a Dianne Street,KLEMZIG,SA,5087,Metropolitan North,Residential,40,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41038,Windsor Gardens,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.877296,138.635532,4662593.01
Kalyra Woodcroft Aged Care,54 Woodcroft Drive,MORPHETT VALE,SA,5162,Metropolitan South,Residential,88,,,James Brown Memorial Trust,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41084,Morphett Vale - East,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.1106539999999,138.540884,10674781.59
Rembrandt Court,1 Madras Street,OAKLANDS PARK,SA,5046,Metropolitan South,Residential,87,,,Rembrandt Living Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41064,Warradale,40302,Marion,Marion,44060,PHN401,Adelaide,-35.002178,138.542698999999,9860694.37
Labrina Village Residential Care,63-71 Labrina Avenue,PROSPECT,SA,5082,Metropolitan East,Residential,41,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41021,Prospect,40106,Prospect - Walkerville,Prospect,46510,PHN401,Adelaide,-34.888154,138.600947999999,4720737.03
Bellevue Court Residential Care,9 Bellevue Court,GAWLER EAST,SA,5118,"Yorke, Lower North & Barossa",Residential,80,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41026,Gawler - South,40201,Gawler - Two Wells,Gawler,42030,PHN402,Country SA,-34.5913609999999,138.756182999999,9247913.77
Ashman Grove Aged Care Hostel,58 Chief Street,BROMPTON,SA,5007,Metropolitan West,Residential,87,,,Rosha Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41093,Hindmarsh - Brompton,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.899621,138.576958999999,8461886.37
Bupa Enfield,5 Bradford Court,ENFIELD,SA,5085,Metropolitan North,Residential,68,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41036,Enfield - Blair Athol,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.870891,138.607071999999,8197130.92
Lutheran Homes Group Hope Valley,1217 Grand Junction Road,HOPE VALLEY,SA,5090,Metropolitan North,Residential,100,,,Lutheran Homes Group Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41052,Hope Valley - Modbury,40205,Tea Tree Gully,Tea Tree Gully,47700,PHN401,Adelaide,-34.840021,138.700202999999,10717932.28
Aminya Village Hostel,14 Adelaide Road,MANNUM,SA,5238,Riverland,Residential,60,,,Mid Murray Homes for the Aged Inc,Community Based,Inner Regional Australia,5,MM5 - Small Rural Towns,41164,Mannum,40703,Murray and Mallee,Mid Murray,44210,PHN402,Country SA,-34.915765,139.30744,7581869.05
Amber Aged Care,50 Avenue Road,PARADISE,SA,5075,Metropolitan East,Residential,40,,,Amber Aged Care Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.871124,138.678630999999,5076840.79
Torrens Valley Aged Care,2 ALBERT Street,GUMERACHA,SA,5233,"Hills, Mallee & Southern",Residential,42,,,Barossa Hills Fleurieu Local Health Network Incorporated,State Government,Inner Regional Australia,2,MM2 - Regional Centres,41003,Adelaide Hills,40102,Adelaide Hills,Adelaide Hills,40120,PHN402,Country SA,-34.824506,138.883837,7066365.06
Dunbar Homes Salisbury,11 Mawson Road,SALISBURY,SA,5108,Metropolitan North,Residential,57,,,Dunbar Homes Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41046,Salisbury,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.764557,138.643531999999,6251799.53
St Basil's at Croydon Park,83-93 Regency Road,CROYDON PARK,SA,5008,Metropolitan West,Residential,81,,,St Basil's Homes for the Aged in South Australia (Vasileias) Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41102,The Parks,40402,Port Adelaide - West,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.875326,138.566223,9651684.93
Edenfield Family Care,20-36 Gardenia Drive,PARAFIELD GARDENS,SA,5107,Metropolitan North,Residential,59,,,El-Jasbella Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41043,Parafield Gardens,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.7764519999999,138.615609,5907200.99
St Anna's Residential Care Facility,41 Burley Griffin Boulevard,BROMPTON,SA,5007,Metropolitan West,Residential,60,,,Croatian Ukrainian and Belarusian Aged Care Association of SA Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41093,Hindmarsh - Brompton,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.898544,138.571124999999,7105955.74
Villa St Hilarion-Fulham,21 FARNCOMB Road,FULHAM,SA,5024,Metropolitan West,Residential,56,,,The Society of St Hilarion Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41105,Fulham,40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.9300709999999,138.513921,5412206.95
Pennwood Village,19 Windsor Avenue,PENNINGTON,SA,5013,Metropolitan West,Residential,61,,,Serbian Community Welfare Association of SA Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41097,Woodville - Cheltenham,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.858345,138.536407999999,7341316.3
Helping Hand Aged Care - Carinya,17-19 Victoria Road,CLARE,SA,5453,"Yorke, Lower North & Barossa",Residential,50,,,Helping Hand Aged Care Inc,Charitable,Inner Regional Australia,5,MM5 - Small Rural Towns,41116,Clare,40502,Lower North,Clare and Gilbert Valleys,41140,PHN402,Country SA,-33.835793,138.611926,5865715.36
Bonney Lodge,24 HAWDON Street,BARMERA,SA,5345,Riverland,Residential,81,,,Riverland Mallee Coorong Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41159,Barmera,40703,Murray and Mallee,Berri Barmera,40520,PHN402,Country SA,-34.249084,140.471889,8078142.13
Boandik Crouch Street,26 Crouch Street South,MOUNT GAMBIER,SA,5290,South East,Residential,73,,,Boandik Lodge Inc,Community Based,Outer Regional Australia,3,MM3 - Large Rural Towns,41173,Mount Gambier - East,40702,Limestone Coast,Mount Gambier,44620,PHN402,Country SA,-37.83409,140.784428999999,8100625.92
St Basil's Aegean Village,10 Morton Road,CHRISTIE DOWNS,SA,5164,Metropolitan South,Residential,97,,,St Basil's Homes for the Aged in South Australia (Vasileias) Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41073,Christie Downs,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.1327789999999,138.498585999999,11732859.74
Copperhouse Court Hostel,43 A Flinders Avenue,WHYALLA STUART,SA,5608,Eyre Peninsula,Residential,57,,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,3,MM3 - Large Rural Towns,41136,Whyalla,40601,Eyre Peninsula and South West,Whyalla,48540,PHN402,Country SA,-33.029386,137.523160999999,7099268.11
Bene St Pauls,7 Braun Drive,HAHNDORF,SA,5245,"Hills, Mallee & Southern",Residential,80,,,Italian Benevolent Foundation SA Inc,Community Based,Major Cities of Australia,2,MM2 - Regional Centres,41005,Hahndorf - Echunga,40102,Adelaide Hills,Mount Barker,44550,PHN402,Country SA,-35.0320579999999,138.81521,9025724.13
