service_name,physical_address,physical_suburb,physical_state,physical_postcode,acpr_2018,care_type,residential_places,home_care_places,restorative_care_places,provider_name,organisation_type,abs_remoteness_category,mmm_2019_code,mmm_2019_category,sa2_2016_code,sa2_2016_name,sa3_2016_code,sa3_2016_name,lga_2023_name,lga_2023_code,phn_2017_code,phn_2017_name,latitude,longitude,funding_2024_25_aud
Mid North Community Care Packages,6/182 Ellen Street,PORT PIRIE,SA,5540,Mid North,Home Care,0,,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,4,MM4 - Medium Rural Towns,41122,Port Pirie,40503,Mid North,Port Pirie,46450,PHN402,Country SA,-33.1764289999999,138.010116,11051320.16
Multicultural Home Support For Croatian Ukrainian And Belarusian Communities,471 REGENCY ROAD,PROSPECT,SA,5082,Metropolitan East,Home Care,0,,,Croatian Ukrainian and Belarusian Aged Care Association of SA Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41021,Prospect,40106,Prospect - Walkerville,Prospect,46510,PHN401,Adelaide,-34.874015,138.600762,3473826.87
Multicultural Home Support Programme,"Level 5, 43 Franklin Street",ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Uniting Communities Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.927667,138.597411999999,652805.58
Multicultural Home Support Programme Extended Care,"Level 5, 43 Franklin Street",ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Uniting Communities Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.927667,138.597411999999,166479.12
Resthaven Murray Bridge Community Services,37 Swanport Road,MURRAY BRIDGE,SA,5253,"Hills, Mallee & Southern",Home Care,0,,,Resthaven Inc,Charitable,Inner Regional Australia,3,MM3 - Large Rural Towns,41165,Murray Bridge,40703,Murray and Mallee,Murray Bridge,45040,PHN402,Country SA,-35.1244799999999,139.276237,17626294.95
Murray Mallee Community Aged Care Packages,74 Adelaide Road,MURRAY BRIDGE,SA,5253,"Hills, Mallee & Southern",Home Care,0,,,Murray Mallee Aged Care Group Inc,Charitable,Inner Regional Australia,3,MM3 - Large Rural Towns,41165,Murray Bridge,40703,Murray and Mallee,Murray Bridge,45040,PHN402,Country SA,-35.1227769999999,139.267785,16799615.53
Resthaven Limestone Coast Community Services,17 Gordon Street,NARACOORTE,SA,5271,South East,Home Care,0,,,Resthaven Inc,Charitable,Outer Regional Australia,4,MM4 - Medium Rural Towns,41154,Naracoorte,40702,Limestone Coast,Naracoorte Lucindale,45090,PHN402,Country SA,-36.9593309999999,140.743123999999,5214077.03
Yorke and Northern Home Care Packages,36 Robert Street,MAITLAND,SA,5573,"Yorke, Lower North & Barossa",Home Care,0,,,Yorke and Northern Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41127,Yorke Peninsula - North,40504,Yorke Peninsula,Yorke Peninsula,48830,PHN402,Country SA,-34.3734669999999,137.672999,5702678.19
Resthaven Sefton Park Community Services,255 MAIN NORTH ROAD,SEFTON PARK,SA,5083,Metropolitan North,Home Care,0,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41036,Enfield - Blair Athol,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.874861,138.602377999999,6272837.43
Northern Care at Home,153 Playford Boulevard,ELIZABETH,SA,5112,Metropolitan North,Home Care,0,,,Anglicare SA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41030,Elizabeth,40202,Playford,Playford,45680,PHN401,Adelaide,-34.718386,138.671033999999,12971808.33
Northern Community Care Program,34 Commercial Road,SALISBURY,SA,5108,Metropolitan North,Home Care,0,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41046,Salisbury,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.7636749999999,138.649155,20802685.74
