"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Other","Aust"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Students and base level ambulance officers","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","10.6","3.8","1.0","2.5","8.9","5.7","6.2","14.1","","5.7"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Qualified ambulance officers","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","50.9","62.1","78.1","35.4","65.5","74.3","45.5","47.0","","59.0"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Total","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","61.5","65.9","79.1","38.0","74.3","80.0","51.8","61.1","","64.7"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Operational support personnel","","","","CAA (unpublished)","no.","697","536","332","349","233","82","60","42","","2332"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Corporate support personnel","","","","CAA (unpublished)","no.","451","584","423","701","222","44","26","38","","2488"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Total ambulance service workforce","","","","Derived from CAA (unpublished)","no.","7086","6109","6024","2780","2184","687","392","306","","25568"
"11A.2","2024-25","Human resources","All ages","Males","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","3533","3067","3152","1422","1170","438","185","160","","13127"
"11A.2","2024-25","Human resources","All ages","Females","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","4056","3617","3971","2311","1489","459","213","179","","16295"
"11A.2","2024-25","Human resources","All ages","Other","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","10","5","11","9","4","3","2","22","","66"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","7599","6689","7134","3742","2663","900","400","361","","29488"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Ambulance operatives","","","","Derived from CAA (unpublished)","no.","36","894","110","2662","1050","388","0","0","","5140"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Operational / corporate support","","","","CAA (unpublished)","no.","44","28","31","482","166","0","0","0","","751"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Total","","","","Derived from CAA (unpublished)","no.","80","922","141","3144","1216","388","0","0","","5891"
"11A.2","2024-25","Human resources","All ages","Males","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","167","159","150","1374","433","181","0","0","","2464"
"11A.2","2024-25","Human resources","All ages","Females","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","192","227","149","2177","740","221","0","0","","3706"
"11A.2","2024-25","Human resources","All ages","Other","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","0","0","0","6","8","0","0","0","","14"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","359","386","299","3557","1181","402","0","0","","6184"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Community first responders","","","","","CAA (unpublished)","no.","279","177","158","291","35","14","0","0","","954"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Patient transport officers","","","CAA (unpublished)","no.","0","53","228","215","70","18","21","23","","628"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Students and base level ambulance officers","","","CAA (unpublished)","no.","745","262","63","136","193","23","31","41","","1494"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Qualified ambulance officers","","","CAA (unpublished)","no.","4155","4289","4275","946","1114","403","217","122","","15520"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Clinical other","","","CAA (unpublished)","no.","97","28","8","52","67","24","0","0","","276"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Communications operatives","","","CAA (unpublished)","no.","545","243","552","190","162","67","40","48","","1847"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Total","","","Derived from CAA (unpublished)","no.","5542","4874","5126","1539","1606","535","309","234","","19766"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Proportion of total salaried personnel","","","Derived from CAA (unpublished)","%","84.6","81.2","88.8","63.4","78.4","80.8","81.3","77.6","","81.9"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Students and base level ambulance officers","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","8.8","3.8","1.1","4.7","10.3","4.0","6.6","16.2","","5.5"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Qualified ambulance officers","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","49.3","62.1","77.3","32.3","59.7","70.1","46.2","48.1","","57.6"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Total","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","58.1","65.9","78.5","37.0","70.0","74.1","52.8","64.3","","63.1"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Operational support personnel","","","","CAA (unpublished)","no.","620","541","301","319","225","89","41","37","","2172"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Corporate support personnel","","","","CAA (unpublished)","no.","387","585","343","572","219","39","31","30","","2205"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Total ambulance service workforce","","","","Derived from CAA (unpublished)","no.","6549","6000","5770","2430","2049","663","381","301","","24142"
"11A.2","2023-24","Human resources","All ages","Males","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","3386","3072","3105","1351","1147","429","175","179","","12844"
"11A.2","2023-24","Human resources","All ages","Females","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","3609","3566","3697","2083","1382","436","190","191","","15154"
"11A.2","2023-24","Human resources","All ages","Other","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","9","2","10","6","4","2","2","0","","35"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","7004","6640","6812","3440","2533","867","367","370","","28033"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Ambulance operatives","","","","Derived from CAA (unpublished)","no.","41","952","105","3099","972","384","0","0","","5553"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Operational / corporate support","","","","CAA (unpublished)","no.","45","30","31","473","173","0","0","0","","752"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Total","","","","Derived from CAA (unpublished)","no.","86","982","136","3572","1145","384","0","0","","6305"
"11A.2","2023-24","Human resources","All ages","Males","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","0","172","142","1357","420","187","0","0","","2278"
"11A.2","2023-24","Human resources","All ages","Females","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","0","244","145","2100","748","213","0","0","","3450"
"11A.2","2023-24","Human resources","All ages","Other","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","0","0","0","4","5","0","0","0","","9"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","0","416","287","3461","1173","400","0","0","","5737"
"11A.2","2023-24","Human resources","All ages","All people","All people","All areas","","Community first responders","","","","","CAA (unpublished)","no.","292","207","151","240","49","16","0","0","","955"
"11A.2","2022-23","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Patient transport officers","","","CAA (unpublished)","no.","0","60","229","197","66","17","20","39","","628"
"11A.2","2022-23","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Students and base level ambulance officers","","","CAA (unpublished)","no.","789","544","42","287","197","33","34","38","","1964"
"11A.2","2022-23","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Qualified ambulance officers","","","CAA (unpublished)","no.","3963","4157","4000","704","1056","396","199","146","","14621"
"11A.2","2022-23","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Clinical other","","","CAA (unpublished)","no.","83","29","7","11","64","21","0","0","","215"
"11A.2","2022-23","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Communications operatives","","","CAA (unpublished)","no.","509","238","509","168","151","60","45","56","","1736"
"11A.2","2022-23","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Total","","","Derived from CAA (unpublished)","no.","5344","5028","4787","1367","1534","527","298","279","","19164"
"11A.2","2022-23","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Proportion of total salaried personnel","","","Derived from CAA (unpublished)","%","85.6","82.3","88.9","66.8","78.4","83.0","80.3","79.7","","83.0"
"11A.2","2022-23","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Students and base level ambulance officers","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","9.6","8.1","0.8","10.2","10.7","5.8","7.4","15.2","","7.5"
"11A.2","2022-23","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Qualified ambulance officers","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","48.1","62.0","74.4","24.9","57.6","69.3","43.2","58.4","","55.7"
