Tab,Type of online behaviour,Type of help-seeking ,Gender,Age,Small-to-medium business owner status,Prevalence in 2025,Prevalence in 2025 (comparable to 2024),Prevalence in 2024,Statistically significant difference (2024 vs 2025)
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,All persons,35 – 64,All,76.5,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,All persons,65+,All,78.6,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,All persons,All ages,SME owner,81.8,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,All persons,All ages,Not an SME owner,72.9,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,All persons,All ages,All,74.6,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,Male,All ages,All,68.1,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,Female,All ages,All,67.4,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,All persons,18 – 34,All,71.2,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,All persons,35 – 64,All,64.6,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,All persons,65+,All,64.6,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,All persons,All ages,SME owner,75.8,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,All persons,All ages,Not an SME owner,65.1,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from formal source,All persons,All ages,All,67.6,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from police or ReportCyber,Male,All ages,All,19.4,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from police or ReportCyber,Female,All ages,All,18.7,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from police or ReportCyber,All persons,18 – 34,All,23.2,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from police or ReportCyber,All persons,35 – 64,All,17.3,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from police or ReportCyber,All persons,65+,All,11.3,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from police or ReportCyber,All persons,All ages,SME owner,28.9,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from police or ReportCyber,All persons,All ages,Not an SME owner,16.4,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from police or ReportCyber,All persons,All ages,All,18.9,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,Male,All ages,All,12.7,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,Female,All ages,All,9.8,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,All persons,18 – 34,All,17.4,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,All persons,35 – 64,All,8.4,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,All persons,65+,All,3.9,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,All persons,All ages,SME owner,21.8,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,All persons,All ages,Not an SME owner,8.4,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from police or ReportCyber,All persons,All ages,All,11.3,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,Male,All ages,All,21.5,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,Female,All ages,All,16.5,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,All persons,18 – 34,All,25.4,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,All persons,35 – 64,All,16.9,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,All persons,65+,All,10.2,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,All persons,All ages,SME owner,28.8,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,All persons,All ages,Not an SME owner,16.4,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from police or ReportCyber,All persons,All ages,All,19.0,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,Male,All ages,All,25.3,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,Female,All ages,All,19.0,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,All persons,18 – 34,All,28.3,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,All persons,35 – 64,All,20.0,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,All persons,65+,All,9.8,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,All persons,All ages,SME owner,29.6,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,All persons,All ages,Not an SME owner,19.5,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Help-seeking from police or ReportCyber,All persons,All ages,All,22.1,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Official report to police or ReportCyber,Male,All ages,All,12.5,12.5,12.1,No
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Official report to police or ReportCyber,Female,All ages,All,11.7,11.7,9.0,p<.05
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Official report to police or ReportCyber,All persons,18 – 34,All,14.6,14.6,13.5,No
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Official report to police or ReportCyber,All persons,35 – 64,All,11.1,11.1,10.4,No
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Official report to police or ReportCyber,All persons,65+,All,7.4,7.4,4.6,No
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Official report to police or ReportCyber,All persons,All ages,SME owner,20.8,20.8,16.5,No
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Official report to police or ReportCyber,All persons,All ages,Not an SME owner,9.8,9.8,9.1,No
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Official report to police or ReportCyber,All persons,All ages,All,11.7,11.7,10.3,No
L1 - Help-seeking following most recent incident (%),Malware,Official report to police or ReportCyber,Male,All ages,All,8.0,8.0,13.4,p<.001
L1 - Help-seeking following most recent incident (%),Malware,Official report to police or ReportCyber,Female,All ages,All,6.4,6.4,5.8,No
L1 - Help-seeking following most recent incident (%),Malware,Official report to police or ReportCyber,All persons,18 – 34,All,11.0,11.0,11.6,No
L1 - Help-seeking following most recent incident (%),Malware,Official report to police or ReportCyber,All persons,35 – 64,All,5.4,5.4,10.3,p<.001
L1 - Help-seeking following most recent incident (%),Malware,Official report to police or ReportCyber,All persons,65+,All,2.5,2.5,4.0,No
L1 - Help-seeking following most recent incident (%),Malware,Official report to police or ReportCyber,All persons,All ages,SME owner,13.9,13.9,18.2,No
L1 - Help-seeking following most recent incident (%),Malware,Official report to police or ReportCyber,All persons,All ages,Not an SME owner,5.4,5.4,7.6,p<.05
L1 - Help-seeking following most recent incident (%),Malware,Official report to police or ReportCyber,All persons,All ages,All,7.0,7.0,9.5,p<.01
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Official report to police or ReportCyber,Male,All ages,All,15.1,15.1,12.6,No
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Official report to police or ReportCyber,Female,All ages,All,11.6,11.6,8.5,p<.05
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Official report to police or ReportCyber,All persons,18 – 34,All,17.8,17.8,13.1,p<.05
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Official report to police or ReportCyber,All persons,35 – 64,All,12.1,12.1,11.8,No
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Official report to police or ReportCyber,All persons,65+,All,6.7,6.7,3.8,No
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Official report to police or ReportCyber,All persons,All ages,SME owner,20.9,20.9,18.6,No
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Official report to police or ReportCyber,All persons,All ages,Not an SME owner,11.3,11.3,8.5,p<.05
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Official report to police or ReportCyber,All persons,All ages,All,13.0,13.0,10.3,p<.05
L1 - Help-seeking following most recent incident (%),Fraud and scams,Official report to police or ReportCyber,Male,All ages,All,16.2,16.2,14.8,No
