tenement_category,tenement_type_code,tenement_type_desc,tenement_number,tenement_label,tenement_status,holders,operators,location,legal_area,area_unit,grant_date,surrender_date,expiry_date,renewal_received_date,transfer_received_date,surrender_received_date,commodities,commodity_categories,court_action_pending,mpl_purpose,operation_name,operation_status,operation_method,reports_and_related_records,prior_tenement,subsequent_tenement,longitude,latitude
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6707,EL 6707,Active,PTR Minerals Ltd,,Arcoona area approximately 2km northeast of Woomera,209,Square Kilometres,2022-03-31T01:30:00Z,,2028-03-30T01:30:00Z,,,,Copper(),,,,,,,,,,136.993008,-31.2151925
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6785,EL 6785,Active,Taiton Resources Limited,,Commonwealth Hill area approximately 140km northwest of Tarcoola,997,Square Kilometres,2022-06-02T02:30:00Z,,2028-06-01T02:30:00Z,,,,All Metals,,,,,,,,,,133.40968650000002,-29.8402205
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6448,EL 6448,Active,Lincoln Minerals Limited,,Wanilla area approximately 25km north-northwest of Port Lincoln,79,Square Kilometres,2019-11-16T01:30:00Z,,2030-11-15T01:30:00Z,,,,Iron Ore,,,,,,,,,,135.7430685,-34.448555999999996
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6842,EL 6842,Active,Bobcat Exploration Pty Ltd,,Stuarts Creek area approximately 110km northwest of Marree,108,Square Kilometres,2022-09-21T02:30:00Z,,2028-09-20T02:30:00Z,,,,All Minerals,,,,,,,,,,137.25131,-28.973512999999997
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6435,EL 6435,Active,Exco Operations (SA) Pty Limited; Polymetals (White Dam) Pty Ltd,Exco Operations (SA) Pty Limited; Polymetals (White Dam) Pty Ltd,Bulloo Creek area approximately 190km northeast of Peterborough,34,Square Kilometres,2019-10-14T01:30:00Z,,2030-10-13T01:30:00Z,,,,Copper(); Gold(); Iron(),,,,,,,,,,140.5763045,-32.1318225
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,7031,EL 7031,Active,Anglo American Exploration (Australia) Pty Limited,,Wintinna area approximately 160km northwest of Coober Pedy,968,Square Kilometres,2024-12-17T01:30:00Z,,2030-12-16T01:30:00Z,,,,Base Metals,,,,,,,,,,133.9216625,-27.781870499999997
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6195,EL 6195,Active,Copper Search Australia Pty Ltd,,Anna Creek area immediately north of William Creek,641,Square Kilometres,2018-07-13T02:30:00Z,,2029-07-12T02:30:00Z,,,,"Copper, Gold",,,,,,,,,,136.26798150000002,-28.740188
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6535,EL 6535,Active,Cartwheel Minerals Pty Ltd,,Lake Gairdner area approximately 100km southeast of Tarcoola,401,Square Kilometres,2020-07-17T02:30:00Z,,2031-07-16T02:30:00Z,,,,"Copper, Gold",,,,,,,,,,135.684092,-31.7254145
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6982,EL 6982,Active,Flinders Prospecting Pty Ltd,,Broughton River Valley area approximately 35km west-northwest of Burra,153,Square Kilometres,2024-03-21T01:30:00Z,,2030-03-20T01:30:00Z,,,,Copper,,,,,,,,,,138.5763515,-33.57352
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,7062,EL 7062,Active,Mac Minerals Pty Ltd,,Tieyon area approximately 90km northeast of Mintabie,1000,Square Kilometres,2025-04-07T02:30:00Z,,2031-04-06T02:30:00Z,,,,Uranium,,,,,,,,,,133.834643,-26.548535
