application_category,application_type_code,application_type_desc,file_reference,project_name,applicants,location,application_received_date,legal_area,area_unit,commodities,mineral_type,mpl_purpose,prior_tenement,related_tenements,related_applications,native_title,outcome_or_status,outcome_date,resulting_tenement,longitude,latitude
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2015/00189,,NiCul Minerals Limited,Mount Harcus area - approx 380 km WNW of Marla,2015-10-06T01:30:00Z,2360,Square Kilometres,"Copper,Nickel,Precious Metals,Base Metals",Unspecified,,,,,,,,,129.8096835,-26.831908499999997
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2009/00368,,NiCul Minerals Limited,Hanging Knoll area - approx 340km WNW of Marla,2009-12-04T01:30:00Z,34,Square Kilometres,"Copper,Nickel",Unspecified,,,,,,,,,130.384673,-26.306900499999998
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2011/00038,,Spencer Metals Pty Ltd,Port Augusta area - approx 30km ENE of Whyalla,2011-03-01T01:30:00Z,474,Square Kilometres,"Silver,Zinc,Copper,Uranium,Lead,Gold",Unspecified,,,,,,,,,137.84283349999998,-32.865191499999995
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2010/00119,,Spencer Metals Pty Ltd,Moonta area - approx 100km South of Whyalla,2010-05-14T02:30:00Z,549,Square Kilometres,"Gold,Copper,Uranium,Zinc,Silver,Lead",Unspecified,,,,,,,,,137.49241999999998,-33.9485345
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01221,,Lagoon Creek Resources Pty Ltd,Bindarrah area - Approximately 40 km northeast of Olary,2026-06-19T02:30:00Z,93.07000000000001,Square Kilometres,Uranium,Unspecified,,,,,,,,,140.759635,-32.0568205
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01194,,Taragon Valley Pty Limited,Bindarrah area - Approximately 40 km northeast of Olary,2026-06-19T02:30:00Z,93.07000000000001,Square Kilometres,"Lead,Zinc,Copper,Gold",Unspecified,,,,,,,,,140.759635,-32.0568205
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01212,,Sandfire South Australia Pty Ltd (Tenement Holder),Bindarrah area - Approximately 40 km northeast of Olary,2026-06-18T02:30:00Z,93.07000000000001,Square Kilometres,,Unspecified,,,,,,,,,140.759635,-32.0568205
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01204,,Silverton Minerals Pty Ltd,Bindarrah area - Approximately 40 km northeast of Olary,2026-06-19T02:30:00Z,93.07000000000001,Square Kilometres,"Precious Metals,Base Metals,Uranium",Unspecified,,,,,,,,,140.759635,-32.0568205
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01177,,Austral Strategic Metals Pty Ltd,Bindarrah area - Approximately 40 km northeast of Olary,2026-05-30T02:30:00Z,93,Square Kilometres,"Uranium,Gold,Copper,Cobalt",Unspecified,,,,,,,,,140.759635,-32.0568205
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01087,,Cerberus Resources Pty Ltd,Pernatty area approximately 60km east-southeast of Woomera,2025-10-28T01:30:00Z,397.74,Square Kilometres,"Cobalt,Copper,Gold",Unspecified,,,,,,,,,137.4763375,-31.506856499999998
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2017/00202,,Rio Tinto Exploration Pty Limited,Anangu Pitjantnatnara Yankunytjatjara Area - approximately 280 km northwest of Marla,2017-09-22T02:30:00Z,810,Square Kilometres,Base Metals,Unspecified,,,,,,,,,131.084666,-26.1402305
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01029,,Orano Mining Australia Pty Ltd,Tallaringa Area - 194km WSW of Coober Pedy,2025-07-18T02:30:00Z,991.84,Square Kilometres,Uranium,Unspecified,,,,,,,,,132.901362,-29.848559
