table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NSW,1657
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Vic,2319
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Qld,1757
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,WA,655
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,SA,564
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Tas,242
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,ACT,113
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NT,84
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,30-39 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Aust,7391
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NSW,1075
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Vic,924
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Qld,981
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,WA,414
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,SA,418
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Tas,137
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,ACT,62
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NT,28
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Aust,4039
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NSW,968
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Vic,781
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Qld,921
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,WA,329
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,SA,344
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Tas,93
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,ACT,62
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NT,31
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Aust,3529
