table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2015-16,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,330.7
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2015-16,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,SA,193.82
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Patient transport officers,,,CAA (unpublished),no.,SA,88
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,,,CAA (unpublished),no.,SA,168
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,,,CAA (unpublished),no.,SA,1238
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Clinical other,,,CAA (unpublished),no.,SA,62
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Communications operatives,,,CAA (unpublished),no.,SA,172
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Total,,,Derived from CAA (unpublished),no.,SA,1728
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Proportion of total salaried personnel,,,Derived from CAA (unpublished),%,SA,79.1
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,Per 100000 people,,Derived from CAA (unpublished); ABS National state and territory population - December,rate,SA,8.9
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,Per 100000 people,,Derived from CAA (unpublished); ABS National state and territory population - December,rate,SA,65.5
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Total,Per 100000 people,,Derived from CAA (unpublished); ABS National state and territory population - December,rate,SA,74.3
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Operational support personnel,,,,CAA (unpublished),no.,SA,233
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Corporate support personnel,,,,CAA (unpublished),no.,SA,222
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Total ambulance service workforce,,,,Derived from CAA (unpublished),no.,SA,2184
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,Males,All people,All areas,,Salaried personnel by gender (headcount),Total,,,,CAA (unpublished),no.,SA,1170
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,Females,All people,All areas,,Salaried personnel by gender (headcount),Total,,,,CAA (unpublished),no.,SA,1489
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,Other,All people,All areas,,Salaried personnel by gender (headcount),Total,,,,CAA (unpublished),no.,SA,4
