jurisdiction,category,change_2004_05_to_2023_24_pct,notation_key,notation_meaning
SA,I.  Other carbon-containing fertilizers,,NA,Not applicable
SA,J.  Other,,NA,Not applicable
SA,"4. Land Use, Land-Use Change and Forestry",-2.24109301661564,,
SA,A. Forest Land,-3.8480085929552676,,
SA,1.  Forest land remaining forest land,764.2682863322415,,
SA,2.  Land converted to forest land,-5.509404986024336,,
SA,B. Cropland,-2.3720255485690602,,
SA,1.  Cropland remaining cropland,-3.0538804173914014,,
SA,2.  Land converted to cropland,-0.0678640482070523,,
SA,C. Grassland,-0.5348736765697456,,
SA,1.  Grassland remaining grassland,-2.0798853724379547,,
SA,2.  Land converted to grassland,0.34896041963463503,,
SA,D. Wetland,-0.03677512663922152,,
SA,1.  Wetland remaining wetland,-0.3017144663239501,,
SA,2.  Land converted to wetland,0.043469815716425074,,
SA,E. Settlements,-0.5691247153177947,,
SA,1.  Settlements remaining settlements,-0.496510608357288,,
SA,2.  Land converted to settlements,-0.5665036240153202,,
SA,G. Harvested Wood Products,-0.9159847336601303,,
SA,Memo items:,,NA,Not applicable
SA,Forest converted to other land uses,,NA,Not applicable
SA,Direct emissions from forest clearing,,NA,Not applicable
SA,Emissions from post-clearing land uses,,NA,Not applicable
SA,5.  Waste,0.21306399490280725,,
SA,A.  Solid waste disposal,0.31361078464732645,,
SA,B.  Biological treatment of solid waste,0.9414266874408171,,
SA,C.  Incineration and open burning of waste,,NA,Not applicable
SA,D.  Waste water treatment and discharge,-0.09398524884925219,,
SA,E.  Other,,NA,Not applicable
WA,Total (net emissions),0.1998047606429529,,
WA,1. Energy,0.6307488631204604,,
WA,A. Fuel combustion (sectoral approach),0.5347286841603357,,
WA,1.  Energy industries,0.5250712991749807,,
WA,2.  Manufacturing industries and construction,0.5449135111135339,,
WA,3.  Transport,0.5676849188280899,,
WA,4.  Other sectors,0.43628176123258977,,
WA,5.  Other,,NA,Not applicable
WA,B. Fugitive emissions from fuels,1.835467265106138,,
WA,1.  Solid fuels,,NA,Not applicable
WA,2.  Oil and natural gas and other emissions from energy production,,NA,Not applicable
WA,C. CO₂ transport and storage,,NA,Not applicable
WA,2.  Industrial Processes,0.3409868922970169,,
WA,A.  Mineral industry,-0.1357543217458882,,
WA,B.  Chemical industry,0.24478073202427653,,
WA,C.  Metal industry,,NA,Not applicable
WA,D.  Non-energy products from fuels and solvent use,0.13730769230769238,,
WA,E.  Electronic industry,,NA,Not applicable
WA,F.  Product uses as ODS substitutes,2.340712318146289,,
WA,G.  Other product manufacture and use,-0.4702665628997941,,
WA,H.  Other,,NA,Not applicable
WA,3.  Agriculture,-0.17659368230687067,,
WA,A.  Enteric fermentation,-0.32178056128558546,,
WA,B.  Manure management,0.17763352686859044,,
WA,C.  Rice cultivation,,NA,Not applicable
WA,D.  Agricultural soils,0.0798722587183168,,
WA,E.  Prescribed burning of savannas,,NA,Not applicable
WA,F.  Field burning of agricultural residues,0.050508668332230534,,
WA,G. Liming,1.0551822661661363,,
WA,H. Urea application,0.24423757823546305,,
WA,I.  Other carbon-containing fertilizers,,NA,Not applicable
WA,J.  Other,,NA,Not applicable
WA,"4. Land Use, Land-Use Change and Forestry",-1.5899336113326616,,
WA,A. Forest Land,-2.4619200134419126,,
WA,1.  Forest land remaining forest land,-4.560263594566061,,
WA,2.  Land converted to forest land,-0.8415808952947655,,
WA,B. Cropland,-1.93137241243236,,
WA,1.  Cropland remaining cropland,-13.57824517888623,,
WA,2.  Land converted to cropland,-0.8523658559045385,,
WA,C. Grassland,-0.39040402976954963,,
WA,1.  Grassland remaining grassland,-0.3157204200674972,,
WA,2.  Land converted to grassland,-0.44795361835940173,,
WA,D. Wetland,-0.08148687270549969,,
WA,1.  Wetland remaining wetland,0.03342424010553057,,
WA,2.  Land converted to wetland,-0.24989687557410495,,
WA,E. Settlements,-0.5305562074456979,,
WA,1.  Settlements remaining settlements,-0.09056557354580615,,
WA,2.  Land converted to settlements,-0.5374681397026261,,
WA,G. Harvested Wood Products,0.48995068333351527,,
WA,Memo items:,,NA,Not applicable
WA,Forest converted to other land uses,,NA,Not applicable
WA,Direct emissions from forest clearing,,NA,Not applicable
WA,Emissions from post-clearing land uses,,NA,Not applicable
WA,5.  Waste,0.2680192732406002,,
WA,A.  Solid waste disposal,0.3664773220801174,,
WA,B.  Biological treatment of solid waste,1.1746185502203028,,
WA,C.  Incineration and open burning of waste,0.48250930078583737,,
WA,D.  Waste water treatment and discharge,-0.20738088336523533,,
WA,E.  Other,,NA,Not applicable
Tas,Total (net emissions),-1.2954826200993632,,
Tas,1. Energy,-0.042424249657562654,,
Tas,A. Fuel combustion (sectoral approach),-0.051208344552725146,,
Tas,1.  Energy industries,-0.5796553372390678,,
Tas,2.  Manufacturing industries and construction,,NA,Not applicable
Tas,3.  Transport,-0.07964920509796851,,
Tas,4.  Other sectors,0.37042440605499627,,
Tas,5.  Other,,NA,Not applicable
Tas,B. Fugitive emissions from fuels,1.1955319672086855,,
Tas,1.  Solid fuels,,NA,Not applicable
Tas,2.  Oil and natural gas and other emissions from energy production,,NA,Not applicable
Tas,C. CO₂ transport and storage,,NA,Not applicable
Tas,2.  Industrial Processes,-0.05077516379586156,,
Tas,A.  Mineral industry,0.012167272847918633,,
Tas,B.  Chemical industry,0.5345128046317762,,
Tas,C.  Metal industry,,NA,Not applicable
Tas,D.  Non-energy products from fuels and solvent use,-0.7825,,
Tas,E.  Electronic industry,,NA,Not applicable
Tas,F.  Product uses as ODS substitutes,1.637711878418659,,
Tas,G.  Other product manufacture and use,-0.5817406449981041,,
Tas,H.  Other,,NA,Not applicable
Tas,3.  Agriculture,0.10965210300475217,,
Tas,A.  Enteric fermentation,0.10275648389501449,,
Tas,B.  Manure management,0.456760065475382,,
Tas,C.  Rice cultivation,,NA,Not applicable
Tas,D.  Agricultural soils,0.09447845980895635,,
Tas,E.  Prescribed burning of savannas,,NA,Not applicable
Tas,F.  Field burning of agricultural residues,-0.07008556853588165,,
Tas,G. Liming,0.034404438746223905,,
Tas,H. Urea application,-0.23174490477602114,,
Tas,I.  Other carbon-containing fertilizers,,NA,Not applicable
Tas,J.  Other,,NA,Not applicable
Tas,"4. Land Use, Land-Use Change and Forestry",-2.7263203769317093,,
Tas,A. Forest Land,-5.134036243908648,,
Tas,1.  Forest land remaining forest land,-4.128689494722199,,
Tas,2.  Land converted to forest land,-4.257680975030548,,
Tas,B. Cropland,-0.4662355338489468,,
Tas,1.  Cropland remaining cropland,-0.4528373641024635,,
Tas,2.  Land converted to cropland,-0.5279141039735515,,
Tas,C. Grassland,-0.6170503084744033,,
Tas,1.  Grassland remaining grassland,-4.172763946771481,,
Tas,2.  Land converted to grassland,-0.5399874686823761,,
Tas,D. Wetland,0.13053600716866628,,
Tas,1.  Wetland remaining wetland,0.3435808960402661,,
Tas,2.  Land converted to wetland,-1,,
Tas,E. Settlements,-0.4865465190278938,,
Tas,1.  Settlements remaining settlements,-1.5856787167391189,,
Tas,2.  Land converted to settlements,-0.4685231910270638,,
Tas,G. Harvested Wood Products,0.19039008770718222,,
Tas,Memo items:,,NA,Not applicable
Tas,Forest converted to other land uses,,NA,Not applicable
Tas,Direct emissions from forest clearing,,NA,Not applicable
Tas,Emissions from post-clearing land uses,,NA,Not applicable
Tas,5.  Waste,-0.10285176433541937,,
Tas,A.  Solid waste disposal,-0.1741800423969845,,
Tas,B.  Biological treatment of solid waste,0.8901236897116133,,
Tas,C.  Incineration and open burning of waste,,NA,Not applicable
Tas,D.  Waste water treatment and discharge,0.02994719364991502,,
Tas,E.  Other,,NA,Not applicable
NT,Total (net emissions),1.419915923365591,,
NT,1. Energy,1.5398663642232417,,
NT,A. Fuel combustion (sectoral approach),,NA,Not applicable
NT,1.  Energy industries,2.726690752395854,,
NT,2.  Manufacturing industries and construction,,NA,Not applicable
NT,3.  Transport,0.8865406314145593,,
NT,4.  Other sectors,-0.23773171128086795,,
NT,5.  Other,,NA,Not applicable
NT,B. Fugitive emissions from fuels,,NA,Not applicable
NT,1.  Solid fuels,,NA,Not applicable
NT,2.  Oil and natural gas and other emissions from energy production,,NA,Not applicable
NT,C. CO₂ transport and storage,,NA,Not applicable
NT,2.  Industrial Processes,0.07640365020684886,,
NT,A.  Mineral industry,-0.9911368103411828,,
NT,B.  Chemical industry,,NA,Not applicable
NT,C.  Metal industry,,NA,Not applicable
NT,D.  Non-energy products from fuels and solvent use,-0.345,,
NT,E.  Electronic industry,,NA,Not applicable
NT,F.  Product uses as ODS substitutes,1.8973445191848421,,
NT,G.  Other product manufacture and use,-0.5405709548007779,,
NT,H.  Other,,NA,Not applicable
NT,3.  Agriculture,-0.04179275137842396,,
NT,A.  Enteric fermentation,-0.04306701688723352,,
NT,B.  Manure management,-0.11311514103111661,,
NT,C.  Rice cultivation,,NA,Not applicable
NT,D.  Agricultural soils,0.013296323837920876,,
NT,E.  Prescribed burning of savannas,,NA,Not applicable
NT,F.  Field burning of agricultural residues,-1,,
NT,G. Liming,1.462048679657696,,
NT,H. Urea application,-0.42978877097288676,,
NT,I.  Other carbon-containing fertilizers,,NA,Not applicable
NT,J.  Other,,NA,Not applicable
NT,"4. Land Use, Land-Use Change and Forestry",2.482420800222604,,
NT,A. Forest Land,1.4233448711808452,,
NT,1.  Forest land remaining forest land,0.7019063375573751,,
NT,2.  Land converted to forest land,0.02213679483591317,,
NT,B. Cropland,-0.5179415677321831,,
NT,1.  Cropland remaining cropland,-3.2775109938482663,,
NT,2.  Land converted to cropland,-0.2549944838698298,,
NT,C. Grassland,2.1277040940295913,,
NT,1.  Grassland remaining grassland,2.5688024101921894,,
NT,2.  Land converted to grassland,-0.55477794681501,,
NT,D. Wetland,0.7944047330614386,,
NT,1.  Wetland remaining wetland,1.9325020177311667,,
NT,2.  Land converted to wetland,0.21209420844482516,,
NT,E. Settlements,-0.8026285199583326,,
NT,1.  Settlements remaining settlements,1.2523793825099112,,
NT,2.  Land converted to settlements,-0.8129755307112543,,
NT,G. Harvested Wood Products,0.6936692869212134,,
NT,Memo items:,,NA,Not applicable
NT,Forest converted to other land uses,,NA,Not applicable
NT,Direct emissions from forest clearing,,NA,Not applicable
NT,Emissions from post-clearing land uses,,NA,Not applicable
NT,5.  Waste,0.6444852372679999,,
NT,A.  Solid waste disposal,,NA,Not applicable
NT,B.  Biological treatment of solid waste,,NA,Not applicable
NT,C.  Incineration and open burning of waste,,NA,Not applicable
NT,D.  Waste water treatment and discharge,,NA,Not applicable
NT,E.  Other,,NA,Not applicable
ACT,Total (net emissions),-0.09093471476426221,,
ACT,1. Energy,0.24275836060997993,,
ACT,A. Fuel combustion (sectoral approach),,NA,Not applicable
ACT,1.  Energy industries,,NA,Not applicable
ACT,2.  Manufacturing industries and construction,,NA,Not applicable
ACT,3.  Transport,0.23020132604575896,,
ACT,4.  Other sectors,-0.06682097118443132,,
ACT,5.  Other,,NA,Not applicable
ACT,B. Fugitive emissions from fuels,,NA,Not applicable
ACT,1.  Solid fuels,,NA,Not applicable
ACT,2.  Oil and natural gas and other emissions from energy production,,NA,Not applicable
ACT,C. CO₂ transport and storage,,NA,Not applicable
ACT,2.  Industrial Processes,2.049951719036759,,
ACT,A.  Mineral industry,,NA,Not applicable
ACT,B.  Chemical industry,1.1312196641043353,,
ACT,C.  Metal industry,,NA,Not applicable
ACT,D.  Non-energy products from fuels and solvent use,,NA,Not applicable
ACT,E.  Electronic industry,,NA,Not applicable
ACT,F.  Product uses as ODS substitutes,2.2926861821464293,,
ACT,G.  Other product manufacture and use,-0.4778820196260905,,
ACT,H.  Other,-0.8329715958537618,,
ACT,3.  Agriculture,-0.683555215019065,,
ACT,A.  Enteric fermentation,-0.6700025696889345,,
ACT,B.  Manure management,-0.7743231023847362,,
ACT,C.  Rice cultivation,,NA,Not applicable
ACT,D.  Agricultural soils,-0.7595354280043978,,
ACT,E.  Prescribed burning of savannas,,NA,Not applicable
ACT,F.  Field burning of agricultural residues,-1,,
ACT,G. Liming,-1,,
ACT,H. Urea application,,NA,Not applicable
ACT,I.  Other carbon-containing fertilizers,,NA,Not applicable
ACT,J.  Other,,NA,Not applicable
ACT,"4. Land Use, Land-Use Change and Forestry",-1.2861920467593981,,
ACT,A. Forest Land,-2.077908097231316,,
ACT,1.  Forest land remaining forest land,-1.1141223132383882,,
ACT,2.  Land converted to forest land,-8.424009835286705,,
ACT,B. Cropland,1.216358878535701,,
ACT,1.  Cropland remaining cropland,1.203411451889852,,
ACT,2.  Land converted to cropland,-0.6041591206968552,,
ACT,C. Grassland,-0.8749431620178499,,
ACT,1.  Grassland remaining grassland,0.4929212269782139,,
ACT,2.  Land converted to grassland,-0.9844456627559766,,
ACT,D. Wetland,1.4362424785230459,,
ACT,1.  Wetland remaining wetland,0.7705103988504186,,
ACT,2.  Land converted to wetland,195.26498374485766,,
ACT,E. Settlements,-0.6290445739951375,,
ACT,1.  Settlements remaining settlements,-3.5710620589357713,,
ACT,2.  Land converted to settlements,-0.5291874071239066,,
ACT,G. Harvested Wood Products,-24.2699651309104,,
ACT,Memo items:,,NA,Not applicable
