corporate_group_name,sector,corporate_group_employee_count,employer_name,employer_abn,is_parent_organisation,employer_employee_count
Datacom Australia Holdings Pty Limited,Private,2517,Datacom Australia Holdings Pty Limited,45094235373,Yes,147
Datacom Australia Holdings Pty Limited,Private,2517,Datacom Connect Pty Ltd,16103112303,No,848
Datacom Australia Holdings Pty Limited,Private,2517,Datacom Systems (AU) Pty Ltd,39135427075,No,1427
Davidson Group (Aust) Pty Ltd,Private,612,Davidson Recruitment Pty Ltd,50167132523,No,178
Davidson Group (Aust) Pty Ltd,Private,612,Davidson Technology (Aust) Pty Ltd,51167752258,No,224
Davidson Group (Aust) Pty Ltd,Private,612,Davidson Technology Consulting Group Pty Ltd,23163298379,No,114
DB Global Pty Ltd,Private,153,DB Results Pty Ltd,97110187767,No,148
DBG CORPORATE SERVICES PTY LTD,Private,1171,DBG CORPORATE SERVICES PTY LTD,25677555207,Yes,971
DBG CORPORATE SERVICES PTY LTD,Private,1171,INDEPENDENT PHARMACIES OF AUSTRALIA GROUP PTY LTD,73609137546,No,200
DCOH PTY LTD,Private,227,DCOH Services Pty Ltd,44143433569,No,116
Ddb Worldwide Pty Limited,Private,209,Ddb Sydney Pty Limited,47000429238,No,90
DECO AUSTRALIA PTY LTD,Private,118,DECO AUSTRALIA PTY LTD,38108720118,Yes,106
Deere & Company,Private,265,John Deere Limited,21008671725,No,209
Delaware North Companies Australia Pty Ltd,Private,7128,Delaware North Darwin Casino Pty Ltd,54009624417,No,576
Delaware North Companies Australia Pty Ltd,Private,7128,Delaware North Hospitality & Entertainment Services Pty Ltd,40662799126,No,5369
Delaware North Companies Australia Pty Ltd,Private,7128,Delaware North Lizard Island Pty Ltd,94137854589,No,89
Delaware North Companies Australia Pty Ltd,Private,7128,Delaware North MCG Hospitality Services Pty Ltd,20655914846,No,120
Delaware North Companies Australia Pty Ltd,Private,7128,Delaware North Merchandising Pty Ltd,40669381122,No,159
Delaware North Companies Australia Pty Ltd,Private,7128,Delaware North Retail Services Pty Ltd,99001341073,No,588
Delaware North Companies Australia Pty Ltd,Private,7128,Delaware North Venue Services Pty Ltd,67006682113,No,116
Deloitte Touche Tohmatsu,Private,10678,The Trustee For Deloitte Services Trust,61649157201,No,10542
Delta Power & Energy Pty Ltd,Private,555,Delta Power & Energy (Chain Valley) Pty Ltd,40621409201,No,288
Delta Power & Energy Pty Ltd,Private,555,Sunset Power International Pty Ltd,75162696335,No,267
Delta Pty. Ltd.,Private,1554,Browns Piling Pty Ltd,56661768494,No,85
Delta Pty. Ltd.,Private,1554,Cma Contracting Pty Ltd,71050192517,No,97
Delta Pty. Ltd.,Private,1554,Delta Pty. Ltd.,67007069794,Yes,1200
Demant A/S,Private,955,Audika Australia Pty Ltd,40061969006,No,724
Demant A/S,Private,955,Audmet Australia Pty Ltd,19050487593,No,200
Dengkol Pty. Ltd.,Private,394,M.C. Herd Proprietary Limited,80004289927,No,318
Dentsu Australia Holdings Pty Ltd,Private,828,Dentsu (ANZ) Management Services Pty Ltd,45108469567,No,827
DERWENT INDUSTRIES PTY LTD,Private,263,DERWENT INDUSTRIES PTY LTD,48096997152,Yes,155
DERWENT INDUSTRIES PTY LTD,Private,263,MACKAY AUSTRALIA PTY LTD,98665735615,No,89
DETECTOR INSPECTOR PTY. LTD.,Private,432,DETECTOR INSPECTOR (VIC) PTY LTD,43602592110,No,313
Detmold Packaging Pty. Ltd.,Private,451,Detmold Australia Sales Pty Ltd,71005331466,No,128
Detmold Packaging Pty. Ltd.,Private,451,Detmold Packaging Pty. Ltd.,85007527013,Yes,321
Deutsche Post DHL,Private,6621,DHL Express (Australia) Pty Ltd,62001112929,No,1437
Deutsche Post DHL,Private,6621,DHL Global Forwarding (Australia) Pty Ltd,62002636124,No,1108
Deutsche Post DHL,Private,6621,DHL Supply Chain (Australia) Pty Limited,85071798617,No,4076
DEVELOP GLOBAL LIMITED,Private,450,DEV MINING SERVICES PTY LTD,77657914102,No,341
DGL GROUP LIMITED,Private,863,DGL GROUP LIMITED,71002802646,Yes,80
DGL GROUP LIMITED,Private,863,DGL MANUFACTURING AUSTRALIA PTY LTD,62060283089,No,144
DGL GROUP LIMITED,Private,863,DGL MANUFACTURING PTY LTD,24167987064,No,122
DGL GROUP LIMITED,Private,863,DGL WAREHOUSING & DISTRIBUTION PTY LTD,46625569922,No,321
Diageo Australia Limited,Private,425,Diageo Australia Limited,33004167720,Yes,388
Diamond Protection Pty Ltd,Private,113,Diamond Protection Pty Ltd,42076380535,Yes,111
Digga Australia Pty. Ltd.,Private,281,Digga Australia Pty. Ltd.,86010443875,Yes,277
DIGITAL SERVICES AUSTRALIA IV PTY LTD,Private,110,DIGITAL SERVICES AUSTRALIA IV PTY LTD,11633652749,Yes,97
DIMEO GROUP HOLDINGS PTY LTD,Private,5210,Dimeo Cleaning (NSW) Pty Ltd,21153694136,No,299
DIMEO GROUP HOLDINGS PTY LTD,Private,5210,DIMEO CLEANING MANAGEMENT PTY LTD,28666392669,No,113
DIMEO GROUP HOLDINGS PTY LTD,Private,5210,DIMEO CLEANING SERVICES (ACT) PTY LTD,31620118452,No,339
DIMEO GROUP HOLDINGS PTY LTD,Private,5210,Dimeo Services (Aust) Pty Ltd,92125339120,No,2697
DIMEO GROUP HOLDINGS PTY LTD,Private,5210,DIMEO SERVICES (WA) PTY LTD,89161021647,No,1095
DIMEO GROUP HOLDINGS PTY LTD,Private,5210,Dimeo Services Queensland Pty Ltd,22144933175,No,667
Direct Digital Group Holdings Pty Ltd,Private,395,Direct Group Pty Limited,45065432199,No,140
Direct Digital Group Holdings Pty Ltd,Private,395,TVSN Channel Pty Ltd,96111806958,No,169
Direct Freight (Aust) Pty Ltd,Private,1740,Direct Freight (Aust) Pty Ltd,32071822172,Yes,1331
Direct Freight (Aust) Pty Ltd,Private,1740,Direct Freight (Qld) Pty Limited,78098415500,No,409
DKSH Australia Pty. Ltd.,Private,463,DKSH Australia Pty. Ltd.,70005059307,Yes,108
DKSH Australia Pty. Ltd.,Private,463,DKSH HEALTHCARE AUSTRALIA PTY LIMITED,18649899874,No,120
DKSH Australia Pty. Ltd.,Private,463,DKSH Performance Materials Australia Pty Limited,88602074322,No,90
DLA HOLDINGS PTY LTD,Private,487,DARRELL LEA CONFECTIONERY CO PTY LTD,27159928382,No,195
DLA HOLDINGS PTY LTD,Private,487,KQ EMPLOYMENT PTY LTD,57603933160,No,274
Dnata Dubai,Private,4316,Airline Cleaning Services Pty Ltd,20162104707,No,1296
Dnata Dubai,Private,4316,Alpha Flight Services Pty Ltd,89064142418,No,2294
Dnata Dubai,Private,4316,Dnata Catering Australia Subsidiary 1 Pty Ltd 23-24,35003530685,No,210
Dnata Dubai,Private,4316,Emirates Leisure Retail (Australia) Pty Ltd,76131473679,No,395
Dnata Dubai,Private,4316,Snap Fresh Pty Limited,55092536475,No,121
Dnata Pty Ltd,Private,2720,Dnata Airport Services Pty Ltd,30098319790,No,2526
Dnata Pty Ltd,Private,2720,Dnata Pty Ltd,35615994495,Yes,194
Dnv Australia Pty Limited,Private,164,Dnv Australia Pty Limited,14154635319,Yes,127
Domino's Pizza Enterprises Limited,Private,1597,Domino's Pizza Enterprises Limited,16010489326,Yes,1510
Domino's Pizza Enterprises Limited,Private,1597,Impressu Print Group Pty Ltd,52616255737,No,87
Doneilyn Pty Ltd,Private,437,Hindmarsh Plumbing Services Pty. Limited,40007744792,No,112
Doneilyn Pty Ltd,Private,437,Sarah Constructions Pty Ltd,81007608880,No,194
Dormakaba Australia Pty Ltd,Private,929,Dormakaba Australia Pty Ltd,14067969466,Yes,537
Dormakaba Australia Pty Ltd,Private,929,Gliderol International Pty Ltd,92007928949,No,168
DORSETT INVESTMENTS PTY LTD,Private,185,DORSETT RETAIL PTY LTD,30100205329,No,178
Downer Edi Limited,Private,17381,Berkeley Challenge Pty Limited,16000464755,No,308
Downer Edi Limited,Private,17381,Downer Edi Engineering Electrical Pty Ltd,76007102516,No,305
Downer Edi Limited,Private,17381,Downer Edi Engineering Power Pty Ltd,53000983700,No,2083
Downer Edi Limited,Private,17381,Downer Edi Engineering Pty Limited,66057593503,No,495
Downer Edi Limited,Private,17381,Downer Edi Rail Pty Ltd,92000002031,No,1273
Downer Edi Limited,Private,17381,Downer Edi Services Pty Ltd,71137732042,No,870
Downer Edi Limited,Private,17381,Downer Edi Works Pty Ltd,66008709608,No,1821
Downer Edi Limited,Private,17381,Downer Utilities Australia Pty Ltd,65075194857,No,1755
Downer Edi Limited,Private,17381,Edi Rail Ppp Maintenance Pty Ltd,97122730116,No,199
Downer Edi Limited,Private,17381,Mineral Technologies Pty Ltd,52105309260,No,188
Downer Edi Limited,Private,17381,Rpq Services Pty. Ltd.,58079233864,No,170
Downer Edi Limited,Private,17381,Skilltech Consulting Services Pty. Ltd.,14007162647,No,616
Downer Edi Limited,Private,17381,Skilltech Metering Solutions Pty Ltd.,67129547486,No,555
Downer Edi Limited,Private,17381,Spotless Facility Services Pty Ltd,83072293880,No,3738
Downer Edi Limited,Private,17381,Spotless Management Services Pty Ltd,30099129790,No,981
Downer Edi Limited,Private,17381,Spotless Services Australia Limited,19005309320,No,1730
Downer Edi Limited,Private,17381,Uam Pty Ltd,73152165494,No,110
DP World Australia (Holding) Pty Ltd,Private,2009,DP World (Fremantle) Limited,41009106763,No,233
DP World Australia (Holding) Pty Ltd,Private,2009,DP World Australia Container Parks Pty Ltd,57103736705,No,123
DP World Australia (Holding) Pty Ltd,Private,2009,DP World Australia Limited,27129842093,No,179
DP World Australia (Holding) Pty Ltd,Private,2009,DP World Brisbane Pty Limited,86130876701,No,334
DP World Australia (Holding) Pty Ltd,Private,2009,DP World Melbourne Limited,52000049301,No,442
DP World Australia (Holding) Pty Ltd,Private,2009,DP World Sydney Limited,82001351159,No,675
DRA Global Limited,Private,358,DRA Pacific Pty Ltd,52078037019,No,267
Drake Supermarkets Pty Ltd,Private,5820,Calliope Supermarket Pty Ltd,79602848797,No,92
Drake Supermarkets Pty Ltd,Private,5820,Dramet Pty Ltd,59109544425,No,1425
Drake Supermarkets Pty Ltd,Private,5820,Emu Park Supermarket Pty Ltd,13602848831,No,101
Drake Supermarkets Pty Ltd,Private,5820,Lowood Supermarket Pty Ltd,22630107710,No,87
Drake Supermarkets Pty Ltd,Private,5820,North Lakes Supermarket Pty Ltd,48607557577,No,80
Drake Supermarkets Pty Ltd,Private,5820,Regents Park Supermarket Pty Ltd,87604308303,No,155
Drake Supermarkets Pty Ltd,Private,5820,Rosewood Supermarket Pty Ltd,32604857338,No,102
Drake Supermarkets Pty Ltd,Private,5820,Samford Supermarket Pty Ltd,91604855530,No,117
Drake Supermarkets Pty Ltd,Private,5820,Sun Valley Supermarket Pty Ltd,86604859627,No,103
Drake Supermarkets Pty Ltd,Private,5820,The Fourth Force Pty Ltd,22084438773,No,3182
DRIVE GROUP CORPORATION PTY LTD,Private,379,DRIVE GROUP REPAIRS PTY LTD,13660509928,No,363
DSI Underground Australia Pty Limited,Private,526,DSI Underground Australia Pty Limited,84093424349,Yes,370
DSI Underground Australia Pty Limited,Private,526,Fero Group Pty Ltd,44009073572,No,89
DSV A/S,Private,584,DSV Air & Sea Pty Ltd,47002275676,No,378
DSV A/S,Private,584,DSV Solutions Pty Ltd,29000525995,No,206
DT GLOBAL AUSTRALIA HOLDINGS PTY LTD,Private,104,DT Global Asia Pacific Pty Limited,23006170869,No,99
DUCKS MANAGEMENT CO PTY LTD,Private,93,THREE BLUE DUCKS IN ROSEBERY PTY LTD,86611483348,No,89
Dunn & Farrugia Pty. Limited,Private,118,No relevant subsidiary employers,,,
Dupont Memcor (Australia) Pty Ltd,Private,150,Dupont Memcor (Australia) Pty Ltd,36166784694,Yes,135
Duratec Limited,Private,1333,Duratec Limited,94141614075,Yes,1113
Duratec Limited,Private,1333,WPF DURATEC PTY LTD,87082800397,No,220
DUXTON PUBS PTY LTD,Private,1026,DUXTON CRITERION JOINT VENTURE,75996745759,No,83
DUXTON PUBS PTY LTD,Private,1026,DUXTON OLD NOARLUNGA HOTEL JOINT VENTURE,29878016039,No,112
DUXTON PUBS PTY LTD,Private,1026,DUXTON PORT BROUGHTON JOINT VENTURE,35621390505,No,83
DUXTON PUBS PTY LTD,Private,1026,DUXTON RISDON JOINT VENTURE,64704255606,No,179
DUXTON PUBS PTY LTD,Private,1026,DUXTON WOOLSHED JOINT VENTURE,93369903094,No,108
DUXTON PUBS PTY LTD,Private,1026,THE CREMORNE HOTEL JOINT VENTURE,79695647096,No,92
DUXTON PUBS PTY LTD,Private,1026,THE LION HOTEL JOINT VENTURE,51446498168,No,131
Dws Limited,Private,659,D W S (Nsw) Pty Ltd,93115070301,No,95
Dws Limited,Private,659,The Trustee For Projects Assured Trust,95820883147,No,156
Dws Limited,Private,659,Wallis Nominees (Computing) Pty. Ltd.,64055672163,No,361
"DXC Technology Company, A Nevada Company",Private,4407,Dxc Enterprise Australia Pty Ltd,16612896527,No,924
"DXC Technology Company, A Nevada Company",Private,4407,DXC Integrated Services Victoria Pty Ltd,18003645645,No,460
"DXC Technology Company, A Nevada Company",Private,4407,Dxc Technology Australia Pty Limited,18008476944,No,2871
"DXC Technology Company, A Nevada Company",Private,4407,LUXOFT FINANCIAL SERVICES UK LIMITED,12135729921,No,128
Dyer Holdings Pty. Ltd.,Private,776,Madad Pty. Ltd.,57009678344,No,405
Dyer Holdings Pty. Ltd.,Private,776,Madad Sales Pty. Ltd.,59009678353,No,99
Dyer Holdings Pty. Ltd.,Private,776,Sealy Of Australia (N.S.W.) Pty. Ltd.,47009682722,No,164
Dyer Holdings Pty. Ltd.,Private,776,Sealy Of Australia (Vic.) Pty. Ltd.,74009682017,No,108
DY-MARK (AUST.) PTY. LTD.,Private,117,No relevant subsidiary employers,,,
Dymocks Holdings Pty Ltd,Private,737,Dymocks Education Pty Ltd,87092772702,No,241
Dymocks Holdings Pty Ltd,Private,737,Dymocks Group Services Pty Ltd,89071113267,No,329
Dymocks Holdings Pty Ltd,Private,737,Telegram Group Pty Ltd,50606166741,No,167
DYNO NOBEL LIMITED,Private,1870,Dyno Nobel Asia Pacific Pty Limited,38003269010,No,860
DYNO NOBEL LIMITED,Private,1870,DYNO NOBEL LIMITED,42004080264,Yes,867
DYNO NOBEL LIMITED,Private,1870,Dyno Nobel Moranbah Pty Ltd,63115650649,No,124
E&P Financial Group Limited,Private,329,E&P Operations Pty Limited,73080207076,No,240
E&P Financial Group Limited,Private,329,Evans And Partners Pty. Ltd.,85125338785,No,89
E.CF Group,Private,464,Reward Supply Co. Pty. Ltd.,40010183669,No,421
Eagers Automotive Limited,Private,8254,APE Cars Mgmt Pty Ltd,39632136906,No,8100
Eagers Automotive Limited,Private,8254,Webster Trucks Mgmt Pty Ltd,22632136899,No,130
Eastern Suburbs District Rugby League Football Club,Private,258,Eastern Suburbs District Rugby League Football Club,74522909012,Yes,114
Eastern Suburbs District Rugby League Football Club,Private,258,Eastern Suburbs Leagues Club Ltd,63000249490,No,144
EASYGO GROUP HOLDINGS PTY LTD,Private,484,EASYGO CARE PTY LTD,78677108799,No,110
EASYGO GROUP HOLDINGS PTY LTD,Private,484,EASYGO GROUP HOLDINGS PTY LTD,50676669686,Yes,94
eBay Australia And New Zealand Pty Limited,Private,80,No relevant subsidiary employers,,,
EBOS Group Limited,Private,3560,Doseaid Pty Ltd,55129958934,No,102
EBOS Group Limited,Private,3560,Ebos Group Australia Pty Limited,38125401247,No,188
EBOS Group Limited,Private,3560,Healthcare Supply Partners Pty Ltd,31631884609,No,188
EBOS Group Limited,Private,3560,Hps Services Pty Ltd,96160438559,No,642
EBOS Group Limited,Private,3560,LifeHealthCare Services Pty Ltd,33125822068,No,407
EBOS Group Limited,Private,3560,Lyppard Australia Pty Ltd,53007008906,No,103
EBOS Group Limited,Private,3560,Masterpet Australia Pty Limited,80000333353,No,104
EBOS Group Limited,Private,3560,Pet Care Distributors Pty Ltd,58125265769,No,95
EBOS Group Limited,Private,3560,Symbion Pty Ltd,25000875034,No,1158
EBOS Group Limited,Private,3560,TW&CM Pty Ltd,38136833620,No,191
EDMI PTY LTD,Private,139,EDMI PTY LTD,65010061391,Yes,108
EIGHTCAP HOLDINGS PTY LTD,Private,190,EIGHTCAP PTY LTD,73139495944,No,183
Elders Limited,Private,3541,AUSTRALIAN INDEPENDENT RURAL RETAILERS PTY LTD,36112308835,No,218
Elders Limited,Private,3541,Elders Rural Services Australia Limited,72004045121,No,3222
Electro Optic Systems Holdings Limited,Private,242,EOS Defence Systems Pty Limited,63052193192,No,171
Electrolux Home Products Pty. Limited,Private,698,Electrolux Home Products Pty. Limited,51004762341,Yes,697
Ellerslie Free Range Farms Pty Ltd,Private,279,DIAMOND POULTRY PTY. LTD.,21096410936,No,116
Elonbreath Pty Ltd,Private,510,Ocwen Energy Pty Ltd,44605178578,No,461
Elphinstone Group Corporate Pty Ltd,Private,968,Elphinstone Pty Ltd,47106296708,No,272
Elphinstone Group Corporate Pty Ltd,Private,968,William Adams Pty. Ltd.,72009569493,No,668
EMANATE TECHNOLOGY PTY. LTD.,Private,243,EMANATE GROUP SOLUTIONS PTY LTD,62633508782,No,210
EMBRACE THE CHI PTY LTD,Private,1169,EMBRACE THE CHI PTY LTD,43639336226,Yes,768
EMBRACE THE CHI PTY LTD,Private,1169,MARROARCHI PTY LTD,12647225929,No,401
Emeco Holdings Limited,Private,901,Emeco International Pty Ltd,51078624281,No,553
Emeco Holdings Limited,Private,901,Force Equipment Pty Ltd,48009220562,No,348
Emeis Holdings Pty Ltd,Private,806,Aesop Retail Pty Ltd,83104829576,No,573
Emeis Holdings Pty Ltd,Private,806,Emeis Cosmetics Pty. Ltd.,56007409001,No,233
Emmetts (Sa) Pty Ltd,Private,353,Emmetts (Sa) Pty Ltd,22160224706,Yes,140
Emmetts (Sa) Pty Ltd,Private,353,PRINGLES AG-PLUS PTY LTD,68085683950,No,84
Encore Event Technologies Group Pty Ltd,Private,1034,Encore Event Technologies Pty Limited,46006668702,No,963
Endava Australia Pty. Limited,Private,292,MUDBATH & CO PTY. LTD.,28601780929,No,83
Endeavour Foundation Limited,Private,4605,Community Solutions Group Ltd,47209006415,No,336
Endeavour Foundation Limited,Private,4605,Endeavour Foundation Limited,80009670704,Yes,4259
Endeavour Group Limited,Private,29678,Australian Leisure and Hospitality Group Pty Ltd,37067391511,No,16713
Endeavour Group Limited,Private,29678,Endeavour Group Limited,77159767843,Yes,12611
Endeavour Group Limited,Private,29678,Vinpac International Pty Ltd,20008266779,No,278
ENDOTA GROUP HOLDINGS PTY LTD,Private,872,ENDOTA (NO 1) PTY LTD,89107095983,No,535
ENDOTA GROUP HOLDINGS PTY LTD,Private,872,ISLE BY ENDOTA PTY LTD,13151891413,No,279
Enerflex Australasia Holdings Pty Ltd,Private,134,Enerflex Service Pty Limited,85063267238,No,131
Energyaustralia Holdings Limited,Private,2288,ENERGYAUSTRALIA GEELONG PTY LTD,51167415287,No,211
Energyaustralia Holdings Limited,Private,2288,Energyaustralia Nsw Pty Ltd,75163935635,No,191
Energyaustralia Holdings Limited,Private,2288,Energyaustralia Services Pty Ltd,73081074160,No,1460
Energyaustralia Holdings Limited,Private,2288,Energyaustralia Yallourn Pty Ltd,47065325224,No,273
Enermech Pty Limited,Private,342,Enermech Integrity Management Services Pty Ltd.,83102981902,No,124
Enermech Pty Limited,Private,342,Enermech Pty Limited,32136435062,Yes,218
Enero Group Limited,Private,274,BMF ADVERTISING PTY LTD,11073782742,No,149
Enero Group Limited,Private,274,Orchard Marketing Pty. Ltd.,37119244076,No,88
Enersys Australia Pty Limited,Private,194,No relevant subsidiary employers,,,
Engenco Limited,Private,499,Drivetrain Australia Pty. Ltd.,76060704789,No,96
Engenco Limited,Private,499,Gemco Rail Pty Ltd,61079764444,No,231
ENGIE,Private,447,International Power (Australia) Pty Ltd,59092560793,No,178
ENGIE,Private,447,Ipower 2 Pty Limited & Ipower Pty Limited,67269241237,No,122
ENOVIS SURGICAL AUSTRALIA PTY LTD,Private,209,ENOVIS SURGICAL AUSTRALIA PTY LTD,15105738485,Yes,156
Enterprise Management Group Pty Ltd,Private,1046,EMG Facility Services Pty Ltd,66623184529,No,431
Enterprise Management Group Pty Ltd,Private,1046,Emg Workforce Pty Ltd,83110639695,No,220
Enterprise Management Group Pty Ltd,Private,1046,Enterprise Management Group Pty Ltd,54123371022,Yes,376
ENTIRE OPERATIONS PTY LTD,Private,401,Entire Fire Protection Pty. Ltd.,42006392463,No,137
ENTIRE OPERATIONS PTY LTD,Private,401,Entire Mechanical Services Pty. Ltd.,42006665881,No,161
Envirolab Services Pty Ltd,Private,250,Envirolab Services (WA) Pty Ltd,53140099207,No,88
Envirolab Services Pty Ltd,Private,250,Envirolab Services Pty Ltd,37112535645,Yes,162
Environmental Resources Management Australia Pty Limited,Private,623,Environmental Resources Management Australia Pty Limited,12002773248,Yes,345
Environmental Resources Management Australia Pty Limited,Private,623,ERM Australia Consultants Pty Ltd,60003687581,No,101
Environmental Resources Management Australia Pty Limited,Private,623,ERM AUSTRALIA SUSTAINABILITY PTY LTD,67001204039,No,101
Epiroc AB,Private,1026,Epiroc Australia Pty Ltd,70000086706,No,891
Epiroc AB,Private,1026,KINETIC LOGGING SERVICES PTY LTD,33133949630,No,135
Epi-Use Australia Pty Limited,Private,345,Epi-Use Australia Pty Limited,74126123108,Yes,234
Eptec Pty Ltd,Private,896,CORROSION CONTROL ENGINEERING (HOLDINGS) PTY LIMITED,41659204707,No,120
Eptec Pty Ltd,Private,896,Eptec Pty Ltd,48080052259,Yes,700
EQUANS Corporate Services Pty Limited,Private,481,EQUANS Electrical and Communications Pty Limited,51007066855,No,203
EQUANS Corporate Services Pty Limited,Private,481,EQUANS Fire Protection Services Pty Limited,83160366352,No,82
EQUANS Corporate Services Pty Limited,Private,481,EQUANS Mechanical Services Australia Pty Limited,66160365471,No,83
Equinix Australia Pty Limited,Private,404,Equinix (Australia) Enterprises Pty Limited,26605084473,No,120
Equinix Australia Pty Limited,Private,404,Equinix Australia Pty Limited,25092807264,Yes,284
Ertech Holdings Pty Ltd,Private,691,Ertech Pty Ltd,46094416887,No,603
Essilor International SA,Private,303,Essilor Australia Pty Ltd,96002659458,No,297
Essity Australasia Pty Ltd,Private,366,Essity Australasia Pty Ltd,55005442375,Yes,335
Ethos Beathchapman Australia Pty Ltd,Private,281,Ethos Beathchapman Australia Pty Ltd,15628088451,Yes,234
EUC MANAGEMENT PTY LTD,Private,148,EUC SERVICES PTY LTD,87631142857,No,114
Eudunda Farmers' Limited,Private,696,Big River Supermarkets Pty Ltd,56095346311,No,112
Eudunda Farmers' Limited,Private,696,Eudunda Farmers' Limited,30008222188,Yes,176
Eudunda Farmers' Limited,Private,696,Mallee Supermarkets Pty Ltd,47102600144,No,140
Eudunda Farmers' Limited,Private,696,United Supermarkets Pty Ltd,33105775826,No,268
EUROFINS REGIONAL SERVICE CENTRE ANZ PTY LTD,Private,719,Eurofins Environment Testing Australia Pty Ltd,50005085521,No,324
Euroz Hartleys Group Limited,Private,186,Euroz Hartleys Limited,33104195057,No,185
Evolution Group Holdings Limited,Private,664,EVOLUTION TRAFFIC MANAGEMENT NSW PTY LTD,44675017535,No,133
Evolution Group Holdings Limited,Private,664,Evolution Traffic Management Pty Ltd,82638495691,No,449
Evolution Mining Limited,Private,2530,ERNEST HENRY MINING PTY LTD,18008495574,No,640
Evolution Mining Limited,Private,2530,Evolution Mining (Cowal) Pty Limited,75007857598,No,469
Evolution Mining Limited,Private,2530,Evolution Mining (Mungari) Pty Ltd,90002124745,No,303
Evolution Mining Limited,Private,2530,EVOLUTION MINING (NORTHPARKES) PTY LTD,17164997317,No,454
Evolution Mining Limited,Private,2530,Evolution Mining Limited,74084669036,Yes,220
Evolution Mining Limited,Private,2530,GILT-EDGED MINING NL,29073565796,No,268
Evolution Mining Limited,Private,2530,Kundana Gold Pty Limited,13009643252,No,94
Evolution Mining Limited,Private,2530,Mt Rawdon Operations Pty Ltd,77152727663,No,82
Evolve Housing Limited,Private,150,Evolve Housing Limited,16127713731,Yes,135
EVT Limited,Private,5397,Atura Hotels And Resorts Pty Ltd,20163225321,No,222
EVT Limited,Private,5397,Birch; Carroll & Coyle Limited,40009659643,No,1051
EVT Limited,Private,5397,Kosciuszko Thredbo Pty. Limited,95000139015,No,389
EVT Limited,Private,5397,Qt Hotels And Resorts Pty Limited,23140595624,No,1208
EVT Limited,Private,5397,Rydges Hotels Ltd,48050035268,No,597
EVT Limited,Private,5397,The Greater Union Organisation Pty Ltd,99000024439,No,1719
Evz Limited,Private,252,Brockman Engineering Pty Ltd,37118229146,No,121
Expedia Group Inc,Private,245,Expedia Australia Pty Ltd,12101694946,No,212
Experian Australia Pty Ltd,Private,638,Experian Australia Pty Ltd,95082851474,Yes,257
Experian Australia Pty Ltd,Private,638,Illion Australia Pty Ltd,95006399677,No,363
Experience Australia Topco Pty Ltd,Private,1688,Cruise Whitsundays Pty Ltd,70105420737,No,221
Experience Australia Topco Pty Ltd,Private,1688,Experience Australia Group Pty Ltd,56614713003,No,460
Experience Australia Topco Pty Ltd,Private,1688,Great Southern Rail Limited,59079476949,No,672
Experience Australia Topco Pty Ltd,Private,1688,OUTBACK SPIRIT TOURS PTY LTD,74006972130,No,187
Experience Australia Topco Pty Ltd,Private,1688,The Trustee For The Wadjemup Unit Trust,58300621417,No,148
Experience Co Limited,Private,797,Experience Co Admin Pty Ltd,30636083639,No,437
Experience Co Limited,Private,797,Experience Co Admin QLD Pty Ltd,21640872260,No,360
EXPERIENCE GOLD COAST PTY LTD,Private,471,EXPERIENCE GOLD COAST PTY LTD,77633448094,Yes,101
EXPERIENCE GOLD COAST PTY LTD,Private,471,HOTA SERVICES GOLD COAST PTY LTD,78646490799,No,370
F & F Management Pty. Ltd.,Private,10821,Harris Scarfe Pty Ltd,83095018803,No,1673
F & F Management Pty. Ltd.,Private,10821,The Trustee For Anaconda Unit Trust,53955173782,No,2681
F & F Management Pty. Ltd.,Private,10821,The Trustee For Spotlight Stores Trading Trust,39564861886,No,6402
Fairbrother Pty Ltd,Private,711,Degree C Pty Ltd,16009587008,No,275
Fairbrother Pty Ltd,Private,711,Fairbrother Pty Ltd,51009510561,Yes,436
Fairleigh Holdings Pty Ltd,Private,357,Australian Pacific Touring Pty Ltd,44004684619,No,333
FAIRWAY HOLDCO PTY LTD,Private,178,SMSF Operations Pty Ltd,30007778341,No,139
Feros Care,Private,976,Feros Care,50104452271,Yes,870
Feros Care,Private,976,Wommin Bay Hostels,91062546365,No,106
FGF HOLDINGS PTY LTD,Private,299,FIVEGOODFRIENDS PTY LTD,87605031249,No,234
"Fidelity National Information Services, Inc.",Private,588,FIS Australasia Pty Ltd,45093114759,No,387
"Fidelity National Information Services, Inc.",Private,588,FIS Systems Pty Ltd,98003699518,No,197
Fiducian Group Limited,Private,179,Fiducian Services Pty Limited,41602437892,No,105
Fighting Chance Australia Limited,Private,809,Fighting Chance Australia Limited,85140018702,Yes,524
Fighting Chance Australia Limited,Private,809,JIGSAW GROUP (AUS) LIMITED,87624033487,No,285
Finasucre Investments (Australia) Pty Limited,Private,484,Bundaberg Sugar Ltd,24077102526,No,402
Finasucre Investments (Australia) Pty Limited,Private,484,Bundaberg Walkers Engineering Ltd,49009696128,No,82
Findex Group Limited,Private,1867,Findex (Aust) Pty Ltd,84006466351,No,1858
Fink Restaurants Pty Ltd,Private,293,The Trustee for BFG Unit Trust,63709542100,No,97
Firesafe Group Pty Ltd,Private,352,Firesafe Construction Pty Ltd,58165418226,No,100
Firesafe Group Pty Ltd,Private,352,Firesafe Systems Pty Ltd,63114444996,No,92
First American Financial Corporation,Private,253,First Mortgage Services Pty Limited,49110202429,No,234
